time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance
700,124928,-4.307490429999999,178,61,852.52,0.0359375,-0.8090781927108764,0.2,600,25.572826385498047,0.0003,79.28368057943881,0.0054769544,0.0002465442350512603,0.6212147176265717
695,126976,-1.69682801,182,62,865.94,0.1240234375,-0.9744381563737988,0.2,610,0.9452443718910217,0.0003,36.302783666923645,0.008832287,-0.0038596738078922497,0.8708676993846893
694,129024,0.8001926499999993,185,63,880.62,0.1140625,-0.939955018274486,0.2,620,1.8899753093719482,0.0003,26.878601245675235,0.0074794046,-0.00404481050427421,0.864242747426033
696,131072,1.3793104799999987,188,64,887.37,0.0982421875,-0.9497558817267417,0.2,630,2.449779510498047,0.0003,47.10569884777069,0.008750271,-0.006240080954012228,0.8632403016090393
695,133120,3.4699172699999976,191,65,901.7,0.069873046875,-0.8107217779383064,0.2,640,0.6564577221870422,0.0003,47.76696182079613,0.009011883,-0.0025928765622666105,0.871473416686058
691,135168,3.4891533999999984,195,66,901.7,0.018896484375,-0.8753160241991281,0.2,650,4.321683883666992,0.0003,125.70841314271092,0.0038058166,-2.193933723901864e-05,0.6627407968044281
688,137216,5.1428457299999994,199,67,904.93,0.1533203125,-0.9617462361231446,0.2,660,2.6882007122039795,0.0003,44.01500441823155,0.012853778,-0.0050840622439864095,0.8593618124723434
685,139264,5.9792615799999975,203,68,910.5,0.12900390625,-0.9852060487493872,0.2,670,0.3245700001716614,0.0003,38.785670386441055,0.0072795004,-0.003207812576147262,0.8969966620206833
682,141312,5.305161529999998,207,69,910.5,0.144873046875,-0.9705422006547451,0.2,680,0.32411831617355347,0.0003,40.48377491431311,0.008925049,-0.003364644435350783,0.8992526158690453
683,143360,2.544402789999998,209,70,896.86,0.134130859375,-0.9449606107547879,0.2,690,0.2541680932044983,0.0003,42.4276419670321,0.011527995,-0.0025261285496526397,0.8904942870140076
683,145408,2.9412403099999973,212,71,896.86,0.0615234375,-0.8304229309782386,0.2,700,33.31350326538086,0.0003,166.70456047058104,0.006414362,-0.004875520959831192,0.6050958335399628
681,147456,3.1448531299999978,216,72,896.86,0.0634765625,-0.9263544475659728,0.2,710,0.28314128518104553,0.0003,33.04525803700089,0.012302194,-0.0026108752099389676,0.8747343569993973
683,149504,-0.762350070000002,218,73,886.76,0.027685546875,-0.8930939750745892,0.2,720,0.2361789494752884,0.0003,32.11627090927213,0.0033177738,-0.00044194468719069844,0.8976134806871414
683,151552,1.155515599999997,221,74,882.95,0.00400390625,-0.8492758639156819,0.2,730,56.35574722290039,0.0003,144.09604572728276,0.0021266532,-0.0015087319305166602,0.7049281001091003
683,153600,-0.018388870000003193,224,75,878.21,0.012353515625,-0.68731548525393,0.2,740,8.825063705444336,0.0003,102.88066833764314,0.0048220935,-0.0011388103535864501,0.7323971688747406
683,155648,-0.7187442000000019,227,76,878.21,0.126953125,-0.7891679069027304,0.2,750,11.89802360534668,0.0003,59.38140656128526,0.013786958,-0.00254372150884592,0.8597731590270996
684,157696,1.7668082999999983,230,77,882.03,0.13603515625,-0.8199940927326679,0.2,760,0.3054288625717163,0.0003,40.625418033637104,0.011459474,-0.0031543304881779476,0.8996236398816109
684,159744,-2.02620928,233,78,858.5,0.051953125,-0.8926283314824104,0.2,770,1.194653034210205,0.0003,39.65584180392325,0.007283015,-0.00618006683216663,0.8825630098581314
683,161792,-3.3240271999999993,236,79,857.6,0.04580078125,-0.8173330619931221,0.2,780,60.90687561035156,0.0003,207.8295971289277,0.006689979,-0.0009446503203434986,0.7199294865131378
685,163840,-1.7151372699999996,239,80,845.82,0.058935546875,-0.8590582581236959,0.2,790,1.2854446172714233,0.0003,59.64942060671747,0.0066685015,-0.001886399320937926,0.8896669372916222
686,165888,-1.1709659899999985,241,81,845.82,0.07939453125,-0.7635836472734809,0.2,800,61.06073760986328,0.0003,102.92894732281566,0.0082932,-0.0031636819068808107,0.6973806917667389
685,167936,-0.9201843799999981,244,82,845.13,0.05439453125,-0.7119320197030902,0.2,810,11.72401237487793,0.0003,46.669307951442896,0.0066645155,-0.003271712349669542,0.8501408100128174
686,169984,-0.5766707399999974,247,83,849.75,0.097119140625,-0.6929042927920819,0.2,820,331.87109375,0.0003,102.52493953276425,0.00930908,-0.003187462106870953,0.7421316206455231
686,172032,0.7351499700000005,250,84,843.52,0.0740234375,-0.6952477129176259,0.2,830,178.9806365966797,0.0003,31.895494910050182,0.0046731704,-0.0008998536613944452,0.9074590504169464
685,174080,1.5111422400000003,254,85,840.14,0.049951171875,-0.7612288707867265,0.2,840,65.15823364257812,0.0003,192.71204451322555,0.011500326,-0.004684155375343835,0.5204882025718689
685,176128,3.547204830000002,257,86,837.94,0.04140625,-0.68244026619941,0.2,850,4.314790725708008,0.0003,103.06597591340542,0.0073705036,-0.004085693221713882,0.7207330465316772
685,178176,0.36519788000000203,259,87,823.99,0.10986328125,-0.7393298836424946,0.2,860,304.9778747558594,0.0003,87.90433481112123,0.010547509,-0.003922628005238948,0.8482596576213837
686,180224,1.2515586500000007,262,88,814.56,0.087255859375,-0.7590814644470811,0.2,870,62.23561096191406,0.0003,146.38165571689606,0.01014469,-0.0032863539599929936,0.7667963951826096
686,182272,3.4113422800000013,265,89,807.56,0.045947265625,-0.6940569395199419,0.2,880,12.987894058227539,0.0003,138.7830630928278,0.008143658,-0.0028616966392291943,0.6976883411407471
685,184320,1.585696640000001,268,90,810.26,0.03486328125,-0.6890199603512883,0.2,890,23.463706970214844,0.0003,85.29330202788114,0.004668556,-0.0027272130264464067,0.7467861175537109
685,186368,5.53515274,271,91,793.67,0.12490234375,-0.703448686003685,0.2,900,286.55706787109375,0.0003,36.28118701949715,0.008097301,-0.002770991143916035,0.7311700284481049
685,188416,5.265327159999999,274,92,795.37,0.064794921875,-0.7611908655613661,0.2,910,270.2031555175781,0.0003,123.18333437740803,0.0070363684,-0.002878573822817998,0.42680126428604126
687,190464,4.94128732,277,93,780.06,0.133984375,-0.6034530113451183,0.2,920,3.994650363922119,0.0003,55.90300168991089,0.011322755,-0.0028640923308557832,0.7040530145168304
688,192512,8.136757600000001,279,94,762.83,0.050830078125,-0.7441203834488987,0.2,930,349.0234069824219,0.0003,196.8505963511765,0.008062189,-0.004476988684109529,0.3941473960876465
