time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss
20,-388.92318055882356,812,475.20588235294116,8,16384,1300,0.2,-0.6714502146467567,137.10911560058594,0.0003,0.05478515625,0.004379031,-0.0010401545259810518,0.621342122554779,200.0986307412386
22,-391.2647702105263,819,474.0,9,18432,1310,0.2,-0.7630131918936968,107.2454605102539,0.0003,0.063525390625,0.007861009,-0.0034047407381876836,0.7505433410406113,138.5922168672085
24,-385.9870585,822,485.6904761904762,10,20480,1320,0.2,-0.7417438931763172,15.804655075073242,0.0003,0.0849609375,0.00985467,-0.0041512618005072,0.9123921990394592,75.9422565639019
26,-374.51529240425526,841,474.7659574468085,11,22528,1330,0.2,-0.6685193141922354,29.35187530517578,0.0003,0.037255859375,0.0037791086,-0.0025251208393456182,0.8412704616785049,107.7392007291317
29,-376.26276752941175,836,477.078431372549,12,24576,1340,0.2,-0.7305181035771966,134.98971557617188,0.0003,0.0712890625,0.010248198,-0.0035330535552930086,0.7925329506397247,159.96825929880143
31,-369.3601321052631,843,463.6140350877193,13,26624,1350,0.2,-0.8182420706376433,20.545068740844727,0.0003,0.067333984375,0.006482774,-0.001706683599331882,0.9237722158432007,78.66371632367373
33,-356.37184690624997,855,443.875,14,28672,1360,0.2,-0.7456831958144903,86.8010025024414,0.0003,0.09296875,0.008649742,-0.007988536267657765,0.9226107373833656,105.42470152378083
35,-355.8631571142857,863,430.95714285714286,15,30720,1370,0.2,-0.7298159271478653,57.52576446533203,0.0003,0.06611328125,0.008443377,-0.0044884296075906605,0.8941859528422356,125.92383349537849
37,-349.6087355714286,869,423.85714285714283,16,32768,1380,0.2,-0.7949675407260657,44.06474304199219,0.0003,0.0572265625,0.0064512044,-0.006443555068835849,0.7932855486869812,168.19338943064213
39,-346.5449778095238,873,414.0833333333333,17,34816,1390,0.2,-0.7578221462666989,35.47836685180664,0.0003,0.081201171875,0.008020343,-0.007567221335921204,0.8709269911050797,147.35322352051736
41,-341.6805375444445,880,407.1111111111111,18,36864,1400,0.2,-0.6985469428822398,18.996898651123047,0.0003,0.059033203125,0.005343551,-0.0031322291484684683,0.9459080547094345,91.96655876338482
43,-337.5536007083333,886,404.1979166666667,19,38912,1410,0.2,-0.7446588672697544,10.915029525756836,0.0003,0.07021484375,0.006161835,-0.00552529732522089,0.9385524913668633,70.55049291551113
45,-332.4744595199999,894,391.65,20,40960,1420,0.2,-0.7555921666324139,29.169469833374023,0.0003,0.087255859375,0.010774359,-0.0035713988727366086,0.8423188328742981,170.75691909193992
47,-324.24841835,902,371.87,21,43008,1430,0.2,-0.7863528847694397,32.41375732421875,0.0003,0.0505859375,0.005632352,-0.0021299738582456484,0.7887505441904068,158.31520487964153
49,-319.74481604,908,368.17,22,45056,1440,0.2,-0.7989631010219455,35.44371795654297,0.0003,0.045849609375,0.0053390376,-0.0034848508017603307,0.8324348330497742,98.28602427244186
