time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate
794,613.01,94,192512,242,15.808414110000001,3.070359945297241,-0.002953046809125226,0.004886087,134.20057591348888,0.049853515625,0.5965357422828674,-0.8033207597211003,930,0.2,0.0003
793,602.26,95,194560,245,19.950568169999997,6.251796245574951,-0.003161225682561053,0.008094367,107.14265137016773,0.080712890625,0.7076185941696167,-0.7793799545615911,940,0.2,0.0003
793,609.46,96,196608,247,24.61528597,20.51607322692871,-0.002310137276435853,0.0037198267,77.94692562222481,0.026806640625,0.7100300192832947,-0.7826910221949219,950,0.2,0.0003
792,610.78,97,198656,250,26.856949830000005,12.97480297088623,6.70899185934104e-05,0.005855521,59.783983898162845,0.0462890625,0.7165848612785339,-0.7237352438271045,960,0.2,0.0003
791,603.19,98,200704,253,31.467896999999997,10.679563522338867,-0.0028286987791943828,0.0071268566,52.16716340333223,0.08095703125,0.7781777381896973,-0.8272872826084494,970,0.2,0.0003
792,610.82,99,202752,255,33.190212370000005,13.397908210754395,-0.004144820035799057,0.0033879033,106.0652194648981,0.055078125,0.7250520288944244,-0.7161829628050327,980,0.2,0.0003
790,619.16,100,204800,259,34.06934735,293.69659423828125,-0.004549620813486399,0.005805754,133.30163183510302,0.0775390625,0.5581554174423218,-0.7306870587170124,990,0.2,0.0003
791,620.34,101,206848,261,39.27341444999999,58.53622055053711,-0.0032937978427071356,0.0035312772,109.26600584834814,0.07431640625,0.5913688540458679,-0.7642111664637923,1000,0.2,0.0003
792,618.12,102,208896,263,38.524978170000004,35.9385986328125,-0.001334768445667578,0.0067992737,164.50835540294648,0.082666015625,0.37100422382354736,-0.8114941114559769,1010,0.2,0.0003
791,620.12,103,210944,266,42.30465352,115.41648864746094,-0.0030150676906487207,0.0031085692,181.69363165199758,0.0318359375,0.6615030467510223,-0.754676752910018,1020,0.2,0.0003
792,623.5,104,212992,268,44.12563738,22.45923614501953,-0.006033705873414874,0.00961321,84.61527103185654,0.08759765625,0.6397823691368103,-0.7237396005541086,1030,0.2,0.0003
792,624.19,105,215040,271,44.021173739999995,7.183216094970703,-0.001057798828696832,0.0035342814,119.19823877960444,0.03994140625,0.7674577087163925,-0.7793940661475063,1040,0.2,0.0003
789,628.16,106,217088,274,43.42733488000001,322.61083984375,-0.002932493991829688,0.009485381,82.3583184376359,0.070458984375,0.6703989207744598,-0.7282080922275782,1050,0.2,0.0003
790,621.44,107,219136,277,44.99285347,7.349319934844971,-0.002160408840427408,0.014995505,77.75391338914633,0.139501953125,0.7313152551651001,-0.7331493221223354,1060,0.2,0.0003
788,615.58,108,221184,280,44.216682969999994,15.225749969482422,-0.004263036213160376,0.0039921775,179.23716027140617,0.035888671875,0.5598495900630951,-0.7953156597912312,1070,0.2,0.0003
789,614.26,109,223232,282,41.08112936,51.70631790161133,-0.002530334019684233,0.025988981,88.882787707448,0.055029296875,0.6238759458065033,-0.80788963008672,1080,0.2,0.0003
789,610.18,110,225280,285,41.641626190000004,32.06760787963867,-0.0029623751077451745,0.0039941967,84.71245434358715,0.088525390625,0.6535564064979553,-0.796499221585691,1090,0.2,0.0003
789,599.97,111,227328,287,40.90079707,37.80510711669922,-0.0009512227268714923,0.0027964013,150.7975179105997,0.013623046875,0.7706544548273087,-0.737730678357184,1100,0.2,0.0003
787,596.3,112,229376,291,42.79253974,25.858800888061523,-0.0035236511492257707,0.0047446815,129.32211670577527,0.053125,0.7476755082607269,-0.736287321895361,1110,0.2,0.0003
787,606.78,113,231424,293,43.005440449999995,179.75794982910156,1.3696122914552689e-05,0.0046215807,51.14249365180731,0.078515625,0.7244125306606293,-0.7905958097428083,1120,0.2,0.0003
788,602.26,114,233472,296,41.32190861,2.719630718231201,-0.0070203753093665,0.038434792,51.81200466528535,0.10859375,0.9276258423924446,-0.6140266655944288,1130,0.2,0.0003
790,592.85,115,235520,298,43.00659777999999,49.601959228515625,-0.0017751102972397349,0.0062267967,239.04725543260574,0.03291015625,0.5744085609912872,-0.7486546531319618,1140,0.2,0.0003
789,593.4,116,237568,300,49.086802369999994,320.8274230957031,-0.003994417958892882,0.0067965914,229.83009095788003,0.053955078125,0.6324842572212219,-0.7526203328743577,1150,0.2,0.0003
787,586.12,117,239616,304,46.84796563,10.796259880065918,-0.010513328465094673,0.021325931,65.90498375818133,0.11435546875,0.6975241303443909,-0.8266380876302719,1160,0.2,0.0003
787,587.16,118,241664,306,45.09955216,72.71247863769531,-0.0026767023366119245,0.0058587845,113.35191820561886,0.055419921875,0.6938400864601135,-0.6719458410516381,1170,0.2,0.0003
788,580.16,119,243712,308,46.31493497,245.50291442871094,-0.008748795455903745,0.012003001,129.02902320474385,0.098583984375,0.6919167339801788,-0.7494070256128907,1180,0.2,0.0003
789,575.22,120,245760,311,38.62805748000001,38.98733901977539,0.00022089931371738203,0.004554022,141.59882043004035,0.072607421875,0.787418320775032,-0.7657937103882432,1190,0.2,0.0003
790,568.0,121,247808,313,37.54455583,34.689117431640625,-0.004162775225631776,0.0062240735,191.08799483180047,0.0470703125,0.7013149559497833,-0.6594961106777191,1200,0.2,0.0003
791,566.01,122,249856,315,36.769935690000004,17.639863967895508,-0.00266664338123519,0.0039937915,210.17041298151017,0.054345703125,0.622254878282547,-0.7081441907212138,1210,0.2,0.0003
791,555.78,123,251904,318,32.930514869999996,266.21240234375,-0.0014622365102695766,0.007394942,127.46984550654888,0.053564453125,0.8158107846975327,-0.6923485675826668,1220,0.2,0.0003
1261,465.75,1,2048,1,-226.77259125,68.26554107666016,-0.003026594235780067,0.0066387625,177.45387427806855,0.07099609375,0.7509552389383316,-0.7619568085297942,1230,0.2,0.0003
1049,447.44444444444446,2,4096,3,-266.9780723333334,35.42925262451172,-0.002211920808622381,0.0070166797,149.8936197668314,0.089306640625,0.6495106816291809,-0.7484865695238113,1240,0.2,0.0003
1000,427.0769230769231,3,6144,6,-288.40746900000005,18.425403594970703,-0.0019279127787740435,0.0032130517,186.90043711662292,0.059228515625,0.7039686739444733,-0.7223978839814663,1250,0.2,0.0003
997,424.5263157894737,4,8192,8,-282.64551089473684,144.39111328125,-0.0007611143613758031,0.0047673723,163.64402928352357,0.034375,0.732980340719223,-0.7315878393128514,1260,0.2,0.0003
980,420.0,5,10240,10,-280.0539850833333,13.187854766845703,-0.0057732683730137065,0.011648709,150.10660488307477,0.076953125,0.8514059484004974,-0.7292971650138498,1270,0.2,0.0003
965,425.4642857142857,6,12288,12,-276.3859456428571,19.835800170898438,-0.0012836999783758074,0.008008378,133.47158027589322,0.0626953125,0.8777858465909958,-0.7159557521343232,1280,0.2,0.0003
956,438.9375,7,14336,14,-276.83114978125,17.1745662689209,-0.002967744273337303,0.00781345,134.93248455524446,0.064306640625,0.8872717171907425,-0.7098808309063316,1290,0.2,0.0003
943,439.4054054054054,8,16384,17,-278.1634357567567,8.656768798828125,-0.002138586861838121,0.00638405,128.88107159733772,0.0705078125,0.8657577335834503,-0.6366789093241095,1300,0.2,0.0003
928,442.2682926829268,9,18432,19,-271.96589458536585,28.962419509887695,-0.002189134696527617,0.0070713647,182.61142033338547,0.04365234375,0.8502650260925293,-0.700996444746852,1310,0.2,0.0003
922,440.17391304347825,10,20480,22,-271.055030173913,47.329166412353516,-0.0016836694878293202,0.0016335887,127.20480633080005,0.068359375,0.8573044240474701,-0.7399202579632401,1320,0.2,0.0003
924,434.11764705882354,11,22528,24,-273.231507254902,25.842403411865234,-0.004406082352943486,0.004498373,175.59979852437974,0.06689453125,0.8797989934682846,-0.7711049772799015,1330,0.2,0.0003
922,442.43636363636364,12,24576,26,-273.7307908545455,25.62820053100586,-0.008572071182425135,0.009211592,146.47250691056252,0.09091796875,0.8851864263415337,-0.7069720569998026,1340,0.2,0.0003
922,436.3114754098361,13,26624,28,-276.11184006557374,15.53546142578125,-0.0012076475904905237,0.007429595,94.06659757643938,0.056494140625,0.9231956601142883,-0.7380835071206093,1350,0.2,0.0003
