time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range
198656,21.715409060000006,683,773.08,290,97,0.0003,-0.0016921981979976409,0.868094801902771,960,-0.5815599153749644,22.5767564073205,0.0669921875,2.459200143814087,0.010826204,0.2
200704,24.869699120000003,683,754.95,293,98,0.0003,-0.0021020131251134446,0.5091467499732971,970,-0.7841293469071389,118.55147819295526,0.0396484375,28.64797019958496,0.005608653,0.2
202752,25.279537970000007,684,735.79,296,99,0.0003,-0.003439213309320621,0.5944486856460571,980,-0.7344319075345993,100.97860311865807,0.051611328125,220.96226501464844,0.0070013236,0.2
204800,30.515487660000005,685,717.56,298,100,0.0003,-0.0021807916469697374,0.6881199181079865,990,-0.7374626154080033,135.1644406169653,0.049462890625,3.601606845855713,0.003920044,0.2
206848,32.82425089000001,686,705.84,301,101,0.0003,-0.0029039463295703173,0.604894757270813,1000,-0.7014864254742861,114.58953714370728,0.03857421875,205.00279235839844,0.005341541,0.2
208896,35.15971478,687,690.36,303,102,0.0003,-0.0018977871841343585,0.438140869140625,1010,-0.7016819043084979,188.76018625497818,0.02236328125,30.543519973754883,0.002923762,0.2
210944,36.83311285,687,684.46,306,103,0.0003,-0.000876487027562689,0.596456915140152,1020,-0.6593649052083492,115.22697930932046,0.047021484375,4.331879138946533,0.008807,0.2
212992,40.70627750999999,689,678.71,309,104,0.0003,-0.002074280795932282,0.48904919624328613,1030,-0.6438867703080178,81.62408940196038,0.0498046875,9.015228271484375,0.00466517,0.2
215040,43.1064111,690,667.25,311,105,0.0003,-0.00016985852053039708,0.6771758496761322,1040,-0.7155009966343642,109.55118093267083,0.03125,27.152284622192383,0.0049875146,0.2
217088,45.32244390999999,691,655.01,313,106,0.0003,-0.0008339966669154819,0.41285252571105957,1050,-0.7315096545964479,182.5367110311985,0.04443359375,184.08460998535156,0.0019597504,0.2
219136,47.972409770000006,692,646.63,316,107,0.0003,-0.002980375504557742,0.5035025477409363,1060,-0.741293303668499,164.81526487469674,0.079931640625,61.909507751464844,0.005226964,0.2
221184,49.218722789999994,693,631.05,318,108,0.0003,-0.0026555093078059143,0.6072873771190643,1070,-0.6915177995339036,150.50452769994735,0.03759765625,44.18973159790039,0.0043369923,0.2
223232,47.82978447999998,694,617.75,321,109,0.0003,-0.00440687163718394,0.5367074608802795,1080,-0.7219682116061449,143.62868521437048,0.06669921875,32.0173454284668,0.007264204,0.2
225280,49.474523999999995,695,607.7,323,110,0.0003,-0.0035928060358855875,0.48757678270339966,1090,-0.7157740991562604,174.06193057000638,0.065478515625,72.12794494628906,0.0033388701,0.2
227328,45.48643483000001,697,588.06,325,111,0.0003,-0.0035483915446093304,0.5032071173191071,1100,-0.6817019928246737,172.14699240028858,0.0314453125,54.25320053100586,0.005142251,0.2
229376,43.21433599,699,577.96,328,112,0.0003,-0.002300781456142431,0.4526124596595764,1110,-0.7156655767932534,238.64527736902238,0.034130859375,76.79847717285156,0.0066732354,0.2
231424,39.64899004,700,567.76,330,113,0.0003,-0.005705351578944829,0.5802481472492218,1120,-0.7370986986905337,277.1126052647829,0.0720703125,92.78143310546875,0.0050207484,0.2
233472,40.87155207000001,701,559.97,332,114,0.0003,-0.00445916603312071,0.6510698795318604,1130,-0.6927366897463798,237.20806057155133,0.042919921875,132.19131469726562,0.0036717819,0.2
235520,44.62698332,702,549.07,335,115,0.0003,-0.005694453027535929,0.6762293577194214,1140,-0.690112448297441,186.3686157912016,0.09599609375,24.471416473388672,0.009288542,0.2
237568,48.95649512,703,537.32,337,116,0.0003,-0.001514467653760221,0.5364015698432922,1150,-0.66944286134094,101.33278293311596,0.049462890625,5.057430744171143,0.0073675546,0.2
239616,48.21465148,703,532.95,340,117,0.0003,-0.001280976171256043,0.6005724966526031,1160,-0.6725684536620975,109.805498534441,0.046240234375,26.877832412719727,0.005114482,0.2
241664,49.73885482,704,534.09,343,118,0.0003,-0.0023218768714286853,0.6690026223659515,1170,-0.743081140331924,103.71964920908212,0.038818359375,296.0835266113281,0.007757825,0.2
243712,45.81143986,705,525.58,345,119,0.0003,-0.001064206176670268,0.6688627898693085,1180,-0.7604770205914975,133.19776322692633,0.03935546875,2.748703956604004,0.005382156,0.2
245760,43.60311197999999,705,516.8,348,120,0.0003,-0.004903537470090669,0.6569133400917053,1190,-0.7561324466019869,179.06604088544844,0.07109375,7.776072978973389,0.006610503,0.2
247808,41.09725462,706,498.57,350,121,0.0003,-0.002060989150777459,0.6069149971008301,1200,-0.7563235495239496,151.140576967597,0.067529296875,12.417868614196777,0.0049856864,0.2
249856,38.82161133,707,498.35,353,122,0.0003,-0.0014482063575997016,0.5438267588615417,1210,-0.7102715445682406,279.45723408460617,0.043603515625,52.467281341552734,0.0049177785,0.2
251904,34.36788293000001,707,495.27,355,123,0.0003,-0.0023466683609512985,0.6704818308353424,1220,-0.7196368366479874,131.92932147979735,0.04892578125,50.10073471069336,0.006345472,0.2
2048,-319.7125,1058,494.5,1,1,0.0003,-0.001830480592616368,0.5929465591907501,1230,-0.6497790798544884,188.18944690525532,0.027880859375,48.958946228027344,0.0034476328,0.2
4096,-320.21875,940,477.125,4,2,0.0003,-0.003334325994364917,0.5035305917263031,1240,-0.6599555006250739,180.745580971241,0.07822265625,88.48731994628906,0.0066490937,0.2
6144,-331.1125,840,494.0833333333333,7,3,0.0003,-0.0011519045052409637,0.7481281757354736,1250,-0.6802155988290906,94.51799613535404,0.0333984375,36.3449821472168,0.0037126483,0.2
8192,-339.103125,839,480.0,9,4,0.0003,-0.001762172484450275,0.8963210582733154,1260,-0.6604213889688253,69.57607930898666,0.062939453125,16.794809341430664,0.0047728904,0.2
10240,-336.34749999999997,839,493.05,12,5,0.0003,-0.003132673467916902,0.8045909553766251,1270,-0.7250849716365337,130.85785569548608,0.065869140625,77.24151611328125,0.004628392,0.2
12288,-347.79583333333335,815,494.2083333333333,15,6,0.0003,-0.0023185746016679333,0.9117990583181381,1280,-0.6980551773682236,46.37368747144937,0.061376953125,20.027441024780273,0.0044781123,0.2
14336,-344.80000000000007,811,499.82142857142856,17,7,0.0003,-0.002030283811473055,0.8306815922260284,1290,-0.6610365487635136,137.06046303510666,0.04326171875,6.6309614181518555,0.005283596,0.2
16384,-331.56969696969696,810,494.3636363636364,20,8,0.0003,-0.003170588485954795,0.9489326886832714,1300,-0.6750549200922251,42.37138746231794,0.049658203125,12.74150276184082,0.0056259744,0.2
18432,-336.2364864864865,820,489.4054054054054,22,9,0.0003,-0.0007545146087068133,0.9692054651677608,1310,-0.6766617432236671,36.83774761259556,0.06494140625,2.3036980628967285,0.006688107,0.2
20480,-330.29146341463417,825,489.8292682926829,24,10,0.0003,-0.0018129059346392751,0.9105013161897659,1320,-0.6839726448059082,97.30588975101709,0.051416015625,192.4280548095703,0.005019412,0.2
22528,-338.0,823,489.54347826086956,27,11,0.0003,-0.002094920894887764,0.9802509658038616,1330,-0.7020788468420506,30.350547294318677,0.10087890625,13.738378524780273,0.004424448,0.2
24576,-334.95,831,485.58,29,12,0.0003,-0.0024949615941295632,0.936324805021286,1340,-0.6728804908692837,100.79390285462141,0.0462890625,63.4522590637207,0.004674527,0.2
26624,-333.5018867924528,839,484.66037735849056,31,13,0.0003,-0.0017415757873095572,0.9333445504307747,1350,-0.7330090578645467,98.82550199329853,0.06796875,123.02806091308594,0.006331131,0.2
