time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
134,804,108544,-58.89912794000001,53,584.24,0.8114938735961914,0.2,3.164344072341919,-0.9099661983549595,48.87003975063563,520,0.00766935,0.0003,0.07822265625,-0.004895695526465715
137,801,110592,-58.34283864,54,594.72,0.7357988953590393,0.2,5.753684997558594,-1.036962326988578,44.22592429593205,530,0.009320106,0.0003,0.110107421875,-0.004951320511463564
141,796,112640,-55.527386729999996,55,610.44,0.6856875717639923,0.2,8.25528621673584,-0.868635930866003,74.03332016170025,540,0.0067783254,0.0003,0.092724609375,-0.003235680227226112
145,788,114688,-54.10095979,56,626.27,0.8119173943996429,0.2,9.065112113952637,-0.9712521143257618,46.46132273450494,550,0.0077914307,0.0003,0.085498046875,-0.0036135814400040543
148,785,116736,-49.75493264000001,57,643.42,0.8811369761824608,0.2,6.8086771965026855,-1.0134182697162033,31.46917703077197,560,0.01616918,0.0003,0.24736328125,-0.013888077727824567
151,782,118784,-46.64105166000001,58,652.14,0.4611814022064209,0.2,159.73190307617188,-0.927000642195344,170.4198621749878,570,0.00779397,0.0003,0.039892578125,-0.001428363136255939
155,778,120832,-43.58143899999999,59,667.97,0.741617888212204,0.2,396.3692321777344,-1.0481022913008928,87.78627563379705,580,0.01172865,0.0003,0.060986328125,-0.004528642621062317
158,776,122880,-39.32237594,60,682.56,0.6837824583053589,0.2,15.273492813110352,-0.8544516617432236,87.73659052476287,590,0.0040941588,0.0003,0.01845703125,-0.0006499612798506859
161,773,124928,-35.61559827999999,61,697.24,0.8250089287757874,0.2,1.7297179698944092,-1.0688654586672783,42.75314164049924,600,0.012479461,0.0003,0.116259765625,-0.003911748768587131
165,768,126976,-36.856146380000006,62,709.67,0.6013352274894714,0.2,53.77288818359375,-0.9749138534069062,129.73893390893937,610,0.010330224,0.0003,0.07373046875,-0.005315496518596774
169,762,129024,-34.52083529,63,718.58,0.6332850754261017,0.2,6.583439350128174,-1.0078667130321264,124.9923927307129,620,0.002203356,0.0003,0.012939453125,-0.002229763471405022
172,760,131072,-34.98580141,64,718.58,0.6616354584693909,0.2,3.2595114707946777,-0.9922286737710238,83.7330636817962,630,0.010878649,0.0003,0.09892578125,-0.0008454116181383142
174,761,133120,-32.35683353,65,721.26,0.7184025943279266,0.2,4.067497730255127,-0.9139144791290164,44.75890224725008,640,0.0045636124,0.0003,0.062353515625,-0.001810859577381052
177,762,135168,-27.710581939999997,66,732.23,0.7139628231525421,0.2,219.00344848632812,-0.9346805669367313,175.90801625847817,650,0.0075762416,0.0003,0.031640625,-0.0025629577452491504
179,762,137216,-23.51019926,67,746.11,0.7572994530200958,0.2,3.196763753890991,-0.9247871086001396,81.08007497042418,660,0.026661452,0.0003,0.088623046875,-0.006625334241107339
182,762,139264,-21.204962180000003,68,759.68,0.7527407258749008,0.2,16.363101959228516,-0.9427864521741867,85.30803243219853,670,0.004875151,0.0003,0.0376953125,-0.0015686543738411274
185,761,141312,-23.389344500000004,69,759.68,0.887064553797245,0.2,1.437920093536377,-0.8898013457655907,34.73574489504099,680,0.010319864,0.0003,0.088916015625,-0.0032367323510698043
188,762,143360,-18.742329679999997,70,757.48,0.8163626939058304,0.2,0.8777299523353577,-1.0347227416932583,32.8155111644417,690,0.011632472,0.0003,0.147119140625,-0.00537434025463881
190,764,145408,-15.86589305,71,750.81,0.5575750470161438,0.2,18.705726623535156,-0.8050201641395688,209.48075063228606,700,0.002127143,0.0003,0.012548828125,-0.0010766970310214675
193,763,147456,-17.784785720000002,72,739.75,0.6582276821136475,0.2,57.59423065185547,-0.9181612672284245,256.01291266679766,710,0.004536611,0.0003,0.033203125,-0.0014956679646275007
195,765,149504,-16.757103329999996,73,732.22,0.6800426244735718,0.2,41.88550567626953,-0.9147196160629392,135.4348805516958,720,0.0075539546,0.0003,0.059326171875,-0.0032496107971383024
198,764,151552,-17.30547694,74,725.77,0.73700150847435,0.2,52.85749816894531,-0.8658181514590979,171.15127974748611,730,0.0093703605,0.0003,0.057861328125,-0.003051099164804327
201,763,153600,-14.207003199999999,75,731.49,0.7037209570407867,0.2,132.29049682617188,-0.696438429504633,102.46810607016087,740,0.0027442856,0.0003,0.005517578125,-0.001305532092374051
204,760,155648,-14.478301929999997,76,731.49,0.6473890841007233,0.2,18.972930908203125,-0.9839300397783518,94.87588149085641,750,0.0024574683,0.0003,0.02744140625,-0.0015775134052091744
207,759,157696,-13.061799769999999,77,724.68,0.8319091200828552,0.2,3.1302318572998047,-0.9633386414498091,48.98291403390467,760,0.009168599,0.0003,0.087255859375,-0.00392013174132444
211,756,159744,-12.283544489999997,78,719.45,0.7174515128135681,0.2,232.94818115234375,-0.791165636666119,121.23241238892078,770,0.0049373363,0.0003,0.0302734375,-0.0013159658548829612
214,755,161792,-14.21839152,79,709.24,0.7778187245130539,0.2,42.28919219970703,-0.7825613694265485,50.05408933609724,780,0.0038735506,0.0003,0.040576171875,-0.0023338719714956825
217,752,163840,-14.697480320000004,80,709.24,0.6370576322078705,0.2,83.57516479492188,-0.9121160736307502,183.67867941111325,790,0.0062673185,0.0003,0.0736328125,-0.0024404240830335766
221,747,165888,-13.464687580000001,81,718.0,0.9064511880278587,0.2,1.8181020021438599,-0.9648218981921672,37.07786016538739,800,0.021445945,0.0003,0.109033203125,-0.005084290046215756
225,745,167936,-14.378901280000003,82,714.39,0.8939888328313828,0.2,1.8324118852615356,-0.8848205260932446,34.08002815842629,810,0.008907311,0.0003,0.143212890625,-0.0023233247935422695
227,745,169984,-11.774495360000001,83,723.68,0.6679472327232361,0.2,20.032453536987305,-0.8534199994057416,122.62781823575497,820,0.0070373416,0.0003,0.066796875,-0.0018678000320505816
231,744,172032,-13.851066770000003,84,723.32,0.8172546625137329,0.2,32.48105239868164,-0.956900087185204,55.777706782519815,830,0.004881853,0.0003,0.043017578125,-0.001712859050167026
233,744,174080,-13.290519969999998,85,711.98,0.7132601141929626,0.2,30.347463607788086,-0.8461234318092465,98.05114778354763,840,0.0027996628,0.0003,0.0140625,-0.0013802849596686428
237,741,176128,-12.1125397,86,717.99,0.7044292688369751,0.2,118.38337707519531,-0.9152622228488326,128.51538244187833,850,0.005646878,0.0003,0.066943359375,-0.0027210499523789623
240,739,178176,-13.818143960000002,87,721.52,0.7412970066070557,0.2,2.5276288986206055,-0.8638329297304154,49.86102834492922,860,0.007950575,0.0003,0.0953125,-0.0059156703035114335
243,739,180224,-11.821377409999998,88,716.84,0.9282443672418594,0.2,9.499075889587402,-0.933342320472002,41.49600000679493,870,0.014409462,0.0003,0.1146484375,-0.0031760755518916994
245,741,182272,-13.623496509999997,89,699.01,0.8031428456306458,0.2,89.64494323730469,-0.8548012183979153,57.511332688853145,880,0.015117482,0.0003,0.138037109375,-0.005829471827746601
248,740,184320,-14.924273899999998,90,694.5,0.7402318120002747,0.2,13.885184288024902,-0.8514724774286151,168.42965503335,890,0.0062176925,0.0003,0.02529296875,-0.002199839416061877
252,739,186368,-12.19028508,91,699.54,0.9067289084196091,0.2,21.00084114074707,-0.8070555489510298,48.731133822351694,900,0.009996881,0.0003,0.086181640625,-0.003287708827701863
256,735,188416,-12.847717509999997,92,704.24,0.7581114172935486,0.2,2.2351584434509277,-0.8131671659648418,82.82965925373136,910,0.010581396,0.0003,0.054638671875,-0.002105839037540136
259,734,190464,-14.202582969999998,93,709.25,0.7279546856880188,0.2,11.32017993927002,-0.8961955079808831,69.98793189488352,920,0.009156397,0.0003,0.085986328125,-0.0025621461907576306
261,735,192512,-17.30923282,94,698.56,0.8659251034259796,0.2,1.1902048587799072,-0.7844227731227875,41.821613436937334,930,0.023842989,0.0003,0.210205078125,-0.00738038846757263
265,733,194560,-16.28621283,95,701.39,0.8054325431585312,0.2,11.954136848449707,-0.7165667628869414,75.29174628630281,940,0.007935371,0.0003,0.086865234375,-0.0044591327663511034
267,735,196608,-16.897043290000003,96,699.31,0.805234357714653,0.2,2.91239333152771,-0.9173315923660994,60.893664048239586,950,0.003670773,0.0003,0.05224609375,-0.0014294651879026786
270,735,198656,-13.417055089999998,97,700.14,0.8805485963821411,0.2,21.271892547607422,-0.8859944650903344,74.82892398014664,960,0.005660339,0.0003,0.086572265625,-0.002575392463040771
272,735,200704,-12.127996229999999,98,695.19,0.8681288361549377,0.2,12.513144493103027,-0.790256162546575,95.57095741778612,970,0.0034242675,0.0003,0.03271484375,-0.0012676318212470506
276,733,202752,-10.681700569999999,99,704.06,0.8163944333791733,0.2,3.421384334564209,-0.8892302207648755,66.2610777579248,980,0.0060858866,0.0003,0.04287109375,-0.0006576359148311895
278,734,204800,-9.740156279999999,100,700.21,0.7571432590484619,0.2,207.26426696777344,-0.736905655823648,156.49486731886864,990,0.0050253416,0.0003,0.056494140625,-0.003043972271552775
282,733,206848,-9.37335633,101,694.63,0.7150186896324158,0.2,1.7997071743011475,-0.8719737850129604,86.74731186106801,1000,0.0066006444,0.0003,0.069873046875,-0.002290896522754338
