time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
161,120832,746,-31.24796681,838.36,59,0.055908203125,0.0003,580,28.678948890790345,0.74104243516922,-0.8766616448760033,0.0071661496,0.2,-0.002288386330474168,1.2915841341018677
167,122880,734,-29.443579009999997,853.33,60,0.056103515625,0.0003,590,64.65067942291498,0.6318953335285187,-0.8416637636721134,0.005190229,0.2,-0.0027435909134510437,4.397326469421387
171,124928,730,-29.15945689,858.45,61,0.037646484375,0.0003,600,27.16707093268633,0.7878237515687943,-0.8483113368973136,0.0050999876,0.2,-0.0016502521830261685,1.7884724140167236
175,126976,724,-26.02358751,871.26,62,0.057568359375,0.0003,610,55.306544948369265,0.7443283200263977,-0.825944391824305,0.0046670423,0.2,-0.0004607077848049812,37.868072509765625
179,129024,718,-26.255780059999996,875.36,63,0.0662109375,0.0003,620,66.85743288509548,0.37287408113479614,-0.8676781756803393,0.0036674226,0.2,-0.0014036745677003637,1.6720542907714844
182,131072,718,-24.133817650000005,881.16,64,0.050732421875,0.0003,630,85.74875241145492,0.47915172576904297,-0.8265818575397134,0.0059892177,0.2,-0.0017815668201365043,8.184784889221191
185,133120,716,-23.653468240000006,896.65,65,0.06328125,0.0003,640,32.75617361292243,0.8350117057561874,-0.8023645199835301,0.008064438,0.2,-0.004843331926531391,4.961118698120117
189,135168,712,-18.46824515,917.3,66,0.07119140625,0.0003,650,43.80501967221498,0.727635383605957,-0.8387485204264522,0.007660876,0.2,-0.00039653067506151274,7.853948593139648
192,137216,712,-16.25813468,929.05,67,0.042529296875,0.0003,660,39.28246126882732,0.7074706256389618,-0.8797399803996087,0.0056476323,0.2,-0.0025769807762117125,1.5784794092178345
196,139264,708,-17.119214430000003,931.69,68,0.108203125,0.0003,670,68.91472561508417,0.6968253254890442,-0.8760771276429296,0.009579338,0.2,-0.0032494515802682145,7.919727325439453
200,141312,706,-13.21270817,939.32,69,0.08701171875,0.0003,680,59.195386534184216,0.7056293189525604,-0.7901827108114958,0.009821675,0.2,-0.0030295068132545565,45.570499420166016
203,143360,703,-11.74916178,950.85,70,0.058935546875,0.0003,690,46.17732256054878,0.799609050154686,-0.858546993881464,0.006517084,0.2,-0.004006637325073825,5.259183406829834
207,145408,702,-10.167816919999996,953.89,71,0.0873046875,0.0003,700,12.197527358308434,0.9402526989579201,-0.839037466980517,0.007298863,0.2,-0.003538768993166741,115.34510040283203
211,147456,698,-8.929459600000001,960.14,72,0.028857421875,0.0003,710,55.29819107800722,0.6078580319881439,-0.7924620259553194,0.0033155603,0.2,0.0005571149886236526,2.598278045654297
214,149504,696,-6.356900500000002,968.2,73,0.053662109375,0.0003,720,31.896897967532276,0.7659426927566528,-0.8140249002724886,0.03968741,0.2,-0.007798467932298081,1.306221842765808
218,151552,695,-5.745999550000001,973.5,74,0.04248046875,0.0003,730,111.87522336244584,0.5622079372406006,-0.7491452591493726,0.011071762,0.2,-0.008691740694121108,25.610750198364258
221,153600,693,-4.438940109999999,969.98,75,0.077734375,0.0003,740,30.612879199534653,0.8909730687737465,-0.8401070736348629,0.0059031523,0.2,-0.00230583118609502,318.1432189941406
