time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance
193,141312,69,-20.43036135,730,859.77,0.088037109375,0.008806946,0.0003,46.00804502796382,680,3.201732635498047,-0.9043371889740228,0.2,-0.0031419827657373387,0.5484391152858734
196,143360,70,-18.90129133,729,871.15,0.084326171875,0.006477962,0.0003,45.61337344199419,690,1.5421932935714722,-0.8278546512126923,0.2,-0.0034011660478427074,0.41802769899368286
199,145408,71,-19.86741588,729,875.81,0.008349609375,0.0027938262,0.0003,114.81009202897549,700,58.35036087036133,-0.7959614112973213,0.2,-0.0009003497898447677,0.2510809302330017
202,147456,72,-16.82142205,726,883.76,0.0240234375,0.004873725,0.0003,152.5137311629951,710,186.9739990234375,-0.8558450110256672,0.2,-0.004563092174430494,0.26293617486953735
205,149504,73,-15.57609298,726,895.28,0.073876953125,0.008137604,0.0003,29.6753663610667,720,0.9422747492790222,-0.7808266796171666,0.2,-0.001690968380717095,0.807795912027359
209,151552,74,-14.766417029999998,722,901.54,0.07890625,0.009508338,0.0003,29.13025070056319,730,4.0913777351379395,-0.80146907530725,0.2,-0.003475435161817586,0.7364884316921234
213,153600,75,-11.53274181,718,907.33,0.038623046875,0.0047296314,0.0003,31.3339411187917,740,0.759757936000824,-0.8606208700686693,0.2,-0.00033449809707235544,0.703970342874527
218,155648,76,-6.821152420000001,713,922.25,0.062939453125,0.00675408,0.0003,69.20758814588189,750,2.7712767124176025,-0.7568029880523681,0.2,-0.002837486642965814,0.5848460495471954
221,157696,77,-5.302476180000001,712,933.05,0.0890625,0.0072427304,0.0003,104.70032395571471,760,6.5718512535095215,-0.7236938284710049,0.2,-0.002391795203948277,0.13140255212783813
226,159744,78,-3.096828210000001,706,942.15,0.059765625,0.0060893614,0.0003,85.1717795304954,770,7.697210788726807,-0.8226892249658704,0.2,-0.0011111331332358532,0.36419886350631714
229,161792,79,-2.820546350000001,706,946.25,0.085302734375,0.0063029737,0.0003,38.43264806773514,780,1.7722699642181396,-0.8432008881121874,0.2,-0.0026372115476988255,0.7142098844051361
233,163840,80,-0.7708471999999992,702,949.01,0.0734375,0.0067345914,0.0003,70.98366929255425,790,0.9188686013221741,-0.7971006834879517,0.2,-0.0017738880116667133,0.44312822818756104
236,165888,81,1.59185855,700,958.44,0.10048828125,0.0062611764,0.0003,33.939325304329394,800,1.4544426202774048,-0.848220213316381,0.2,-0.002031370000622701,0.6814262866973877
239,167936,82,2.1815436000000004,699,960.02,0.06865234375,0.0062206886,0.0003,38.18067925088108,810,2.835416793823242,-0.8347343979403377,0.2,-0.0010081399756018071,0.6455298364162445
243,169984,83,0.44581499000000036,699,958.52,0.12353515625,0.008214609,0.0003,45.241659461706874,820,2.354466438293457,-0.8740745987743139,0.2,-0.005640982749173418,0.6543017327785492
246,172032,84,-0.8916111000000012,696,953.38,0.06494140625,0.0029782027,0.0003,83.399777251482,830,37.18092346191406,-0.8273948274552823,0.2,-0.0007214787772682029,0.4614160656929016
251,174080,85,-0.7010273600000009,693,949.56,0.04716796875,0.006683701,0.0003,131.65443540439009,840,89.64643096923828,-0.7789230966940522,0.2,-0.005152188988722628,0.46048474311828613
253,176128,86,-1.6496771600000009,694,945.11,0.110400390625,0.008975805,0.0003,74.8523831911385,850,401.2599792480469,-0.8419747499749064,0.2,-0.0029972738011565525,0.5426590144634247
256,178176,87,-0.13859983000000092,694,942.9,0.065283203125,0.00561973,0.0003,99.0785038497299,860,11.27501392364502,-0.7700601788237691,0.2,-0.0008127880864776671,0.6274400949478149
260,180224,88,1.3403314999999991,693,941.3,0.033154296875,0.0022497778,0.0003,63.3139386665076,870,27.495662689208984,-0.7707166997715831,0.2,-0.0007689925936574582,0.43228936195373535
264,182272,89,1.6758965300000006,689,940.21,0.05439453125,0.0038021582,0.0003,66.98801386505366,880,95.26083374023438,-0.7834664141759277,0.2,-0.0026493705168832093,0.31521451473236084
266,184320,90,0.6781953500000006,690,936.3,0.078564453125,0.0061095194,0.0003,80.92731534987688,890,4.742031097412109,-0.7923853684216737,0.2,-0.0012965699139385833,0.22944772243499756
270,186368,91,4.272149520000001,688,931.28,0.063427734375,0.0043321755,0.0003,135.2453450024128,900,98.05039978027344,-0.8018539894372225,0.2,-0.003204747170821065,0.5665095150470734
274,188416,92,4.324289520000001,685,931.28,0.0283203125,0.0051393844,0.0003,118.96537074297666,910,26.948707580566406,-0.7366544200107455,0.2,-0.0007500564341171411,0.3498029112815857
277,190464,93,2.466126240000001,685,922.31,0.072509765625,0.006014459,0.0003,44.556957805156706,920,13.206975936889648,-0.8212242079898715,0.2,-0.0009819380502449349,0.4732159376144409
280,192512,94,0.9975327199999997,685,917.64,0.0583984375,0.007961774,0.0003,184.240785074234,930,55.7200813293457,-0.7971230212599039,0.2,-0.0021185539226280525,0.4338449239730835
284,194560,95,0.48913499999999954,682,916.79,0.04599609375,0.004775922,0.0003,115.32430585548282,940,15.089005470275879,-0.7857244623824954,0.2,-0.004279882414266467,0.47136586904525757
288,196608,96,0.17573791999999977,682,916.79,0.113037109375,0.009412804,0.0003,62.036833338811995,950,2.058377265930176,-0.7959789978340268,0.2,-0.0030618626424256945,0.47771596908569336
291,198656,97,1.9644831699999992,680,916.03,0.11669921875,0.010674636,0.0003,46.16489326134324,960,3.726532220840454,-0.8270502511411906,0.2,-0.00199118852178799,0.8091427981853485
296,200704,98,1.10077256,677,916.03,0.030029296875,0.0034819366,0.0003,59.72674980089069,970,4.15568208694458,-0.7796890525147319,0.2,-0.0009668981918366625,0.3730447292327881
298,202752,99,1.2564985099999995,678,911.92,0.145751953125,0.011399023,0.0003,27.1562842451036,980,0.6030345559120178,-0.8351031914353371,0.2,-0.0005917024158407002,0.6506755650043488
302,204800,100,1.5286094499999998,677,915.11,0.061962890625,0.008847633,0.0003,116.44727971665561,990,514.3640747070312,-0.8341575218364596,0.2,-0.0013584992586402223,0.5478600561618805
305,206848,101,0.1884917500000004,676,913.01,0.106298828125,0.008011258,0.0003,28.468935827165843,1000,1.5285340547561646,-0.751390241831541,0.2,-0.0035596993249782825,0.8379684090614319
308,208896,102,-1.5823788499999991,676,908.34,0.0603515625,0.006435924,0.0003,79.27860444560648,1010,0.9504098296165466,-0.8310392325744033,0.2,-0.002327858046919573,0.5145235657691956
311,210944,103,-1.6664000299999997,678,898.88,0.044921875,0.003657727,0.0003,140.0096345163882,1020,4.942342281341553,-0.7882980082184077,0.2,-0.00041287497915618585,0.5018118321895599
313,212992,104,-2.9251594499999998,679,895.5,0.012158203125,0.002679659,0.0003,158.31854911446572,1030,173.3058624267578,-0.7829838862642646,0.2,-0.0007145340750867035,0.5128159523010254
318,215040,105,-3.25304758,675,898.4,0.060791015625,0.008668615,0.0003,108.16848859339953,1040,50.93765640258789,-0.7937285348773002,0.2,-0.0028939202915353236,0.6590950191020966
320,217088,106,-5.0431307599999995,676,902.92,0.094189453125,0.0077557014,0.0003,48.45929614268243,1050,2.9979605674743652,-0.8161882033571601,0.2,-0.0004423182806931436,0.7668632417917252
323,219136,107,-3.800666079999999,676,900.56,0.076904296875,0.008056237,0.0003,65.90285440646112,1060,6.115333080291748,-0.8045297602191568,0.2,-0.0019319653161801397,0.7806647717952728
327,221184,108,-1.726296419999999,675,905.12,0.0740234375,0.0046574958,0.0003,81.66914533860981,1070,4.647380828857422,-0.7820540841668844,0.2,-0.0015738051493826787,0.6457695364952087
330,223232,109,-1.5960528599999984,675,905.15,0.05849609375,0.0050499775,0.0003,29.411495117470622,1080,1.9120601415634155,-0.7546226073056459,0.2,-0.002242064844176639,0.8351438045501709
333,225280,110,-0.37449106999999854,675,902.82,0.05244140625,0.0048986617,0.0003,133.8086659669876,1090,4.967984676361084,-0.7307908507063985,0.2,-0.003201860695480718,0.6214680373668671
337,227328,111,-1.02425851,674,902.82,0.05048828125,0.0034061633,0.0003,57.313752768561244,1100,4.2895097732543945,-0.7158648865297437,0.2,-0.0017616078177525197,0.5585685968399048
340,229376,112,-0.769496289999999,673,902.82,0.072412109375,0.0052618016,0.0003,48.741314977407455,1110,2.5154316425323486,-0.7699156494811177,0.2,-0.0007811620576831047,0.7197283208370209
344,231424,113,-0.8987049099999994,671,902.82,0.0798828125,0.0054022153,0.0003,31.051529667526484,1120,2.8206989765167236,-0.8317949037998915,0.2,-1.2473628521547652e-05,0.7965073883533478
347,233472,114,-2.422754199999998,671,900.84,0.0724609375,0.006160763,0.0003,37.5874667622149,1130,1.3969186544418335,-0.7687159396708012,0.2,-0.0005651836654578801,0.7568375170230865
350,235520,115,-0.4006374299999982,672,896.57,0.01962890625,0.002171128,0.0003,151.8895314283669,1140,4.899839878082275,-0.8003528544679284,0.2,-0.0008251385246694553,0.5389372706413269
354,237568,116,-1.0566439899999986,671,893.85,0.024365234375,0.0034583819,0.0003,156.32352000921964,1150,59.267642974853516,-0.7406762709841133,0.2,-0.0005776153462647926,0.48623889684677124
357,239616,117,-0.4350852199999987,670,893.85,0.0419921875,0.0022446085,0.0003,73.7019628399983,1160,286.0780334472656,-0.7858482727780938,0.2,0.001579231222422095,0.7188321352005005
360,241664,118,-0.6527170499999988,671,893.85,0.055322265625,0.006339275,0.0003,44.297031812742354,1170,1.5269170999526978,-0.7610113268718124,0.2,-0.002434291491226759,0.8278293013572693
363,243712,119,-2.6394324399999984,670,890.52,0.06376953125,0.0051158466,0.0003,36.23861056417227,1180,1.5982755422592163,-0.7267825083807111,0.2,-0.0016222211954300292,0.8284294158220291
366,245760,120,-4.919463389999999,669,889.16,0.0873046875,0.0051752366,0.0003,56.05806209035218,1190,6.861059665679932,-0.7401840152218938,0.2,-0.0020429976910236293,0.7562417089939117
369,247808,121,-6.39405088,669,885.27,0.0375,0.0037698583,0.0003,73.99854402597994,1200,28.60746192932129,-0.7443248584866524,0.2,-0.001154117758414941,0.7316793501377106
373,249856,122,-7.673229350000001,669,884.41,0.030419921875,0.0033314468,0.0003,65.54209323003889,1210,14.923301696777344,-0.7222321599721908,0.2,-0.0010818127069796902,0.8037681430578232
377,251904,123,-6.67515746,666,883.52,0.070263671875,0.008690257,0.0003,77.2270118445158,1220,1.2008270025253296,-0.7206821426749229,0.2,-0.001972807195124915,0.7716928720474243
1,2048,1,-483.0376886666666,1302,564.3333333333334,0.104443359375,0.008586115,0.0003,71.66726718023419,1230,3.463628053665161,-0.688029857724905,0.2,-0.002360836780280806,0.7133010625839233
5,4096,2,-496.5826339999999,794,665.0,0.031591796875,0.0019654157,0.0003,164.3884185642004,1240,70.1254653930664,-0.7245115656405687,0.2,8.416991367994342e-05,0.6521152555942535
8,6144,3,-490.89718162500003,722,671.75,0.0373046875,0.0064909738,0.0003,171.82714187204837,1250,272.89849853515625,-0.6893589854240417,0.2,-0.0037897032907494577,0.1251634955406189
11,8192,4,-479.47981390909086,714,695.4545454545455,0.019970703125,0.0028568753,0.0003,140.98340864479542,1260,7.981659412384033,-0.6990781668573618,0.2,-0.0006843862094683573,0.28749221563339233
14,10240,5,-479.5470092857143,700,692.4285714285714,0.02841796875,0.0035997722,0.0003,195.1880039870739,1270,9.089836120605469,-0.6898266719654202,0.2,-0.0019571089927922004,0.4926789402961731
18,12288,6,-486.0835094117647,669,712.4705882352941,0.04599609375,0.0042645587,0.0003,172.621331641078,1280,37.41608810424805,-0.7318142449483276,0.2,-0.0014214926981367172,0.5946274995803833
21,14336,7,-489.33955505263157,671,724.8947368421053,0.0330078125,0.00087384076,0.0003,140.33554637432098,1290,35.44527053833008,-0.7451106578111648,0.2,-0.0008431055895925966,0.741400957107544
23,16384,8,-487.6407583043478,689,707.3913043478261,0.05869140625,0.0046971557,0.0003,92.02154463231564,1300,5.605896949768066,-0.7583127992227674,0.2,-0.0007387894824205432,0.8364241868257523
26,18432,9,-485.67704052,702,716.84,0.0505859375,0.0057478566,0.0003,191.2599694252014,1310,74.15106964111328,-0.6896644622087479,0.2,-0.002146987237938447,0.6179640293121338
