rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
885.42,726,107,301,219136,-24.980396759999998,71.29926079958678,1060,5.188462734222412,0.007893365,-0.8195698076859117,-0.0018592067306599346,0.6893845796585083,0.2,0.054296875,0.0003
887.29,726,108,304,221184,-26.828836730000003,26.30934405401349,1070,3.8844330310821533,0.0051750275,-0.8600956743583084,-0.0017572636177646927,0.910229280591011,0.2,0.05107421875,0.0003
887.29,722,109,308,223232,-26.239328850000007,41.228929875791074,1080,22.773591995239258,0.0040810527,-0.8246871156617999,-0.0009414874846697785,0.7336995899677277,0.2,0.048828125,0.0003
893.53,721,110,312,225280,-23.985297450000004,22.04037052690983,1090,2.311070680618286,0.0057948716,-0.8591515110805631,0.001218940231774468,0.7801466733217239,0.2,0.072705078125,0.0003
896.98,719,111,315,227328,-22.73434103,20.81867639347911,1100,4.00737190246582,0.0057319086,-0.8636820938438177,-0.0026698674686485902,0.7348791062831879,0.2,0.060400390625,0.0003
892.22,717,112,319,229376,-22.72484747,20.18829333037138,1110,1.829275131225586,0.0062046926,-0.8097199266776443,-0.0031060313012858387,0.7237933278083801,0.2,0.093798828125,0.0003
899.32,713,113,324,231424,-20.297420329999998,45.87544121965766,1120,227.0377655029297,0.0021453258,-0.8342578435316682,-0.001724298430781346,0.5869046747684479,0.2,0.037451171875,0.0003
907.61,710,114,328,233472,-18.24817001,17.709444350004198,1130,2.9644017219543457,0.004882553,-0.8256183542311192,0.0005497293401276693,0.6319465041160583,0.2,0.06640625,0.0003
909.92,707,115,332,235520,-19.904971250000003,16.570649418234826,1140,1.2109311819076538,0.0053666905,-0.8380851365625859,0.0003435493767028674,0.5062400102615356,0.2,0.056494140625,0.0003
899.58,708,116,335,237568,-21.79700316,17.206707797944546,1150,3.3632638454437256,0.004930818,-0.8544357450678944,-0.0038452115211839557,0.6502422988414764,0.2,0.059423828125,0.0003
906.37,708,117,338,239616,-19.18794672,49.294111117720604,1160,7.075928211212158,0.008094884,-0.8299789849668742,-0.00022412069665733725,0.8781769573688507,0.2,0.037890625,0.0003
903.66,708,118,340,241664,-22.1133441,16.816412488371135,1170,2.874326705932617,0.004016757,-0.8087002258747816,-0.002511826856061816,0.9630951657891273,0.2,0.046728515625,0.0003
895.71,707,119,344,243712,-21.333003360000003,30.267031495273113,1180,9.066232681274414,0.009355398,-0.8609250634908676,-0.002604661786608631,0.9370894059538841,0.2,0.084814453125,0.0003
