time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
182272,89,539.13,54.646042630000004,764,238,0.7041321396827698,880,0.2,-0.004466522006259766,10.184700965881348,0.0003,-0.7771288450807333,97.87845923900605,0.005457093,0.04990234375
184320,90,537.92,52.582832380000006,764,241,0.5100228190422058,890,0.2,-0.004435243046464166,54.74959945678711,0.0003,-0.7595204323530197,204.89777198284864,0.0056216894,0.04970703125
186368,91,527.93,57.08580575,765,243,0.5832041800022125,900,0.2,-0.0005075273184047546,9.029278755187988,0.0003,-0.79955670889467,161.4114940494299,0.005679806,0.060693359375
188416,92,526.41,53.38718882999999,765,246,0.3683931231498718,910,0.2,-0.005518536087765824,122.1364517211914,0.0003,-0.844528773613274,211.3878007620573,0.00815558,0.06455078125
190464,93,527.04,56.01768289,766,248,0.6250633597373962,920,0.2,-0.007115998904919252,44.26405715942383,0.0003,-0.8550394307821989,124.93387795686722,0.00901419,0.119091796875
192512,94,525.6,57.52283786999998,766,251,0.7136838138103485,930,0.2,-0.0014980389722040854,8.946743965148926,0.0003,-0.8148609809577465,131.32500242590905,0.0067386786,0.037841796875
194560,95,521.69,57.70074504999999,766,253,0.6346061825752258,940,0.2,-0.0038452469249023124,50.52631378173828,0.0003,-0.6665334651246667,261.9715189993382,0.007477493,0.0533203125
196608,96,520.38,61.205122589999995,766,256,0.5953712165355682,950,0.2,-0.0039927076333697185,112.5413589477539,0.0003,-0.8112569071352482,215.47839004397392,0.0041657025,0.0533203125
198656,97,522.22,58.65473211999999,767,258,0.5880113244056702,960,0.2,-0.0032123469369253143,44.199737548828125,0.0003,-0.6600913594476878,110.16058665812015,0.0068489704,0.064404296875
200704,98,528.35,59.471148240000005,765,262,0.5580480098724365,970,0.2,-0.0007223074684588937,7.5977325439453125,0.0003,-0.7862877581268549,137.40247796773912,0.0061649797,0.038427734375
202752,99,534.72,61.88758247,766,264,0.9253497198224068,980,0.2,-0.00032672333618393167,237.77301025390625,0.0003,-0.7917291952297092,41.52782812714577,0.011027585,0.102490234375
204800,100,533.16,62.649092759999995,767,266,0.7031463980674744,990,0.2,-0.0014686731574329315,251.9875030517578,0.0003,-0.7491371870040894,129.3997277677059,0.006004298,0.0447265625
