time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
26624,13,683.6578947368421,628,42,-611.1828947368422,8.688713073730469,97.30647608712316,1350,-0.8637019841000437,-0.001393267607636517,0.5148934423923492,0.2,0.0003,0.071044921875,0.0045394395
28672,14,695.475,621,46,-609.94625,5.671105861663818,28.524596044421195,1360,-0.8496701616793871,-0.0018747894660918973,0.9268270879983902,0.2,0.0003,0.096337890625,0.0072430605
30720,15,703.5581395348837,630,48,-606.0348837209301,12.839451789855957,98.45496995002031,1370,-0.7157381389290094,-0.001953354933357332,0.8177565783262253,0.2,0.0003,0.021728515625,0.0021269843
32768,16,696.531914893617,631,51,-595.6234042553191,48.629451751708984,149.4845790617168,1380,-0.7536758409813047,-0.0004792737185198348,0.6725979745388031,0.2,0.0003,0.01376953125,0.000934349
34816,17,685.42,635,54,-587.806,5.317348957061768,94.23618796765804,1390,-0.6930336808785796,-0.0030165420968842225,0.8616827428340912,0.2,0.0003,0.088037109375,0.0095169805
36864,18,682.3018867924528,638,57,-578.0103773584906,85.67428588867188,82.79791777953506,1400,-0.83306550886482,-0.0026951758463837905,0.7988342493772507,0.2,0.0003,0.085009765625,0.0087466035
38912,19,681.5178571428571,643,60,-583.6401785714286,118.00389862060547,93.9254891216755,1410,-0.9101393442600966,-0.0023466913247830235,0.8818804696202278,0.2,0.0003,0.091845703125,0.010921182
40960,20,689.542372881356,639,64,-573.7220338983051,8.763888359069824,42.897747214138505,1420,-0.7754672953858972,-0.0035354298022866716,0.8510374277830124,0.2,0.0003,0.104443359375,0.0089014545
43008,21,691.5901639344262,644,66,-570.4196721311475,129.55227661132812,151.1206198245287,1430,-0.6519528275355697,-0.0005087105848360807,0.7946682572364807,0.2,0.0003,0.013427734375,0.002045386
45056,22,689.8923076923077,653,68,-570.4446153846153,31.761850357055664,27.366748235747217,1440,-0.9265318674966693,-0.006070206590084126,0.9521795772016048,0.2,0.0003,0.162890625,0.015230209
47104,23,682.5072463768116,660,71,-559.8485507246377,3.114672899246216,34.57444238960743,1450,-0.8873169019818306,-0.001577355366316624,0.8669851422309875,0.2,0.0003,0.07744140625,0.004946585
