rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range
38.36529231,143360,70,782,183,580.1,-0.8401391163468361,0.070458984375,0.0066741807,-0.0045962011667143084,690,164.97077203989028,0.7088161706924438,19.327238082885742,0.0003,0.2
39.16530576,145408,71,782,185,575.06,-0.7803329911082983,0.058544921875,0.005757751,-0.005239164044905919,700,153.69466215372086,0.6972759068012238,272.2806091308594,0.0003,0.2
39.15055269,147456,72,781,188,576.11,-0.8384862612932921,0.036083984375,0.002814861,-0.0019765417539019834,710,102.8277982994914,0.6194173395633698,11.064032554626465,0.0003,0.2
41.447996999999994,149504,73,780,191,584.74,-0.8210803812369705,0.06279296875,0.005351428,-0.0027152681883308104,720,109.31244359016418,0.621003270149231,24.696001052856445,0.0003,0.2
38.82267874000001,151552,74,779,194,588.63,-0.7825039779767394,0.04423828125,0.0049450975,-0.0023998454307729844,730,95.86214972138404,0.6730271279811859,8.997031211853027,0.0003,0.2
42.76221515,153600,75,777,197,594.5,-0.8216973746195435,0.058837890625,0.0050010313,-0.0030357446674315726,740,102.03951234817505,0.7125411033630371,90.08438873291016,0.0003,0.2
41.03089873999999,155648,76,774,200,600.08,-0.8297674624249339,0.066650390625,0.010725731,-0.0026540396058408076,750,117.98796265125274,0.6552514433860779,55.0617790222168,0.0003,0.2
40.94939196999999,157696,77,772,204,606.3,-0.8274680022150278,0.102685546875,0.008154842,-0.004571857537666801,760,110.77764889597893,0.655243843793869,165.4545135498047,0.0003,0.2
39.980301759999996,159744,78,772,206,605.31,-0.7541668632999062,0.0677734375,0.0032805055,-0.0042930408206302674,770,110.71655710339546,0.5885091722011566,50.9639892578125,0.0003,0.2
35.4743334,161792,79,773,209,602.21,-0.8785327274352313,0.068505859375,0.004069399,-0.0028517991966509728,780,116.54578320086003,0.47199904918670654,35.06278610229492,0.0003,0.2
35.52523243,163840,80,773,211,601.45,-0.7960002191364766,0.043310546875,0.006371795,-0.005805125176993897,790,202.11445706486703,0.3855283856391907,25.721242904663086,0.0003,0.2
35.8291815,165888,81,772,214,606.27,-0.7714612022042274,0.04638671875,0.00533107,-0.005450098770052136,800,189.34757959842682,0.47952401638031006,181.8810577392578,0.0003,0.2
33.12859325,167936,82,770,217,603.02,-0.8080122992396355,0.065185546875,0.007091744,-0.0015716245128714946,810,159.4102137595415,0.4232149124145508,197.53309631347656,0.0003,0.2
33.93454965,169984,83,768,221,615.46,-0.7637642996385694,0.05439453125,0.0068284264,-0.0019248290329414886,820,84.9214746773243,0.7181485295295715,16.033220291137695,0.0003,0.2
38.41400697,172032,84,766,224,619.65,-0.7853691782802343,0.036767578125,0.006534747,-0.0009725744901516009,830,74.06153089106083,0.568090558052063,20.032264709472656,0.0003,0.2
39.0622076,174080,85,764,227,628.48,-0.8127979384735227,0.075244140625,0.005262736,-0.0016447540016088168,840,101.98424026370049,0.5808475911617279,37.35282897949219,0.0003,0.2
38.249182090000005,176128,86,764,230,628.23,-0.8684984760358929,0.072314453125,0.0067634825,-0.0035053765335760546,850,64.23285047411919,0.8226873427629471,5.077117443084717,0.0003,0.2
41.120325109999996,178176,87,765,232,639.28,-0.814189963042736,0.067236328125,0.006696311,-0.006300403907516738,860,149.5166957527399,0.7048183977603912,51.513343811035156,0.0003,0.2
39.58514538,180224,88,761,236,645.39,-0.7918403742834925,0.07392578125,0.00683383,-0.001742931397893699,870,109.07551063895225,0.7029352486133575,11.476235389709473,0.0003,0.2
35.724966259999995,182272,89,761,239,647.08,-0.7745292158797383,0.06083984375,0.0067461366,-0.0060110391867056025,880,87.11707563698292,0.7226995229721069,8.55710506439209,0.0003,0.2
30.68652859,184320,90,760,242,651.83,-0.8541657095775008,0.05751953125,0.0043003913,-0.002325675781321479,890,77.2949077129364,0.8682529330253601,35.396568298339844,0.0003,0.2
35.17961041000001,186368,91,757,246,657.74,-0.8794553123414517,0.025830078125,0.003953203,-0.0014999998780695022,900,198.1762434899807,0.4407912492752075,163.53038024902344,0.0003,0.2
33.59893949,188416,92,758,248,665.09,-0.7875238219276071,0.0337890625,0.004379422,-0.0014792054702411407,910,94.97169223725795,0.5433237552642822,48.519752502441406,0.0003,0.2
34.2348864,190464,93,756,251,669.56,-0.7588005647063255,0.063916015625,0.007952912,-0.0034216954387375153,920,146.95052761435508,0.683556854724884,44.08367919921875,0.0003,0.2
31.222745399999997,192512,94,755,254,675.25,-0.804804322682321,0.046923828125,0.0048537753,-0.002621380171331111,930,52.10539933294058,0.7896352410316467,31.293025970458984,0.0003,0.2
28.74506787,194560,95,753,258,687.58,-0.7998351002112031,0.07646484375,0.00977668,-0.0013752809521974997,940,129.54837444275617,0.7846466153860092,47.4056510925293,0.0003,0.2
29.011867189999997,196608,96,753,260,694.06,-0.7868698615580797,0.0359375,0.004021899,-0.0016666555871779564,950,62.38194740563631,0.8422244787216187,14.86808967590332,0.0003,0.2
32.49016229,198656,97,751,264,695.78,-0.771492350846529,0.07822265625,0.0050951205,-0.0026212784643576013,960,53.12645334750414,0.7149383723735809,2.4008593559265137,0.0003,0.2
32.092765189999994,200704,98,749,267,699.41,-0.8625204572454095,0.08798828125,0.013800668,-0.002861354756896617,970,89.76695787906647,0.6145886778831482,6.1531662940979,0.0003,0.2
32.716674139999995,202752,99,749,270,703.2,-0.7825231542810798,0.04833984375,0.0054509332,-0.0027510785999766084,980,158.15720238238572,0.5159782767295837,110.34100341796875,0.0003,0.2
28.919331049999993,204800,100,749,273,703.57,-0.7651096617802977,0.043505859375,0.0039061722,-0.0016416647311416454,990,148.85918981134893,0.5990196466445923,33.75906753540039,0.0003,0.2
30.421331379999998,206848,101,748,276,712.8,-0.8357059208676219,0.07197265625,0.0073552043,-0.0035893327119993048,1000,150.0981464654207,0.7048673629760742,72.9893569946289,0.0003,0.2
32.28213685,208896,102,747,279,716.47,-0.8366842409595847,0.033154296875,0.0030147983,-0.001764443190768361,1010,108.7407147705555,0.6057172119617462,37.67452621459961,0.0003,0.2
35.42991461,210944,103,748,281,713.58,-0.7782576408237218,0.05322265625,0.0063300584,-0.0013181503425585106,1020,105.50846353173256,0.5562264025211334,22.494117736816406,0.0003,0.2
38.04828727,212992,104,747,285,716.88,-0.7394431078806519,0.07177734375,0.0054827817,-0.002247868126141839,1030,141.86028303205967,0.653130978345871,58.40353775024414,0.0003,0.2
35.04533236,215040,105,748,287,710.69,-0.866656600125134,0.1466796875,0.012635449,-0.0037862716206291227,1040,77.4747893281281,0.7722540348768234,23.281517028808594,0.0003,0.2
35.156766590000004,217088,106,748,290,709.86,-0.7953917266800999,0.030029296875,0.00379244,-0.0029467366912285797,1050,197.69887779355048,0.6658661365509033,34.846195220947266,0.0003,0.2
33.44786654000001,219136,107,748,292,708.76,-0.7442143538966774,0.02802734375,0.0036154618,-0.0012680944862950127,1060,138.67113950252534,0.6063790321350098,12.809499740600586,0.0003,0.2
30.989341460000002,221184,108,748,295,713.83,-0.7886267052963376,0.040380859375,0.012283536,-0.005659151451254729,1070,177.2177271604538,0.5185803472995758,98.83390808105469,0.0003,0.2
30.09465823,223232,109,747,298,717.97,-0.8117287138476967,0.061572265625,0.0051732613,0.0005445707476610551,1080,38.372828607261184,0.7871382236480713,2.8110742568969727,0.0003,0.2
28.980040969999994,225280,110,747,301,722.53,-0.6767269801348448,0.026220703125,0.0024886648,-0.0009613394191546831,1090,112.74890086948872,0.5264648497104645,41.85136795043945,0.0003,0.2
30.107432319999994,227328,111,747,304,716.69,-0.8586102018132806,0.0732421875,0.00725168,-0.007135674504024791,1100,57.29413072615862,0.8129885941743851,26.689102172851562,0.0003,0.2
27.155000769999994,229376,112,748,306,716.26,-0.6784885393455624,0.067724609375,0.01166741,-0.005068416963331402,1110,110.38199789822102,0.5960418283939362,56.87388229370117,0.0003,0.2
28.886572419999997,231424,113,748,309,719.96,-0.7535027552396059,0.071044921875,0.0078344345,-0.004077238259560545,1120,128.35648675486445,0.6730292439460754,28.242603302001953,0.0003,0.2
32.93595620999999,233472,114,748,311,717.9,-0.6980864757671952,0.061767578125,0.0075488514,-0.0026178849060670474,1130,66.16934424415231,0.6912622153759003,11.832001686096191,0.0003,0.2
35.252929339999994,235520,115,748,314,717.93,-0.7418583177030087,0.052587890625,0.008104399,-0.003836125400994206,1140,108.63513164520263,0.5315813422203064,22.57570457458496,0.0003,0.2
34.52669403,237568,116,748,317,715.22,-0.799811146594584,0.072265625,0.007509297,-0.003498175323329633,1150,104.99266602694988,0.6797826588153839,18.212020874023438,0.0003,0.2
32.07445103,239616,117,747,320,714.16,-0.7256565073505044,0.04814453125,0.009019932,-0.0042981966471415944,1160,140.62199522554874,0.5274138450622559,5.876792907714844,0.0003,0.2
33.39345747,241664,118,747,323,704.27,-0.7308131568133831,0.0267578125,0.0034124518,-0.004256125647225417,1170,241.4308080434799,0.3299819231033325,52.77814483642578,0.0003,0.2
31.999364649999997,243712,119,748,325,699.01,-0.7849833339452743,0.08515625,0.0066303853,-0.0031654548663937023,1180,210.14346333146096,0.37664783000946045,48.44198226928711,0.0003,0.2
35.73329245,245760,120,747,328,702.17,-0.8296664707362652,0.086474609375,0.007989181,-0.009233982449950417,1190,148.6541636288166,0.49205857515335083,146.7303466796875,0.0003,0.2
34.679396360000005,247808,121,748,331,697.25,-0.7748465895652771,0.107763671875,0.015677439,-0.006079889605462086,1200,87.03861287981272,0.2561523914337158,9.368330955505371,0.0003,0.2
34.02360399,249856,122,748,333,701.07,-0.8081821378320455,0.030517578125,0.0038894303,-0.0037319893126550596,1210,147.94408708065748,0.5553647577762604,95.02837371826172,0.0003,0.2
32.30461068,251904,123,748,336,702.98,-0.7571497775614262,0.0970703125,0.012878034,-0.005300408353286911,1220,108.24436814934015,0.5615014135837555,21.548019409179688,0.0003,0.2
-372.27540700000003,2048,1,980,2,525.0,-0.7457598853856325,0.12548828125,0.013785463,-0.0032086383216665126,1230,25.210449934378268,0.8066047132015228,2.0051169395446777,0.0003,0.2
-429.32206085714284,4096,2,815,5,574.8571428571429,-0.7100877501070499,0.023779296875,0.0042152125,-0.0007400198999675922,1240,175.7996685564518,0.601943165063858,29.50177764892578,0.0003,0.2
-443.6107614444444,6144,3,828,7,654.8888888888889,-0.7225131331011653,0.021533203125,0.004857722,-0.0011821179985417984,1250,214.14550771713257,0.5174451768398285,68.3310775756836,0.0003,0.2
