time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,train/policy_gradient_loss
318,165888,759.55,521,81,15.708803859999998,800,38.703580466844144,0.6237953901290894,0.108642578125,0.2,-1.8904628619551658,0.009867336,0.0003,0.8317868709564209,2.6211047172546387,0.0006031269185768906
321,167936,746.09,522,82,15.04099167,810,76.09480735436082,0.6237261295318604,0.0857421875,0.2,-1.888750435039401,0.009546883,0.0003,0.5368141531944275,58.22611618041992,-0.00151407654848299
325,169984,749.39,521,83,16.56863331,820,70.28119239211082,0.6233692169189453,0.044873046875,0.2,-1.8894916415214538,0.0032591503,0.0003,0.7844358533620834,2.157554864883423,-0.0021759061419288628
329,172032,745.47,522,84,17.121605969999997,830,34.42147513665259,0.6175423860549927,0.092822265625,0.2,-1.8758869841694832,0.006629237,0.0003,0.8036668002605438,2.4894192218780518,0.0006257864435610827
332,174080,743.23,523,85,17.100114819999998,840,76.95784470885992,0.6150230169296265,0.04912109375,0.2,-1.8636224016547203,0.004337427,0.0003,0.7195321023464203,15.9923677444458,-0.0006673517498711589
337,176128,742.14,522,86,18.205216880000002,850,76.19086289852858,0.6052106618881226,0.096044921875,0.2,-1.8452501364052296,0.007752548,0.0003,0.7632904052734375,3.5795793533325195,-0.0036939638572221155
341,178176,745.28,522,87,19.579205619999996,860,54.75768398120999,0.6042215824127197,0.07880859375,0.2,-1.8267478883266448,0.0062846094,0.0003,0.8129422813653946,46.58168411254883,-0.0012242873563081957
345,180224,743.93,521,88,20.08640263,870,65.21229925900698,0.598132848739624,0.08076171875,0.2,-1.8165721248835325,0.0061694323,0.0003,0.6885139644145966,53.41386795043945,-0.0019854407903039826
349,182272,748.1,521,89,19.418795460000002,880,102.45630937106907,0.6010591983795166,0.089501953125,0.2,-1.8058396082371473,0.007043867,0.0003,0.74284827709198,2.8351454734802246,-0.0037826713174581527
353,184320,751.29,522,90,19.096620359999996,890,86.93966748192906,0.592728853225708,0.0923828125,0.2,-1.8015415113419295,0.005494047,0.0003,0.7380090355873108,8.459664344787598,-0.003709971711941762
357,186368,756.51,520,91,18.27067992,900,64.53492467794567,0.586834192276001,0.0923828125,0.2,-1.7743538066744804,0.0085893385,0.0003,0.7823155373334885,2.2979540824890137,0.0012401241536281304
361,188416,752.3,521,92,19.12646497,910,46.37370181381702,0.5815924406051636,0.10732421875,0.2,-1.7575056415051222,0.009876123,0.0003,0.8520509451627731,293.9896240234375,0.0011697684349201154
364,190464,740.44,522,93,14.37761623,920,52.951167568564415,0.5806220769882202,0.05947265625,0.2,-1.7466627173125744,0.006432903,0.0003,0.8178756535053253,7.204338073730469,-0.0018206681190349628
367,192512,742.71,523,94,12.766446070000004,930,101.77289220243692,0.5832228660583496,0.044189453125,0.2,-1.7486219234764575,0.004798521,0.0003,0.7127945423126221,13.2117919921875,-0.003301972481858684
370,194560,746.65,524,95,10.722823300000002,940,77.94098050072789,0.5826123952865601,0.080810546875,0.2,-1.7526726417243481,0.005333201,0.0003,0.8501913249492645,3.566014289855957,-0.005045595753472298
374,196608,745.68,524,96,9.068036000000001,950,40.49535614140332,0.5822639465332031,0.071630859375,0.2,-1.7533875398337841,0.0035495604,0.0003,0.8994802311062813,28.023548126220703,-0.0015374959977634717
377,198656,755.29,525,97,8.94837713,960,87.98344733715058,0.5798234343528748,0.060009765625,0.2,-1.7464903112500907,0.007655938,0.0003,0.83626689016819,6.9080963134765625,-0.001744017547025578
381,200704,759.24,526,98,11.464704390000001,970,118.09442535042763,0.5788498520851135,0.08037109375,0.2,-1.7403488226234913,0.0053467583,0.0003,0.7282164990901947,38.99943923950195,-0.0047773914666322526
385,202752,760.64,525,99,10.992136180000003,980,110.71420990526676,0.5742316842079163,0.06201171875,0.2,-1.7332922130823136,0.007161199,0.0003,0.6009107530117035,12.596807479858398,-0.001185228106623981
389,204800,750.79,525,100,11.056482300000003,990,71.69882376492023,0.5732598304748535,0.052294921875,0.2,-1.7222184166312218,0.0063555464,0.0003,0.7034140229225159,5.953723430633545,-0.001893163624481531
392,206848,757.03,526,101,9.014843610000003,1000,142.07188125550746,0.5654391050338745,0.125634765625,0.2,-1.7089776296168566,0.015904324,0.0003,0.6682504117488861,254.0459442138672,-0.0007095907800248824
396,208896,757.03,526,102,9.181239000000003,1010,25.57606371194124,0.563613772392273,0.121240234375,0.2,-1.6908982027322055,0.007959997,0.0003,0.8742819130420685,2.34372878074646,0.0019278095256595406
401,210944,749.36,526,103,5.191252550000001,1020,31.769016272015868,0.5639727115631104,0.089794921875,0.2,-1.6892091151326896,0.004727724,0.0003,0.8307834416627884,0.966327965259552,-0.0009477984756813384
405,212992,753.42,525,104,5.11071157,1030,115.35372333824634,0.56477952003479,0.0314453125,0.2,-1.6890037320554256,0.0055972813,0.0003,0.7064683437347412,8.998421669006348,-0.004109882666671183
407,215040,741.76,527,105,7.271641970000003,1040,66.10674175396562,0.5573253631591797,0.06435546875,0.2,-1.6783863242715598,0.0042058364,0.0003,0.7481178939342499,14.564650535583496,-0.0007721319503616542
411,217088,744.34,527,106,4.366248089999997,1050,166.60815049260856,0.5570536255836487,0.0654296875,0.2,-1.6637043699622154,0.009155389,0.0003,0.6201308965682983,44.072906494140625,-0.005049392327055102
415,219136,741.74,527,107,6.94362915,1060,99.79321030527353,0.553874135017395,0.066845703125,0.2,-1.6560079999268056,0.007204157,0.0003,0.719487339258194,39.72904968261719,-0.00459447582543362
418,221184,734.72,528,108,5.292002760000002,1070,77.13191303312779,0.5475631952285767,0.076318359375,0.2,-1.6381033066660167,0.007934232,0.0003,0.8588693886995316,33.91055679321289,-0.0024233159885625353
424,223232,729.08,526,109,4.93220623,1080,104.41144403889776,0.5480325222015381,0.094140625,0.2,-1.6300258692353964,0.0050257007,0.0003,0.6736662685871124,19.654165267944336,-0.003518287111364771
428,225280,722.04,525,110,4.1278893299999995,1090,58.39455919712782,0.5461554527282715,0.085986328125,0.2,-1.628372185304761,0.007481875,0.0003,0.8696753233671188,4.895428657531738,-0.001746219261258375
432,227328,717.36,525,111,2.918781490000001,1100,149.59609393030405,0.5472139120101929,0.076123046875,0.2,-1.6277977172285318,0.0069618416,0.0003,0.7434484362602234,5.023802280426025,-0.0034486226337321567
435,229376,731.83,526,112,8.75168622,1110,129.70939254462718,0.5472246408462524,0.0720703125,0.2,-1.6296658650040627,0.0074615856,0.0003,0.779726654291153,103.75140380859375,-0.0037202218503807672
439,231424,732.92,527,113,7.52369366,1120,93.4176151484251,0.5427237153053284,0.091552734375,0.2,-1.6226109843701124,0.011108235,0.0003,0.7460051476955414,6.070501327514648,-0.0014013892723596655
442,233472,732.92,527,114,7.957659849999999,1130,40.75359309837222,0.5450780391693115,0.136962890625,0.2,-1.6185425374656917,0.008702042,0.0003,0.8064789772033691,2.0093061923980713,0.0003268409833253827
448,235520,729.79,525,115,5.202783410000002,1140,37.93948156386614,0.5417925119400024,0.09765625,0.2,-1.6202901903539897,0.009932995,0.0003,0.8413539379835129,1.846331000328064,0.0024911006330512464
451,237568,729.09,525,116,3.7241037800000005,1150,75.11722818762064,0.5434366464614868,0.063525390625,0.2,-1.614150695130229,0.0049991496,0.0003,0.8594984710216522,33.19394302368164,-0.0034635091542440932
456,239616,729.09,524,117,3.3366057700000002,1160,108.28588129580021,0.5437403321266174,0.08603515625,0.2,-1.61932750120759,0.007202403,0.0003,0.5746753215789795,93.44122314453125,-0.002120254052715609
460,241664,730.07,524,118,0.4939962800000014,1170,39.97794783934951,0.5370216369628906,0.1013671875,0.2,-1.6090093735605477,0.0117249815,0.0003,0.8154871314764023,0.6165380477905273,-0.0014703609347634483
464,243712,720.32,524,119,2.770227379999999,1180,102.88450039327145,0.5374506711959839,0.04072265625,0.2,-1.594419899582863,0.004303511,0.0003,0.8555260896682739,6.242650985717773,-0.00048593214887659997
