time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction
28672,14,40,-425.8468409512195,687.7073170731708,708,0.006926038,0.0003,-0.7556458428502083,24.739269256591797,115.77530468851327,1360,-0.0006558443063113372,0.88843684643507,0.2,0.025439453125
30720,15,43,-433.1547002325581,702.2325581395348,708,0.0046083042,0.0003,-0.7526908736675978,41.077491760253906,145.54421891570092,1370,-0.0016173836440430023,0.6790407299995422,0.2,0.03212890625
32768,16,45,-435.8602500212766,693.5531914893617,716,0.008935466,0.0003,-0.7264823548495769,3.086235284805298,30.488761399686336,1380,-0.004786672115733382,0.9472669363021851,0.2,0.141943359375
34816,17,49,-432.35987651020406,695.6938775510204,703,0.004806766,0.0003,-0.7453442301601172,53.22806930541992,178.12131796181203,1390,-0.0028772061552444937,0.7743528336286545,0.2,0.058740234375
36864,18,52,-430.40354132692306,703.8846153846154,701,0.005962915,0.0003,-0.7448026102036238,44.67750930786133,62.42464119791985,1400,0.0004358499340014532,0.9245117381215096,0.2,0.069970703125
38912,19,55,-432.4454156607143,686.25,706,0.004365677,0.0003,-0.7399318393319845,1.9535441398620605,67.30148945599794,1410,-0.0033547343060490674,0.9335505217313766,0.2,0.11640625
40960,20,57,-423.42743328333324,671.9666666666667,711,0.004885871,0.0003,-0.7503476176410914,25.7910099029541,116.22038626670837,1420,-0.0033274829562287777,0.8532941341400146,0.2,0.03681640625
43008,21,59,-420.94438277777766,669.984126984127,717,0.0072525614,0.0003,-0.7216336078941822,43.56565475463867,117.24514729976654,1430,-0.0030977088899817318,0.9011762216687202,0.2,0.063427734375
45056,22,62,-428.1347396268656,668.7611940298508,720,0.0072165504,0.0003,-0.7431654706597328,28.97812271118164,72.18478947728872,1440,-0.0012885869924502912,0.9268788248300552,0.2,0.05537109375
47104,23,65,-427.2437487042253,661.9718309859155,724,0.0042297607,0.0003,-0.8064250396564603,411.4878234863281,158.57385003268718,1450,-0.0016671408571710344,0.7919287532567978,0.2,0.042529296875
