rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/loss,train/policy_gradient_loss
-6.343409210000002,717,163840,80,770.24,228,0.0003,0.03720703125,0.2,790,0.651496022939682,-0.7957899617031217,231.3099496304989,0.004242544,53.3460578918457,-0.0015159447768382961
-6.655432510000004,717,165888,81,773.81,231,0.0003,0.03837890625,0.2,800,0.7879767715930939,-0.7721420181915164,112.48460606485605,0.0029919816,28.098573684692383,-0.0008867805445333943
-5.805032810000003,717,167936,82,775.06,234,0.0003,0.067138671875,0.2,810,0.8896245136857033,-0.9114842100068927,43.33253453336656,0.0069534685,3.3127448558807373,-0.0007541470637079329
-2.8305771000000037,718,169984,83,772.85,236,0.0003,0.05068359375,0.2,820,0.7117723226547241,-0.8583575116470457,81.56471230573952,0.00516002,26.167741775512695,-0.0009500353058683686
0.24286567999999698,716,172032,84,781.6,240,0.0003,0.07216796875,0.2,830,0.6087953150272369,-0.8709364579990506,97.20347329825162,0.013355888,7.253079414367676,-0.0013786642168270192
-2.299156600000003,716,174080,85,775.89,242,0.0003,0.090283203125,0.2,840,0.6797911822795868,-0.9056795485317707,59.03865215331316,0.008489581,8.031259536743164,-0.0012180763456854037
0.8438759899999979,715,176128,86,781.76,246,0.0003,0.0587890625,0.2,850,0.5246303081512451,-0.8927146062254906,146.33911911174656,0.004657515,20.446393966674805,-0.001083340620243689
1.3872409699999977,713,178176,87,781.59,249,0.0003,0.029638671875,0.2,860,0.6637902855873108,-0.7249574873596429,104.29130655527115,0.004056706,10.554569244384766,-0.0022957770750508645
-4.753080350000002,715,180224,88,771.35,251,0.0003,0.054248046875,0.2,870,0.6661576628684998,-0.8600589219480753,111.2801962595433,0.0061121485,2.81369948387146,0.00011033047339878977
-3.8100512099999997,714,182272,89,772.37,255,0.0003,0.02890625,0.2,880,0.7464266121387482,-0.9192982114851475,130.59295265078543,0.003058887,25.10871696472168,-0.001051107790408423
-7.197796859999999,714,184320,90,771.1,257,0.0003,0.035302734375,0.2,890,0.8395036906003952,-0.8637397792190313,77.57177257314325,0.003764788,4.107266902923584,-0.0013401819458522368
-9.237626759999998,713,186368,91,767.04,261,0.0003,0.039306640625,0.2,900,0.8634026944637299,-0.8798136383295059,80.40266144871711,0.00533589,35.34437561035156,-0.0020526076514215674
-8.59358221,714,188416,92,754.92,263,0.0003,0.04365234375,0.2,910,0.7507386654615402,-0.9176740212365985,99.99844494760036,0.0052840207,16.662351608276367,-0.0038695738156093286
-6.95311729,714,190464,93,746.91,266,0.0003,0.028759765625,0.2,920,0.6045856773853302,-0.797454053722322,223.95824095606804,0.004560219,87.35140991210938,-0.0006941141131392214
-9.712447480000002,714,192512,94,738.45,269,0.0003,0.050927734375,0.2,930,0.7080499827861786,-0.7283753588795662,178.90877011716367,0.0064845,32.26307678222656,-0.003491942049731733
-9.491738499999999,713,194560,95,733.81,272,0.0003,0.112255859375,0.2,940,0.7296910881996155,-0.8562678093090653,109.30396732911467,0.013151886,8.220879554748535,-0.0012759157049003988
-9.770863929999999,711,196608,96,730.65,276,0.0003,0.088720703125,0.2,950,0.7838260680437088,-0.7593599561601877,74.17220498472452,0.008851385,2.043412923812866,-0.0027484122714668048
-8.994794859999999,710,198656,97,730.65,279,0.0003,0.046875,0.2,960,0.7953848540782928,-0.9100246613845229,68.46287059783936,0.007104314,106.81694030761719,-0.002676793999125948
-6.8673139700000005,710,200704,98,723.99,282,0.0003,0.118603515625,0.2,970,0.8879478722810745,-0.888295435719192,38.88623580038548,0.0077221487,2.8724026679992676,-0.004421228775754571
-5.569497989999999,709,202752,99,725.03,285,0.0003,0.09365234375,0.2,980,0.8049663305282593,-0.8786622220650315,111.901039904356,0.008058074,54.062255859375,-0.005606934555544285
-5.500692229999999,708,204800,100,723.39,288,0.0003,0.0361328125,0.2,990,0.6694754362106323,-0.7617781998589634,143.3280256986618,0.004491559,12.05027961730957,-0.0022829339985037224
-2.8716245299999974,705,206848,101,730.49,293,0.0003,0.107666015625,0.2,1000,0.7606599032878876,-0.8681051475927234,79.22823646627367,0.00878521,16.94341468811035,-0.001213556176662678
-3.0753328099999964,705,208896,102,738.56,296,0.0003,0.1462890625,0.2,1010,0.7402453124523163,-0.9888228800147771,42.82599415890873,0.009063576,5.019992351531982,-0.0016032753788749687
-0.9527963299999951,705,210944,103,725.2,298,0.0003,0.14775390625,0.2,1020,0.6696227788925171,-0.886440341360867,83.50420085638761,0.026780006,7.616586685180664,-0.007025995064759627
0.9479329300000019,705,212992,104,721.97,302,0.0003,0.01513671875,0.2,1030,0.6495999097824097,-0.7541716422885656,161.7094151556492,0.0033788797,76.4393081665039,-0.0015732841216959058
4.38665237,705,215040,105,710.78,304,0.0003,0.073095703125,0.2,1040,0.6932955384254456,-0.87639583311975,86.89807332158088,0.007921046,6.222755432128906,-0.003602582168969093
7.729255410000002,705,217088,106,715.64,307,0.0003,0.0884765625,0.2,1050,0.4874802827835083,-0.7903674075379967,149.805977165699,0.008873308,81.26594543457031,-0.0017656777607044205
4.447881679999999,703,219136,107,695.56,311,0.0003,0.05537109375,0.2,1060,0.7710524201393127,-0.8593835711479187,92.19794070869685,0.0070504267,5.040797233581543,-0.0010771954352094327
3.42575866,702,221184,108,689.97,314,0.0003,0.071826171875,0.2,1070,0.6597816646099091,-0.901322839409113,151.0791500657797,0.0077300393,15.443866729736328,-0.00014820292126387357
3.27331679,700,223232,109,689.97,318,0.0003,0.106396484375,0.2,1080,0.8241906464099884,-0.9297032935544849,52.55049260184169,0.010711108,1.970547080039978,-0.0010919941269094124
2.6455240300000016,700,225280,110,691.92,321,0.0003,0.100537109375,0.2,1090,0.7642740458250046,-0.8480510514229536,43.21927772425115,0.008815762,2.9601500034332275,-0.0002814500217937166
-1.7643595299999988,701,227328,111,694.79,324,0.0003,0.060107421875,0.2,1100,0.5729561448097229,-0.8396828509867191,101.85714943706989,0.0059378035,181.03976440429688,-0.002641658994980389
-2.2160671499999993,700,229376,112,695.73,327,0.0003,0.10634765625,0.2,1110,0.6219204068183899,-0.9633223805576563,122.35191242992877,0.011484259,9.375067710876465,-0.0013559465121943503
-0.5001937099999999,700,231424,113,705.66,330,0.0003,0.048291015625,0.2,1120,0.655592292547226,-0.8107892740517855,109.27532953768969,0.006616381,22.988107681274414,-0.00043629647043417206
0.75109914,699,233472,114,711.93,333,0.0003,0.07001953125,0.2,1130,0.6800993978977203,-0.8353041481226683,117.18189330995082,0.0060781557,8.659059524536133,-0.0033314117823465494
1.6527780600000002,697,235520,115,722.25,337,0.0003,0.090185546875,0.2,1140,0.8620779812335968,-0.8924613779410719,37.223835428059104,0.006697613,3.262115478515625,-0.0011363181765773334
1.4568073200000007,696,237568,116,717.19,341,0.0003,0.113330078125,0.2,1150,0.8219224065542221,-0.9173280632123351,43.722696006298065,0.009601695,1.6941337585449219,-0.004480824073107214
1.1154669300000015,696,239616,117,717.34,344,0.0003,0.08251953125,0.2,1160,0.7479794919490814,-0.8630321223288775,61.53514992594719,0.007010536,14.812581062316895,-0.00340320302566397
-3.5639380199999984,696,241664,118,713.85,347,0.0003,0.087890625,0.2,1170,0.6891635358333588,-0.8212479809299111,83.89185661673545,0.009463144,4.944733619689941,-0.0010061068129289196
-3.9203752999999977,693,243712,119,718.63,351,0.0003,0.03740234375,0.2,1180,0.7246896624565125,-0.8724553909152746,95.64601916894317,0.004299826,19.96306610107422,-0.0011879260178830008
-5.581739429999998,691,245760,120,721.92,355,0.0003,0.0462890625,0.2,1190,0.9176995232701302,-0.8852051351219415,20.90851083248854,0.0072407345,2.9019815921783447,0.00044986842112848535
-5.346038879999996,691,247808,121,727.24,358,0.0003,0.0298828125,0.2,1200,0.8597948104143143,-0.7245322775095702,39.866397242248055,0.0046989718,9.40631103515625,-0.0007919137824501377
-1.1463444899999977,689,249856,122,728.02,362,0.0003,0.027783203125,0.2,1210,0.7439473867416382,-0.8146937835961581,93.53585066199302,0.003668652,4.561450958251953,0.0007252919727761764
-1.7376293999999992,688,251904,123,729.81,365,0.0003,0.025927734375,0.2,1220,0.5602269172668457,-0.6719933737069368,190.36598001718522,0.00614501,68.07842254638672,-0.0008545307791791856
-858.3617644999999,619,2048,1,1000.0,3,0.0003,0.056640625,0.2,1230,0.7703313529491425,-0.8326205728575587,62.81930797845125,0.006655332,21.09096908569336,-0.0008718811070139055
-776.5229619999999,619,4096,2,1000.0,6,0.0003,0.082177734375,0.2,1240,0.8574828654527664,-0.9527429712936282,59.22093792259693,0.010720531,4.455348014831543,-0.0020823106307943815
-660.2548524285714,669,6144,3,779.1428571428571,9,0.0003,0.086376953125,0.2,1250,0.6948168873786926,-0.9048204973340035,47.58066673204303,0.011895677,6.929121017456055,0.000702931493287906
-643.5717649,687,8192,4,787.5,11,0.0003,0.032470703125,0.2,1260,0.5796836018562317,-0.865713182836771,127.66140736937523,0.005804058,13.898493766784668,-0.00017223284085048362
-599.6805232307693,663,10240,5,759.2307692307693,15,0.0003,0.046923828125,0.2,1270,0.7317869663238525,-0.8202949469909072,104.33157435059547,0.004292861,50.86964416503906,-0.002980349853532971
-615.3817028,654,12288,6,791.3333333333334,18,0.0003,0.023388671875,0.2,1280,0.5234832167625427,-0.8160971140488982,153.22901597619057,0.004561907,35.433956146240234,-0.0005491239309776575
-611.0667762777778,650,14336,7,780.5555555555555,22,0.0003,0.030419921875,0.2,1290,0.8186402022838593,-0.8106278842315078,62.483831596374515,0.0027381938,16.15323829650879,-0.0007897104260337073
-626.8716657,619,16384,8,802.5,26,0.0003,0.036181640625,0.2,1300,0.7683333456516266,-0.7916594084352255,113.55961111485958,0.003859333,32.87912368774414,-0.0009869722147413996
-637.5629546956521,635,18432,9,790.9130434782609,29,0.0003,0.1087890625,0.2,1310,0.9076845869421959,-0.9066798849031329,33.27999824956059,0.007951045,5.211671352386475,-0.0027774052832683083
-629.19258856,630,20480,10,807.64,32,0.0003,0.082373046875,0.2,1320,0.5243216454982758,-0.8760195001959801,86.86689413562416,0.008741091,45.54198455810547,-0.001676711768959649
-613.8581099629629,633,22528,11,805.7407407407408,35,0.0003,0.051318359375,0.2,1330,0.8584514558315277,-0.8519314082339406,51.585144244134426,0.004725762,4.237300395965576,-0.0016199958074139432
-611.5765472333333,635,24576,12,795.1,38,0.0003,0.0376953125,0.2,1340,0.8039878010749817,-0.8021258058026433,88.83666148632764,0.0032205528,9.008708953857422,-0.001993266601130017
-608.250098735294,644,26624,13,767.5882352941177,41,0.0003,0.088134765625,0.2,1350,0.8885476440191269,-0.8566628871485591,34.47204826325178,0.006978149,5.902663230895996,0.00010236003727186471
-597.4341129473684,650,28672,14,745.0263157894736,44,0.0003,0.04794921875,0.2,1360,0.5759713351726532,-0.8358327073976397,88.0279763713479,0.004229323,52.489173889160156,-0.00041866669489536433
-591.7781338048782,649,30720,15,738.5365853658536,47,0.0003,0.024755859375,0.2,1370,0.5769505798816681,-0.7913544036448001,148.83164510726928,0.0035227414,59.44748306274414,-0.0007888543677836424
-571.4050491818183,658,32768,16,725.2272727272727,49,0.0003,0.048583984375,0.2,1380,0.7906868755817413,-0.888410116173327,91.22566591948271,0.005966762,48.29026794433594,-0.0013150764723832253
-573.9407547659575,655,34816,17,737.1914893617021,53,0.0003,0.02099609375,0.2,1390,0.7134163081645966,-0.7702444909140468,160.95326174795628,0.0035534916,181.65235900878906,-0.0008943876149714924
-574.6262165800001,660,36864,18,732.54,55,0.0003,0.104541015625,0.2,1400,0.876007653772831,-0.787502896413207,97.5977206081152,0.013243077,13.793388366699219,-0.003714339302678127
-571.8863705660378,657,38912,19,725.8867924528302,59,0.0003,0.04765625,0.2,1410,0.7312558889389038,-0.8524612156674266,117.15316886156798,0.007383242,24.142738342285156,-0.0017436433716284227
-562.1611355892858,649,40960,20,717.1607142857143,63,0.0003,0.072119140625,0.2,1420,0.7674266546964645,-0.8634472209960222,99.25723645091057,0.0057109096,26.304771423339844,-0.003003418989828788
-555.1405746101696,649,43008,21,726.6949152542373,66,0.0003,0.12451171875,0.2,1430,0.8598663955926895,-0.8769154861569405,136.72751827836038,0.0072011915,42.76007843017578,-0.003878334118780913
-551.3434445806453,654,45056,22,722.741935483871,68,0.0003,0.062109375,0.2,1440,0.8530762046575546,-0.7943929307162761,107.77872104048728,0.0051943613,44.9656867980957,-0.002556049834674923
-539.8170617878787,651,47104,23,713.1363636363636,72,0.0003,0.043310546875,0.2,1450,0.8274905830621719,-0.7557727206498385,108.29517316818237,0.0032395814,54.92178726196289,0.00025834872503764926
