time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss
64,870,131072,65.55310722,150,534.05,0.0022448457,-0.0003020628842932638,0.2,0.0003,0.025927734375,83.83567710518837,-0.7110468914732337,630,0.5278392434120178,11.601462364196777
65,866,133120,66.55944862,153,532.46,0.007203718,-0.002552956168074161,0.2,0.0003,0.068798828125,116.02758619189262,-0.7850635582581162,640,0.6337149739265442,17.7453670501709
66,866,135168,72.8344512,156,528.39,0.0092865545,-0.0024682898190803828,0.2,0.0003,0.10966796875,64.26366944611073,-0.757866882160306,650,0.8149401247501373,7.150331497192383
67,865,137216,75.69724359,158,528.15,0.010346232,-0.0034590829236549325,0.2,0.0003,0.074169921875,120.84226819574833,-0.7791350835934281,660,0.6817745566368103,6.6754937171936035
68,866,139264,74.26474776,160,519.25,0.005992065,-0.002206542906787945,0.2,0.0003,0.03828125,103.40153137445449,-0.7424767876043916,670,0.7345885634422302,6.202271461486816
69,867,141312,78.20601946,162,501.06,0.00496212,-0.005514324390242109,0.2,0.0003,0.056201171875,110.7325250506401,-0.7202605485916138,680,0.5794186294078827,9.798487663269043
70,868,143360,78.37183215,165,493.29,0.0039662616,-0.001953997795499163,0.2,0.0003,0.034130859375,100.50191300660371,-0.7322273816913366,690,0.646690160036087,21.492931365966797
71,869,145408,80.20874570000002,167,488.62,0.01801918,-0.011382698304259975,0.2,0.0003,0.103173828125,104.5840995311737,-0.774083117954433,700,0.6727280616760254,11.413080215454102
72,870,147456,76.54105856,169,487.75,0.0033666356,-0.0031772012407600414,0.2,0.0003,0.019287109375,227.7121060937643,-0.6445215648040176,710,0.26344162225723267,7.542872428894043
73,870,149504,76.84988904,171,487.21,0.013441028,-0.004762680023850408,0.2,0.0003,0.121875,313.19497998803854,-0.7295111561194062,720,0.11203336715698242,372.6086120605469
74,872,151552,81.8220831,173,482.0,0.0049218545,-0.00035125384747516366,0.2,0.0003,0.02197265625,121.41047518253326,-0.6961572397500276,730,0.5228324830532074,20.326438903808594
75,873,153600,79.22774006,175,470.27,0.0045733834,-0.0026202550121524836,0.2,0.0003,0.052978515625,187.23212270736695,-0.7442204626277089,740,0.4398695230484009,224.16964721679688
76,875,155648,80.33390955,177,458.73,0.0049306205,-0.0019077005417784676,0.2,0.0003,0.034130859375,234.6855083823204,-0.7291038913652301,750,0.2649669051170349,31.685710906982422
77,876,157696,77.35934727,179,449.11,0.0045667076,-0.00485863996000262,0.2,0.0003,0.05419921875,200.82543387413025,-0.7269965762272477,760,0.4532175064086914,18.53400230407715
78,878,159744,74.70080953,181,442.44,0.006482104,-0.0042687376098911045,0.2,0.0003,0.053955078125,157.59653819203376,-0.7566156446933746,770,0.537559300661087,10.241456031799316
79,880,161792,75.37654813,183,436.11,0.0045853164,-0.001805184101249324,0.2,0.0003,0.064697265625,169.91273239552976,-0.6132834158837795,780,0.8079869151115417,98.09934997558594
80,882,163840,67.89696183,185,426.22,0.0067096883,-0.005097985416068695,0.2,0.0003,0.038623046875,303.3744851946831,-0.6852880680933595,790,0.6133382320404053,334.1354675292969
81,883,165888,70.70472813999999,187,429.47,0.004165522,-0.004878019558236702,0.2,0.0003,0.032470703125,238.2902315378189,-0.7265255264937878,800,0.7164417207241058,157.66575622558594
82,885,167936,69.98237627,189,423.22,0.011889271,-0.008255898518837058,0.2,0.0003,0.097265625,129.8420827716589,-0.6871252056211233,810,0.8934381082653999,8.816018104553223
83,886,169984,70.08757806,191,416.7,0.0030576054,-0.002200656534841983,0.2,0.0003,0.05458984375,138.85323670208453,-0.7434976046904922,820,0.46100056171417236,9.380301475524902
84,887,172032,68.04779536000001,193,409.68,0.005356513,-0.0012417340476531535,0.2,0.0003,0.053515625,186.92257444858552,-0.5916845773346722,830,0.7610072791576385,338.41455078125
85,889,174080,64.83669261999998,195,394.71,0.0037151396,-0.004039682860457106,0.2,0.0003,0.027392578125,130.23811706900597,-0.6682033834978938,840,0.6328262686729431,10.8258695602417
86,889,176128,64.53822024,197,389.71,0.004270399,-0.0036594741672161036,0.2,0.0003,0.060693359375,341.24469021558764,-0.6734004428610205,850,0.39788103103637695,55.813385009765625
87,890,178176,62.82980571,200,387.43,0.0072935033,-0.004657003574538976,0.2,0.0003,0.0630859375,101.65501500964164,-0.6372420269995928,860,0.7303354740142822,8.554677963256836
88,891,180224,60.449563530000006,202,385.57,0.0022053462,-0.0017779441484890412,0.2,0.0003,0.03203125,150.2471287369728,-0.6161837881430984,870,0.6520629227161407,29.445812225341797
89,891,182272,59.93321736,204,389.46,0.00724815,-0.0014968597737606616,0.2,0.0003,0.04404296875,225.74625515937805,-0.6187762715853751,880,0.7388940155506134,17.205854415893555
90,891,184320,60.97972011000001,206,388.8,0.0032567368,-0.0012809252832084895,0.2,0.0003,0.06376953125,83.58349953144788,-0.68185291942209,890,0.7801171690225601,136.9057159423828
91,891,186368,67.84409281,209,387.71,0.008184694,-0.004432786689721979,0.2,0.0003,0.082421875,126.22133755981922,-0.6506997797638178,900,0.8003953993320465,405.5069274902344
92,892,188416,62.8109173,211,381.38,0.0038223742,-0.0025922898021235596,0.2,0.0003,0.04130859375,181.72320783138275,-0.5986690233461559,910,0.6997486650943756,51.05187225341797
93,893,190464,60.106416249999995,213,380.12,0.0027711922,-0.0010976248206134187,0.2,0.0003,0.02900390625,226.6507237583399,-0.698964786529541,920,0.6264416575431824,56.31366729736328
94,892,192512,57.902734849999995,215,386.91,0.0064367093,-0.003162702925328631,0.2,0.0003,0.043310546875,165.3700558900833,-0.6661488873884082,930,0.7360224425792694,36.678916931152344
95,892,194560,58.78096270000002,217,387.85,0.0053354725,-0.0025317663508758414,0.2,0.0003,0.0474609375,203.83814282417296,-0.5772447118535637,940,0.7304812669754028,93.09790802001953
96,893,196608,58.74241307000001,219,387.73,0.006523945,-0.009401223235181532,0.2,0.0003,0.05771484375,233.87156590223313,-0.6643894884735346,950,0.5212472379207611,25.947742462158203
97,894,198656,61.467565029999996,222,383.6,0.0064014536,-0.001487467914193985,0.2,0.0003,0.057373046875,177.63837490677832,-0.6963281117379665,960,0.5171580910682678,283.0365295410156
98,895,200704,55.98669015,224,380.57,0.00639027,-0.003572574055579025,0.2,0.0003,0.0599609375,186.35485568642616,-0.6694505838677287,970,0.7823402881622314,56.61709213256836
99,896,202752,58.914612469999994,226,382.88,0.00918269,-0.010318141061725327,0.2,0.0003,0.05908203125,249.25894874334335,-0.7444384369999171,980,0.7185329496860504,148.75808715820312
100,897,204800,56.92366688999999,228,377.0,0.008408025,-0.0020641402967157773,0.2,0.0003,0.050048828125,271.20840311050415,-0.618198792822659,990,0.6230697631835938,45.52796936035156
101,899,206848,48.695327199999994,230,369.29,0.006125831,-0.0036645093088736756,0.2,0.0003,0.062548828125,200.25634469985962,-0.6589064534753561,1000,0.7271911203861237,64.29838562011719
102,900,208896,45.80448423000001,231,366.01,0.0055483645,-0.0021333594788302433,0.2,0.0003,0.052783203125,294.6994183063507,-0.7403986323624849,1010,0.750146821141243,90.1446533203125
103,902,210944,44.8159975,233,367.65,0.005614437,-0.0033862996664538515,0.2,0.0003,0.044091796875,223.73893252015114,-0.6576870519667863,1020,0.7709142416715622,34.83271408081055
104,902,212992,44.80177887000001,236,372.11,0.0050230417,-0.002091479543742025,0.2,0.0003,0.061572265625,247.08640024662017,-0.6468331741169095,1030,0.7251679003238678,71.932861328125
105,903,215040,47.658125389999995,238,371.03,0.005469328,-0.004464664726401679,0.2,0.0003,0.088916015625,167.7689412176609,-0.5699377137236297,1040,0.6043780446052551,67.09158325195312
106,904,217088,45.742483420000006,239,368.06,0.007683987,-0.003343365274486132,0.2,0.0003,0.095947265625,177.68814556598664,-0.6245118288323284,1050,0.6630600988864899,486.5241394042969
107,905,219136,45.45234000000001,241,366.64,0.0038319258,-0.0030669395433505996,0.2,0.0003,0.041552734375,267.09625830054284,-0.6819855261594057,1060,0.6272064745426178,13.472630500793457
108,906,221184,39.41457034,243,355.11,0.012556007,-0.002190606419753749,0.2,0.0003,0.0525390625,116.50573081076145,-0.6772814702242613,1070,0.5620228350162506,5.761125087738037
109,907,223232,36.68834836999999,245,349.36,0.0040978994,-0.001662957687949529,0.2,0.0003,0.020068359375,293.5647221446037,-0.6314349271357059,1080,0.5909987986087799,47.957088470458984
110,908,225280,39.06006441,247,348.28,0.0057822736,-0.004883959487779066,0.2,0.0003,0.062158203125,173.8693607211113,-0.619801112730056,1090,0.8212770372629166,31.83187484741211
111,909,227328,40.13238603,249,341.25,0.0038188086,-0.0017699996882583947,0.2,0.0003,0.044921875,193.9685275018215,-0.6345143454149366,1100,0.6315694749355316,16.47475242614746
112,910,229376,39.491669830000006,251,337.11,0.0066467663,-0.003407343927756301,0.2,0.0003,0.04453125,181.89092928469182,-0.6636506874114275,1110,0.8011000156402588,66.46537780761719
113,912,231424,38.72096857,253,338.55,0.0033915234,-0.0029124641478119884,0.2,0.0003,0.018505859375,293.5779443025589,-0.6722516285255551,1120,0.43006837368011475,205.9557647705078
114,912,233472,41.52267374,255,341.62,0.0047620665,-0.002709811515524052,0.2,0.0003,0.042236328125,187.85047566890717,-0.5673173078335821,1130,0.7641056329011917,90.4434814453125
115,913,235520,43.63468359,257,339.66,0.0029970077,-0.0007823235569958342,0.2,0.0003,0.027587890625,166.87539414167404,-0.5179118738509715,1140,0.3419644832611084,70.71574401855469
116,914,237568,41.00787759999999,259,335.72,0.009409584,-0.002191372292145388,0.2,0.0003,0.06962890625,276.706241106987,-0.6511056585237384,1150,0.646070808172226,209.9564208984375
