time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates
124928,180,2.3223074400000008,690,61,846.9,0.026904296875,-0.8009720949456096,0.2,83.97778385281563,6.319677829742432,-0.0007075719651766122,0.42326003313064575,0.0035247244,0.0003,600
126976,183,5.336668669999999,691,62,852.14,0.0384765625,-0.7870634660124779,0.2,55.48027842342854,8.294339179992676,-0.0005148808846570319,0.6962741017341614,0.0048437975,0.0003,610
129024,186,8.864113949999997,692,63,844.76,0.048486328125,-0.743881625123322,0.2,71.84803124144673,26.772817611694336,-0.0015957347510266117,0.5978852212429047,0.004851206,0.0003,620
131072,189,14.05362293,691,64,853.67,0.094287109375,-0.8022015204653143,0.2,110.99464113786817,7.914192199707031,-0.004123095422255574,0.476733922958374,0.0057545733,0.0003,630
133120,192,14.79309474,690,65,842.32,0.167138671875,-0.7771664517000317,0.2,111.32884478867054,14.495573997497559,-0.0045263189040269936,0.6527335941791534,0.011991039,0.0003,640
135168,195,15.5299743,691,66,836.76,0.020263671875,-0.84746183026582,0.2,96.43742180168628,18.528949737548828,-0.0033190771704539658,0.2137385606765747,0.0043805027,0.0003,650
137216,199,18.88321648,689,67,841.04,0.094189453125,-0.7296445207670331,0.2,149.4982352375984,18.172643661499023,-0.0035989752952445995,0.22299355268478394,0.008696161,0.0003,660
139264,201,21.592842809999997,689,68,845.18,0.07470703125,-0.8226938899606466,0.2,63.63816050812602,10.83771800994873,-0.0002176553003664594,0.6555449366569519,0.005260484,0.0003,670
141312,205,20.55633352,687,69,839.36,0.0634765625,-0.8823745580390095,0.2,60.971997539699075,19.406009674072266,-0.0027900365690584294,0.6823421716690063,0.0045497706,0.0003,680
143360,209,23.83795838,685,70,835.75,0.06669921875,-0.8316500870510936,0.2,118.90153866708279,49.88784408569336,-0.0027435745418188163,0.4982873797416687,0.00636441,0.0003,690
145408,212,25.75474223,685,71,831.29,0.04365234375,-0.8552794076502324,0.2,65.79289348721504,10.969911575317383,-0.0011831641382741508,0.7468081414699554,0.004723999,0.0003,700
147456,215,26.25051444999999,683,72,828.31,0.06162109375,-0.8257852282375098,0.2,66.964408082515,15.057899475097656,-0.00419001892732922,0.648656964302063,0.0073666265,0.0003,710
149504,218,29.544411649999994,683,73,817.05,0.042138671875,-0.7900303887203336,0.2,50.838322854042055,1.8889447450637817,-0.0024831820461258757,0.764129251241684,0.008058507,0.0003,720
151552,221,31.818129469999988,683,74,814.44,0.0876953125,-0.8384607816115022,0.2,87.56646002233029,17.017086029052734,-0.003480608717654832,0.7294390797615051,0.006954929,0.0003,730
153600,225,29.57321175,681,75,818.38,0.078662109375,-0.7972813732922077,0.2,82.43902851641178,9.886872291564941,-0.0020348992897197605,0.8049551546573639,0.006884988,0.0003,740
155648,227,34.411444859999996,684,76,805.66,0.078759765625,-0.8802245678380132,0.2,47.67551295608282,2.7942800521850586,-0.0011590314752538688,0.7295888960361481,0.0057898425,0.0003,750
157696,230,35.00260022999999,685,77,802.14,0.031005859375,-0.7514363246038556,0.2,200.23338567316532,57.617828369140625,-0.0005979334337098408,0.4723885655403137,0.004187831,0.0003,760
159744,232,37.936249479999994,686,78,800.73,0.028466796875,-0.8218106508255005,0.2,76.49673570990562,13.303237915039062,-0.0022173955378093522,0.7165545523166656,0.0040752916,0.0003,770
161792,235,38.27294825999999,687,79,794.62,0.026708984375,-0.7856231551617384,0.2,94.51272598803044,28.12552261352539,-0.003917412393639097,0.7105129361152649,0.0052240873,0.0003,780
163840,238,37.05619866999999,686,80,784.54,0.121533203125,-0.8642170863226056,0.2,139.98830539658667,7.9996819496154785,-0.0040574094949988645,0.5880723595619202,0.00838476,0.0003,790
165888,242,34.61979101,685,81,777.88,0.08818359375,-0.8219682550057769,0.2,192.77797660082578,63.11638259887695,-0.004539079251117073,0.29133570194244385,0.0031843092,0.0003,800
167936,245,34.16855921999999,685,82,780.8,0.079296875,-0.8193198084831238,0.2,111.77385021150113,54.431034088134766,-0.0038501759219798258,0.4821627736091614,0.005632928,0.0003,810
169984,248,35.727317729999996,683,83,778.78,0.093017578125,-0.8370325168594718,0.2,27.18861820958555,2.527878522872925,0.0018826288105628919,0.8495643138885498,0.0065430417,0.0003,820
172032,251,34.59372664,684,84,770.31,0.0994140625,-0.7142905328422785,0.2,86.48070895522832,25.73847198486328,-0.0023930139403091745,0.6425745785236359,0.0075194347,0.0003,830
174080,253,37.2170102,685,85,777.35,0.065478515625,-0.89698276091367,0.2,139.14538002759218,189.66775512695312,-0.004937646374310134,0.5588929355144501,0.003003006,0.0003,840
176128,256,37.49782904,685,86,766.79,0.13330078125,-0.8752652928233147,0.2,53.669210833311084,78.82369995117188,-0.0034469854792405384,0.7778395265340805,0.007928414,0.0003,850
178176,259,38.302779369999996,686,87,761.33,0.04736328125,-0.7831880379468202,0.2,152.5567781418562,107.17118072509766,-0.004746042631450109,0.39336085319519043,0.0053097247,0.0003,860
180224,262,42.61289271,686,88,756.19,0.08203125,-0.7511632030829787,0.2,61.892628664523365,9.094132423400879,-0.006031716288271127,0.6477427780628204,0.0056681866,0.0003,870
182272,265,42.420505350000006,687,89,755.24,0.032373046875,-0.7497776191681623,0.2,102.13535817563533,36.21071243286133,-0.001976278999063652,0.7034648060798645,0.003672481,0.0003,880
184320,267,41.066201809999995,688,90,750.95,0.075244140625,-0.866032393835485,0.2,51.52104283720255,8.11143970489502,-0.0011729866339010187,0.8303482383489609,0.0068663717,0.0003,890
186368,270,44.13070007999999,688,91,747.21,0.045703125,-0.820064258761704,0.2,121.49645951986312,84.90312194824219,-0.0022159804997500033,0.7748463749885559,0.0046680616,0.0003,900
188416,274,41.909421869999996,686,92,751.24,0.039697265625,-0.7610382087528705,0.2,83.53921449631453,23.487855911254883,-0.00190308526471199,0.7141358852386475,0.0040435046,0.0003,910
190464,277,45.62798393,686,93,745.93,0.053271484375,-0.727544098161161,0.2,30.783629936352373,1.7522265911102295,0.0016611409315373748,0.8917448595166206,0.004226663,0.0003,920
192512,280,45.86380106000001,687,94,737.92,0.049609375,-0.816364929638803,0.2,113.09341156333684,39.705142974853516,-0.0027946443431574155,0.6734132766723633,0.0040464867,0.0003,930
194560,283,48.29398330000001,686,95,740.65,0.03642578125,-0.7124824738129973,0.2,151.57543516457082,78.68977355957031,-0.0009087887458008482,0.6439616978168488,0.005682164,0.0003,940
196608,286,51.57766019999999,686,96,737.3,0.04755859375,-0.7843368284404277,0.2,74.70549806207418,15.150317192077637,-0.003142038558871718,0.7058151662349701,0.0058539542,0.0003,950
198656,289,50.582023910000004,687,97,727.82,0.029931640625,-0.728252200782299,0.2,107.7492432937026,30.189773559570312,-0.002311245548480656,0.5305349826812744,0.0047668526,0.0003,960
200704,291,49.496261280000006,687,98,726.25,0.04912109375,-0.7412873560562729,0.2,125.48578564971686,38.51419448852539,-0.002170112920430256,0.4418793320655823,0.0025795675,0.0003,970
