time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss
813,149504,605.03,-40.23932788,73,183,47.49375534057617,0.0049170656,0.01484375,720,0.0003,-0.0028674598685029195,0.8146852403879166,0.2,-0.8372458800673485,107.19973038136959
812,151552,590.71,-41.701915590000006,74,186,60.942012786865234,0.0062752226,0.04072265625,730,0.0003,-0.001970727440129849,0.8877793848514557,0.2,-0.8371588913723826,107.39709896743298
811,153600,585.25,-42.74532948000001,75,189,43.927059173583984,0.0074872747,0.087841796875,740,0.0003,-0.0029920110704551917,0.8152785003185272,0.2,-0.8712118651717902,159.09389345794915
811,155648,578.07,-43.748058209999996,76,191,4.206573486328125,0.0065905014,0.083349609375,750,0.0003,-0.008089802309405059,0.9156825169920921,0.2,-0.8568481840193272,66.08947106301784
805,157696,578.07,-42.430564679999996,77,195,23.51156234741211,0.0048167147,0.052490234375,760,0.0003,-0.0025810258797719144,0.7891843020915985,0.2,-0.8281129129230976,130.7198896855116
804,159744,576.93,-44.568567970000004,78,198,2.4809751510620117,0.006917743,0.077197265625,770,0.0003,-0.0029609811812406407,0.9488706216216087,0.2,-0.9017880588769913,23.845803192257883
802,161792,594.0,-41.24636058,79,201,33.09617233276367,0.0062945625,0.073779296875,780,0.0003,-0.005262550295447,0.9157700762152672,0.2,-0.8763013595715166,72.89567697942257
797,163840,600.54,-43.36707797,80,205,2.991123676300049,0.005916165,0.059765625,790,0.0003,-0.0017050057831511367,0.945840634405613,0.2,-0.8841698931530118,33.28594261482358
797,165888,603.13,-45.661298859999995,81,208,15.86721420288086,0.0043829405,0.05380859375,800,0.0003,-0.0029218199269962497,0.9594393149018288,0.2,-0.9137659396976232,32.08201727718115
795,167936,596.54,-48.35878556999999,82,211,5.735024452209473,0.005123459,0.056689453125,810,0.0003,-0.003321305534336716,0.9194403439760208,0.2,-0.9348922435194253,49.8405233874917
797,169984,591.44,-51.911232059999996,83,213,11.181058883666992,0.009207727,0.0916015625,820,0.0003,-0.0041661214170744644,0.9698680993169546,0.2,-0.9426526930183172,24.524821084737777
797,172032,598.64,-49.06823643999999,84,215,60.1322135925293,0.005009853,0.04169921875,830,0.0003,-0.002324434492038563,0.9535506665706635,0.2,-0.8829305278137326,58.11308265179396
796,174080,610.35,-52.24492052999999,85,218,2.283889055252075,0.006218345,0.084375,840,0.0003,-0.0027246677520452066,0.915172666311264,0.2,-0.9682884957641363,26.275522553920744
793,176128,619.6,-50.54994073000001,86,221,33.04404067993164,0.0043560206,0.047607421875,850,0.0003,-0.0031458977457077706,0.9235834777355194,0.2,-0.9338792646303773,74.34586865454912
792,178176,623.13,-52.49204640000001,87,224,14.764543533325195,0.0062679704,0.050830078125,860,0.0003,-0.0004771096209879033,0.8990052714943886,0.2,-0.8923343010246754,61.951411156356336
790,180224,639.03,-51.77229394000001,88,227,13.74938678741455,0.0064702993,0.023046875,870,0.0003,-0.0008076164642261574,0.9070422872900963,0.2,-0.8887835646048188,72.67344243973494
786,182272,647.61,-52.1344766,89,231,5.317652225494385,0.0038646264,0.044384765625,880,0.0003,-0.0021140571749128866,0.9207991287112236,0.2,-0.9077287472784519,44.289170221984385
779,184320,651.85,-52.390788109999995,90,236,5.729658603668213,0.005474005,0.04541015625,890,0.0003,-0.0031302501032769215,0.9018538147211075,0.2,-0.9303696256130933,44.40918456763029
776,186368,653.92,-53.68416085999999,91,240,2.3241922855377197,0.0066687656,0.078173828125,900,0.0003,-0.002685959834343521,0.9154364466667175,0.2,-0.9378293421119451,30.785993184149266
772,188416,663.29,-52.61828679,92,243,15.224081993103027,0.006210788,0.060888671875,910,0.0003,-0.004743448454973986,0.9435083493590355,0.2,-0.8966849055141211,35.27147939652205
771,190464,663.89,-51.197514039999994,93,246,6.511959075927734,0.009000703,0.090478515625,920,0.0003,-0.0023764941186527723,0.9471388831734657,0.2,-0.8917387783527374,37.22948746979237
766,192512,671.9,-49.41505199,94,251,7.501841068267822,0.004112562,0.022607421875,930,0.0003,-0.002393140858839615,0.6398699581623077,0.2,-0.8855254234746098,121.46300124228
765,194560,682.18,-48.45637107,95,254,137.0902557373047,0.008484955,0.098828125,940,0.0003,-0.0034067570901243015,0.9265268072485924,0.2,-0.9016140291467309,20.538892918825148
765,196608,681.86,-49.68669107000001,96,256,11.948564529418945,0.0077793766,0.0759765625,950,0.0003,-0.002433904487406835,0.9098736569285393,0.2,-0.9052336629480123,60.4249072059989
759,198656,689.39,-48.96257536,97,261,127.37822723388672,0.008331682,0.0625,960,0.0003,-0.0028948061793926173,0.9064226970076561,0.2,-0.8467767059803009,60.40425948947668
759,200704,701.22,-45.84043406999999,98,264,3.416539192199707,0.0039283163,0.059423828125,970,0.0003,-0.00164837058619014,0.9025841951370239,0.2,-0.9184011509642005,54.40459301918745
756,202752,710.79,-43.67521213999999,99,267,1.4107939004898071,0.0038873388,0.040625,980,0.0003,0.0008641360625915695,0.9535625390708447,0.2,-0.9066237170249224,23.474788712337613
755,204800,725.98,-41.93185922000001,100,271,1.8908449411392212,0.0072240643,0.08701171875,990,0.0003,-0.0028520581297925675,0.9186065047979355,0.2,-0.9181155033409596,25.115188598260282
753,206848,731.2,-38.72133116,101,274,1.40713369846344,0.007260295,0.04189453125,1000,0.0003,-0.00042865563009399923,0.9189809709787369,0.2,-0.9034158129245042,23.456344176083803
750,208896,746.14,-36.35038208,102,278,29.461624145507812,0.0023427862,0.002587890625,1010,0.0003,-0.0002988156928040553,0.6785803735256195,0.2,-0.8597165901213885,122.26527606993913
747,210944,746.14,-36.742169219999994,103,282,1.6683531999588013,0.0068299226,0.0927734375,1020,0.0003,-0.005318998568691313,0.9252762943506241,0.2,-0.884285393729806,27.872146744653584
745,212992,746.14,-36.67956381,104,285,2.056342601776123,0.0058291657,0.046142578125,1030,0.0003,0.00042944883462041615,0.952202457934618,0.2,-0.8613765561953187,25.468973258882762
744,215040,755.9,-37.017961330000006,105,289,0.8968431949615479,0.004126389,0.03828125,1040,0.0003,-0.00043937318478128875,0.9264770522713661,0.2,-0.8809192325919867,21.054546631872654
741,217088,760.26,-36.22114239,106,292,1.2912654876708984,0.0090327365,0.09326171875,1050,0.0003,-0.00565968060400337,0.8991143703460693,0.2,-0.9042413122951984,30.94064824655652
