time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss
98304,804,602.12,48,122,-53.322812490000004,0.0003,0.28464657068252563,0.009128749,0.088818359375,0.2,111.55760955810547,470,-0.8926787661388517,-0.0038419476528360973,263.3137658059597
100352,799,616.69,49,125,-46.84494721000001,0.0003,0.47963380813598633,0.004761032,0.062841796875,0.2,46.556640625,480,-0.9582043102011084,-0.0011411138737457804,115.43742066174745
102400,792,630.55,50,129,-44.74197484000001,0.0003,0.39898407459259033,0.013376352,0.1705078125,0.2,39.95424270629883,490,-0.9305411010980607,-0.005924060839606682,104.54037521630525
104448,783,644.77,51,133,-40.842341450000006,0.0003,0.7253382503986359,0.005555379,0.089990234375,0.2,5.180766582489014,500,-0.96958550773561,-0.0002547511350712739,36.48120118230581
106496,783,658.8,52,135,-35.54397264,0.0003,0.5081861615180969,0.007871442,0.063037109375,0.2,1.945010781288147,510,-0.8640768641605974,-0.0013616195610666182,64.46279321610928
108544,781,669.07,53,138,-33.26647066,0.0003,0.2651326060295105,0.0075191557,0.04189453125,0.2,10.948002815246582,520,-0.810349159128964,-0.0013679703584784874,216.81530536860228
110592,781,687.68,54,141,-29.80243418,0.0003,0.4056333303451538,0.0062617464,0.052587890625,0.2,33.85752868652344,530,-0.9105858847498893,-0.0024123688679537738,187.6801429271698
112640,776,699.83,55,145,-26.31121862,0.0003,0.5174764096736908,0.0020455744,0.019091796875,0.2,535.4224243164062,540,-0.951987175270915,-0.0007036076622171095,139.15802196115254
114688,767,711.09,56,149,-22.686771369999995,0.0003,0.5226119458675385,0.007065696,0.086962890625,0.2,8.165114402770996,550,-0.907664779573679,-0.003093108374014264,68.75266413986682
116736,757,731.66,57,154,-20.07327741,0.0003,0.4657813310623169,0.004939789,0.0447265625,0.2,5.720238208770752,560,-0.8722072934731842,0.0001226673852215754,68.03091837838292
118784,752,741.12,58,157,-18.221883830000003,0.0003,0.4368082284927368,0.014469351,0.10517578125,0.2,2.3362295627593994,570,-1.0347085682675243,-0.004611033597029746,67.67579724192619
120832,744,745.14,59,162,-15.9387055,0.0003,0.5415511131286621,0.0049487883,0.04970703125,0.2,12.860740661621094,580,-0.923713812045753,-0.0009250199131201952,86.53215682059526
