rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/value_loss
-227.99511683333336,929,4096,616.1666666666666,4,2,1240,-0.005260633543366566,-0.6045091055333615,0.013256229,0.0003,0.1056640625,0.24166607856750488,7.539632797241211,0.2,121.07602088451385
-268.8059344444444,865,6144,666.6666666666666,7,3,1250,-0.0005327357532223687,-0.659665922448039,0.0024122829,0.0003,0.018798828125,0.561859518289566,169.26922607421875,0.2,122.3565297536552
-248.43256053846153,852,8192,627.6153846153846,9,4,1260,-0.00045250155963003633,-0.6883853789418936,0.016529497,0.0003,0.06015625,0.5727595686912537,0.7721782922744751,0.2,86.57675652354956
-273.3639552631579,891,10240,535.5263157894736,11,5,1270,-0.003882366321340669,-0.5994129251688719,0.007159993,0.0003,0.047705078125,0.47995269298553467,379.1539001464844,0.2,171.95251843333244
-267.58090388,919,12288,484.52,13,6,1280,-0.002786469354032306,-0.7944402173161507,0.0045581553,0.0003,0.01513671875,0.40264397859573364,191.8072967529297,0.2,289.70052554905413
-258.3174233666667,921,14336,460.5,15,7,1290,-0.0021316862370440504,-0.7611782694235444,0.0030064732,0.0003,0.01201171875,0.5000635385513306,360.9553527832031,0.2,307.6446696013212
-256.11678517142855,912,16384,466.1142857142857,17,8,1300,-0.0033605801720113957,-0.651608625985682,0.0054155914,0.0003,0.044189453125,0.5261676609516144,240.26422119140625,0.2,286.01490077376366
-257.15227240540537,905,18432,494.97297297297297,20,9,1310,-0.0034896618897619193,-0.7235945124179125,0.0075620282,0.0003,0.06259765625,0.6560203433036804,60.96815872192383,0.2,208.6583446919918
-256.85973914634144,910,20480,498.9512195121951,22,10,1320,-0.0018554235575720668,-0.665641981177032,0.017471004,0.0003,0.150537109375,0.7792806625366211,0.82710200548172,0.2,44.45389332845807
-255.9631394666667,912,22528,498.55555555555554,24,11,1330,-0.0016272057917376514,-0.6090858138166368,0.005850332,0.0003,0.08544921875,0.7513777166604996,43.308433532714844,0.2,155.83888497054576
-256.09913450980395,919,24576,480.54901960784315,26,12,1340,-0.0010565693366515916,-0.7364788424223662,0.0019864463,0.0003,0.019091796875,0.7341817617416382,33.787742614746094,0.2,164.91717822253705
-253.5831932982456,927,26624,466.859649122807,28,13,1350,-0.0014869091261061839,-0.6753018641844392,0.0019288778,0.0003,0.00546875,0.5919204652309418,99.8208236694336,0.2,321.09625940322877
-255.41157688888887,939,28672,453.015873015873,30,14,1360,-0.0037380447385658043,-0.6799116976559162,0.009324055,0.0003,0.047119140625,0.4825775623321533,347.5697937011719,0.2,314.7420774400234
-251.52686727272726,930,30720,450.4848484848485,33,15,1370,-0.004137640873159399,-0.7418782472610473,0.0047154278,0.0003,0.02431640625,0.4042295217514038,224.1552276611328,0.2,263.6737245798111
-246.28592626027398,936,32768,448.6986301369863,34,16,1380,-0.0013628944518131903,-0.6377350732684135,0.0020804345,0.0003,0.025390625,0.6681415438652039,43.53302764892578,0.2,164.84508407711982
-246.80741150000003,943,34816,442.9102564102564,36,17,1390,-0.0024395174768869765,-0.7128594437614083,0.004505921,0.0003,0.054296875,0.736319899559021,86.54563903808594,0.2,231.48659766316413
-247.90323527710845,944,36864,441.1807228915663,39,18,1400,-0.0038828787222882966,-0.7288370367139578,0.0041737845,0.0003,0.028955078125,0.7440573573112488,65.03242492675781,0.2,220.87446616292
-244.09789853932585,947,38912,435.7977528089888,41,19,1410,-0.00503284748592705,-0.7011081155389547,0.011550687,0.0003,0.133935546875,0.6833788156509399,131.17941284179688,0.2,202.13414199352263
-244.1746765108696,944,40960,438.2717391304348,43,20,1420,-0.0014769752586289541,-0.7086744103580713,0.0030113938,0.0003,0.017041015625,0.7762211412191391,69.2108154296875,0.2,248.1163572907448
