time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl
9,648,-160.23090909090908,6144,3,542.5454545454545,0.2,70.08453732430935,0.7735939770936966,66.59832000732422,-0.815354785695672,0.052978515625,-0.0012346788964350708,1250,0.0003,0.007039301
11,701,-163.23,8192,4,551.2857142857143,0.2,49.108908909186724,0.7963007837533951,9.425345420837402,-0.7818600229918957,0.08798828125,-0.0012323385642957873,1260,0.0003,0.008420998
14,725,-170.90764705882353,10240,5,592.1764705882352,0.2,13.557823339290916,0.9221678674221039,4.563194751739502,-0.7867921156808734,0.0611328125,0.00012139194732299074,1270,0.0003,0.004964274
16,724,-167.54,12288,6,615.4736842105264,0.2,32.80986123122275,0.7319456040859222,13.50378704071045,-0.8015561359003186,0.07109375,-0.0019579959312977734,1280,0.0003,0.0076558273
20,715,-166.6652380952381,14336,7,652.0952380952381,0.2,58.36753476113081,0.5404738187789917,19.318084716796875,-0.7744632279500365,0.101904296875,-0.0013979483162984252,1290,0.0003,0.0061575975
22,717,-164.35708333333332,16384,8,679.5416666666666,0.2,0.8374875149223954,0.9550414308905602,0.06724142283201218,-0.8118458209559322,0.153759765625,-0.0008855080581270158,1300,0.0003,0.0133167
25,724,-162.30592592592595,18432,9,668.925925925926,0.2,71.53843077933416,0.11083143949508667,13.917956352233887,-0.759828618913889,0.074072265625,-0.0024680746737431036,1310,0.0003,0.00440576
29,703,-160.08733333333333,20480,10,680.5333333333333,0.2,25.94016259117052,0.818670243024826,0.8756083846092224,-0.6921209858730435,0.076904296875,-0.002608572029566858,1320,0.0003,0.00614392
31,708,-153.22272727272727,22528,11,681.939393939394,0.2,75.19463677909225,0.09676212072372437,0.8671022057533264,-0.7544594468548894,0.072021484375,-0.0017107662853959483,1330,0.0003,0.009976348
33,724,-149.09916666666666,24576,12,673.6666666666666,0.2,99.7989168452099,0.08267337083816528,35.34418487548828,-0.7297249549999834,0.035205078125,-0.0009587642751284875,1340,0.0003,0.006897454
36,732,-150.85820512820513,26624,13,667.0512820512821,0.2,57.329450118541715,0.6530083417892456,8.839776992797852,-0.763161239027977,0.11806640625,-0.0022899900512129536,1350,0.0003,0.010553126
