time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss
118784,-22.163054350000003,163,58,727,803.88,0.059375,0.0003,0.0057189576,0.6719782948493958,570,0.2,2.366128444671631,14.773629436641931,-0.0033073263541155027,-0.8904024641960859
120832,-21.23736622,166,59,725,813.6,0.0759765625,0.0003,0.004738467,0.4906739592552185,580,0.2,0.8269636034965515,22.399706774950026,-0.0037114496306458024,-0.8749692946672439
122880,-19.2418429,169,60,723,825.02,0.091357421875,0.0003,0.008224316,0.6337536871433258,590,0.2,2.050410747528076,25.422977071255445,-0.0038724139929399827,-0.8726650312542915
124928,-16.50124288,172,61,724,828.05,0.10146484375,0.0003,0.009949866,0.6316571831703186,600,0.2,2.3651695251464844,33.089054671302435,-0.0033625939933699554,-0.8856311503797769
126976,-16.89846018,176,62,718,836.13,0.052978515625,0.0003,0.0059597935,0.6768063902854919,610,0.2,4.1466145515441895,38.641215269640085,-0.0027930122465477324,-0.8623793706297874
129024,-17.41006292,179,63,717,843.94,0.084521484375,0.0003,0.00578722,0.582441121339798,620,0.2,53.33248519897461,49.778216044604775,-0.0024534965625207404,-0.8522349782288074
131072,-19.39478881,182,64,717,840.68,0.03525390625,0.0003,0.0031126381,0.6032491624355316,630,0.2,5.058720588684082,41.83568614274263,-0.0025554125522830873,-0.8675527365878224
133120,-14.32754073,186,65,714,863.09,0.018798828125,0.0003,0.0030675987,0.3826754093170166,640,0.2,10.690516471862793,88.75530969202518,-0.0023774493452947353,-0.8475455477833748
135168,-12.838454150000002,189,66,713,875.72,0.053173828125,0.0003,0.0024554464,0.8403527140617371,650,0.2,0.9634441137313843,12.87323559820652,0.0009711279417388141,-0.8616997599601746
137216,-11.00682637,193,67,707,886.56,0.069384765625,0.0003,0.006457233,0.7966305166482925,660,0.2,134.74063110351562,30.161445184051992,-0.0021955966727546183,-0.8723168605938554
139264,-13.9264967,197,68,705,885.34,0.11474609375,0.0003,0.009960957,0.6671366393566132,670,0.2,2.342822551727295,15.805534636601806,-0.0056669891688216015,-0.8972252171486617
141312,-12.011922100000001,200,69,704,898.68,0.038134765625,0.0003,0.008898424,0.6633470356464386,680,0.2,2.6875932216644287,60.058421678841114,-0.00044848286706837824,-0.8896486438810826
143360,-12.27897651,204,70,701,906.77,0.085986328125,0.0003,0.005438513,0.819912001490593,690,0.2,3.8559343814849854,26.47834719642997,-0.004749271849868819,-0.8062679128721356
145408,-12.909450689999998,208,71,698,919.69,0.056494140625,0.0003,0.0044338,0.7670763731002808,700,0.2,2.841857433319092,15.974551758542656,-0.0005492602263984736,-0.9056561378762126
147456,-13.49858721,210,72,699,920.25,0.038623046875,0.0003,0.005349743,0.6532966792583466,710,0.2,22.348323822021484,50.57053177207708,-0.0013441807612252887,-0.8707684591412544
149504,-12.616526989999997,214,73,696,928.86,0.030126953125,0.0003,0.0042644944,0.5664456784725189,720,0.2,219.2895050048828,91.88488799482585,-0.0006843534138170071,-0.8595961654558778
151552,-10.559941610000003,218,74,694,936.4,0.05458984375,0.0003,0.0031442791,0.8727205842733383,730,0.2,3.370121717453003,36.5524816326797,-0.004687704840034712,-0.8862692167982459
153600,-11.17691161,221,75,693,941.59,0.08056640625,0.0003,0.004710842,0.8341146260499954,740,0.2,24.23150062561035,25.749398005381227,-0.0026593266298732487,-0.8756103003397584
155648,-8.829885029999998,224,76,693,947.11,0.126611328125,0.0003,0.009631228,0.9385639578104019,750,0.2,2.566669225692749,22.284496450424193,-0.004098756195890019,-0.851154357008636
157696,-7.41030558,227,77,693,961.37,0.063818359375,0.0003,0.0050396193,0.8682511746883392,760,0.2,1.334260106086731,25.38249786533415,-0.0036063498861039988,-0.8517711017280817
159744,-6.604194969999998,230,78,692,964.17,0.071484375,0.0003,0.0051456057,0.90745759755373,770,0.2,0.9451864957809448,21.630690305307507,-0.0017790846417483409,-0.8550633184611798
161792,-5.618858099999999,234,79,689,963.16,0.02177734375,0.0003,0.003101015,0.5144776105880737,780,0.2,52.141788482666016,137.4098184108734,-0.0009674348555563483,-0.7758152026683092
163840,-5.136586240000001,238,80,687,964.0,0.0419921875,0.0003,0.008814963,0.36923062801361084,790,0.2,257.85638427734375,167.57961753308774,-0.005078684387990506,-0.7707103485241532
165888,-6.9554161699999995,240,81,689,956.17,0.03173828125,0.0003,0.002543631,0.43599629402160645,800,0.2,100.43714141845703,120.73859214782715,-0.0009931905879057012,-0.773637655749917
167936,-9.16731436,244,82,686,948.06,0.046923828125,0.0003,0.0043005412,0.8080171048641205,810,0.2,20.36422348022461,56.103352564573285,-0.00026979537342413095,-0.8570445032790304
169984,-11.17716046,247,83,685,945.57,0.0677734375,0.0003,0.00544261,0.8790026381611824,820,0.2,14.485726356506348,50.72061540037394,-0.0016437995654996485,-0.818352572619915
172032,-8.89849244,251,84,683,945.01,0.09453125,0.0003,0.006272071,0.8635506331920624,830,0.2,4.906765937805176,43.05104229412973,-0.00023183710836747196,-0.788052205555141
174080,-9.416377440000002,255,85,682,945.01,0.10859375,0.0003,0.006166581,0.5946382880210876,840,0.2,4.401501655578613,97.05038657933474,-0.001932362367369933,-0.7600764384493232
176128,-10.79414243,258,86,681,940.18,0.095849609375,0.0003,0.008552594,0.8679889291524887,850,0.2,2.8647992610931396,19.402865716069936,-0.00327148102587671,-0.7701839085668325
178176,-9.692501290000003,261,87,681,940.18,0.10576171875,0.0003,0.011951653,0.7867737263441086,860,0.2,2.4722073078155518,53.02138767763972,-0.001736521755810827,-0.780809449404478
180224,-10.963126490000002,265,88,678,940.18,0.064697265625,0.0003,0.010174555,0.7080255150794983,870,0.2,3.536891222000122,37.94123042598367,-0.0009162540831312071,-0.804734961502254
182272,-13.89295532,267,89,680,928.38,0.075048828125,0.0003,0.009818159,0.9239502474665642,880,0.2,3.353196620941162,24.67082708887756,-0.0009968979400582611,-0.6986495880410075
184320,-13.446763569999998,271,90,679,921.85,0.050927734375,0.0003,0.0061205896,0.9148880690336227,890,0.2,13.30893325805664,44.46989757567644,-0.0018181838298914955,-0.8286628723144531
186368,-13.195526519999998,274,91,678,921.85,0.042919921875,0.0003,0.004742615,0.7483535706996918,900,0.2,67.03571319580078,81.3746325969696,-0.000716471337727853,-0.7710561841726303
188416,-13.224436679999998,277,92,678,921.85,0.074951171875,0.0003,0.0077985274,0.8666369765996933,910,0.2,3.8311328887939453,31.62991883084178,-0.0008067201168159954,-0.8059426516294479
190464,-15.197218679999999,281,93,677,920.35,0.116259765625,0.0003,0.009840673,0.7710120230913162,920,0.2,4.119353771209717,33.97614302393049,0.00039465208974434065,-0.7760158855468035
192512,-14.7814652,284,94,676,917.76,0.057470703125,0.0003,0.0069618323,0.9208201393485069,930,0.2,1.683144450187683,26.85076431669295,-0.0011638123869488481,-0.7992194097489118
194560,-15.50970825,288,95,673,915.51,0.04228515625,0.0003,0.0033542244,0.6709538102149963,940,0.2,36.924224853515625,95.77001898884774,-0.0012811332802812104,-0.8145560825243592
196608,-15.172317649999998,293,96,670,918.87,0.100537109375,0.0003,0.0127342045,0.7642246633768082,950,0.2,2.002652168273926,32.432416355237365,-0.003700030026084278,-0.7170563908293843
198656,-15.856516889999998,295,97,672,915.31,0.09072265625,0.0003,0.005853516,0.7054134905338287,960,0.2,4.393806457519531,64.09876660779119,-0.0018822765610821079,-0.8376348966732621
200704,-17.29452692,298,98,671,910.51,0.048681640625,0.0003,0.005314064,0.8098886162042618,970,0.2,37.407901763916016,91.8781603217125,-0.0014866441968479193,-0.769544037245214
202752,-19.45970087,301,99,672,906.02,0.03740234375,0.0003,0.005897265,0.754955604672432,980,0.2,90.43561553955078,93.34885705932975,-0.0011282440784270876,-0.6513054985553026
204800,-19.754880529999994,304,100,672,903.89,0.0607421875,0.0003,0.0084940335,0.7846660763025284,990,0.2,4.361274719238281,70.72600820958614,-1.681894646026194e-05,-0.797513578273356
206848,-19.53508708,308,101,671,903.89,0.07119140625,0.0003,0.007975433,0.9166751056909561,1000,0.2,15.139452934265137,48.6518948405981,-0.0026183702091657325,-0.7907501302659512
208896,-21.26039606,311,102,671,897.46,0.11279296875,0.0003,0.016262908,0.8641865253448486,1010,0.2,1.3244787454605103,32.397158584743735,-0.000945006133406423,-0.7747072188183666
210944,-19.39495275,314,103,669,895.59,0.027294921875,0.0003,0.0033855045,0.5175810158252716,1020,0.2,12.126986503601074,102.1946778319776,-0.0010349678517741268,-0.754602313414216
212992,-21.974525080000003,317,104,670,889.8,0.039892578125,0.0003,0.004545331,0.6201510429382324,1030,0.2,42.063602447509766,125.9135974869132,-0.00020638058122131043,-0.7792642561718821
215040,-18.55807049,321,105,667,889.87,0.076513671875,0.0003,0.004703221,0.9026208370923996,1040,0.2,25.190134048461914,73.99641463980079,-0.0027565463075006845,-0.7353320704773069
217088,-18.067486390000003,326,106,665,887.16,0.096142578125,0.0003,0.008601452,0.6793107688426971,1050,0.2,4.162116527557373,75.26354577988386,-0.0020118420514336323,-0.8004008093848825
219136,-16.89990676,329,107,664,883.52,0.05771484375,0.0003,0.009174221,0.6685088574886322,1060,0.2,2.7263336181640625,70.79000146016479,-0.0007427790445944993,-0.7756719458848238
221184,-15.950634010000002,333,108,663,880.87,0.038037109375,0.0003,0.007921945,0.6584614217281342,1070,0.2,82.75117492675781,148.14489432275295,-0.00236818429439154,-0.7071803709492087
223232,-14.489234579999998,336,109,662,876.79,0.09541015625,0.0003,0.006325936,0.7492550313472748,1080,0.2,55.83590316772461,50.940211224555966,-0.0010422728453704621,-0.7073981918394565
225280,-9.53445968,340,110,661,870.43,0.089892578125,0.0003,0.008029931,0.2521859407424927,1090,0.2,4.626460552215576,69.61968863122165,-0.0017937098906259052,-0.7307526530697942
227328,-10.205361140000003,344,111,660,870.43,0.047021484375,0.0003,0.004041507,0.2860761880874634,1100,0.2,57.33223342895508,120.70522381216287,-0.0015469892390683527,-0.7362855954095722
229376,-9.558121620000003,348,112,658,867.22,0.072900390625,0.0003,0.0053819385,0.42718297243118286,1110,0.2,11.28931999206543,49.25497732013464,-0.0028742491820594298,-0.7048092983663082
231424,-9.565943920000002,352,113,656,861.91,0.01923828125,0.0003,0.0021356111,0.6815826296806335,1120,0.2,5.001813888549805,71.87317475229501,0.000499093584221555,-0.6598639525473118
233472,-5.412549489999999,356,114,655,858.34,0.082421875,0.0003,0.004790325,0.5615366995334625,1130,0.2,11.528611183166504,85.85719160586595,-0.0007470031676348298,-0.6496507668867707
235520,-0.8826512499999992,360,115,653,863.13,0.072998046875,0.0003,0.007612491,0.5552152991294861,1140,0.2,27.331920623779297,57.611326227709654,-0.0009432030685275095,-0.7632766101509333
237568,-1.6980984499999991,364,116,651,861.45,0.036865234375,0.0003,0.0031927433,0.7138052880764008,1150,0.2,31.80695152282715,82.49818272143602,-0.00022282162281044292,-0.7098119171336293
239616,-1.8706278499999984,369,117,649,861.45,0.1154296875,0.0003,0.017507514,0.32737529277801514,1160,0.2,9.681584358215332,82.88140632472933,-0.000220322916720761,-0.7432110629975796
241664,-1.983284729999998,371,118,649,851.36,0.13974609375,0.0003,0.011244632,0.5305635929107666,1170,0.2,3.2145614624023438,38.36722051873803,-0.0023285443101485727,-0.7468604700639844
243712,0.08660710000000212,374,119,650,844.81,0.02451171875,0.0003,0.0042150985,0.6139023900032043,1180,0.2,46.089134216308594,119.03343928009272,-0.0012144751606683712,-0.703882715664804
245760,-0.055809029999998074,377,120,650,852.04,0.01357421875,0.0003,0.0026951563,0.3918300271034241,1190,0.2,79.15152740478516,115.47578077018261,-0.0010336134117096662,-0.6240068737417459
247808,0.4159341400000015,382,121,648,858.52,0.067041015625,0.0003,0.0052061575,0.2523699998855591,1200,0.2,48.35259246826172,92.86554866954684,-0.00340822220678092,-0.7502464823424816
249856,-1.2489195999999985,385,122,648,859.9,0.06328125,0.0003,0.0049175248,0.3060457706451416,1210,0.2,3.1839189529418945,51.73277996107936,0.0010167397536861244,-0.7611214173957705
251904,3.0669174,389,123,647,865.24,0.073828125,0.0003,0.005218058,0.5589189529418945,1220,0.2,5.702602386474609,60.43896083086729,-0.0011557619167433587,-0.7139388486742974
2048,-407.6421195,2,1,757,736.0,0.100048828125,0.0003,0.00883557,0.6298254132270813,1230,0.2,6.80540657043457,53.307762142643334,-0.0015239915315760299,-0.7563348835334182
4096,-477.1563534,6,2,610,784.8,0.0494140625,0.0003,0.008310774,0.5888695418834686,1240,0.2,6.568520545959473,82.02345077767968,-5.510808641702169e-05,-0.682767759077251
6144,-473.77142242857144,9,3,623,762.0,0.042626953125,0.0003,0.0064028637,0.64481121301651,1250,0.2,29.35050392150879,124.90456379652024,-0.0020920683033182285,-0.6028763498179615
8192,-487.07927450000005,12,4,667,771.1,0.039697265625,0.0003,0.0032455146,0.7485752105712891,1260,0.2,33.39766311645508,84.84640702605247,-0.0006911173426487949,-0.6670377369970083
10240,-506.6506645000001,15,5,655,783.6666666666666,0.051806640625,0.0003,0.0046333154,0.7695310413837433,1270,0.2,27.42470359802246,110.98286219537258,-0.001410049482001341,-0.676709765382111
12288,-511.1735957333334,19,6,642,801.6,0.07744140625,0.0003,0.0059718564,0.6846188604831696,1280,0.2,32.16982650756836,103.72873074114322,-0.0027053191101003905,-0.6768899630755186
14336,-517.8463745882353,22,7,637,806.8235294117648,0.065380859375,0.0003,0.004341623,0.8050679415464401,1290,0.2,4.431063652038574,74.90959747731685,0.00032010018730943557,-0.747642177529633
16384,-523.1957325263159,25,8,633,812.421052631579,0.07177734375,0.0003,0.0077674845,0.8278965651988983,1300,0.2,5.5916523933410645,69.41473910361529,-0.002877904361957917,-0.7563843909651041
18432,-530.2530661363636,29,9,619,829.7727272727273,0.05673828125,0.0003,0.0064693326,0.8259521126747131,1310,0.2,10.177020072937012,71.37987551912666,-0.002603056142834248,-0.7009251739829778
20480,-523.31514912,32,10,632,813.32,0.066552734375,0.0003,0.0061810026,0.7647524476051331,1320,0.2,12.991252899169922,110.19628071039915,-0.0016930731348111295,-0.6611550804227591
22528,-528.1839773703704,35,11,632,827.1481481481482,0.0447265625,0.0003,0.0051120343,0.8230397403240204,1330,0.2,22.930335998535156,126.36321856975556,-0.002236009829357499,-0.6610414821654558
24576,-532.420785,38,12,631,827.9310344827586,0.1220703125,0.0003,0.01912431,0.8879807814955711,1340,0.2,3.3330559730529785,59.30526931360364,-0.004287665746960556,-0.7929762488231062
26624,-532.8422766875,42,13,633,822.21875,0.07880859375,0.0003,0.0078282785,0.8987969160079956,1350,0.2,8.435888290405273,57.856495577842,-0.0018774392527120653,-0.7885863678529859
28672,-528.7593332647058,46,14,620,823.7941176470588,0.07060546875,0.0003,0.004383169,0.8600005060434341,1360,0.2,4.454128742218018,101.89580106437207,-0.0014280568102549296,-0.7372839944437146
30720,-534.3070968378379,50,15,609,828.6486486486486,0.0326171875,0.0003,0.020892415,0.9371431618928909,1370,0.2,152.4737548828125,58.97851077467203,-0.002777261671872111,-0.5854166976176203
32768,-537.0326038717949,53,16,609,823.0,0.081591796875,0.0003,0.008098114,0.951342798769474,1380,0.2,5.661593437194824,57.095705723762514,-0.0010466556806932204,-0.7308290949091315
34816,-540.7516218780488,57,17,606,831.6341463414634,0.107666015625,0.0003,0.0057012066,0.841482937335968,1390,0.2,18.167936325073242,44.499240924417975,0.0005496020130522083,-0.7672634109854698
36864,-541.845084,61,18,600,828.3409090909091,0.123779296875,0.0003,0.012846146,0.9432291835546494,1400,0.2,3.181030750274658,37.61758455261588,-0.0020350510298158043,-0.7666518822312355
38912,-535.8643423829787,64,19,601,821.1063829787234,0.0505859375,0.0003,0.0043082116,0.823730930685997,1410,0.2,7.265990734100342,111.38185558617116,-0.0016459579150250648,-0.7081824723631144
40960,-536.3205036938776,69,20,590,824.8163265306123,0.062060546875,0.0003,0.009062409,0.8624825477600098,1420,0.2,32.12047576904297,97.33331337273121,-0.005382358838687651,-0.7240107594057917
