time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
294,39.1974266,636.9,223232,109,757,0.0003,0.5335655808448792,0.2,40.25092315673828,0.0027327533,137.42137396484614,1080,-0.8610337352380156,0.015185546875,-0.001079914223009837
296,39.7201637,624.78,225280,110,758,0.0003,0.6627548635005951,0.2,2.8163211345672607,0.0065131616,77.391649992764,1090,-0.8730047736316919,0.07587890625,-0.0036758218411705457
300,41.86475805,636.17,227328,111,757,0.0003,0.6687948703765869,0.2,45.50212860107422,0.004558688,103.19200749993324,1100,-0.782578744739294,0.016650390625,-0.001705903255060548
302,41.39144938999999,643.24,229376,112,757,0.0003,0.5367580354213715,0.2,75.59797668457031,0.004449288,81.01130841076375,1110,-0.6394761663861572,0.03623046875,-0.0030432456806011032
305,41.38915606,646.14,231424,113,757,0.0003,0.5744416415691376,0.2,6.668298721313477,0.0066649257,132.64512876421213,1120,-0.840603488124907,0.060302734375,-0.002123527429648675
308,37.19287768000001,643.59,233472,114,755,0.0003,0.41282910108566284,0.2,74.35110473632812,0.003344985,191.09364833235742,1130,-0.7716568548232317,0.0099609375,-0.002074267584248446
312,35.94519878,652.52,235520,115,754,0.0003,0.632341742515564,0.2,62.61309814453125,0.0053045987,102.49176610708237,1140,-0.8827714875340462,0.027587890625,-0.002684185320686083
315,35.70627404000001,648.06,237568,116,752,0.0003,0.5159030556678772,0.2,26.529539108276367,0.00833972,111.67630805522204,1150,-0.906077079102397,0.079736328125,-0.004863491007563425
318,34.281392770000004,650.66,239616,117,751,0.0003,0.5955149233341217,0.2,8.632486343383789,0.006960312,129.22203029692173,1160,-0.8431895455345512,0.05625,-0.0030887644941685723
321,34.861558800000005,652.03,241664,118,750,0.0003,0.7557434886693954,0.2,5.974095344543457,0.0043901633,66.15255948901176,1170,-0.7686669029295444,0.03779296875,-0.0013178828110540052
324,33.483186759999995,657.41,243712,119,750,0.0003,0.6527125835418701,0.2,75.67181396484375,0.00617758,76.87703638076782,1180,-0.8249106237664818,0.043798828125,-0.004943690088839503
327,34.07883717000001,659.03,245760,120,749,0.0003,0.6843602359294891,0.2,10.95800495147705,0.005788328,93.88373415768146,1190,-0.7671018758788705,0.052001953125,-0.004660578943730798
330,30.39122678,651.76,247808,121,749,0.0003,0.7249581813812256,0.2,23.784608840942383,0.0042390022,102.24398098215461,1200,-0.8376655332744122,0.067333984375,-0.0029696395657083487
333,31.245591029999996,655.76,249856,122,749,0.0003,0.559145987033844,0.2,116.91152954101562,0.0051131765,200.29375795722007,1210,-0.7980493245646357,0.028271484375,-0.00350537088670535
336,26.830256979999998,653.61,251904,123,748,0.0003,0.7631201148033142,0.2,18.4974422454834,0.00597073,98.65757236778737,1220,-0.8245897566899657,0.04599609375,-0.007699604053777875
2,-734.122026,1000.0,2048,1,875,0.0003,0.8192677944898605,0.2,91.39707946777344,0.0042436933,125.50156354308129,1230,-0.7517687644809484,0.038232421875,-0.002258736293151742
5,-632.62219625,908.5,4096,2,774,0.0003,0.883828692138195,0.2,2.9997737407684326,0.008067196,58.98242961168289,1240,-0.8607646260410547,0.120166015625,-0.003873792022932321
8,-583.6697141428571,834.7142857142857,6144,3,713,0.0003,0.7877930849790573,0.2,310.9221496582031,0.005913248,83.11037018299103,1250,-0.8730925528332592,0.063232421875,-0.0014105983042099978
