rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates
818.44,700,190,65,-42.29617615000001,133120,0.0541015625,0.0003,0.0068589244,0.7967168241739273,-0.8469786318019032,2.2367947101593018,-0.0015417643779073841,0.2,25.532864063233138,640
830.59,698,193,66,-38.93511518,135168,0.050634765625,0.0003,0.004416208,0.7287063598632812,-0.8296145426109434,2.1544697284698486,-0.0007243512649438344,0.2,20.71052537187934,650
839.52,695,197,67,-36.80401272999999,137216,0.065576171875,0.0003,0.004099164,0.472851037979126,-0.8822949506342411,3.907970905303955,-0.002250169519538758,0.2,20.049283085763456,660
848.28,695,200,68,-35.02961256,139264,0.02900390625,0.0003,0.002939886,0.6596737205982208,-0.8515662848949432,4.683979511260986,-7.64606760640163e-05,0.2,20.904449977725744,670
856.51,690,204,69,-34.06499021,141312,0.041064453125,0.0003,0.006575129,0.7908155620098114,-0.8551824567839503,3.0375454425811768,-0.0025227608581189997,0.2,31.110577197372912,680
861.1,684,209,70,-32.79913755,143360,0.0625,0.0003,0.004967667,0.6102088093757629,-0.8800709430128336,16.608783721923828,-0.005156731951865367,0.2,32.77629764825106,690
873.78,682,213,71,-32.02373285,145408,0.0423828125,0.0003,0.004013986,0.7507760673761368,-0.8580672902986407,1.8698638677597046,-0.00021519221336347983,0.2,21.967189537733795,700
893.4,682,216,72,-30.44235,147456,0.0916015625,0.0003,0.006511737,0.33342379331588745,-0.8775667259469628,2.2904956340789795,-0.0018618421083374415,0.2,19.907022815197706,710
904.73,679,220,73,-27.47933955,149504,0.031494140625,0.0003,0.0019295109,0.7924704551696777,-0.807256436161697,6.042901515960693,-0.0005907378545089159,0.2,63.1540054962039,720
920.28,673,225,74,-24.890855549999998,151552,0.049951171875,0.0003,0.003765033,0.624225527048111,-0.8045572428032756,5.8079633712768555,-0.0023092518065823244,0.2,20.458177782595158,730
926.6,669,229,75,-23.407760559999996,153600,0.0361328125,0.0003,0.005399996,0.7809325158596039,-0.8168281676247716,2.3392081260681152,-0.00024129392550094054,0.2,19.198034919798374,740
938.74,667,233,76,-21.125721159999998,155648,0.0705078125,0.0003,0.005881546,0.6217454969882965,-0.8007980775088072,2.660435914993286,-0.003486349715240067,0.2,19.166365826874973,750
939.24,664,237,77,-21.35034265,157696,0.03466796875,0.0003,0.0029666065,0.8662722259759903,-0.8192422803491354,1.9497098922729492,-0.0001919242800795473,0.2,19.54992204606533,760
