time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/policy_gradient_loss
106496,52,220,-31.24739386,483,777.09,0.641870766878128,72.00057695955039,0.2,0.056201171875,5.497734069824219,0.0056496076,0.0003,0.6912328600883484,-2.099360177665949,510,-0.0023449009757314345
108544,53,224,-26.211959239999995,483,798.38,0.8582776188850403,34.997333149518816,0.2,0.12197265625,0.2145160436630249,0.0079690255,0.0003,0.6813931465148926,-2.077728109806776,520,-0.0006131990987341851
110592,54,228,-24.125301269999994,483,805.88,0.8071230053901672,64.3152003992349,0.2,0.06318359375,324.3996276855469,0.008282389,0.0003,0.6826563477516174,-2.0680291622877123,530,-0.0013463744357068209
112640,55,233,-22.60428631,483,813.88,0.8147321045398712,41.87101709078998,0.2,0.06513671875,0.5469256043434143,0.005626019,0.0003,0.6734045743942261,-2.0554871916770936,540,0.001528500742642791
114688,56,238,-21.800807759999998,481,825.66,0.8178675323724747,35.27403971850872,0.2,0.069189453125,1.1588358879089355,0.009700557,0.0003,0.6640530824661255,-2.029236076027155,550,0.0007141645488445647
116736,57,242,-17.156082959999996,481,848.58,0.7298835515975952,52.89861039854586,0.2,0.0796875,2.140045642852783,0.008053954,0.0003,0.6684954166412354,-2.018343614041805,560,-0.0037237973854644226
118784,58,245,-10.446480450000001,482,861.59,0.6539721190929413,131.0192727431655,0.2,0.013671875,47.70167922973633,0.0042591942,0.0003,0.6661574840545654,-2.026274786889553,570,-0.0027805462981632446
120832,59,251,-7.138393119999998,479,874.87,0.45375484228134155,177.9445915788412,0.2,0.01875,181.2180938720703,0.003395422,0.0003,0.6640390157699585,-2.01893415004015,580,-0.002031553778761008
122880,60,256,-6.3981201400000005,479,890.93,0.8732687532901764,31.525150252878667,0.2,0.114697265625,1.1157870292663574,0.011590429,0.0003,0.671635627746582,-2.0268434725701807,590,-0.003626756696758093
124928,61,260,-3.6055438599999996,479,906.66,0.8435502350330353,32.26336951777339,0.2,0.07490234375,1.0151000022888184,0.005889943,0.0003,0.6676394939422607,-2.031513047218323,600,-0.006109502028266434
126976,62,264,-2.66858979,479,903.16,0.7605514824390411,49.767568164691326,0.2,0.066845703125,8.557251930236816,0.004890467,0.0003,0.6653745174407959,-2.0236905716359614,610,-0.003706855112250196
129024,63,269,0.36850629000000096,477,916.1,0.6516719162464142,110.79557235985995,0.2,0.038720703125,35.693565368652344,0.0060498826,0.0003,0.6653003692626953,-2.0184070453047753,620,-0.0058388089411891995
131072,64,275,0.9732139400000008,476,916.26,0.8023980408906937,39.122248247638346,0.2,0.09560546875,0.8112960457801819,0.007681772,0.0003,0.665382981300354,-2.0208022490143778,630,0.0007196373626356944
133120,65,279,0.7979292800000004,475,911.71,0.7383457124233246,64.70133023895323,0.2,0.07880859375,26.028417587280273,0.009767942,0.0003,0.6679060459136963,-2.0225009605288506,640,-0.006084335267223651
135168,66,283,5.453083869999998,476,912.94,0.689064234495163,107.87604644447565,0.2,0.032568359375,43.38273239135742,0.004138298,0.0003,0.6651279926300049,-2.0219644740223885,650,-0.004053176259731117
137216,67,286,6.393155239999999,478,900.55,0.6910640895366669,121.91810750812292,0.2,0.0349609375,28.19757080078125,0.0043639997,0.0003,0.6645272374153137,-2.0159729309380054,660,-0.002560344744415488
139264,68,291,5.422951689999998,478,896.93,0.8272489458322525,89.50851835608482,0.2,0.0666015625,15.361841201782227,0.0072409054,0.0003,0.6621429920196533,-2.0127602972090246,670,-0.0064268996691680515
141312,69,295,6.494591999999998,478,891.17,0.6979679763317108,72.15592918358743,0.2,0.11298828125,11.524524688720703,0.0072653643,0.0003,0.6568387150764465,-1.9995829299092294,680,-0.00251825527739129
143360,70,300,8.836613279999996,476,891.17,0.8317213505506516,66.4324992135167,0.2,0.07177734375,5.795769214630127,0.006600011,0.0003,0.6621085405349731,-1.998940023034811,690,-0.00678571194257529
145408,71,305,6.369879589999998,476,882.11,0.9007110968232155,23.1772566601634,0.2,0.104150390625,0.9929735660552979,0.008152768,0.0003,0.6712068319320679,-2.0240129508078097,700,-0.004572822617774364
147456,72,309,7.617645209999999,475,877.9,0.7237024009227753,106.78233991414308,0.2,0.0337890625,367.899658203125,0.0057345154,0.0003,0.6646096706390381,-2.0244670152664184,710,-0.0013636259565828369
149504,73,313,6.245008799999998,476,871.44,0.7813188582658768,82.64978474490344,0.2,0.09013671875,7.218844413757324,0.011372328,0.0003,0.6637018918991089,-2.015987604856491,720,-0.0021786270139273257
151552,74,316,6.460505439999999,478,858.03,0.7794545888900757,71.2513405656442,0.2,0.047265625,28.335540771484375,0.006338912,0.0003,0.6703454256057739,-2.0225144796073438,730,-0.002763559081358835
