time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range,train/value_loss
223232,109,274,60.58007775,811,475.1,11.671758651733398,-0.5859999661333859,0.505558043718338,0.023193359375,1080,-0.002497205731924623,0.0003,0.0024089497,0.2,218.22338206470013
225280,110,276,61.33419866,813,460.57,366.5734558105469,-0.7464797347784042,0.35447800159454346,0.10927734375,1090,-0.004691828313661972,0.0003,0.009102342,0.2,132.2171124741435
227328,111,279,59.618655129999986,814,462.94,335.96893310546875,-0.7220346545800567,0.5736432075500488,0.061181640625,1100,-0.00289624064535019,0.0003,0.005847235,0.2,158.34335613846778
229376,112,281,59.33809058000001,816,462.37,24.533313751220703,-0.6780821098014712,0.5787689387798309,0.07041015625,1110,-0.0020414695449289867,0.0003,0.0070210965,0.2,170.16973775178195
231424,113,283,59.20399431999999,817,444.58,15.433317184448242,-0.7695237701758743,0.6823015213012695,0.06533203125,1120,-0.0048355915540014395,0.0003,0.00683955,0.2,183.39728487432004
233472,114,285,64.32875927,818,440.06,14.67171573638916,-0.7448893317952752,0.49405813217163086,0.062451171875,1130,-0.004956507236056495,0.0003,0.003442318,0.2,184.4545210123062
235520,115,287,62.30593383,819,430.8,5.849209308624268,-0.6859649008139967,0.6078427731990814,0.056103515625,1140,0.00021188229657127523,0.0003,0.008842802,0.2,102.92739201188087
237568,116,289,65.57003166999999,820,411.18,24.396148681640625,-0.6728242371231318,0.39209383726119995,0.02919921875,1150,-0.0032802841222292047,0.0003,0.0029568234,0.2,241.5473107844591
239616,117,291,63.208070830000004,822,405.5,68.98434448242188,-0.6892737461254,0.6329727470874786,0.077099609375,1160,-0.004150882042813464,0.0003,0.0065789977,0.2,193.24073575735093
241664,118,293,64.58453792,823,392.56,46.28043746948242,-0.6698616946116089,0.2824594974517822,0.004833984375,1170,-0.0003072654843890632,0.0003,0.0024923212,0.2,256.6416105866432
243712,119,295,58.24159009000001,825,396.8,13.618243217468262,-0.7032886823639274,0.5084258317947388,0.079931640625,1180,-0.0011579931902815587,0.0003,0.008077132,0.2,130.79565981775522
245760,120,297,54.129939590000006,827,389.18,176.5719757080078,-0.7499854868277908,0.7601248621940613,0.11552734375,1190,-0.0035101148787362035,0.0003,0.008423198,0.2,166.89206803441047
247808,121,299,53.53214333,827,395.16,176.0761260986328,-0.715892275236547,0.5371036231517792,0.028125,1200,-0.0013805591770505998,0.0003,0.0055439784,0.2,316.58813098073006
249856,122,301,53.60287373000001,828,396.12,86.16952514648438,-0.6741716938093305,0.8330132514238358,0.079443359375,1210,-0.002294189968961291,0.0003,0.0059664315,0.2,175.6152900785208
251904,123,304,53.66706201000001,827,392.6,20.570167541503906,-0.6708018900826573,0.5948686301708221,0.055322265625,1220,-0.0026179128588410096,0.0003,0.0058563417,0.2,147.50083128809928
2048,1,1,-7.75,1288,361.0,3.9212779998779297,-0.6670790735632182,0.4511001706123352,0.115869140625,1230,-0.00219752121847705,0.0003,0.01959508,0.2,97.49683535657823
4096,2,3,9.926666666666668,1096,445.0,10.516368865966797,-0.7159848380833864,0.7344505190849304,0.117724609375,1240,-0.0035987312316137833,0.0003,0.017706294,0.2,64.39900822490453
6144,3,6,9.421666666666669,932,503.5833333333333,14.99080753326416,-0.6437334408983588,0.7048685550689697,0.070751953125,1250,-0.004071150217350805,0.0003,0.0056835013,0.2,46.552822998166086
