rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss
747.32,521,440,0.9968918800000001,229376,112,0.053173828125,0.0003,303.0801086425781,-0.006073461645428324,0.0041878857,0.556583046913147,1110,0.2,0.6628835201263428,-1.6659459166228772,226.9445475310087
747.22,521,444,3.027461450000002,231424,113,0.091259765625,0.0003,1.0247474908828735,0.00014089349861023948,0.008872867,0.5480716228485107,1120,0.2,0.9396708980202675,-1.6496140252798797,21.87763737682253
746.56,521,447,3.044218080000002,233472,114,0.058837890625,0.0003,52.858558654785156,-0.0041818324156338346,0.0056101996,0.5478280782699585,1130,0.2,0.8041945993900299,-1.6337784990668296,86.22489603310824
734.57,522,450,2.068804180000001,235520,115,0.065478515625,0.0003,2.1240265369415283,-0.0009749451324751135,0.008685531,0.5451651811599731,1140,0.2,0.875933401286602,-1.6292141579091548,67.32656474262475
734.98,522,454,5.075274180000001,237568,116,0.070361328125,0.0003,17.990623474121094,-0.004557980328900158,0.010429013,0.5457045435905457,1150,0.2,0.8349913358688354,-1.6241902846843004,119.99266208857298
743.13,522,458,8.504721150000002,239616,117,0.130029296875,0.0003,4.568552017211914,-0.005994439930509543,0.009274697,0.5431617498397827,1160,0.2,0.889265738427639,-1.6221536468714475,74.05616658255458
736.53,522,462,7.249967910000001,241664,118,0.098193359375,0.0003,13.1505765914917,-0.005508505195030012,0.01273448,0.5409234762191772,1170,0.2,0.675564169883728,-1.6130771428346633,115.39842402637005
736.53,521,467,6.968352910000005,243712,119,0.085302734375,0.0003,10.209442138671875,-0.000662375569663709,0.006511778,0.5403403043746948,1180,0.2,0.8773613944649696,-1.6066844519227743,43.544780186191204
730.61,521,471,9.918458340000003,245760,120,0.061865234375,0.0003,5.063429832458496,-0.0008049161784583703,0.0065141963,0.5456961393356323,1190,0.2,0.9035612568259239,-1.6149880547076463,34.82485599983484
723.51,522,474,8.560553900000002,247808,121,0.046630859375,0.0003,71.56050872802734,-0.0019059153994021472,0.005316172,0.5428885817527771,1200,0.2,0.7403186559677124,-1.6210418861359357,127.32322949320078
