rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss
857.06,177,728,-6.530780780000002,63,129024,0.0065958095,22.31881332397461,620,0.5774795114994049,0.037353515625,0.0003,0.2,-0.0033765467265766346,164.94441139400004,-0.7971501164138317
860.49,179,729,1.2778114599999995,64,131072,0.0039290264,4.443490505218506,630,0.6928922832012177,0.026806640625,0.0003,0.2,-0.0017162595995614538,96.90958620235324,-0.7957142444327474
853.17,181,731,4.57350506,65,133120,0.003956529,41.14493179321289,640,0.3417642116546631,0.014501953125,0.0003,0.2,-0.0014824962883722038,220.16485771089793,-0.820138200558722
841.16,184,733,9.476063860000002,66,135168,0.0028729592,83.69342041015625,650,0.34871917963027954,0.017626953125,0.0003,0.2,-0.0020307566122937716,215.4679009795189,-0.757461235113442
828.6,186,733,12.332656800000002,67,137216,0.0023705652,59.84922409057617,660,0.5941545367240906,0.013134765625,0.0003,0.2,-0.0007219360337330727,156.1932455033064,-0.7367623100057245
800.13,189,736,14.56979466,68,139264,0.0048219203,53.508018493652344,670,0.3133637309074402,0.0396484375,0.0003,0.2,-0.0009600032761227339,119.61251435279846,-0.7421847997233272
773.25,191,738,17.743426899999996,69,141312,0.00530011,147.34483337402344,680,0.31990015506744385,0.04833984375,0.0003,0.2,-0.003781679673556937,226.31069308519363,-0.7384327068924904
761.13,193,740,16.38379633,70,143360,0.0069921985,33.85025405883789,690,0.34060972929000854,0.061474609375,0.0003,0.2,-0.0034819663414964452,278.4530363023281,-0.8054259512573481
745.7,195,742,16.137092730000003,71,145408,0.0046353713,46.8286018371582,700,0.49673736095428467,0.056640625,0.0003,0.2,-0.002744010344031267,128.5990688122809,-0.7376152094453573
723.67,198,744,20.49061717,72,147456,0.009340631,164.26771545410156,710,0.4945424199104309,0.0859375,0.0003,0.2,-0.005007802837644704,184.26355475187302,-0.6841934267431498
703.18,200,745,22.029761360000002,73,149504,0.0021886465,5.827939033508301,720,0.41564422845840454,0.037890625,0.0003,0.2,-0.0031205234645312885,152.90661526024343,-0.7164490019902587
677.36,202,747,21.025787899999997,74,151552,0.0041838447,68.85892486572266,730,0.46020883321762085,0.0431640625,0.0003,0.2,-0.0027656358357489807,193.90783149898053,-0.7897600473836064
652.16,205,749,22.26508792,75,153600,0.004156743,153.9665069580078,740,0.44400548934936523,0.01650390625,0.0003,0.2,-0.0017228839307790623,300.129671344161,-0.8270690511912108
639.65,207,750,22.73105426,76,155648,0.006411879,97.21685028076172,750,0.5774419605731964,0.058251953125,0.0003,0.2,-0.004090095467108768,212.68776716291904,-0.793004540912807
622.72,210,750,23.307066589999994,77,157696,0.004194714,16.042009353637695,760,0.4408959746360779,0.093701171875,0.0003,0.2,-0.0032150660605111624,222.74837546348573,-0.6510950425639749
608.85,212,752,25.69581124,78,159744,0.008556351,160.46566772460938,770,0.5507632195949554,0.083837890625,0.0003,0.2,-0.0021984970138873906,127.36302952766418,-0.6789754880592227
589.27,214,753,26.494376799999994,79,161792,0.004332168,52.51700210571289,780,0.533368855714798,0.0435546875,0.0003,0.2,-0.003043425413488876,198.96431019753217,-0.8011787205934524
