rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss
539.38,41.77448364999999,759,237568,116,312,-0.0003680573259771336,0.004536243,0.033154296875,0.0003,0.2,-0.7039174439385534,147.66738113090395,1150,0.6068632304668427,10.601486206054688
534.08,32.911407329999996,760,239616,117,314,-0.0013123848533723504,0.0067447703,0.080078125,0.0003,0.2,-0.7266007121652365,118.65586808025837,1160,0.6462731659412384,27.56515884399414
533.07,34.55038107,761,241664,118,317,-0.0010804624482261716,0.0054151374,0.03330078125,0.0003,0.2,-0.7422172632068396,328.725086414814,1170,0.4507591128349304,137.92955017089844
531.07,33.95443056,761,243712,119,320,-0.004258557399407436,0.005717313,0.084716796875,0.0003,0.2,-0.6759559186175466,180.12514684200286,1180,0.5119446218013763,105.51756286621094
525.17,32.40427132,762,245760,120,322,-0.0027158365897776092,0.008090035,0.05263671875,0.0003,0.2,-0.5678423706442117,189.23798457980155,1190,0.6535199880599976,47.17594528198242
517.53,36.48363385,763,247808,121,324,-0.002053628591966117,0.0026965819,0.06513671875,0.0003,0.2,-0.6231983127072453,108.86036725342274,1200,0.8055497854948044,214.44357299804688
529.18,37.60060006,763,249856,122,327,-0.001603993520984659,0.0029340177,0.030615234375,0.0003,0.2,-0.5326354729942977,142.44499544501303,1210,0.6260048747062683,40.73036193847656
532.19,39.14286632,764,251904,123,329,-0.0028797362683690153,0.018254874,0.107568359375,0.0003,0.2,-0.5852543137967586,95.85025544017553,1220,0.6602775156497955,58.28378677368164
373.0,-180.18803319999998,1352,2048,1,1,-0.0003249522269470617,0.0047866544,0.03271484375,0.0003,0.2,-0.6236050707288087,127.20413564145565,1230,0.7224467694759369,21.715425491333008
403.2,-194.40241260000002,1100,4096,2,3,-0.002444375687991851,0.0067381607,0.073388671875,0.0003,0.2,-0.72564731631428,211.5112286835909,1240,0.6395329535007477,73.9290542602539
374.125,-212.6013629375,1069,6144,3,5,-0.0032309854410414117,0.0044368487,0.069970703125,0.0003,0.2,-0.6280663078650832,160.57245154380797,1250,0.5993694961071014,22.055767059326172
403.1,-217.40216815,977,8192,4,8,-0.00019122144476568792,0.0044311984,0.090185546875,0.0003,0.2,-0.7289986470714211,244.9074955254793,1260,0.7347777485847473,223.71499633789062
415.6666666666667,-221.65182170833336,977,10240,5,10,-0.001197313264128752,0.014603267,0.089453125,0.0003,0.2,-0.6687169911339879,99.42490650862456,1270,0.7958671152591705,4.034589767456055
420.3448275862069,-219.54827606896552,917,12288,6,13,0.0009688794336398133,0.008420823,0.101953125,0.0003,0.2,-0.6794386440888047,106.92981624603271,1280,0.7922605276107788,15.665780067443848
