time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/entropy_loss
129024,63,551,823.81,-24.63331118,234,0.6512267291545868,0.093994140625,0.2,0.008547515,25.566601673513652,-0.0033806634266511535,0.0003,0.6694557666778564,620,3.3009111881256104,-2.04030873849988
131072,64,547,838.84,-21.394453760000005,239,0.7698412835597992,0.04697265625,0.2,0.005046658,36.20688484236598,-0.0024452976402244532,0.0003,0.6591517925262451,630,9.942329406738281,-2.018177679181099
133120,65,541,855.46,-18.806723810000005,245,0.4436033368110657,0.0802734375,0.2,0.007272538,69.15652454718948,0.00035989218158647416,0.0003,0.6524511575698853,640,300.463134765625,-1.990191311761737
135168,66,540,862.97,-18.2188826,250,0.7857512831687927,0.07861328125,0.2,0.007981183,26.463492166250944,-0.004052685871283756,0.0003,0.6428664922714233,650,5.2514543533325195,-1.9637404907494784
137216,67,537,869.73,-17.597341390000004,255,0.6974959373474121,0.06767578125,0.2,0.006236584,38.86229188553989,-0.0033616989734582604,0.0003,0.6296764612197876,660,1.846396803855896,-1.9271218422800303
139264,68,533,871.81,-15.319842200000005,260,0.8347021490335464,0.058447265625,0.2,0.005158608,51.016086341440676,-0.0015468802681425585,0.0003,0.630757212638855,670,3.2939562797546387,-1.9105100430548192
141312,69,533,877.69,-12.772427840000008,264,0.8067227154970169,0.0640625,0.2,0.00685947,37.30255410894752,-0.0026994540603482164,0.0003,0.6205519437789917,680,1.3878967761993408,-1.8993185691535472
143360,70,530,889.6,-10.565977090000011,270,0.8046767115592957,0.0548828125,0.2,0.006555084,27.352996020019056,-0.0028695875545963643,0.0003,0.6129254102706909,690,3.2460403442382812,-1.8727152552455664
145408,71,526,896.45,-9.738818340000005,275,0.6009824872016907,0.061376953125,0.2,0.006475035,53.220194016397,-0.002945885801455006,0.0003,0.6089272499084473,700,3.9177677631378174,-1.8520670235157013
147456,72,525,901.84,-8.848009190000006,280,0.6937021613121033,0.066357421875,0.2,0.005538122,42.32292710356414,-0.00352017026161775,0.0003,0.6082054376602173,710,2.947453498840332,-1.8412432190030814
149504,73,522,908.82,-7.083515670000004,285,0.7723155468702316,0.08076171875,0.2,0.008825965,33.275930882245305,-0.001694908303761622,0.0003,0.6013516187667847,720,3.6189889907836914,-1.8307056315243244
151552,74,518,907.89,-6.439869230000004,292,0.6619158387184143,0.0787109375,0.2,0.0052533643,30.403226213529706,-0.001727145878248848,0.0003,0.6039028763771057,730,190.00611877441406,-1.8210325486958028
153600,75,517,910.21,-3.8241226300000037,296,0.4183032512664795,0.069677734375,0.2,0.00568617,74.41128029823304,-0.000704383134143427,0.0003,0.6017860770225525,740,227.7371826171875,-1.8228758499026299
155648,76,514,920.2,-0.0987955800000048,302,0.5694203972816467,0.0728515625,0.2,0.0059838393,35.631136206910014,0.0008312649886647705,0.0003,0.6002054214477539,750,250.31675720214844,-1.8164128251373768
157696,77,514,914.71,-3.1158529500000043,306,0.6812443733215332,0.114208984375,0.2,0.010451278,31.35642578266561,-0.006188536768604536,0.0003,0.6016846895217896,760,2.1724462509155273,-1.8160678114742042
159744,78,513,909.39,3.309500379999995,311,0.5147448182106018,0.051806640625,0.2,0.0073305005,114.71786210164427,-0.003216316552425269,0.0003,0.6016124486923218,770,47.61323928833008,-1.8187531791627407
161792,79,512,915.71,1.9236735199999975,315,0.7974822819232941,0.083642578125,0.2,0.010565261,30.226557839661837,-0.0011126527431770227,0.0003,0.6007533073425293,780,14.86501693725586,-1.8151995290070773
163840,80,510,919.38,2.4034298400000003,320,0.7502092570066452,0.094189453125,0.2,0.009564364,45.60506359040737,-0.002090500462509226,0.0003,0.5954703688621521,790,1.3530724048614502,-1.8048126455396414
165888,81,509,913.67,4.75712724,325,0.22799742221832275,0.07880859375,0.2,0.009328065,72.93199365139007,-0.004540467461265507,0.0003,0.5891121029853821,800,283.68829345703125,-1.784209755063057
167936,82,506,919.5,9.20135912,331,0.29254937171936035,0.082470703125,0.2,0.008414131,74.61040655821562,-0.0017746453697327525,0.0003,0.585302472114563,810,7.48002290725708,-1.7656776774674654
169984,83,506,916.39,8.87185291,335,0.4510943293571472,0.03916015625,0.2,0.004050477,62.65326257906854,-0.001954077427944867,0.0003,0.5805956125259399,820,39.590919494628906,-1.7515572402626276
172032,84,506,911.66,12.574722479999998,339,0.5994908809661865,0.05751953125,0.2,0.0070517994,119.77745155468583,-0.0012172505768830888,0.0003,0.5756291151046753,830,15.233027458190918,-1.7330848574638367
174080,85,507,910.15,17.091148829999998,342,0.40601402521133423,0.068603515625,0.2,0.0057186596,87.71639023125172,-0.004922953003188013,0.0003,0.570559024810791,840,6.798019886016846,-1.7158806554973125
176128,86,504,910.15,19.08328672,348,0.6254395842552185,0.06669921875,0.2,0.007844243,61.36203850992024,-0.0010261698451358825,0.0003,0.5693747997283936,850,33.713016510009766,-1.7040149595588445
178176,87,504,910.15,16.013876380000003,353,0.6292374730110168,0.09365234375,0.2,0.0077581163,51.735483607277274,0.0017211390208103695,0.0003,0.570878267288208,860,1.0428475141525269,-1.71044794395566
180224,88,503,905.55,15.067204030000001,357,0.635473370552063,0.121826171875,0.2,0.009730404,25.81979803983122,-0.0020727139082737265,0.0003,0.5746415853500366,870,91.8206558227539,-1.7179160255938768
182272,89,503,901.63,16.63883675,361,0.39270901679992676,0.103515625,0.2,0.011000867,99.47156527545303,-0.003929637186956825,0.0003,0.5759717226028442,880,1.3247649669647217,-1.7289651915431024
184320,90,500,901.63,16.59101354,368,0.43782055377960205,0.073876953125,0.2,0.0061727664,67.1954907760024,-0.0011945437370741274,0.0003,0.5733327865600586,890,6.508599758148193,-1.7250089429318904
186368,91,498,899.12,20.268754719999997,373,0.7269989252090454,0.088134765625,0.2,0.00946781,31.199088253825902,-0.0017806970223318785,0.0003,0.5595067143440247,900,2.6665115356445312,-1.6936869468539952
