time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl
4,8192,732,-633.02,11,750.7,0.7737492322921753,6.984864234924316,-0.0018622903888172004,0.0365234375,0.0003,1260,-0.8514143258333207,0.2,66.53296962380409,0.0048850644
5,10240,706,-602.9250000000001,14,714.9285714285714,0.873245432972908,2.52068829536438,-0.0013518960433430039,0.03994140625,0.0003,1270,-0.818579856865108,0.2,58.482777224481104,0.0054130983
6,12288,690,-611.834375,17,746.4375,0.8428803831338882,39.50041580200195,-0.002764357849082444,0.0525390625,0.0003,1280,-0.8756285775452852,0.2,71.07192275822163,0.005098662
7,14336,696,-614.2750000000001,20,762.9444444444445,0.9348904937505722,11.106148719787598,-0.004412627517012879,0.06923828125,0.0003,1290,-0.8683097502216697,0.2,57.86996361464262,0.015657712
8,16384,676,-593.9690476190475,24,763.7619047619048,0.7672359794378281,64.58621978759766,-0.005608643794403179,0.138232421875,0.0003,1300,-0.8822087183594703,0.2,86.77194615006447,0.012960074
9,18432,658,-604.9782608695651,28,770.2173913043479,0.921325795352459,16.703203201293945,-0.004199913651973475,0.100927734375,0.0003,1310,-0.8248462563380599,0.2,87.16883617043496,0.013308868
10,20480,667,-608.0826923076922,30,778.6153846153846,0.8681635111570358,6.278520584106445,-0.004454709640413057,0.08388671875,0.0003,1320,-0.8887120636180044,0.2,65.15075000971555,0.010087239
11,22528,670,-604.4931034482757,33,775.7586206896551,0.8818062245845795,36.708126068115234,-0.002835929807042703,0.08134765625,0.0003,1330,-0.8867293717339635,0.2,85.32586650252343,0.013750235
12,24576,679,-603.5046874999999,36,767.625,0.86136095225811,31.969972610473633,-0.0039940963177286905,0.08251953125,0.0003,1340,-0.8808765010908246,0.2,63.40243828818202,0.008275946
13,26624,686,-586.1214285714285,38,758.0857142857143,0.8920652121305466,2.414390802383423,9.430427016923204e-05,0.043798828125,0.0003,1350,-0.8852208254858851,0.2,43.451176369935276,0.0049583646
