time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl
942,55296,27,364.6,58,-99.67549163,260,127.55232241153718,-0.003054740412335377,-1.0732339520007372,0.0003,0.2,0.7469387650489807,0.031884765625,20.479053497314453,0.0062152673
930,57344,28,381.29,61,-96.10988852999999,270,53.60418006181717,-0.009029282565461472,-1.1328639537096024,0.0003,0.2,0.8508265763521194,0.10498046875,12.23845100402832,0.010365244
927,59392,29,391.54,64,-95.23819443999999,280,42.50415702164173,-0.007676979283132823,-1.0981904599815606,0.0003,0.2,0.8970171511173248,0.05478515625,197.2675323486328,0.0074750492
909,61440,30,417.82,67,-89.78671755000003,290,75.33103332817555,-0.008923834563756828,-1.0169708784669638,0.0003,0.2,0.8370107561349869,0.111083984375,193.07640075683594,0.011892856
903,63488,31,428.03,70,-88.86475948000002,300,46.788491347432135,-0.008308420694083907,-1.0227985836565494,0.0003,0.2,0.8938665837049484,0.12841796875,2.5833685398101807,0.010597363
890,65536,32,444.99,73,-85.15671326,310,102.15946374833584,-0.007023309017313295,-1.0065310584381222,0.0003,0.2,0.7761074155569077,0.05478515625,22.017126083374023,0.007278202
887,67584,33,461.59,76,-81.09809275,320,44.79845383018255,-0.007391670606011758,-0.9620673092082143,0.0003,0.2,0.9146174788475037,0.131982421875,4.9100341796875,0.010827606
881,69632,34,471.11,79,-80.63078084,330,180.600769251585,-0.003284771975449985,-0.9511202044785023,0.0003,0.2,0.6951282620429993,0.0171875,85.37444305419922,0.007002033
864,71680,35,479.22,82,-75.35879314,340,78.88408337831497,-0.0030141973995341685,-0.9374609861522913,0.0003,0.2,0.8266606479883194,0.008837890625,12.967533111572266,0.0036731632
854,73728,36,493.91,86,-76.70364493,350,39.23206093534827,-0.0066323094593826685,-0.9351025549694896,0.0003,0.2,0.894406259059906,0.071484375,1.2973077297210693,0.0047451006
853,75776,37,511.23,88,-74.84283914999997,360,45.490535949543116,-0.00512350466742646,-0.8514369059354067,0.0003,0.2,0.8742322325706482,0.097802734375,2.724217653274536,0.010504966
848,77824,38,527.69,91,-69.7904133,370,40.16218719780445,-0.0072172063941252414,-0.760163939371705,0.0003,0.2,0.8770258873701096,0.145703125,384.16754150390625,0.0110320505
843,79872,39,551.69,94,-66.39079943000002,380,39.600689970701936,-0.005799772169848438,-0.7973358333110809,0.0003,0.2,0.88340874761343,0.05048828125,1.9762822389602661,0.006486981
841,81920,40,564.2,97,-65.91791470000001,390,70.51740252524614,-0.0035499794219504112,-0.7427593026310205,0.0003,0.2,0.8641663938760757,0.0220703125,2.4874937534332275,0.0029411977
838,83968,41,578.28,100,-56.55783546,400,231.4593406111002,-0.00353553245877265,-0.8418403521180153,0.0003,0.2,0.6741972863674164,0.013037109375,21.042295455932617,0.005164501
839,86016,42,584.48,102,-49.237997130000004,410,186.9619542658329,-0.008481685895458214,-0.6603600582107901,0.0003,0.2,0.6600525081157684,0.091943359375,29.30479621887207,0.040828653
843,88064,43,582.64,104,-41.76202584,420,269.7583122193813,-0.0033091367127781267,-0.7618347542360425,0.0003,0.2,0.49706214666366577,0.05087890625,58.78211212158203,0.0068866406
846,90112,44,579.91,106,-36.14373986999999,430,428.3960695624352,-0.0035135131718561754,-0.8418822372332215,0.0003,0.2,0.4418933391571045,0.013623046875,148.54136657714844,0.0033516742
849,92160,45,590.0,108,-27.20741688999999,440,351.76370725631716,-0.002821431471238611,-0.8233890499919653,0.0003,0.2,0.5255078077316284,0.068212890625,109.09844207763672,0.0054345606
850,94208,46,603.31,110,-21.64153961,450,200.2193532884121,-0.003799979976611212,-0.7013405736535787,0.0003,0.2,0.5595506131649017,0.0294921875,39.784645080566406,0.003953572
850,96256,47,607.34,113,-13.63445091,460,221.76596542596818,-0.0033758486999431623,-0.7117948276922107,0.0003,0.2,0.6061336696147919,0.042236328125,113.7204818725586,0.009414633
852,98304,48,600.76,115,-0.556451380000002,470,182.04440118074416,-0.0061635360674699765,-0.857968402095139,0.0003,0.2,0.5414189398288727,0.051513671875,50.625457763671875,0.01801728
855,100352,49,585.15,117,4.1898452200000005,480,243.7171724140644,-0.0040097193174005955,-0.7640267997980118,0.0003,0.2,0.5232884883880615,0.09921875,43.66606521606445,0.012992065
857,102400,50,582.33,119,11.08545987,490,368.47931507825854,-0.0053629558606189676,-0.7843388054519892,0.0003,0.2,0.37900787591934204,0.0318359375,47.500450134277344,0.0049621887
859,104448,51,565.59,121,17.68679891,500,174.69275659620763,-0.0028996401551921736,-0.8016737723723054,0.0003,0.2,0.4407748579978943,0.040576171875,25.01761245727539,0.005054809
862,106496,52,543.62,123,25.09386813,510,279.58720336556433,-0.0011570436989131849,-0.7461245052516461,0.0003,0.2,0.4411976933479309,0.016259765625,44.527366638183594,0.0026599222
863,108544,53,518.52,125,27.84092022,520,206.8196738064289,-0.003028131715109339,-0.7859628025442362,0.0003,0.2,0.5521750748157501,0.026171875,40.503055572509766,0.0026532596
865,110592,54,488.95,127,33.21017046,530,296.055836892128,-0.005424580004182644,-0.6430022956803441,0.0003,0.2,0.31395554542541504,0.0275390625,52.97087097167969,0.0042003207
867,112640,55,465.55,129,40.93295679,540,269.36233734488485,-0.003947490233258577,-0.7116194697096944,0.0003,0.2,0.5168138742446899,0.039404296875,72.37100982666016,0.004923955
868,114688,56,455.64,132,48.92209255999999,550,182.9722258925438,-0.0032926020925515332,-0.6458188464865089,0.0003,0.2,0.5722962617874146,0.0607421875,20.475866317749023,0.006604962
871,116736,57,416.22,133,48.36699093,560,154.17698569595814,-0.004381318987179838,-0.8067462773993611,0.0003,0.2,0.5133010447025299,0.122119140625,26.314754486083984,0.010735433
871,118784,58,386.54,136,55.99494525,570,298.70380575060847,-0.0012056098636094247,-0.8005399275571108,0.0003,0.2,0.5489283502101898,0.015966796875,214.51806640625,0.003924242
873,120832,59,375.55,138,60.43374623,580,183.68952502012252,-0.0008580312151025282,-0.6698259888216853,0.0003,0.2,0.4194973111152649,0.030224609375,50.16358947753906,0.0036210748
876,122880,60,364.9,140,56.018143420000015,590,149.96808789968492,-0.003965993513702415,-0.7696500517427921,0.0003,0.2,0.5965514779090881,0.116455078125,16.21673583984375,0.009732424
878,124928,61,363.35,142,57.45774058000001,600,357.6917856693268,-0.003434556972933933,-0.7637016145512462,0.0003,0.2,0.4633657932281494,0.045458984375,44.084007263183594,0.003972141
879,126976,62,359.88,144,62.51309348999999,610,354.13797837495804,-0.0032557785816607065,-0.7853174502030015,0.0003,0.2,0.5771983563899994,0.017431640625,85.43927764892578,0.004340793
881,129024,63,356.0,146,64.68814584,620,163.6049424022436,-0.0020038576949445996,-0.7833926994353533,0.0003,0.2,0.4486401677131653,0.043115234375,27.498653411865234,0.0040679704
882,131072,64,347.23,148,61.68046055000001,630,174.6280245900154,-0.001923923743015621,-0.7557644128799439,0.0003,0.2,0.5623100697994232,0.0578125,18.14539337158203,0.004281817
883,133120,65,343.43,150,55.58209639,640,201.23606845140458,-0.0022813357772974996,-0.6598699672147632,0.0003,0.2,0.6672798991203308,0.0177734375,87.67022705078125,0.0028502708
885,135168,66,347.37,152,56.27798656,650,326.69192627072334,-0.004362373319600011,-0.6889940755441785,0.0003,0.2,0.5190733969211578,0.036865234375,178.83642578125,0.0052587586
886,137216,67,346.22,154,56.178699210000005,660,259.1606937110424,-0.00213686073293502,-0.7985944168642163,0.0003,0.2,0.7276511788368225,0.03134765625,29.177122116088867,0.00438706
888,139264,68,345.78,156,56.42938103,670,267.64896713495256,-0.00193319600475661,-0.7679767804220319,0.0003,0.2,0.5141139328479767,0.02939453125,37.16217803955078,0.004600441
889,141312,69,348.48,158,56.27041337000001,680,248.6392946779728,-0.003939878496021265,-0.8146570829674602,0.0003,0.2,0.6665840744972229,0.074169921875,76.14740753173828,0.0066760858
890,143360,70,346.67,161,58.85934053,690,167.3103321313858,-0.005889155113254674,-0.7106163853779435,0.0003,0.2,0.6802213788032532,0.060595703125,20.794187545776367,0.0032854243
891,145408,71,342.08,163,53.633698089999996,700,190.37702476978302,-0.004116656650876393,-0.7845847744494676,0.0003,0.2,0.7711099833250046,0.077783203125,16.39983367919922,0.009408607
893,147456,72,337.3,164,49.396861679999994,710,372.8361862897873,-0.0024385996715864167,-0.7094196237623691,0.0003,0.2,0.573356419801712,0.02314453125,128.18710327148438,0.0038820298
895,149504,73,339.11,166,54.02217949,720,230.7108967721462,-0.008526940767478664,-0.7280322851613164,0.0003,0.2,0.754728689789772,0.031103515625,18.410398483276367,0.0061432044
896,151552,74,343.35,169,53.854651989999994,730,185.11697989702225,-0.0036130753709585407,-0.6535790592432023,0.0003,0.2,0.6747677028179169,0.039111328125,308.37774658203125,0.0054780967
896,153600,75,342.9,171,49.983809140000005,740,216.88522982001305,-0.005129615525220288,-0.6224054722115397,0.0003,0.2,0.7353622615337372,0.077685546875,35.06194305419922,0.0066677034
895,155648,76,345.12,173,48.328741099999995,750,194.2977539896965,-0.006041587529762182,-0.695855350419879,0.0003,0.2,0.7384009957313538,0.068359375,347.3128662109375,0.008805834
897,157696,77,357.28,175,51.98641868000001,760,112.16619223356247,-0.003777910748613067,-0.7951147090643644,0.0003,0.2,0.8947707861661911,0.103515625,14.518306732177734,0.009368724
897,159744,78,359.26,177,47.28005227,770,136.16452105045317,-0.0029477091506123544,-0.7257493866607547,0.0003,0.2,0.8748922199010849,0.067724609375,5.102509021759033,0.006830887
898,161792,79,362.02,179,48.962787369999994,780,287.1023405611515,-0.0014977274204284186,-0.7809489171952009,0.0003,0.2,0.7506592869758606,0.02275390625,41.39216232299805,0.0031966488
899,163840,80,364.56,182,46.10168468,790,178.55294548273088,-0.003760496545146452,-0.750034817494452,0.0003,0.2,0.7368976175785065,0.043408203125,53.91323471069336,0.0040499186
899,165888,81,367.39,184,44.65803801,800,216.6311507701874,-0.0021758782448159765,-0.7141079202294349,0.0003,0.2,0.702217310667038,0.035400390625,149.10511779785156,0.0039217398
900,167936,82,368.39,186,40.42377978,810,187.51229469776155,-0.004004151502158493,-0.5895081379450857,0.0003,0.2,0.7296732366085052,0.053759765625,81.13582611083984,0.0044563245
901,169984,83,370.23,188,45.09804499999999,820,240.5081258893013,-0.003104073263966711,-0.715571827441454,0.0003,0.2,0.7797823399305344,0.02734375,73.40971374511719,0.0034675067
902,172032,84,366.13,190,45.96817657999999,830,235.93724702000617,-0.005613795521639986,-0.7950414719060064,0.0003,0.2,0.6535711586475372,0.0625,30.163530349731445,0.008183615
904,174080,85,364.3,192,47.28429931000001,840,202.0198551237583,-0.00405349528446095,-0.7262236896902323,0.0003,0.2,0.7426868081092834,0.0474609375,37.5660514831543,0.007176051
905,176128,86,366.98,194,44.23058076999999,850,282.5465046703815,-0.0012693644715909614,-0.7250953000038862,0.0003,0.2,0.608356386423111,0.02431640625,112.7236328125,0.0023443773
907,178176,87,364.95,196,41.96371366,860,185.7924339145422,-0.003606434354878729,-0.739734074473381,0.0003,0.2,0.7640090137720108,0.044775390625,272.5113525390625,0.005752559
908,180224,88,360.81,198,41.80477077000001,870,222.61800407767296,-0.0031616333446436327,-0.7461266793310642,0.0003,0.2,0.7370776832103729,0.0828125,33.873783111572266,0.009352703
910,182272,89,362.31,200,51.30489222,880,240.18158104121684,-0.0043526697088964285,-0.6768040008842945,0.0003,0.2,0.7459936439990997,0.05703125,90.22399139404297,0.008626925
912,184320,90,359.39,202,47.35294674,890,163.62168541252612,-0.0038627010901109314,-0.6609058378264308,0.0003,0.2,0.6395685374736786,0.039892578125,20.721729278564453,0.003554014
914,186368,91,351.85,203,45.85152200999999,900,300.92078201770784,-0.003260652889730409,-0.6801594899967313,0.0003,0.2,0.6071872413158417,0.044189453125,168.3254852294922,0.003935409
915,188416,92,342.84,205,45.911752189999994,910,235.56983491182328,-0.0021529126697714673,-0.697519357688725,0.0003,0.2,0.7163778245449066,0.0412109375,87.6128158569336,0.004175919
917,190464,93,327.84,207,44.000485,920,288.4938765108585,-0.0018571263637568336,-0.7149826731532812,0.0003,0.2,0.7108722627162933,0.024169921875,137.49667358398438,0.0029493053
919,192512,94,325.1,209,53.44667100999999,930,282.87304777503016,-0.0015040515696455258,-0.6722889676690101,0.0003,0.2,0.7224254906177521,0.02939453125,293.8621520996094,0.0041608326
920,194560,95,321.58,211,55.530708700000005,940,148.65859463512896,-0.0067180961414123885,-0.6631737882271409,0.0003,0.2,0.6008458435535431,0.0904296875,11.629720687866211,0.0059582843
922,196608,96,311.2,213,54.61657043,950,194.61604757010937,-0.00037079051035107116,-0.5730653829872608,0.0003,0.2,0.6711851060390472,0.01640625,17.60630989074707,0.0027158894
923,198656,97,305.92,215,58.06406649,960,263.2001216828823,-0.0040952229326649105,-0.6957046970725059,0.0003,0.2,0.6874939501285553,0.0552734375,179.59524536132812,0.0063859792
925,200704,98,305.68,216,60.787300330000015,970,249.40115830302238,-0.002673832978689461,-0.6307409993372858,0.0003,0.2,0.6668936014175415,0.03486328125,221.11990356445312,0.002960473
927,202752,99,302.26,218,53.53776958,980,286.8557950139046,-0.001650762656936422,-0.5285553154535592,0.0003,0.2,0.7158966362476349,0.031005859375,89.6904525756836,0.005086264
928,204800,100,292.82,220,53.70705502,990,347.0659550189972,-0.002509362943965243,-0.7179619040340185,0.0003,0.2,0.6597200930118561,0.03671875,101.81108093261719,0.0034488754
930,206848,101,288.78,222,54.71634684000002,1000,204.0384175926447,-0.0029041818963378317,-0.6999516885727644,0.0003,0.2,0.6202390789985657,0.071875,12.88859748840332,0.004513734
932,208896,102,285.2,224,53.64199539000001,1010,257.6253956437111,-0.0014320832349767442,-0.6252823325805366,0.0003,0.2,0.7708650529384613,0.0328125,278.3564147949219,0.007041365
934,210944,103,283.06,225,53.477267209999994,1020,278.3379043519497,-0.002417740397504531,-0.5708706139586865,0.0003,0.2,0.7861775755882263,0.0505859375,323.1351318359375,0.0035999333
935,212992,104,281.97,227,52.03431845,1030,167.21169297099112,-0.001987195316905854,-0.6547302421182394,0.0003,0.2,0.6992982029914856,0.08037109375,39.59122848510742,0.009216759
936,215040,105,283.55,229,57.30188185000001,1040,321.38652304410937,-0.0017928288551047444,-0.5939953217282892,0.0003,0.2,0.6588633954524994,0.029052734375,217.27865600585938,0.00438316
938,217088,106,283.01,231,53.95084250000001,1050,212.51887770295144,-0.001530957945942646,-0.6115956319496035,0.0003,0.2,0.7919825315475464,0.051904296875,124.96031951904297,0.0069055893
939,219136,107,283.39,233,53.32532497000001,1060,259.3909977734089,-0.0024873945498256945,-0.5899577736854553,0.0003,0.2,0.5884072482585907,0.049462890625,380.9387512207031,0.004088207
940,221184,108,286.43,235,50.1079888,1070,280.2212152481079,-0.001252822055175784,-0.5888698469847441,0.0003,0.2,0.7473193109035492,0.0216796875,113.2389144897461,0.0025704496
942,223232,109,282.57,236,50.52647081999999,1080,269.2852969288826,-0.0022361099741829093,-0.5220978308469058,0.0003,0.2,0.7721136659383774,0.031591796875,92.22331237792969,0.0035641901
943,225280,110,279.76,238,46.50755428999999,1090,274.9739898145199,-0.002493275071901735,-0.6474386164918542,0.0003,0.2,0.7299776375293732,0.035595703125,94.47412872314453,0.0027300543
944,227328,111,286.16,240,47.68691336000002,1100,348.9157053351402,-0.0016993772907881067,-0.6186663237400353,0.0003,0.2,0.718466579914093,0.0111328125,179.99752807617188,0.0024875277
946,229376,112,281.53,242,46.533196960000005,1110,249.09585102796555,-0.0009457845633733086,-0.5842981738969684,0.0003,0.2,0.8587258160114288,0.04140625,120.65225982666016,0.0068965396
947,231424,113,279.28,244,45.974629840000006,1120,332.8238390922546,-0.0022285472026851495,-0.6400385380722582,0.0003,0.2,0.8120421916246414,0.039453125,125.24886322021484,0.0041114707
949,233472,114,273.24,245,40.41669229,1130,268.8675604701042,-0.002169319017775706,-0.5945357333868742,0.0003,0.2,0.7863662093877792,0.0556640625,182.36207580566406,0.0064911363
951,235520,115,271.0,247,35.16726706,1140,368.214699447155,-0.00402824319753563,-0.6198362002149225,0.0003,0.2,0.7626888006925583,0.0228515625,217.37342834472656,0.0029477484
951,237568,116,272.02,249,35.02960853,1150,297.98181626796725,-0.006080364829540485,-0.5882992043159903,0.0003,0.2,0.8406135588884354,0.061474609375,127.35965728759766,0.0076407185
953,239616,117,274.16,251,31.30274618,1160,238.70969439744948,-0.0032299328766384862,-0.4997290939092636,0.0003,0.2,0.8757908865809441,0.0166015625,26.93999481201172,0.0031671962
954,241664,118,272.87,253,29.024878349999998,1170,517.0567531585693,-0.00521798106492497,-0.5918170515447855,0.0003,0.2,0.7163798213005066,0.0525390625,108.86351013183594,0.008791345
955,243712,119,265.25,254,22.42983562,1180,267.6344766378403,-0.0014234693531761876,-0.6074203956872225,0.0003,0.2,0.7805560827255249,0.038671875,391.9469299316406,0.003118785
957,245760,120,259.74,256,20.469085890000002,1190,339.56798286437987,-0.0028728285913530273,-0.6351261477917433,0.0003,0.2,0.7951627522706985,0.0216796875,153.65032958984375,0.0045454027
958,247808,121,260.96,258,24.943392700000004,1200,249.1228295981884,-0.002871354651870206,-0.5941005985252559,0.0003,0.2,0.8062631189823151,0.046337890625,16.685707092285156,0.0043465057
959,249856,122,261.36,260,28.347211850000004,1210,256.011565643549,-0.003909519955777796,-0.547489900700748,0.0003,0.2,0.7787100076675415,0.0703125,32.14066696166992,0.007179532
960,251904,123,254.2,262,24.61437806,1220,265.4036408543587,-0.0031730484632134905,-0.5356261556968093,0.0003,0.2,0.7546148896217346,0.056884765625,57.09827423095703,0.0048943213
1511,2048,1,328.0,1,-53.219039599999995,1230,317.14622778892516,-0.002510524153331062,-0.5785748470574618,0.0003,0.2,0.7762885093688965,0.032421875,74.35417175292969,0.0038980502
1288,4096,2,315.75,3,-89.48250083333335,1240,173.05330079197884,-0.0046398913662415,-0.533719407580793,0.0003,0.2,0.8223278224468231,0.08330078125,122.04222106933594,0.010805951
1234,6144,3,302.5,4,-90.56486935,1250,260.8329843044281,-0.002506040525622666,-0.4992897240445018,0.0003,0.2,0.7126080393791199,0.05673828125,48.19789505004883,0.0046885097
1196,8192,4,292.17857142857144,6,-84.99764617857144,1260,261.673179012537,-0.006011738227971364,-0.5308900052681566,0.0003,0.2,0.7305516004562378,0.08828125,43.149864196777344,0.00877128
1176,10240,5,291.37142857142857,8,-88.89835422857143,1270,203.8492275774479,-0.0035291866173793097,-0.5395611288957298,0.0003,0.2,0.7726535946130753,0.094775390625,237.24957275390625,0.008077448
1184,12288,6,281.3488372093023,10,-85.33681169767443,1280,321.8587191224098,-0.0016770207359513734,-0.47513319877907634,0.0003,0.2,0.6048018634319305,0.02216796875,509.2995300292969,0.0034434376
1189,14336,7,269.11538461538464,12,-90.58386353846154,1290,242.91574630141258,-0.001342681795358658,-0.5499553753994405,0.0003,0.2,0.7196971476078033,0.04765625,435.3901062011719,0.004491386
1196,16384,8,265.5245901639344,13,-85.70310181967213,1300,296.40029283761976,-0.003059550560283242,-0.5347278361208737,0.0003,0.2,0.7216770052909851,0.027734375,35.648765563964844,0.003435372
1204,18432,9,255.72222222222223,15,-85.50635804166667,1310,207.7651561677456,-0.0029611515368742404,-0.6053409422747791,0.0003,0.2,0.7187254428863525,0.09814453125,248.649658203125,0.009993615
1207,20480,10,253.825,16,-85.030942625,1320,287.54951260983944,-0.0024397297980613074,-0.5590816965326667,0.0003,0.2,0.6984245181083679,0.045751953125,315.92205810546875,0.004290471
1211,22528,11,250.98876404494382,18,-82.7470036741573,1330,286.4640488862991,-0.0012196707732073265,-0.5293563554994762,0.0003,0.2,0.7172884941101074,0.0134765625,94.70645904541016,0.002222946
1215,24576,12,247.13131313131314,20,-81.95535804040404,1340,237.73445572257043,-0.0028419865204341475,-0.534452127572149,0.0003,0.2,0.7666434347629547,0.03955078125,25.003982543945312,0.0045085945
1213,26624,13,241.17,21,-80.41853635999999,1350,279.6265186131001,-0.002247169628753909,-0.556517054606229,0.0003,0.2,0.7387020289897919,0.043603515625,42.29280471801758,0.0046785166
