time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss
126976,-10.08538349,62,506,880.97,250,117.05094297006727,0.0003,0.2,-2.229346165806055,0.006513166,0.7381666898727417,0.6430756151676178,0.0568359375,610,-0.002976295086045866,352.0990905761719
129024,-6.091628809999999,63,504,887.47,255,37.05229853056371,0.0003,0.2,-2.201984854787588,0.011351144,0.7215809226036072,0.8191862106323242,0.08974609375,620,-0.0037789899615745526,0.9609403610229492
131072,-6.659506539999998,64,505,889.17,259,77.31592883616686,0.0003,0.2,-2.1794273048639297,0.004515919,0.7203598022460938,0.41847407817840576,0.053955078125,630,-0.001836796307907207,10.701630592346191
133120,-5.7953802099999985,65,504,882.85,263,85.55025339648128,0.0003,0.2,-2.176880931854248,0.0056993375,0.719906210899353,0.777243047952652,0.04755859375,640,-0.003087785723982961,25.77379035949707
135168,-4.532763959999999,66,505,872.82,267,135.32739333212376,0.0003,0.2,-2.173367262631655,0.0039789043,0.7173948287963867,0.6158542335033417,0.045751953125,650,-0.0035663330181705533,34.432918548583984
137216,-2.0804279999999977,67,506,874.48,270,157.20595263838769,0.0003,0.2,-2.1664082929491997,0.0070305318,0.7157472968101501,0.7749283015727997,0.05302734375,660,-0.004799117137736175,7.926514625549316
139264,1.3011097699999998,68,506,880.53,274,125.59337649345397,0.0003,0.2,-2.158379051834345,0.0067500854,0.7115455865859985,0.6575572490692139,0.055810546875,670,-0.002859222030383535,4.005678176879883
141312,2.3877365300000024,69,507,887.77,278,44.40617601498961,0.0003,0.2,-2.1418586291372774,0.008399976,0.7055731415748596,0.8979553654789925,0.07841796875,680,-0.0029698995567741804,3.953032970428467
143360,0.8396385000000027,70,508,888.72,282,109.3850301630795,0.0003,0.2,-2.132219356298447,0.007293351,0.7018318176269531,0.6611632108688354,0.094140625,690,-0.0019623920787125828,8.401939392089844
145408,2.9346540500000025,71,507,885.75,286,36.960762263834475,0.0003,0.2,-2.1202345095574855,0.0061068125,0.698625922203064,0.7874992936849594,0.057275390625,700,-3.143846697639674e-05,0.935280442237854
147456,2.9095881900000036,72,508,885.75,289,76.91482146382332,0.0003,0.2,-2.1109283484518526,0.006693619,0.6947618722915649,0.7783907204866409,0.0728515625,710,-0.004399209501571022,5.772343635559082
149504,4.319072600000004,73,509,880.31,293,45.97517491169274,0.0003,0.2,-2.0882875986397265,0.0044712625,0.6840929985046387,0.8842323794960976,0.10087890625,720,-0.004925747931702062,2.8502700328826904
151552,4.227641650000003,74,509,880.31,297,90.5472882853821,0.0003,0.2,-2.0544896215200423,0.0060855635,0.6715419292449951,0.8026237338781357,0.107373046875,730,-6.382380379363895e-05,3.159176826477051
153600,5.233363450000002,75,509,874.95,301,40.12809280660004,0.0003,0.2,-2.03631177842617,0.008446753,0.6713817119598389,0.9120622798800468,0.0919921875,740,-0.003152569426310947,2.978602647781372
155648,5.407567360000002,76,510,874.95,304,65.91612645871938,0.0003,0.2,-2.0306249909102916,0.010591468,0.6695698499679565,0.7934659719467163,0.085205078125,750,-0.0006619231819058769,12.957145690917969
157696,5.979361360000001,77,512,870.75,307,34.99491002066061,0.0003,0.2,-2.0157108083367348,0.0069540394,0.6650506258010864,0.9152203649282455,0.093115234375,760,0.00014893979678163305,0.9471377730369568
159744,9.174703690000003,78,513,871.16,310,81.77594324350358,0.0003,0.2,-2.0107259012758734,0.0069669196,0.6630262136459351,0.6931977570056915,0.058447265625,770,-0.002009822695981711,5.1710944175720215
161792,8.013551380000003,79,511,871.16,316,68.76797629594803,0.0003,0.2,-2.0031530924141405,0.00754746,0.660710334777832,0.809868574142456,0.094140625,780,-0.00498587817128282,1.2808459997177124
163840,9.788853970000002,80,512,868.0,319,43.23704006141052,0.0003,0.2,-2.002220982313156,0.008023284,0.6628577709197998,0.901631310582161,0.09697265625,790,-3.197743862983771e-05,0.966729462146759
165888,9.44553239,81,511,868.0,324,55.957318782061336,0.0003,0.2,-1.9962370231747628,0.009418558,0.6568191051483154,0.8217381089925766,0.1013671875,800,-0.004557272289821413,88.98114013671875
167936,10.32636303,82,510,861.59,328,32.85661110971123,0.0003,0.2,-1.9846232254058123,0.01087769,0.6557446718215942,0.8891419321298599,0.10009765625,810,-0.0015033969611977227,0.8477188348770142
169984,11.84239816,83,510,851.14,333,63.92807535491884,0.0003,0.2,-1.9690046094357967,0.0060207173,0.6477367877960205,0.8124039471149445,0.0529296875,820,-0.002760952181415632,4.49999475479126
172032,12.025131380000003,84,511,845.59,336,118.14169583618641,0.0003,0.2,-1.953196758031845,0.0070558446,0.6453861594200134,0.6788285374641418,0.0650390625,830,-0.008356327176443301,18.22178840637207
174080,14.087558820000002,85,511,843.97,340,44.56153701581061,0.0003,0.2,-1.9365970801562071,0.0036047525,0.6359972953796387,0.8383810967206955,0.037890625,840,-6.291125682764687e-05,2.542551279067993
176128,12.585524910000004,86,511,840.09,344,46.12130122408271,0.0003,0.2,-1.9066274236887693,0.0061644022,0.627636730670929,0.8629006147384644,0.1021484375,850,-0.006015701387514128,2.9673311710357666
178176,13.413749169999999,87,512,833.02,347,107.61365848854184,0.0003,0.2,-1.8883582588285208,0.004410147,0.6268395185470581,0.7559266090393066,0.0671875,860,-0.001095255709515186,5.957179069519043
180224,12.54295967,88,514,820.35,350,70.77313586808741,0.0003,0.2,-1.8924091074615716,0.009999384,0.6278829574584961,0.8221589028835297,0.10537109375,870,-0.0030692171698319727,21.597793579101562
182272,15.27110249,89,514,812.38,354,341.34118617773055,0.0003,0.2,-1.893958292901516,0.0030733729,0.6285296678543091,0.39588308334350586,0.0130859375,880,-0.00547001672530314,80.95127868652344
184320,13.79371619,90,515,799.79,357,134.38464599996806,0.0003,0.2,-1.892444984614849,0.006059408,0.6261329650878906,0.641044557094574,0.048974609375,890,-0.002269814335159026,24.60829734802246
186368,15.152390979999998,91,515,804.75,361,120.69607704281808,0.0003,0.2,-1.8813826885074376,0.009330095,0.6218831539154053,0.6443701684474945,0.127783203125,900,-0.005892584722096217,12.37146282196045
188416,14.865641539999999,92,516,789.69,364,31.803939623944462,0.0003,0.2,-1.8798516370356082,0.018014807,0.6196483969688416,0.8542881458997726,0.113916015625,910,-0.0016900344446185045,0.8951190114021301
190464,16.77779991,93,517,783.81,367,179.01288696825503,0.0003,0.2,-1.8732019025832414,0.006136317,0.6210629343986511,0.6547448635101318,0.045556640625,920,-0.0030676475886139087,99.30066680908203
192512,17.85662271,94,516,774.83,372,81.73387210667133,0.0003,0.2,-1.8721259478479624,0.008028847,0.6187692880630493,0.7133048474788666,0.064697265625,930,-0.0007176771992817521,3.44160795211792
194560,18.274510929999998,95,516,774.83,376,70.37940512225032,0.0003,0.2,-1.8565901033580303,0.0070228335,0.611444354057312,0.7646071910858154,0.073193359375,940,-1.0778254363685846e-05,22.244169235229492
196608,21.020544060000006,96,515,768.04,381,42.37047000452876,0.0003,0.2,-1.8442879553884268,0.009481927,0.612962007522583,0.7621346116065979,0.15244140625,950,-0.005146701523335651,2.296504259109497
198656,21.547051610000008,97,515,768.04,385,95.13528086990118,0.0003,0.2,-1.8447244878858329,0.008554223,0.6106786727905273,0.5591382384300232,0.056396484375,960,-0.0007269382476806641,25.05248260498047
200704,18.114978529999995,98,517,755.56,387,29.22424402181059,0.0003,0.2,-1.804595959559083,0.01024357,0.5907363295555115,0.7907491326332092,0.101513671875,970,-0.005386523448396474,158.4390106201172
202752,18.163965109999996,99,518,745.69,391,189.47475939393044,0.0003,0.2,-1.7666216719895602,0.003436049,0.5880316495895386,0.5637568235397339,0.04326171875,980,-0.00467690625009709,152.47950744628906
204800,18.889239519999997,100,516,744.26,396,123.70599180534482,0.0003,0.2,-1.758227116242051,0.008830173,0.5854195952415466,0.5951420068740845,0.084814453125,990,-0.001629166277780314,9.100618362426758
206848,20.582459120000003,101,516,749.87,400,87.18532358780503,0.0003,0.2,-1.7389176208525896,0.0061755925,0.5773876309394836,0.7074580490589142,0.096826171875,1000,-0.002019110679248115,20.50878143310547
208896,21.999635979999997,102,515,754.93,404,154.3439134836197,0.0003,0.2,-1.7182284753769637,0.006319496,0.5755903720855713,0.6088049709796906,0.05322265625,1010,-0.002206472848774865,9.034048080444336
210944,21.205593679999996,103,516,757.16,408,35.33988178297877,0.0003,0.2,-1.7304959744215012,0.015075109,0.5813515186309814,0.8313874453306198,0.14453125,1020,-0.0033131428623164537,2.2459206581115723
212992,20.85821545,104,515,751.7,412,83.55100475177169,0.0003,0.2,-1.7274441290646791,0.006145664,0.5776674747467041,0.7368500232696533,0.061376953125,1030,-0.0028553067342727443,15.899253845214844
215040,19.80147805,105,514,744.23,417,123.02233865261078,0.0003,0.2,-1.7131780169904232,0.0123210475,0.5750179886817932,0.669219434261322,0.136376953125,1040,-0.006255323126606527,25.30575942993164
217088,18.25387989,106,514,748.8,421,89.22062576934695,0.0003,0.2,-1.7114311411976815,0.005955768,0.5750635266304016,0.6482537090778351,0.065185546875,1050,-0.0016076850213721627,9.443540573120117
219136,19.125324950000003,107,515,748.26,425,38.63521925099194,0.0003,0.2,-1.68284698612988,0.012777561,0.5586296916007996,0.8551585674285889,0.133837890625,1060,-0.0026081231990247034,1.4375413656234741
221184,18.61857619,108,515,748.26,429,80.87517363876104,0.0003,0.2,-1.6502665765583515,0.009655152,0.554445743560791,0.7504069209098816,0.09638671875,1070,-0.0010561424620391334,22.3890323638916
223232,19.172099569999997,109,515,748.32,433,41.915787525475025,0.0003,0.2,-1.6408373642712832,0.00794407,0.5520120859146118,0.8224320113658905,0.0994140625,1080,0.0009419748639629688,2.6843607425689697
225280,18.99390707,110,514,748.32,437,53.13174145631492,0.0003,0.2,-1.6309307642281055,0.004836181,0.5468193888664246,0.838685154914856,0.05791015625,1090,0.0012078298545020517,15.30053997039795
227328,18.63984644,111,514,752.6,441,43.8262609641999,0.0003,0.2,-1.6250870872288943,0.008546989,0.5498732328414917,0.8087063580751419,0.093994140625,1100,-0.0018650672849616968,6.323725700378418
229376,18.48040076,112,515,752.6,444,57.885634414851665,0.0003,0.2,-1.629871604591608,0.009324618,0.5502312183380127,0.6207672953605652,0.08681640625,1110,-0.0076058601291151716,314.1905517578125
231424,18.614215039999994,113,513,752.6,450,27.177638992853463,0.0003,0.2,-1.612310491502285,0.011136002,0.5406966209411621,0.8581505417823792,0.08720703125,1120,4.9842389853438365e-05,1.0970176458358765
233472,16.723861399999997,114,513,749.94,454,33.31714375466108,0.0003,0.2,-1.5920972533524036,0.005530608,0.5394989252090454,0.8271959722042084,0.08701171875,1130,-0.0020692688558483496,1.8075212240219116
235520,16.823224659999997,115,513,750.92,458,88.996163854748,0.0003,0.2,-1.5864495057612658,0.003925609,0.5385458469390869,0.689268559217453,0.05693359375,1140,-0.0007911650391179137,45.91081237792969
237568,17.201984109999998,116,513,748.92,462,42.23024228289724,0.0003,0.2,-1.5778397690504788,0.005630443,0.5344918966293335,0.8079454153776169,0.07587890625,1150,-0.004886740467190976,206.7665252685547
239616,16.85784733,117,512,748.92,467,59.20009544193745,0.0003,0.2,-1.5624760691076518,0.0053550797,0.5289122462272644,0.763615071773529,0.05009765625,1160,-0.0027643689929391256,11.662836074829102
241664,17.85134866,118,512,744.45,471,31.169750854186713,0.0003,0.2,-1.5303864829242229,0.0106592355,0.5206608772277832,0.8485077917575836,0.119140625,1170,-0.0011217225532163867,0.9571889638900757
243712,16.836676269999998,119,513,749.8,474,43.478985376469794,0.0003,0.2,-1.5012403912842274,0.009953616,0.5129010081291199,0.8704419881105423,0.109716796875,1180,-0.0045421508912113495,1.7619441747665405
245760,14.679003689999996,120,514,738.58,477,56.30685797538608,0.0003,0.2,-1.4824420150369406,0.0064612255,0.5102893710136414,0.8089693933725357,0.091748046875,1190,0.00014143794469418937,6.811559200286865
247808,15.394835310000001,121,512,740.44,483,177.5479691684246,0.0003,0.2,-1.4774045683443546,0.007428267,0.5101215839385986,0.5513609945774078,0.047412109375,1200,-0.002826852416183101,84.18840789794922
249856,14.101785009999999,122,512,737.36,487,96.79093966484069,0.0003,0.2,-1.4746514845639467,0.003937913,0.5086036920547485,0.616079568862915,0.0322265625,1210,-0.0039475439545640255,27.63461685180664
251904,14.298695709999999,123,512,744.43,491,170.2167179532349,0.0003,0.2,-1.4741073135286569,0.0066882335,0.5101195573806763,0.6094585359096527,0.07421875,1220,-0.005521540365589317,124.3905029296875
