time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/std
413,110,26.88362022,545,663.0,225280,0.2,21.745193481445312,1090,0.007290017,0.065478515625,-0.0017977393443288747,0.6199804544448853,101.03779245615006,0.0003,-1.585065607354045,0.5325443148612976
417,111,26.817821449999997,544,669.58,227328,0.2,99.3827133178711,1100,0.010623394,0.08349609375,0.00010751778099802323,0.6155371069908142,119.61256001032889,0.0003,-1.5704862024635076,0.5292198657989502
421,112,25.108751129999995,544,652.21,229376,0.2,1.4426020383834839,1110,0.008863413,0.125439453125,-0.0018806583539117128,0.8262867331504822,34.457097945082936,0.0003,-1.5576175697147847,0.526836097240448
424,113,25.835816169999994,544,645.37,231424,0.2,60.69380187988281,1120,0.0067435885,0.06591796875,-0.004232123646215768,0.7172756195068359,137.28310706317424,0.0003,-1.5507064864039422,0.5261813998222351
428,114,25.43325895,544,651.78,233472,0.2,4.060103416442871,1130,0.00966457,0.101806640625,-0.002178385235310998,0.769537016749382,51.865669906884435,0.0003,-1.5628434550017118,0.534568190574646
431,115,25.97069932000001,545,650.62,235520,0.2,0.6150967478752136,1140,0.0068388283,0.0669921875,-0.0008103001877316274,0.8092435002326965,34.633425826579334,0.0003,-1.5771617457270621,0.5344388484954834
434,116,28.27639408,546,629.24,237568,0.2,79.74242401123047,1150,0.008205092,0.043505859375,-0.002149268485663924,0.5827098786830902,150.62222351878881,0.0003,-1.57464416064322,0.5324216485023499
437,117,31.72449612999999,547,628.89,239616,0.2,16.546016693115234,1160,0.006984729,0.052099609375,-0.0020279567237594166,0.727421373128891,141.79998428449034,0.0003,-1.5655464462935924,0.5298076868057251
442,118,29.10271895,546,641.16,241664,0.2,24.340740203857422,1170,0.0058593266,0.059619140625,-0.003059586572999251,0.7406259179115295,93.82747595757246,0.0003,-1.5560784887522459,0.5267863273620605
445,119,30.461857920000003,547,634.22,243712,0.2,78.89633178710938,1180,0.00596535,0.0412109375,-0.0030416814664931736,0.5314797163009644,125.57104977443814,0.0003,-1.536516199633479,0.5194474458694458
448,120,29.220544899999997,548,631.88,245760,0.2,181.73834228515625,1190,0.008444613,0.072021484375,-0.0009407935216586338,0.7509553134441376,128.3654400959611,0.0003,-1.515404312312603,0.5163390636444092
451,121,30.55739637999999,548,639.07,247808,0.2,32.227691650390625,1200,0.012702778,0.12353515625,-0.005900894851583871,0.6105540990829468,226.53973741978407,0.0003,-1.5064884476363658,0.5154431462287903
453,122,34.56447622,550,626.85,249856,0.2,0.7962583303451538,1210,0.0068289484,0.13251953125,0.0009301697493356187,0.8705727756023407,41.523165963869545,0.0003,-1.487726803123951,0.5066530108451843
456,123,38.87880836,551,611.43,251904,0.2,38.1285285949707,1220,0.007558835,0.066943359375,-0.0035541801269573627,0.6908580362796783,168.4559304714203,0.0003,-1.4623805098235607,0.5026318430900574
2,1,-41.822333,729,1000.0,2048,0.2,24.10833740234375,1230,0.008428442,0.07265625,-0.0018798476932715858,0.7165777683258057,116.68234403282403,0.0003,-1.4582770809531211,0.50425785779953
5,2,-56.1790785,690,1000.0,4096,0.2,0.7067025899887085,1240,0.011221016,0.134423828125,-0.0024603678852145095,0.8689397722482681,48.74291234100237,0.0003,-1.4321047484874725,0.4917283356189728
8,3,-48.505633,693,597.1,6144,0.2,1.6314566135406494,1250,0.0081400415,0.08779296875,-0.0004110763118660543,0.8499912619590759,37.44651429466903,0.0003,-1.3973785240203143,0.48806142807006836
12,4,-32.2360095,645,577.8571428571429,8192,0.2,103.8792724609375,1260,0.003917521,0.0296875,-0.0034001371124759315,0.5367372334003448,333.5916746854782,0.0003,-1.3900036696344613,0.4871091842651367
15,5,-13.666425529411766,650,592.2352941176471,10240,0.2,3.194277286529541,1270,0.00875772,0.10849609375,-0.0030844128559692763,0.6788858473300934,130.07127884924412,0.0003,-1.3806168213486671,0.4832717776298523
18,6,-19.96789375,647,602.35,12288,0.2,92.6495132446289,1280,0.006114264,0.086767578125,-9.950262101483531e-05,0.6677786111831665,125.11170050352811,0.0003,-1.3686780031770467,0.4831123352050781
22,7,-22.899125363636365,649,638.5,14336,0.2,278.8700256347656,1290,0.009039432,0.0951171875,-0.00618077784711204,0.6911601424217224,127.2221886947751,0.0003,-1.3649022344499826,0.48250240087509155
25,8,-13.68580153846154,646,622.0769230769231,16384,0.2,0.760024905204773,1300,0.008285825,0.171875,-0.0008168018393917009,0.880760446190834,32.76162296589464,0.0003,-1.3620369039475917,0.48049116134643555
29,9,-15.082614896551723,634,626.8965517241379,18432,0.2,44.925968170166016,1310,0.009059718,0.083544921875,-0.0025738108201039723,0.6458508968353271,170.00860486775636,0.0003,-1.3503619614988565,0.4774671196937561
31,10,-17.802333354838712,647,650.9677419354839,20480,0.2,43.60720443725586,1320,0.011565728,0.149365234375,-0.006210774374631,0.639111340045929,133.51339033320545,0.0003,-1.331028912588954,0.47221192717552185
35,11,-20.11550384848485,634,672.1212121212121,22528,0.2,0.34425443410873413,1330,0.013242433,0.1494140625,0.0008548348836484365,0.830673560500145,29.60875695059076,0.0003,-1.3006045833230018,0.46369844675064087
38,12,-20.44741810810811,635,660.3243243243244,24576,0.2,0.4925279915332794,1340,0.005930405,0.12216796875,0.0019966775937064083,0.8126076459884644,37.75815797615796,0.0003,-1.2612955663353205,0.45309150218963623
