rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/clip_range
794.24,202,56,567,114688,-29.602649409999998,0.6622446179389954,0.03935546875,0.0003,550,185.47711485028267,-0.002523332439159276,0.0049647666,-0.8891424514353276,72.56656646728516,0.2
794.75,204,57,570,116736,-27.506399519999995,0.6806750595569611,0.013525390625,0.0003,560,130.96581365615128,-0.0019440407835645602,0.0041093887,-0.8670105006545782,12.992964744567871,0.2
796.16,207,58,573,118784,-28.629798939999997,0.5244373679161072,0.0392578125,0.0003,570,157.8666818499565,-0.0030655545659101337,0.0060920073,-0.865051893889904,39.24217224121094,0.2
812.54,209,59,575,120832,-24.152679159999998,0.40105730295181274,0.038134765625,0.0003,580,143.97085919380189,-0.0019022511318325997,0.0036048878,-0.9263112278655171,46.95927810668945,0.2
811.94,212,60,578,122880,-24.822113880000003,0.796353206038475,0.096337890625,0.0003,590,64.79401345998049,-0.005437427480501356,0.009560329,-0.9313671227544547,138.90509033203125,0.2
824.17,214,61,582,124928,-19.685868259999996,0.7792037576436996,0.072509765625,0.0003,600,97.36387991309167,-0.004231551111297449,0.0078231655,-0.9353553023189306,64.93243408203125,0.2
821.03,216,62,585,126976,-21.14778517,0.5367036461830139,0.055419921875,0.0003,610,80.41221080720425,-0.005989115118427435,0.010606659,-0.9238345511257648,30.742372512817383,0.2
820.25,219,63,588,129024,-19.115765139999997,0.47565317153930664,0.014794921875,0.0003,620,141.50734653025864,-0.002320794844490592,0.003916907,-0.9578848084434867,71.78197479248047,0.2
824.96,221,64,591,131072,-15.66278719,0.6416527032852173,0.064794921875,0.0003,630,102.25684916824102,-0.002282041378566646,0.0077910614,-0.851658134534955,8.540165901184082,0.2
818.88,223,65,594,133120,-15.119836950000002,0.678557276725769,0.085693359375,0.0003,640,69.99470797255636,-0.005225613562652142,0.008499404,-0.9675167175009847,14.730369567871094,0.2
814.76,226,66,597,135168,-11.644488310000002,0.5736428201198578,0.0365234375,0.0003,650,223.06558949947356,-0.0018542603284004144,0.004793599,-0.8957656115293503,104.11942291259766,0.2
814.76,228,67,600,137216,-14.68104049,0.6646332740783691,0.0591796875,0.0003,660,107.38752641826868,-0.0017067599765141495,0.00650073,-0.8652611814439297,50.34888458251953,0.2
821.25,230,68,604,139264,-13.298740759999998,0.8766152635216713,0.076611328125,0.0003,670,35.905190924555065,-0.003728607136145001,0.0071667717,-0.9467145331203938,2.4838638305664062,0.2
825.01,232,69,607,141312,-14.474490559999998,0.9141292348504066,0.10185546875,0.0003,680,16.4199272390455,-0.0005558976175962016,0.005172996,-0.8629070524126291,1.738739013671875,0.2
828.43,234,70,610,143360,-12.31047775,0.782162219285965,0.086962890625,0.0003,690,26.63939104601741,-0.006219145635986934,0.00745675,-0.9937481768429279,2.3748250007629395,0.2
835.53,237,71,613,145408,-13.44757352,0.9013613909482956,0.0515625,0.0003,700,26.398552937805654,-0.0010227171769656707,0.006400405,-0.9721567172557115,3.511608600616455,0.2
840.27,239,72,616,147456,-13.909330490000004,0.9174675270915031,0.06748046875,0.0003,710,16.402806402370334,-0.0026671001120121217,0.009251324,-0.9315239896997809,2.1057021617889404,0.2
837.02,241,73,619,149504,-15.873040520000004,0.8291205614805222,0.0421875,0.0003,720,34.32688070088625,-0.0005217632897256408,0.006182013,-0.9365838296711445,4.285103797912598,0.2
830.95,243,74,622,151552,-18.59403927,0.6581371128559113,0.05341796875,0.0003,730,59.43573950156569,-0.001835202747315634,0.0052215364,-0.9140390465036035,31.90768051147461,0.2
826.91,245,75,624,153600,-13.947213920000001,0.6175187230110168,0.043701171875,0.0003,740,135.57013820260764,-0.0017213872619322502,0.0055352566,-0.8332075987011194,73.68667602539062,0.2
812.17,248,76,627,155648,-14.912814900000003,0.3351699709892273,0.025,0.0003,750,103.01359756737948,-0.002307115979056107,0.005266117,-0.8840949090197683,5.9585371017456055,0.2
810.41,250,77,630,157696,-15.603165970000003,0.4320037364959717,0.012109375,0.0003,760,205.70942869186402,-0.0012616202046046964,0.0058306763,-0.8097627606242895,13.882969856262207,0.2
809.94,252,78,633,159744,-14.928174079999998,0.7194027006626129,0.05458984375,0.0003,770,68.96593777686357,-0.0016917915942030958,0.0045533935,-0.9310999190434813,42.25654602050781,0.2
808.28,253,79,637,161792,-16.7677339,0.5145632922649384,0.045068359375,0.0003,780,75.68943023532628,-0.0033149230883282145,0.0055963993,-0.7931187743321061,4.457669734954834,0.2
807.53,255,80,640,163840,-17.553920660000003,0.6175070405006409,0.07783203125,0.0003,790,103.91205174177885,-0.0036979769025492714,0.007388653,-0.9078853892162442,47.48879623413086,0.2
802.89,257,81,643,165888,-19.550447469999998,0.6821832656860352,0.03837890625,0.0003,800,82.1132591560483,-0.002006844905554317,0.005537049,-0.8101709023118019,22.15058708190918,0.2
797.55,259,82,646,167936,-18.105843600000004,0.660715252161026,0.03740234375,0.0003,810,137.27958122938873,-0.004118791134169441,0.005857221,-0.8774440189823508,57.68156814575195,0.2
790.21,261,83,650,169984,-19.611252050000004,0.6633657813072205,0.063671875,0.0003,820,99.89913669973612,-0.0012590737474965862,0.006878671,-0.9000223243609071,13.50257396697998,0.2
789.41,263,84,653,172032,-15.891977960000002,0.5968737006187439,0.058447265625,0.0003,830,95.97905188202859,-0.0012520771026174771,0.0058389343,-0.8803193809464573,6.281480312347412,0.2
791.87,265,85,656,174080,-20.541880460000005,0.6828758120536804,0.0732421875,0.0003,840,101.7753509581089,-0.0037455477977346163,0.006936989,-0.8997730780392885,14.13984489440918,0.2
790.33,266,86,659,176128,-18.715566390000006,0.8133629560470581,0.06279296875,0.0003,850,67.75679486095905,0.000892359407589538,0.006449583,-0.9096010498702526,33.96818923950195,0.2
797.07,268,87,662,178176,-17.801980930000003,0.7262411713600159,0.0640625,0.0003,860,74.59405645579099,-0.0015530192729784175,0.0058192844,-0.8380633953958749,54.29036331176758,0.2
799.1,270,88,666,180224,-16.63875621,0.8564223647117615,0.08837890625,0.0003,870,19.141519251465798,-0.0038404647977586135,0.006479459,-0.830302007868886,6.547759056091309,0.2
804.68,271,89,670,182272,-14.88235896,0.4953575134277344,0.11103515625,0.0003,880,83.58206103369594,-0.004139460964142927,0.0105523355,-0.9048123683780431,8.249056816101074,0.2
808.54,273,90,673,184320,-14.14290793,0.645554393529892,0.0837890625,0.0003,890,43.9585247322917,-0.0014633322774898262,0.006974081,-0.8444603564217686,4.526191234588623,0.2
808.54,275,91,676,186368,-14.79715106,0.818790853023529,0.06826171875,0.0003,900,30.571828500181436,0.0014754437812371179,0.004196111,-0.8532645819708705,1.9637607336044312,0.2
810.54,276,92,680,188416,-15.640054399999999,0.8057217001914978,0.094091796875,0.0003,910,22.42937425635755,-0.0006298592168604955,0.0075935503,-0.914542211405933,1.4062894582748413,0.2
807.79,278,93,683,190464,-14.15184299,0.8147814124822617,0.097412109375,0.0003,920,23.16689494214952,-0.002580912207486108,0.007752329,-0.9143704751506447,0.8985255360603333,0.2
813.38,280,94,686,192512,-12.036923710000003,0.7535694539546967,0.062744140625,0.0003,930,80.42590582072735,-0.0030726076907740207,0.006235933,-0.8123624965548515,443.2951965332031,0.2
813.53,281,95,690,194560,-13.682876840000004,0.6135134398937225,0.10322265625,0.0003,940,66.51219271868467,-0.003928831648954656,0.005176466,-0.9375152291730047,7.538649559020996,0.2
821.01,283,96,693,196608,-10.779200440000002,0.5569145381450653,0.042431640625,0.0003,950,95.95969685465097,-0.0038590834774367977,0.004932956,-0.7228047667071223,84.59723663330078,0.2
825.44,284,97,697,198656,-10.102708730000005,0.5721722543239594,0.10224609375,0.0003,960,61.3001409612596,-0.006218667637585895,0.008925693,-0.9494369953870774,0.7794398665428162,0.2
829.01,286,98,700,200704,-8.420303420000003,0.4028674364089966,0.033935546875,0.0003,970,82.04124302491546,-0.0020541205409244866,0.004506537,-0.8712645972147584,43.895713806152344,0.2
833.46,288,99,703,202752,-8.589431930000003,0.726507157087326,0.0634765625,0.0003,980,82.51053450554609,-0.0020581779626809293,0.0065164105,-0.8177042782306672,10.346894264221191,0.2
836.3,289,100,707,204800,-5.746193820000001,0.635449081659317,0.03310546875,0.0003,990,103.86982854604722,-0.0021377775468863548,0.004809215,-0.8506760776042939,59.4744873046875,0.2
842.76,291,101,710,206848,-1.9943107000000007,0.7007029354572296,0.06044921875,0.0003,1000,53.725169321149586,-0.003829928821505746,0.005700535,-0.8622075736522674,1.4011459350585938,0.2
849.79,292,102,714,208896,-1.4696069000000016,0.6906266212463379,0.0568359375,0.0003,1010,41.61420766226947,-0.0018280509444593917,0.004710888,-0.8581731900572777,26.783132553100586,0.2
850.46,293,103,718,210944,-2.466323900000002,0.7544756382703781,0.0673828125,0.0003,1020,22.30447407066822,3.936191715183668e-05,0.0052457512,-0.8907270466908812,0.8600801825523376,0.2
851.95,295,104,721,212992,-1.703073930000002,0.5490415692329407,0.048583984375,0.0003,1030,61.89333166889846,0.0009922777077008504,0.00805013,-0.8424836190417408,3.106903553009033,0.2
852.29,296,105,724,215040,-1.6662118900000005,0.6691121459007263,0.040185546875,0.0003,1040,85.53944250121712,-0.0021616761148834486,0.004945497,-0.8294222079217434,71.11925506591797,0.2
853.96,297,106,728,217088,-0.8069201700000005,0.7115747928619385,0.06171875,0.0003,1050,54.3323528740555,-0.0009071844251593575,0.005388202,-0.8869256200268865,8.09186840057373,0.2
858.56,299,107,732,219136,-2.1155976900000004,0.7205820083618164,0.0771484375,0.0003,1060,22.916677883267404,-0.002156702024512924,0.006382827,-0.8908382823690773,1.0827076435089111,0.2
867.85,300,108,737,221184,-4.480209659999999,0.6381786465644836,0.062353515625,0.0003,1070,48.63720529153943,-0.0015979493342456407,0.0073334826,-0.8752395087853074,16.367345809936523,0.2
866.69,301,109,740,223232,-3.2929646499999956,0.701913058757782,0.082568359375,0.0003,1080,55.979358502849934,-0.0033102848930866456,0.008061477,-0.858961028791964,30.96323013305664,0.2
