time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates
286,108,221184,2.9281950900000004,771,714.08,-0.8234027370810508,37.883830483350906,0.5236472487449646,0.10029296875,0.9210433438420296,-0.0020314052111643833,0.010412416,0.2,0.0003,1070
289,109,223232,5.36422088,771,716.02,-0.7356632890179753,96.15180118530989,152.92373657226562,0.031005859375,0.7727796286344528,-0.001863823823077837,0.005346293,0.2,0.0003,1080
291,110,225280,5.453521819999999,772,712.03,-0.7456274850293994,59.621167668234555,0.3115956783294678,0.112060546875,0.8635034263134003,-0.0020430650023627096,0.010170342,0.2,0.0003,1090
294,111,227328,6.40020576,771,712.03,-0.6931021355092526,256.57510297894476,25.440393447875977,0.001806640625,0.6725412309169769,-0.0007453261852788274,0.0022250756,0.2,0.0003,1100
297,112,229376,6.1816199099999976,771,712.03,-0.775516601651907,30.300129326060414,0.1756437122821808,0.053173828125,0.9152041897177696,-0.002164971045567654,0.0076163,0.2,0.0003,1110
299,113,231424,8.754781359999997,771,710.7,-0.7597714938223362,52.549519965518265,197.42681884765625,0.120458984375,0.9000149220228195,-0.004214002451044507,0.007512955,0.2,0.0003,1120
302,114,233472,8.697163359999998,771,711.67,-0.5957133816555142,70.94540501311421,6.2125654220581055,0.035400390625,0.8285876512527466,-0.0015532458479356136,0.0035692838,0.2,0.0003,1130
305,115,235520,10.414514930000001,770,720.28,-0.7671577269211411,79.59863677099347,1.0519661903381348,0.047119140625,0.8557485342025757,-0.002100531208634493,0.007084232,0.2,0.0003,1140
308,116,237568,10.3419311,770,718.99,-0.7549237011000514,37.03473458187655,0.23635390400886536,0.056396484375,0.9068960398435593,0.0003714551596203819,0.0047447346,0.2,0.0003,1150
310,117,239616,12.40655577,771,707.97,-0.6177538719028235,95.54649651944638,33.509910583496094,0.013232421875,0.7964978814125061,-0.0010837723897566321,0.003400538,0.2,0.0003,1160
313,118,241664,13.68221125,771,716.72,-0.7335423780605197,123.34711762219668,22.36147117614746,0.02783203125,0.7593317180871964,-0.0029790135500661562,0.00781364,0.2,0.0003,1170
315,119,243712,17.35618861,772,718.84,-0.7315752966329455,181.2611350648105,34.365089416503906,0.112109375,0.6604067385196686,-0.003676516397172236,0.012210289,0.2,0.0003,1180
317,120,245760,11.663956760000003,773,704.06,-0.6528500268235803,160.34192953556777,3.933922529220581,0.058056640625,0.6861601769924164,-0.00663128439191496,0.014113925,0.2,0.0003,1190
320,121,247808,12.556089319999998,774,685.94,-0.7364106746390462,164.31341134160758,8.381791114807129,0.042919921875,0.6983720064163208,-0.0025976647542847787,0.006887741,0.2,0.0003,1200
