rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/clip_range,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
782.69,-30.49082375,330,682,110,225280,0.2,0.0003,1090,36.915557861328125,0.7351377308368683,0.066943359375,0.010753083,-0.8207610577344895,-0.001464491241495125,62.14587183184922
781.69,-33.25585168,333,682,111,227328,0.2,0.0003,1100,6.556415557861328,0.6703138053417206,0.068994140625,0.0050200894,-0.8569800417870284,-0.004157716574263759,42.36783145368099
783.67,-29.31196541,336,682,112,229376,0.2,0.0003,1110,84.42089080810547,0.6170888543128967,0.051416015625,0.0057892613,-0.8169900333508849,-0.00496628359760507,102.98180089145899
781.98,-30.833278900000003,338,683,113,231424,0.2,0.0003,1120,1.5865774154663086,0.8031531423330307,0.07392578125,0.0064730505,-0.8681644652038812,-0.002219956067710882,32.29668780900538
781.07,-31.346424769999995,342,682,114,233472,0.2,0.0003,1130,6.738752365112305,0.7019265294075012,0.040625,0.00412288,-0.8155427584424615,-0.0008375415949558373,112.35613170340658
787.09,-28.302388179999994,345,681,115,235520,0.2,0.0003,1140,57.1041259765625,0.4497809410095215,0.10380859375,0.009898811,-0.8775967583060265,-0.006469788435788359,101.08471528366208
791.36,-27.86120878,349,679,116,237568,0.2,0.0003,1150,1.110329031944275,0.6005843579769135,0.08154296875,0.005207815,-0.7441186733543873,-0.002148824726464227,73.88218125402928
791.25,-28.772917859999996,352,679,117,239616,0.2,0.0003,1160,1.118721842765808,0.724471926689148,0.130029296875,0.018027904,-0.8418475292623043,-0.01159301716616028,25.770193480700254
788.38,-25.992065949999994,354,680,118,241664,0.2,0.0003,1170,30.522735595703125,0.7268358469009399,0.070361328125,0.007405276,-0.8807247679680585,-0.0019269283271569292,103.80881857722997
779.05,-30.501480400000002,357,681,119,243712,0.2,0.0003,1180,28.556745529174805,0.7486849427223206,0.0384765625,0.0033112848,-0.8401399834081531,-0.0016583529599301984,94.0994044303894
767.9,-32.96661220000001,359,682,120,245760,0.2,0.0003,1190,12.780252456665039,0.5665704607963562,0.04697265625,0.005089389,-0.8266805484890938,-0.0015608944078849163,106.84434089064598
776.24,-29.934853509999996,362,682,121,247808,0.2,0.0003,1200,108.8894271850586,0.7916471511125565,0.06376953125,0.006487637,-0.815715691447258,-0.003041523759748088,117.45405986905098
