time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
169984,24.26725857,314,730.1,83,539,-0.001696380438079359,0.6971358060836792,-2.110654804110527,0.22383546829223633,220.46859741210938,0.0030535506,820,0.051318359375,127.98227756693959,0.0003,0.2
172032,21.503909210000003,319,720.51,84,538,-0.001880236879514996,0.6911066174507141,-2.1024025589227677,0.4553367495536804,17.782052993774414,0.010646226,830,0.097314453125,75.7453366495669,0.0003,0.2
174080,26.785729469999996,323,725.35,85,538,-0.0015943148333462886,0.6948933601379395,-2.0999087043106557,0.5509880781173706,65.76289367675781,0.009566777,840,0.070703125,121.71757578328251,0.0003,0.2
176128,26.004862029999998,327,719.56,86,538,-0.0002616060090076644,0.6955922842025757,-2.1102162577211856,0.520752489566803,16.749040603637695,0.011708242,850,0.1083984375,82.98038585223257,0.0003,0.2
178176,23.43380303,329,703.98,87,540,-0.0009544004758936353,0.693569540977478,-2.108171421289444,0.7428375482559204,1.0344178676605225,0.019171568,860,0.104638671875,61.84756111763418,0.0003,0.2
180224,26.25699374,332,687.92,88,542,-0.004102803794376086,0.692768931388855,-2.103580492734909,0.5064318478107452,41.73810577392578,0.0047873314,870,0.03671875,191.4725553482771,0.0003,0.2
182272,26.354905919999997,334,668.13,89,544,-0.0018011587839282584,0.6918100118637085,-2.0999806761741637,0.5196963250637054,61.24197006225586,0.0034140483,880,0.021044921875,240.41530994176864,0.0003,0.2
184320,26.404447230000002,338,658.3,90,544,-0.00916836127944407,0.6894761323928833,-2.0953041397035124,0.47684699296951294,134.06448364257812,0.010306494,890,0.091357421875,177.01270606517792,0.0003,0.2
186368,22.89070154,341,645.18,91,545,-0.0026661197596695276,0.6819700598716736,-2.083623941987753,0.6057679951190948,25.44144058227539,0.0058657024,900,0.052587890625,117.15635691285134,0.0003,0.2
188416,23.02751178,345,643.69,92,546,-0.0064530713985732294,0.6743699312210083,-2.0568486869335176,0.6814568936824799,35.249908447265625,0.006751392,910,0.075830078125,98.76372116208077,0.0003,0.2
190464,22.32930477,347,634.5,93,547,-0.0009319464661530219,0.6776322722434998,-2.054188807308674,0.7530352622270584,34.86574935913086,0.006373437,920,0.04638671875,80.42833944708109,0.0003,0.2
192512,18.786823520000002,351,625.58,94,547,-0.0021178691189561506,0.6664166450500488,-2.041241953521967,0.553153395652771,39.11455535888672,0.007250131,930,0.069775390625,140.93934420645238,0.0003,0.2
