time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates
163840,212,80,772,54.873169180000005,577.17,-0.8236276688054204,0.0039027098,565.5833740234375,0.0003,0.02939453125,0.5488065183162689,0.2,240.02649570703505,-0.0003150795768306125,790
165888,214,81,773,51.58561406,569.7,-0.6717138240113855,0.002478878,17.600954055786133,0.0003,0.0294921875,0.42688316106796265,0.2,147.01532329916955,-0.0020572731191350613,800
167936,216,82,774,53.5285189,558.63,-0.7926441568881273,0.0070523275,27.254119873046875,0.0003,0.0625,0.24248015880584717,0.2,273.65778132081033,-0.002931498883117456,810
169984,218,83,776,58.932549120000004,542.2,-0.7222323877736926,0.008914806,44.95669937133789,0.0003,0.04326171875,0.47496849298477173,0.2,242.4556760251522,-0.003798208993248409,820
172032,220,84,778,52.554386269999995,528.8,-0.8167066344991326,0.002975177,37.79802703857422,0.0003,0.068798828125,0.6356346011161804,0.2,165.67783921062946,-0.0035646466316393345,830
174080,223,85,778,51.69325749000001,528.16,-0.8100261768326164,0.0034839646,152.7086181640625,0.0003,0.029541015625,0.6685490906238556,0.2,276.15960092544555,-0.001215932730701752,840
176128,225,86,779,48.121420900000004,527.36,-0.7385928871110081,0.0066962885,11.899930953979492,0.0003,0.095263671875,0.16791659593582153,0.2,59.74933265149593,-0.002162122856680071,850
178176,227,87,781,49.0029372,517.61,-0.7056186858564615,0.010193742,6.503395080566406,0.0003,0.087060546875,0.648876428604126,0.2,128.40236051380634,-0.001501894542161608,860
180224,230,88,783,49.35729068,511.84,-0.7673041611909867,0.003248899,157.03402709960938,0.0003,0.046826171875,0.689805418252945,0.2,234.62767491936683,-0.0013477719676302513,870
182272,232,89,782,53.73720907,511.22,-0.6856086552143097,0.0015452473,35.70806121826172,0.0003,0.020263671875,0.5879682004451752,0.2,188.41670574545861,-0.0029727256423939252,880
184320,235,90,783,53.16140098999999,511.49,-0.7714047560468316,0.0076683476,29.988298416137695,0.0003,0.06181640625,0.39696401357650757,0.2,136.57346340715884,-0.004168466423288919,890
186368,237,91,785,54.307389459999996,500.15,-0.6564191080629825,0.007440013,42.50471878051758,0.0003,0.062255859375,0.4195723533630371,0.2,123.5429323732853,-0.006147880631033331,900
188416,239,92,785,54.33701126000001,494.78,-0.7716632075607777,0.0030319495,28.42534637451172,0.0003,0.03203125,0.5822875797748566,0.2,146.43583503365517,-0.0026256406694301405,910
190464,241,93,787,51.19110087000001,496.25,-0.791762918792665,0.0061251,69.97239685058594,0.0003,0.0724609375,0.39181482791900635,0.2,151.04631646275521,-0.003953542287126766,920
192512,244,94,787,50.10703568000001,488.42,-0.6886932330206037,0.0076351445,18.262983322143555,0.0003,0.083447265625,0.5863539576530457,0.2,130.5038770854473,-0.0017554061843839009,930
194560,247,95,787,49.37091387,490.93,-0.8056165149435401,0.0056078467,34.02712631225586,0.0003,0.053271484375,0.6680431365966797,0.2,178.41052424907684,-0.003927454820950515,940
196608,249,96,788,48.49059174999999,487.26,-0.7575940838083625,0.0039486433,10.675230026245117,0.0003,0.0421875,0.6341948807239532,0.2,147.60061911046506,-0.0025843691917543767,950
198656,251,97,789,51.21137309999999,475.72,-0.7660986306145787,0.00462753,15.484463691711426,0.0003,0.03466796875,0.3200082778930664,0.2,214.18009418547155,-0.0033654680781182835,960
200704,254,98,788,48.084579219999995,478.87,-0.7705439042299986,0.005265918,177.25341796875,0.0003,0.032080078125,0.646442711353302,0.2,176.09619423449038,-0.0025547509598254693,970
202752,257,99,788,47.787793140000005,479.66,-0.7626627316698432,0.0046171458,24.21162223815918,0.0003,0.062158203125,0.6825952231884003,0.2,125.65512814819813,-0.0019297246690257452,980
204800,259,100,788,46.86586565,484.17,-0.7954838957637549,0.007241305,294.2184753417969,0.0003,0.061669921875,0.8191560357809067,0.2,163.12259161174296,-0.0028839788217737807,990
206848,262,101,789,45.20902929999999,480.94,-0.8383308490738273,0.008201077,22.270048141479492,0.0003,0.043798828125,0.8588772565126419,0.2,117.30295389592648,-0.003052210896203178,1000
208896,264,102,788,46.378408160000006,486.63,-0.7903521260246634,0.0086779315,63.01378631591797,0.0003,0.064404296875,0.5968924462795258,0.2,171.0189050346613,-0.005038765001518186,1010
210944,267,103,787,47.741906979999996,494.67,-0.7690619917586445,0.0048652254,215.1856689453125,0.0003,0.012060546875,0.7453056573867798,0.2,211.67330540418624,-0.0013085985367069953,1020
212992,270,104,787,45.09835392,507.0,-0.7095725329592824,0.00939424,15.145745277404785,0.0003,0.056494140625,0.431338369846344,0.2,68.77656439468265,-0.002005662804003805,1030
215040,273,105,786,43.734427370000006,519.13,-0.8516031537204981,0.008404856,267.57794189453125,0.0003,0.081591796875,0.8536275029182434,0.2,62.30997926145792,-0.002244155731750652,1040
217088,276,106,785,40.465119250000015,521.11,-0.823471400514245,0.008855595,13.387206077575684,0.0003,0.097998046875,0.9161363691091537,0.2,53.2459505662322,-0.0047650053893448785,1050
219136,278,107,785,40.858234610000004,528.88,-0.7538151498883963,0.003396652,27.172496795654297,0.0003,0.02421875,0.8025424033403397,0.2,84.0688372015953,-0.0010119604121427983,1060
221184,281,108,785,37.1630674,539.91,-0.891774856671691,0.0059431214,8.53543472290039,0.0003,0.07080078125,0.8878973126411438,0.2,70.68224611580372,-0.0026330607302952557,1070
223232,284,109,784,34.78264935,548.66,-0.742607188038528,0.010332223,9.706932067871094,0.0003,0.073876953125,0.8790660127997398,0.2,49.09690952599048,9.061031814781018e-05,1080
