rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates
-36.17479993,790,690.27,114688,144,56,35.332584381103516,-0.0021939204922091448,0.2,0.5316122174263,-0.890457121655345,0.0082968995,0.0003,76.75061931312084,0.06259765625,550
-31.352913820000005,785,698.78,116736,148,57,11.233321189880371,-0.005485357069846941,0.2,0.5917161405086517,-0.975359109044075,0.007109614,0.0003,70.59170198738575,0.08642578125,560
-27.03187746,784,707.61,118784,151,58,64.70886993408203,-0.002031554560380755,0.2,0.33865272998809814,-0.9130390601232647,0.0037139547,0.0003,168.8642753958702,0.01943359375,570
-22.91668335,775,720.05,120832,155,59,37.38174057006836,-0.0033549454070453066,0.2,0.6106655597686768,-0.8369054982438684,0.008078652,0.0003,125.21732165515422,0.04736328125,580
-21.68163055000001,777,735.11,122880,158,60,61.19644546508789,-0.0015104740094102453,0.2,0.5988041162490845,-0.8452360045164824,0.0038857055,0.0003,61.57402091398835,0.027392578125,590
-19.277876230000007,771,754.94,124928,161,61,4.185807704925537,-0.007056098630710039,0.2,0.6742115616798401,-0.7454902393743396,0.011276629,0.0003,47.053952457010745,0.115771484375,600
-16.24344814000001,766,765.64,126976,165,62,4.0728559494018555,-0.0029725466654781487,0.2,0.5655982196331024,-0.81976597327739,0.0084979525,0.0003,82.91762762442231,0.090625,610
-12.954057080000005,761,784.26,129024,169,63,6.610809803009033,-0.0028683503245702014,0.2,0.48997563123703003,-0.9253755804151297,0.004745993,0.0003,116.80756512582302,0.036279296875,620
-12.986370600000003,757,786.17,131072,173,64,40.80781173706055,-0.002074967066073441,0.2,0.6105806529521942,-0.9200816128402949,0.0078275185,0.0003,70.73636304810643,0.094482421875,630
-9.91107851,751,799.68,133120,177,65,47.23841857910156,-0.0022849504377518313,0.2,0.6535672247409821,-0.910447652451694,0.003072315,0.0003,63.12652790024877,0.06123046875,640
-8.586479090000003,749,808.14,135168,180,66,1.9678245782852173,-0.002176188024895964,0.2,0.6970325410366058,-0.8965516425669193,0.0062078713,0.0003,43.01815056800842,0.09189453125,650
-3.8556386600000003,745,824.29,137216,183,67,1.3972277641296387,-0.00366457833442837,0.2,0.8431858867406845,-0.8838735017925501,0.0054374663,0.0003,21.288468692451715,0.07939453125,660
-1.940914449999999,741,824.64,139264,187,68,12.020392417907715,-0.0030016591161256658,0.2,0.6565064787864685,-0.8083719601854682,0.0068169273,0.0003,102.70256307125092,0.05517578125,670
2.302166230000001,736,824.37,141312,191,69,4.344221115112305,-0.0014308459620224312,0.2,0.49859362840652466,-0.8448206175118684,0.005748665,0.0003,119.83456026315689,0.01328125,680
4.643890389999999,734,824.83,143360,195,70,51.197391510009766,-0.0009209450530761387,0.2,0.37832820415496826,-0.848741727694869,0.0034579989,0.0003,97.03085158914328,0.023583984375,690
6.118967530000001,731,817.97,145408,198,71,409.1742248535156,-0.0016656913074257317,0.2,0.5160859823226929,-0.7558260386809706,0.004894777,0.0003,125.43605693131686,0.03203125,700
9.474757720000001,728,822.71,147456,202,72,10.264351844787598,-0.0058030272863106806,0.2,0.6312818229198456,-0.723149948567152,0.013007388,0.0003,96.20615167170763,0.0759765625,710
14.417961790000001,726,826.5,149504,205,73,29.80657386779785,-0.003727254051773343,0.2,0.6135585308074951,-0.8344174994155764,0.006636614,0.0003,84.93799472898245,0.081201171875,720
17.438885159999998,724,827.87,151552,209,74,12.808993339538574,-0.0026635634654667228,0.2,0.4749584197998047,-0.8064083056524396,0.007901619,0.0003,115.52196149528027,0.080322265625,730
19.428063769999998,722,822.96,153600,212,75,36.28944396972656,-0.0046202130761230364,0.2,0.3719276785850525,-0.7395285425707698,0.0059755035,0.0003,174.20771700441838,0.05244140625,740
24.738635410000008,721,824.85,155648,215,76,245.6382598876953,-0.0020594252517184943,0.2,0.36472100019454956,-0.8135633880272508,0.0043582353,0.0003,167.90683033019303,0.019580078125,750
