rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl
-48.64585676000001,794,139,110592,675.4,54,-0.9528064040467144,0.9071099609136581,530,122.37641143798828,45.81624304056167,0.148388671875,0.2,0.0003,-0.009067712838441367,0.015759416
-44.05617459,789,142,112640,688.08,55,-0.8770871544256806,0.7044116258621216,540,44.27655792236328,65.43763634487986,0.05810546875,0.2,0.0003,-0.0033720767627528404,0.012008552
-44.04278587000001,784,146,114688,706.58,56,-0.801726608350873,0.78256556391716,550,8.537057876586914,75.60798642039299,0.12822265625,0.2,0.0003,-0.0076534398685907945,0.015396168
-39.17653197000001,778,149,116736,721.04,57,-0.9023180300369859,0.7963596135377884,560,28.045270919799805,117.96534088104963,0.07021484375,0.2,0.0003,-0.0031095890328288077,0.0056301346
-38.94997723,773,153,118784,726.68,58,-0.8690858174115419,0.6951225101947784,570,7.805968761444092,90.01760076880456,0.047021484375,0.2,0.0003,-0.002557424528640695,0.0060418514
-38.89551876,769,156,120832,732.83,59,-0.9374567287042737,0.877640537917614,580,2.0529770851135254,32.388142394274475,0.073486328125,0.2,0.0003,-0.0026034187103505246,0.0061823823
-35.65922459,764,160,122880,746.35,60,-0.8690005157142877,0.6839891076087952,590,15.13188648223877,66.32208985388279,0.015576171875,0.2,0.0003,-0.0006380736595019698,0.0025056284
-33.34058107,755,165,124928,760.31,61,-0.9411822011694312,0.8757061958312988,600,3.5956854820251465,33.79314277768135,0.116650390625,0.2,0.0003,-0.007421698587859282,0.011463953
-31.15323122,748,169,126976,777.67,62,-0.9428573396056891,0.8927880376577377,610,1.731967568397522,23.148701734095813,0.104150390625,0.2,0.0003,-0.006707663657289231,0.010466111
-28.606122969999998,745,172,129024,783.46,63,-0.887634988874197,0.7083109617233276,620,41.79512405395508,75.06463259384036,0.116357421875,0.2,0.0003,-0.00430430229389458,0.009506633
-30.460563919999995,744,176,131072,788.94,64,-0.8012193182483316,0.7073089480400085,630,4.466459274291992,59.87554361075163,0.095458984375,0.2,0.0003,-0.003488523099076701,0.00865365
-31.311974759999995,742,179,133120,788.26,65,-0.9100362395867705,0.7555285096168518,640,73.76976013183594,89.84185825437308,0.0279296875,0.2,0.0003,-0.0018326734432775992,0.0033003232
-30.977867200000002,742,182,135168,795.13,66,-0.8137178614735603,0.7400416135787964,650,3.678542137145996,74.52030035704374,0.032275390625,0.2,0.0003,-0.002995514992289827,0.0062003774
-32.54238065,742,184,137216,792.56,67,-0.8762794390320778,0.8136706650257111,660,36.26634216308594,75.37666314989329,0.0474609375,0.2,0.0003,-0.0023301785069634205,0.0074840365
-28.67394996,740,188,139264,803.56,68,-0.8418515805155039,0.8747513443231583,670,129.7999267578125,50.19892097264528,0.104345703125,0.2,0.0003,-0.0024974626627226825,0.007151451
-31.825160620000002,739,191,141312,796.02,69,-0.8998265141621232,0.9308998361229897,680,1.3774687051773071,17.012958030775188,0.05068359375,0.2,0.0003,-0.00328918645172962,0.0054019764
-30.89323613000001,735,194,143360,802.63,70,-0.8136212227866053,0.660996675491333,690,16.54112434387207,157.35066432207822,0.040576171875,0.2,0.0003,-0.005513235391481431,0.0038865684
-26.573451920000004,728,199,145408,818.09,71,-0.8625047797337174,0.9230201989412308,700,1.7917823791503906,14.501174947619438,0.081103515625,0.2,0.0003,-0.0022243500730837694,0.0077304756
-25.515938789999996,725,203,147456,822.92,72,-0.8195206198841334,0.9269916340708733,710,266.1171569824219,25.111291796714067,0.07568359375,0.2,0.0003,-0.003718900623789523,0.0075282594
-22.13580198,720,207,149504,837.57,73,-0.8495286870747805,0.7942650318145752,720,2.9333138465881348,81.80962654426693,0.02841796875,0.2,0.0003,-0.003248652848560596,0.0049840435
-20.180702670000002,721,210,151552,850.45,74,-0.8305103179067373,0.9040897786617279,730,4.089497089385986,31.215797026082875,0.116015625,0.2,0.0003,-0.0042179371361271475,0.009826365
-21.10987645,717,214,153600,855.92,75,-0.8179908094927668,0.6428156793117523,740,2.4911816120147705,89.85043443888426,0.033740234375,0.2,0.0003,-0.0055616400568396784,0.003023583
-18.71769438,715,217,155648,852.37,76,-0.8290594011545181,0.8813377618789673,750,22.629249572753906,34.437082175910476,0.076220703125,0.2,0.0003,-0.004001719717780361,0.009055328
-18.693168829999998,714,220,157696,854.34,77,-0.7773959359154106,0.4712226390838623,760,97.99345397949219,140.04332100898029,0.030908203125,0.2,0.0003,-0.0013659616786753758,0.0046130745
-18.257764849999994,713,223,159744,856.38,78,-0.8241077426820993,0.5895911455154419,770,50.54380416870117,80.02098170518875,0.0216796875,0.2,0.0003,-0.0011538966206899204,0.0030395738
-19.346601829999997,713,226,161792,852.12,79,-0.8504282597452402,0.7151423990726471,780,27.14086151123047,101.52974433451891,0.061279296875,0.2,0.0003,-0.0017420607520762133,0.0052167363
