time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
756,178,-0.5240103900000014,135168,66,798.93,-0.9210946856066584,0.0003,0.13271484375,0.5354726910591125,0.2,109.99588333666324,0.008380899,-0.0035609139580628836,13.941934585571289,650
757,181,-0.6967049700000014,137216,67,804.07,-0.9388843880966306,0.0003,0.08212890625,0.46162790060043335,0.2,138.94942022711038,0.008968272,-0.0033536409810039913,69.17422485351562,660
757,183,-0.2881559399999999,139264,68,805.32,-0.6550443336367607,0.0003,0.06572265625,0.44962024688720703,0.2,72.55135013386607,0.0053467643,-0.0021660333200998138,4.655101776123047,670
751,187,-1.0434169399999993,141312,69,801.86,-0.907074561715126,0.0003,0.0677734375,0.656867116689682,0.2,77.78235423713923,0.005745388,-0.0030906518222764134,3.1229658126831055,680
751,190,0.7368851500000011,143360,70,810.31,-0.7784582359716297,0.0003,0.06630859375,0.7821582555770874,0.2,54.78856813237071,0.0065195756,0.0008281042595626786,2.5889358520507812,690
751,193,2.5843354499999993,145408,71,817.82,-0.9477274253964424,0.0003,0.048486328125,0.6384549140930176,0.2,95.2086820974946,0.0045634257,-0.00013395964961091523,3.715069055557251,700
749,196,0.2560779800000006,147456,72,815.55,-0.6985495673492551,0.0003,0.086669921875,0.7111797630786896,0.2,44.95973595790565,0.008535238,-0.0033961991415708327,197.11444091796875,710
747,199,0.412403359999999,149504,73,811.15,-0.9080001406371594,0.0003,0.037548828125,0.761815682053566,0.2,58.4797528155148,0.0048454395,-0.00013027205714024603,37.17097854614258,720
744,203,-0.17850997000000057,151552,74,811.15,-0.903943637944758,0.0003,0.059765625,0.6592234075069427,0.2,113.41821585297585,0.0061288895,-0.0028402568161254747,6.221411228179932,730
743,206,-0.25027893000000145,153600,75,817.39,-0.9363259509205818,0.0003,0.10517578125,0.8968104049563408,0.2,32.02160316705704,0.0048800427,-0.0006800364863011055,2.4077768325805664,740
741,210,-2.9119362300000025,155648,76,812.81,-0.9833592848852277,0.0003,0.176953125,0.9020839110016823,0.2,39.61159573569894,0.011299606,-0.003135090741852764,2.5533640384674072,750
741,212,-1.2150307800000022,157696,77,820.97,-0.7465583506971598,0.0003,0.038671875,0.7475200891494751,0.2,95.23340189680457,0.0057488577,-0.001979239306092495,62.22999572753906,760
740,215,-1.513503260000001,159744,78,826.22,-0.9353856263682246,0.0003,0.0630859375,0.9123407527804375,0.2,39.76353030838072,0.00537342,-0.0006895042315591127,190.9346160888672,770
739,218,-0.5962404100000005,161792,79,831.07,-0.8972121834754944,0.0003,0.063671875,0.6954825818538666,0.2,122.53695029467345,0.007917983,-0.001848469145988929,4.830015182495117,780
738,221,0.40340687000000025,163840,80,831.07,-0.8841346997767687,0.0003,0.04150390625,0.7488822937011719,0.2,89.471818023175,0.008733677,-0.0015268934868799989,16.545040130615234,790
736,225,2.5859569500000017,165888,81,831.1,-0.9556022381410003,0.0003,0.10390625,0.8656505197286606,0.2,37.20453764945269,0.0074610338,-0.005017597846017452,2.827238082885742,800
734,228,0.9043696999999995,167936,82,827.41,-0.8390980184078216,0.0003,0.030908203125,0.823534831404686,0.2,52.94206151515245,0.003193203,-0.0009407783683855087,5.290218353271484,810
732,231,3.39997079,169984,83,826.24,-0.8095661019906402,0.0003,0.118408203125,0.658917099237442,0.2,131.7336312457919,0.012406956,-0.003985129218199291,130.3353271484375,820
730,235,2.699987309999999,172032,84,829.23,-0.8288210533559323,0.0003,0.07255859375,0.8176977187395096,0.2,56.79144198000431,0.010530807,-0.0037150657299207523,16.083316802978516,830
730,238,4.2015986,174080,85,832.24,-0.9062640763819217,0.0003,0.143017578125,0.7322404384613037,0.2,59.99237132444978,0.013264589,-0.006473257855759584,1.9178637266159058,840
729,241,4.71077359,176128,86,837.44,-0.8612663423642516,0.0003,0.06748046875,0.842954233288765,0.2,45.75284258872271,0.006216598,-0.0007539535170508315,4.947791576385498,850
729,244,5.414503010000001,178176,87,837.44,-0.874570125900209,0.0003,0.0830078125,0.8376705199480057,0.2,38.07987325042486,0.005383908,-0.001045721783884801,4.210707664489746,860
