time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
108,352.75,264,221184,836,53.58060737000001,0.2,-0.0007867209671530873,1070,0.0003,0.05615234375,150.77114396244286,16.519750595092773,0.7130590081214905,-0.6918442485854029,0.005008124
109,353.55,266,223232,837,55.73849342000001,0.2,-0.0037296123104169966,1080,0.0003,0.074853515625,195.14492705464363,19.474674224853516,0.576392650604248,-0.7549814136698842,0.0076158373
110,358.5,268,225280,838,58.15833245000001,0.2,-0.0012627374515432166,1090,0.0003,0.031591796875,171.28327761292456,34.2275390625,0.7209212183952332,-0.5922387734055519,0.004528761
111,358.73,270,227328,840,57.304548229999995,0.2,-0.005590626018238254,1100,0.0003,0.052490234375,225.80810097157956,114.41529846191406,0.7020469605922699,-0.6649232314899564,0.008374585
112,356.08,272,229376,841,60.815283900000004,0.2,-0.002411118558666203,1110,0.0003,0.023828125,192.88524690568448,30.88785171508789,0.6103339791297913,-0.769314787723124,0.003970911
113,362.23,274,231424,842,60.128389420000005,0.2,-0.0014216608331480529,1120,0.0003,0.036181640625,122.70830330848693,27.82833480834961,0.8369526118040085,-0.6922603053972125,0.003657761
114,363.16,276,233472,843,60.01964147,0.2,-0.0007521461368014571,1130,0.0003,0.09267578125,137.0733303412795,274.1661071777344,0.8259409815073013,-0.7237241890281438,0.013627721
115,364.6,278,235520,845,64.79529241000002,0.2,-0.002754811930208234,1140,0.0003,0.0263671875,153.1671714425087,30.717479705810547,0.6074258983135223,-0.7872389160096646,0.003401645
116,365.19,280,237568,846,67.14510473,0.2,-0.0004588262156175915,1150,0.0003,0.040185546875,119.22951303720474,264.3680725097656,0.5980055034160614,-0.7394135719165206,0.0035413592
117,369.06,282,239616,847,66.4312978,0.2,-0.0016779390003648586,1160,0.0003,0.106103515625,118.91122951433063,2.391601800918579,0.6868006587028503,-0.8064455632120371,0.008722949
118,370.5,285,241664,846,70.75823397,0.2,-0.006703056293190457,1170,0.0003,0.0708984375,183.81591022908688,10.092623710632324,0.5624842345714569,-0.7890077237039804,0.02119109
119,375.67,287,243712,848,67.83833003000001,0.2,-0.0014111435630184133,1180,0.0003,0.02509765625,95.93721844106912,8.274839401245117,0.8165843635797501,-0.7311934435740113,0.0056319586
120,382.49,289,245760,848,71.82785426000001,0.2,-0.002931790245565935,1190,0.0003,0.042529296875,232.6946880713105,12.855161666870117,0.5621009767055511,-0.74999039452523,0.0040920908
121,382.7,291,247808,849,73.95259784,0.2,-0.0012083815643563866,1200,0.0003,0.022998046875,117.89458948522807,5.923173427581787,0.7607945203781128,-0.6074649841524661,0.002370052
122,388.02,293,249856,850,75.95913871,0.2,-0.002097441266232636,1210,0.0003,0.072705078125,126.26715640649199,8.77811336517334,0.6960458755493164,-0.7552145779132843,0.0070299106
123,393.3,295,251904,851,75.82764598,0.2,-0.0031081919645657764,1220,0.0003,0.11982421875,121.04969207942486,32.93202209472656,0.8541517555713654,-0.683073291182518,0.010819669
1,321.3333333333333,1,2048,1490,-17.066666666666674,0.2,-0.0032552555603615474,1230,0.0003,0.062646484375,191.51442371606828,350.46295166015625,0.6331593096256256,-0.6164408224634826,0.0032825693
