rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/clip_fraction
-125.97674069,43008,35,1218,223.77,21,0.2,-1.093132285401225,374.22377276420593,-0.005444579932373017,-0.006928563117980957,0.0050018504,200,129.57762145996094,0.0003,0.025830078125
-123.20366781000001,45056,37,1193,237.04,22,0.2,-1.0760078448802233,441.0619317054749,-0.008019308368966449,-0.0019375085830688477,0.00704808,210,283.4365539550781,0.0003,0.069091796875
-121.72142825999998,47104,40,1148,257.1,23,0.2,-1.1057988170534372,266.32869946956635,-0.0031628931275918147,0.015124320983886719,0.0039390307,220,152.90106201171875,0.0003,0.005908203125
-119.56391018000002,49152,43,1122,271.43,24,0.2,-1.0652568746358155,141.21342332363128,-0.0046922185574658215,0.04116004705429077,0.008234658,230,36.309120178222656,0.0003,0.039794921875
-118.47388336000002,51200,46,1105,281.57,25,0.2,-0.9692685283720494,188.81771504878998,-0.008281835162779316,0.06536984443664551,0.010533971,240,28.922582626342773,0.0003,0.117138671875
-115.92426982,53248,48,1096,296.3,26,0.2,-1.0528534278273582,253.23036992549896,-0.0029627454430738,0.039823949337005615,0.0048897755,250,139.84048461914062,0.0003,0.051171875
-117.76388646000001,55296,52,1048,315.89,27,0.2,-1.0360062398016452,239.83880610466002,-0.007696933932311367,0.11149591207504272,0.0074886056,260,155.66163635253906,0.0003,0.060205078125
-115.33042259,57344,55,1031,325.48,28,0.2,-1.0676336746662856,251.18339862823487,-0.006997928550117649,0.06446301937103271,0.005742003,270,76.1511001586914,0.0003,0.0451171875
-109.28519795,59392,58,1017,343.11,29,0.2,-1.075535449013114,151.97872800827025,-0.008106710010906681,0.14528560638427734,0.007169566,280,35.80422592163086,0.0003,0.102099609375
-108.34799192,61440,62,985,361.37,30,0.2,-1.0777390532195568,108.23092850446702,-0.008625743466836866,0.22094303369522095,0.00982842,290,55.95466995239258,0.0003,0.0912109375
-107.24885566,63488,65,972,373.83,31,0.2,-1.0236933017149568,71.35401628613472,-0.0041174405254423615,0.5956999957561493,0.006669821,300,307.08587646484375,0.0003,0.0521484375
-103.74031569,65536,68,951,388.99,32,0.2,-0.9659209944307804,122.1030897885561,-0.007116052622586721,0.41272473335266113,0.0073030926,310,18.123138427734375,0.0003,0.05380859375
-100.50324273,67584,72,932,404.53,33,0.2,-0.7557969262823463,106.24277108311654,-0.010336863829434152,0.6260931491851807,0.014909757,320,65.66890716552734,0.0003,0.132958984375
-98.02225806,69632,76,910,416.03,34,0.2,-0.9567615697160363,79.75008128881454,-0.006865373351320159,0.6292560398578644,0.006436457,330,31.840309143066406,0.0003,0.07490234375
-94.44108842,71680,79,897,440.45,35,0.2,-0.8744274655357003,125.64248675107956,-0.005356635628413642,0.5281859934329987,0.006049512,340,37.22538375854492,0.0003,0.032373046875
-90.88439040000003,73728,83,882,456.97,36,0.2,-0.9933425555005669,79.19708490669727,-0.009861096007807647,0.530297577381134,0.0112473,350,9.450549125671387,0.0003,0.1076171875
-87.53367682000003,75776,86,879,473.12,37,0.2,-1.1046362610533833,26.50887745320797,-0.00955552885279758,0.21774137020111084,0.011295658,360,5.519554615020752,0.0003,0.159375
-84.57959615000001,77824,90,864,489.7,38,0.2,-0.9448771713301539,114.75219994187356,-0.006513249232375529,0.29287809133529663,0.013723425,370,94.05024719238281,0.0003,0.099609375
-81.95181303999999,79872,93,854,506.87,39,0.2,-1.0448217291384936,39.02881298959255,-0.010722039479878731,0.6718346774578094,0.010049639,380,12.432721138000488,0.0003,0.1
-75.98683524,81920,96,849,520.32,40,0.2,-1.0111682863906026,32.57756716609001,-0.010181537253811258,0.8310552388429642,0.0070341313,390,5.292281150817871,0.0003,0.094140625
-72.88113092999998,83968,99,845,532.41,41,0.2,-1.025033001229167,159.48931913673877,-0.003068252804223448,0.49203503131866455,0.0062625394,400,391.4447021484375,0.0003,0.037841796875
-70.39539640000001,86016,101,843,550.03,42,0.2,-0.9153472322970628,118.24797200858593,-0.004863036324240966,0.4524792432785034,0.010118698,410,26.979907989501953,0.0003,0.095361328125
-66.64506628999999,88064,104,838,566.34,43,0.2,-0.9145223243162036,98.32896219938993,-0.003803891385177849,0.7086226046085358,0.009191342,420,14.004345893859863,0.0003,0.07265625
-64.60221282,90112,108,831,570.22,44,0.2,-0.8448803637176752,48.47721804901958,-0.003430210793885635,0.8244998008012772,0.010691034,430,5.645747661590576,0.0003,0.140185546875
-58.53234790999999,92160,112,819,585.62,45,0.2,-0.9233515897765756,160.64363918304443,-0.003247487967746565,0.59239262342453,0.008674743,440,68.42019653320312,0.0003,0.0939453125
-57.51612576999999,94208,116,811,598.13,46,0.2,-0.9402676232159137,30.099313416704536,-0.005260401195118902,0.8759876191616058,0.007822717,450,5.056332111358643,0.0003,0.097509765625
-56.52301116999999,96256,119,807,614.65,47,0.2,-0.9140308761969209,38.3195737875998,-0.006864080679952167,0.8371083289384842,0.010244168,460,4.324393272399902,0.0003,0.09814453125
-51.56794611,98304,122,801,630.73,48,0.2,-0.9553909294307232,109.76125190407038,-0.0028161623493360823,0.6492458283901215,0.0052707084,470,4.375146389007568,0.0003,0.01552734375
-49.17764458,100352,125,799,645.55,49,0.2,-1.0179953437298537,51.699275790154935,-0.00694934704224579,0.8010579347610474,0.017900754,480,6.405699729919434,0.0003,0.115576171875
-47.38805856,102400,128,796,659.67,50,0.2,-0.8496965367347002,42.915615304559466,-0.00230915752981673,0.8534991145133972,0.010070281,490,2.5894768238067627,0.0003,0.126318359375
-44.34732431,104448,132,790,671.57,51,0.2,-0.8441107887774706,40.961713834106924,-0.005652343339897925,0.8252762705087662,0.008511198,500,4.291511058807373,0.0003,0.089013671875
-40.75307748,106496,134,791,688.74,52,0.2,-0.8920596830546856,75.45891049951315,-0.0027337469269696157,0.7081843614578247,0.011259615,510,49.98360061645508,0.0003,0.075439453125
-40.130255919999996,108544,138,784,693.21,53,0.2,-0.8854591799899936,113.10334579870104,-0.003791371578336111,0.6844799518585205,0.0045923754,520,37.02383804321289,0.0003,0.042041015625
-37.49975109,110592,142,776,706.67,54,0.2,-0.9655917514115572,105.84209282398224,-0.0017036501478287392,0.6875256299972534,0.004968429,530,15.87917709350586,0.0003,0.02119140625
-35.652853820000004,112640,145,772,715.11,55,0.2,-1.007641971670091,44.526965242624286,-0.003219789985450916,0.8292150348424911,0.009443853,540,6.069924831390381,0.0003,0.143017578125
-31.23365414000001,114688,149,767,736.35,56,0.2,-0.9859288657084108,76.84365989491343,-0.0056322256743442265,0.7322063744068146,0.0075697266,550,39.43056869506836,0.0003,0.064697265625
-26.42504708000001,116736,153,762,747.06,57,0.2,-0.9387100867927074,90.79290785565972,-0.0021541261165111793,0.6290884912014008,0.00772084,560,3.442936897277832,0.0003,0.083203125
-26.24374809,118784,156,758,765.37,58,0.2,-0.9510674552991987,85.91354659348727,-0.001409688571584411,0.6773214042186737,0.004921127,570,7.362939357757568,0.0003,0.02138671875
-22.24354485,120832,160,751,776.65,59,0.2,-0.896961210295558,99.77457999363541,-0.004284553974139271,0.698988527059555,0.0058921995,580,2.908264636993408,0.0003,0.070166015625
-17.312058869999998,122880,163,750,795.63,60,0.2,-1.0004509950056673,69.47409794032573,-0.0020097943626751656,0.6959581077098846,0.012432862,590,158.86578369140625,0.0003,0.052587890625
-16.070177799999996,124928,166,748,799.79,61,0.2,-0.8987042348831892,93.2064010322094,-0.0036482332965533716,0.663932740688324,0.0063848644,600,8.097012519836426,0.0003,0.096533203125
-14.599750410000002,126976,169,748,808.06,62,0.2,-0.9225875843316317,70.72199996113777,-0.003687843353691278,0.660299152135849,0.009775963,610,37.6925048828125,0.0003,0.063525390625
-11.442082830000004,129024,173,743,812.32,63,0.2,-0.8565491888672113,161.29526128172876,-0.0016290907813527155,0.45396625995635986,0.003916961,620,87.40676879882812,0.0003,0.026806640625
-13.129977859999999,131072,176,740,813.83,64,0.2,-0.8181182280182838,73.07909098565578,-0.0012418935115420028,0.6113641858100891,0.009654628,630,43.4676628112793,0.0003,0.0509765625
-6.088892129999998,133120,181,733,834.92,65,0.2,-0.8996706502512097,79.35335665941238,-0.0009647870749176946,0.5740814805030823,0.0038922993,640,7.885645866394043,0.0003,0.02451171875
-4.85468645,135168,185,729,845.55,66,0.2,-0.8728539442643524,46.249127943813804,-0.003128183219814673,0.7530928701162338,0.008916446,650,3.5650787353515625,0.0003,0.082080078125
-3.5120937099999994,137216,188,726,854.04,67,0.2,-0.9618376282975077,29.16728882789612,-0.008529703531530685,0.7774107605218887,0.008817313,660,3.2535996437072754,0.0003,0.123095703125
0.6615172600000007,139264,192,723,863.39,68,0.2,-0.9612796228379011,21.55454443320632,-0.0033957147927139884,0.8561116605997086,0.004520176,670,1.9173636436462402,0.0003,0.066943359375
3.1487353799999998,141312,195,721,870.98,69,0.2,-0.9139201333746314,76.79013958722354,-0.00453768820152618,0.5820237696170807,0.0064924397,680,7.022429943084717,0.0003,0.058837890625
-0.7822980300000002,143360,198,722,872.86,70,0.2,-0.8994023201987147,32.41140064150095,-0.0020555600749503355,0.7439396381378174,0.005357481,690,2.3198695182800293,0.0003,0.048046875
1.6458829100000005,145408,201,720,865.23,71,0.2,-0.9157761905342341,182.88012391924858,-0.0009246155284927226,0.48887258768081665,0.0035869759,700,118.65852355957031,0.0003,0.0208984375
2.8268027799999995,147456,204,719,866.75,72,0.2,-0.8620276682078838,162.75984037667513,-0.005353529537387658,0.45830440521240234,0.008671668,710,48.71064376831055,0.0003,0.076123046875
5.949313560000002,149504,208,716,864.77,73,0.2,-0.8376112366095185,113.29339562058449,-0.002971734185666719,0.5552123188972473,0.009764016,720,9.04623031616211,0.0003,0.086181640625
5.169481410000002,151552,212,711,866.3,74,0.2,-0.7688365703448653,110.24865287989378,-0.00523685934022069,0.5119651556015015,0.017231394,730,13.474581718444824,0.0003,0.05537109375
4.032199520000002,153600,216,709,866.3,75,0.2,-0.8355673149228096,47.57602868974209,0.0001308439728745725,0.7044215202331543,0.009469839,740,9.11167049407959,0.0003,0.075146484375
6.29241025,155648,221,704,868.03,76,0.2,-0.7546092974022031,36.333312979340555,-0.002949100961268414,0.7449678480625153,0.004227234,750,1.1911777257919312,0.0003,0.038671875
5.014567189999999,157696,225,700,872.83,77,0.2,-0.8693399449810386,38.92973147183657,-0.002110320438805502,0.7243176102638245,0.0030193515,760,2.5595362186431885,0.0003,0.06005859375
4.646324449999999,159744,228,699,869.34,78,0.2,-0.9306273804977536,43.91870399266482,-0.001489486928039696,0.7216659486293793,0.010570403,770,8.879769325256348,0.0003,0.086572265625
2.7864891400000005,161792,231,698,860.08,79,0.2,-0.8653048189356923,110.35114157348872,-0.0017707346196402796,0.5799775123596191,0.008596323,780,6.34050178527832,0.0003,0.088916015625
2.6769099399999994,163840,234,699,849.56,80,0.2,-0.8456054855138063,113.90886668264866,-0.0010906826180871576,0.6114739775657654,0.004501205,790,51.574771881103516,0.0003,0.0306640625
1.4875722199999988,165888,237,698,848.4,81,0.2,-0.751181029342115,164.2797727957368,-0.0028495437538367694,0.4686543941497803,0.0036983318,800,29.789873123168945,0.0003,0.047021484375
1.1257343199999985,167936,240,698,847.39,82,0.2,-0.8150673160329461,46.90782490074635,-0.0023894864782050716,0.7701424807310104,0.0048524356,810,4.334784984588623,0.0003,0.0634765625
1.3286157299999994,169984,243,699,844.94,83,0.2,-0.8299952430650592,112.1403492346406,-0.0015311069328163285,0.6025482416152954,0.0041174386,820,12.644378662109375,0.0003,0.044384765625
4.72646311,172032,246,699,841.1,84,0.2,-0.8819591270759701,121.40658685863018,-0.0022318163888485286,0.63878133893013,0.0075200927,830,61.431095123291016,0.0003,0.076708984375
1.5782699999999994,174080,249,697,840.66,85,0.2,-0.8253164077177644,127.68445382416249,-0.0023239506037498357,0.5531522035598755,0.00451748,840,61.6180305480957,0.0003,0.035107421875
-0.27085003000000113,176128,252,696,834.0,86,0.2,-0.8797858402132988,142.5841390222311,-0.0016158340586116537,0.5942467451095581,0.00849724,850,56.749454498291016,0.0003,0.067578125
-1.3599172400000015,178176,256,695,824.66,87,0.2,-0.7140965189784765,128.862277315557,-0.0023062463151291013,0.583279013633728,0.00577172,860,295.4707336425781,0.0003,0.0431640625
-5.887363790000002,180224,258,696,808.07,88,0.2,-0.8518399108201266,172.18198754936458,-0.001821013289008988,0.5367502272129059,0.007162627,870,49.26171875,0.0003,0.0998046875
-2.6800313500000006,182272,262,693,801.23,89,0.2,-0.8543985338881612,159.2488916695118,-0.0009675620189227629,0.7060870230197906,0.004471233,880,57.39430236816406,0.0003,0.039453125
-2.7571264300000022,184320,266,691,800.03,90,0.2,-0.8013948511332274,130.23351333737372,-0.0010489921194675844,0.6647404134273529,0.0060355086,890,111.9967041015625,0.0003,0.0328125
-3.257728200000001,186368,270,688,800.9,91,0.2,-0.8755773175507784,80.22438731864095,-0.0013457586228469154,0.7225745022296906,0.009033715,900,11.139738082885742,0.0003,0.0859375
-1.0172478000000016,188416,273,689,798.87,92,0.2,-0.9132115263491869,62.620616336539385,-0.0010433332754473668,0.8178275227546692,0.0066037355,910,7.067459583282471,0.0003,0.123828125
-1.47364352,190464,275,690,794.25,93,0.2,-0.8415272187441587,137.35615829229354,-0.005249644899231498,0.6994575262069702,0.0057061883,920,6.637876033782959,0.0003,0.0978515625
-3.912981359999999,192512,278,690,784.22,94,0.2,-0.8767495438456535,105.15980099141598,-0.002530885665328242,0.771125927567482,0.010934204,930,33.568416595458984,0.0003,0.09638671875
-6.142943609999998,194560,282,689,775.6,95,0.2,-0.8791444189846516,179.6744915962219,-0.001364221794574405,0.6738501191139221,0.006549538,940,29.5834903717041,0.0003,0.0388671875
-11.924764189999996,196608,284,691,755.38,96,0.2,-0.8570433108136057,172.91805612891912,-0.002297600257952581,0.6415647864341736,0.008924732,950,5.647658348083496,0.0003,0.0666015625
-16.476285239999996,198656,286,693,741.06,97,0.2,-0.7955096358433366,176.74673188328742,-0.0020657873712480066,0.7839386910200119,0.0045241183,960,241.58856201171875,0.0003,0.0501953125
-13.667267919999999,200704,290,690,743.18,98,0.2,-0.7324689822271466,180.3020445525646,-0.004233063646097435,0.757883220911026,0.0063870423,970,70.26277160644531,0.0003,0.0611328125
-17.28994655,202752,294,688,743.36,99,0.2,-0.8527252992615104,44.517456841468814,-0.0014560060866642744,0.8660698980093002,0.007213386,980,4.8032073974609375,0.0003,0.096923828125
-16.131954099999998,204800,297,687,743.66,100,0.2,-0.8827032882720232,73.89271633699536,-0.0009971515832148726,0.8013287931680679,0.005696493,990,36.45733642578125,0.0003,0.0849609375
-16.13324285,206848,300,687,739.92,101,0.2,-0.7636702949181199,76.70869789421559,-0.001457990725612035,0.8211517333984375,0.0053510307,1000,2.0613086223602295,0.0003,0.046484375
-17.217061920000003,208896,304,686,737.56,102,0.2,-0.7950603000819683,78.96585940271616,-0.0037328593389247544,0.714851438999176,0.008013563,1010,144.51817321777344,0.0003,0.08349609375
-17.19025199,210944,307,686,737.56,103,0.2,-0.847004778496921,88.7308064982295,-0.0019735893427423436,0.7799567729234695,0.011196401,1020,37.345481872558594,0.0003,0.058935546875
-18.287910160000003,212992,310,686,727.49,104,0.2,-0.8786038149148225,50.64544503763318,-0.005482963731628843,0.8382353335618973,0.008220752,1030,3.5169265270233154,0.0003,0.100244140625
-16.39758376,215040,315,682,731.47,105,0.2,-0.8082298731431365,111.86854758113623,-0.0007214121957076714,0.6914307773113251,0.0037078024,1040,64.23814392089844,0.0003,0.026416015625
-14.185958880000001,217088,318,682,736.63,106,0.2,-0.8062689224258065,38.12352718450129,-0.0027132293551403565,0.8398929387331009,0.007229661,1050,2.145038366317749,0.0003,0.1060546875
-14.65871,219136,321,682,731.41,107,0.2,-0.8434680959209799,61.764071956276894,-0.0011179257096955552,0.7748353630304337,0.004259712,1060,87.78588104248047,0.0003,0.0271484375
-15.160476869999998,221184,323,682,719.4,108,0.2,-0.7021498424932361,146.7821467012167,-0.0015347833315900062,0.7562330067157745,0.007886366,1070,9.545888900756836,0.0003,0.05556640625
-16.05108665,223232,327,681,719.4,109,0.2,-0.75877804197371,131.98045398294926,-0.0027420977276051417,0.7077945172786713,0.0062066833,1080,62.980064392089844,0.0003,0.060791015625
-15.069707309999998,225280,330,681,719.4,110,0.2,-0.7768853852525354,25.38794155791402,-0.003216372905444587,0.8852364420890808,0.0114783775,1090,2.2641239166259766,0.0003,0.11123046875
-16.953706219999994,227328,334,679,711.46,111,0.2,-0.8989461272954941,19.79250810146332,0.00047990531456889587,0.9207151979207993,0.0038107107,1100,1.8813329935073853,0.0003,0.06240234375
-20.46135661,229376,337,678,698.08,112,0.2,-0.7944800155237317,135.06037692129613,-0.0009463966576731764,0.6619885563850403,0.003390645,1110,56.648284912109375,0.0003,0.03486328125
-16.29487593,231424,340,678,707.32,113,0.2,-0.9003155017271638,116.45220675766468,-0.002133595015038736,0.6830302774906158,0.005914363,1120,4.612212657928467,0.0003,0.04716796875
-18.13249016,233472,343,678,711.16,114,0.2,-0.887879928946495,28.225531859695913,0.0003303622375824489,0.8545926660299301,0.011324536,1130,4.274711608886719,0.0003,0.07236328125
-20.598527759999996,235520,346,679,716.83,115,0.2,-0.8457041565328837,45.72356318309903,-0.0012122444968554191,0.7494387924671173,0.013459481,1140,1.4179126024246216,0.0003,0.068212890625
-19.015140849999998,237568,349,679,721.8,116,0.2,-0.8621357481926679,24.172063215821982,-0.0031202361053146886,0.8677395135164261,0.0064578233,1150,2.5537283420562744,0.0003,0.0744140625
-19.615414459999997,239616,352,679,724.85,117,0.2,-0.8271915374323726,144.45961640924216,-0.0018701845610848977,0.600676566362381,0.0054464545,1160,5.692507266998291,0.0003,0.063818359375
-18.88959533,241664,356,677,731.78,118,0.2,-0.7582961255684495,22.12886210270226,-0.004199652344686911,0.8790547549724579,0.007113921,1170,1.9810326099395752,0.0003,0.073388671875
-19.72087957,243712,361,674,735.13,119,0.2,-0.8509939804673194,39.32892049103975,-0.00489874910999788,0.7361212372779846,0.009745555,1180,2.397587537765503,0.0003,0.09404296875
-21.98430576,245760,364,673,738.83,120,0.2,-0.8773244159296155,38.59720367863774,-0.0016583698525209911,0.814581423997879,0.006516309,1190,5.286908149719238,0.0003,0.0611328125
-18.77714916,247808,368,672,748.78,121,0.2,-0.8162462016567588,59.286146245896816,-0.0004393673058075365,0.7571055740118027,0.0024357664,1200,57.46848678588867,0.0003,0.008447265625
-21.540725409999997,249856,372,671,745.81,122,0.2,-0.8184492373839021,78.88520909547806,-0.002897317313181702,0.782619297504425,0.0051723793,1210,27.5582332611084,0.0003,0.06279296875
-20.375310230000004,251904,375,670,749.24,123,0.2,-0.8539443073794246,55.659473260492085,-0.002256064098037314,0.7697292119264603,0.00818649,1220,3.4528310298919678,0.0003,0.085546875
-583.2666666666665,2048,2,810,660.6666666666666,1,0.2,-0.8002160517498851,20.092355639860035,-0.0014852960332063958,0.9241459667682648,0.0049415757,1230,2.0719716548919678,0.0003,0.061572265625
-617.8699999999999,4096,5,691,720.8,2,0.2,-0.7463184580206871,115.4984279975295,0.0015634471266821493,0.6999289691448212,0.011524089,1240,4.201064586639404,0.0003,0.053662109375
-655.1071428571428,6144,9,661,800.5714285714286,3,0.2,-0.8139103878289461,109.22181046903134,-0.001038741929733078,0.22960203886032104,0.006433607,1250,43.801788330078125,0.0003,0.075439453125
