rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
596.52,114,233472,51.63679652,760,306,5.963529109954834,0.7859478890895844,0.0003,0.036376953125,0.2,-0.0026523222753894516,83.70696640014648,-0.6751756779849529,0.009668129,1130
591.95,115,235520,54.31704328,761,309,82.76041412353516,0.32965171337127686,0.0003,0.03828125,0.2,-0.002701525403790583,259.7428145051002,-0.756391704082489,0.002707769,1140
595.83,116,237568,49.73279872999999,761,312,10.532979965209961,0.7245056629180908,0.0003,0.069580078125,0.2,-0.0003622688360337634,98.90061836540698,-0.7373277481645346,0.005962808,1150
598.12,117,239616,52.30711049999999,760,314,254.80484008789062,0.6578453779220581,0.0003,0.043212890625,0.2,-0.0022395764353859704,148.8453908354044,-0.6909955294802785,0.005719463,1160
599.29,118,241664,52.28865812,760,317,9.931075096130371,0.6954169571399689,0.0003,0.05927734375,0.2,-0.001261894130584551,55.43609990477562,-0.737092444114387,0.006647766,1170
593.23,119,243712,52.11863876,761,319,1.5489810705184937,0.5788959860801697,0.0003,0.10439453125,0.2,-0.0031901824317174033,145.52478176951408,-0.7374119156971574,0.0087411655,1180
591.42,120,245760,52.81376765,761,322,21.636037826538086,0.5740610063076019,0.0003,0.023876953125,0.2,-0.001408507674204884,155.36301345527173,-0.7422158341854811,0.0060044723,1190
589.81,121,247808,56.96884492,761,325,18.371185302734375,0.3525574803352356,0.0003,0.022607421875,0.2,-0.0024159697262803093,112.82100613713264,-0.7172674391418695,0.0043592574,1200
578.97,122,249856,54.18235293,762,327,6.1222052574157715,0.7564470618963242,0.0003,0.083251953125,0.2,-0.00014355269086081536,76.71140647009015,-0.7226290732622147,0.0072074546,1210
573.58,123,251904,51.7654773,762,330,208.9163360595703,0.06457805633544922,0.0003,0.00859375,0.2,-0.0016883967982721515,319.4222438931465,-0.7531244639307261,0.0027029803,1220
460.25,1,2048,-25.555,1036,1,32.772003173828125,0.5881928205490112,0.0003,0.030712890625,0.2,-0.001674115896639705,159.2461548268795,-0.5890196089632809,0.0021174753,1230
418.6666666666667,2,4096,10.784444444444446,927,4,3.6384198665618896,0.7131986021995544,0.0003,0.139404296875,0.2,-0.0038340980747307183,56.003861947357656,-0.8182833677157759,0.01706037,1240
407.6,3,6144,8.867333333333333,901,6,14.121129989624023,0.7329743206501007,0.0003,0.105029296875,0.2,-0.002714276390906889,56.574693927168845,-0.679853111691773,0.011199463,1250
