time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss
172032,234,879.14,-5.030467810000001,732,84,0.9171015024185181,0.9667995572090149,0.010668933,0.0003,830,0.1875,-0.004655034416646231,0.2,-1.0207517942413689,31.094261457957327
174080,238,874.27,-5.460587980000002,730,85,0.9117230176925659,0.7450284957885742,0.006237425,0.0003,840,0.139013671875,-0.0018501434511563274,0.2,-1.034622431360185,32.85741632953286
176128,241,861.91,-5.54335066,730,86,0.8436814993619919,320.8216552734375,0.014118627,0.0003,850,0.131689453125,-0.0029624095230246896,0.2,-0.9287429336458445,84.8907351192087
178176,244,861.91,-5.6941402199999995,729,87,0.706990510225296,46.19443130493164,0.0038472356,0.0003,860,0.03466796875,-0.0031264154233213047,0.2,-0.8920639358460903,170.74308983907105
180224,247,861.91,-5.55433481,728,88,0.9098779335618019,0.44092994928359985,0.0077233193,0.0003,870,0.075927734375,-0.002484203544736374,0.2,-1.0264819709584116,39.909465226344764
182272,250,848.0,-8.44658762,728,89,0.9096385315060616,1.8052436113357544,0.005720256,0.0003,880,0.0755859375,-0.0013987909813295118,0.2,-0.9879930578172207,41.508996749669315
184320,253,853.24,-6.67189153,728,90,0.6489481627941132,76.4315185546875,0.0035608306,0.0003,890,0.026904296875,-0.0016368234188121277,0.2,-0.8443310393020511,172.9933286190033
186368,256,853.24,-6.589981960000001,726,91,0.8825087249279022,0.5268890261650085,0.009048736,0.0003,900,0.105224609375,-0.0017763757481588983,0.2,-1.0183703199028968,51.95887433234602
188416,259,846.47,-7.9342200100000015,725,92,0.9128123223781586,0.2755456268787384,0.007755198,0.0003,910,0.06533203125,-0.0026043977624794932,0.2,-1.0137276854366064,37.94450694955886
190464,262,834.23,-8.361908040000001,726,93,0.7111232578754425,41.53718185424805,0.013366195,0.0003,920,0.196875,-0.003427668704171083,0.2,-0.9394764019176364,110.56282090432941
192512,264,825.51,-11.234547120000002,726,94,0.7459675669670105,84.78831481933594,0.0030371256,0.0003,930,0.028564453125,-0.002100788344614557,0.2,-0.8781027188524604,181.0088868290186
194560,267,815.98,-7.0662931,727,95,0.7704605758190155,33.10787582397461,0.0057211067,0.0003,940,0.043017578125,-0.0012533904220617842,0.2,-0.8868897043168544,152.01805681437253
196608,269,810.97,-6.56080457,728,96,0.7397389709949493,11.936809539794922,0.0058429595,0.0003,950,0.0416015625,-0.002390077860763995,0.2,-0.8163424739614129,160.0036202773452
