time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss
281,73,149504,531,-2.44927963,929.78,-0.00298489883862203,0.7117873430252075,0.2,1.1866223812103271,0.008402184,720,0.8971120789647102,-2.1847253903746604,0.09140625,0.0003,34.512489766813815
285,74,151552,530,-4.33833373,923.71,-0.006237615740246838,0.714653491973877,0.2,0.540686309337616,0.010664708,730,0.9141200557351112,-2.164571185410023,0.078173828125,0.0003,37.89886471796781
290,75,153600,527,-3.94714131,923.71,-0.0056317778784432445,0.7144618034362793,0.2,7.534214973449707,0.0064950353,740,0.8114774525165558,-2.166450534760952,0.04609375,0.0003,75.39024400115014
294,76,155648,528,-2.84849859,919.33,0.0008216233996790834,0.705134391784668,0.2,0.31597551703453064,0.006731659,750,0.9281845912337303,-2.150331571698189,0.061376953125,0.0003,32.345979207754134
297,77,157696,529,-0.20188770000000048,916.11,-0.0012924037473567296,0.7011725902557373,0.2,8.241846084594727,0.0039168242,760,0.7651205062866211,-2.1346542209386827,0.070703125,0.0003,113.27944499924779
301,78,159744,529,-1.9267951600000004,908.97,0.0006303519461653195,0.7028926610946655,0.2,283.1001281738281,0.008346413,770,0.8053858131170273,-2.1313303828239443,0.07314453125,0.0003,74.7800933394581
305,79,161792,530,-0.3467572199999997,915.18,-0.002804934592859354,0.7005961537361145,0.2,0.5712959170341492,0.005678216,780,0.8939767628908157,-2.129681173712015,0.0623046875,0.0003,47.73649188857526
307,80,163840,532,-3.545246880000001,893.1,-0.0030712438114278485,0.6956539154052734,0.2,295.76190185546875,0.003884649,790,0.9205369651317596,-2.120487893372774,0.11064453125,0.0003,37.52511410661973
310,81,165888,533,-6.579642480000002,879.22,-0.002296209897031076,0.6950402855873108,0.2,19.92745018005371,0.0044325492,800,0.8368973433971405,-2.1113087706267835,0.026123046875,0.0003,194.0104083031416
313,82,167936,535,-5.791146550000002,876.65,-0.003067228819054435,0.69483482837677,0.2,6.380255222320557,0.0053889416,810,0.820400133728981,-2.1099841333925724,0.02880859375,0.0003,103.54972329176962
317,83,169984,535,-1.7921895300000004,884.19,-0.0036629077287216203,0.6909180879592896,0.2,22.242700576782227,0.0057875235,820,0.8410357385873795,-2.10497053489089,0.058447265625,0.0003,99.17371503859758
321,84,172032,535,2.306044979999999,887.29,-0.0025258574503823185,0.679854154586792,0.2,8.33743667602539,0.006422722,830,0.8467051684856415,-2.0833301939070226,0.03896484375,0.0003,78.44826456308365
325,85,174080,535,3.7447771399999987,874.25,-0.0022412413411075248,0.6782981157302856,0.2,2.747917652130127,0.0042751823,840,0.861812487244606,-2.064390005171299,0.0564453125,0.0003,55.05741635300219
327,86,176128,537,7.957632389999999,850.67,-0.0044653844248387035,0.6672601699829102,0.2,9.157511711120605,0.0043292046,850,0.8372224271297455,-2.0482944436371326,0.05634765625,0.0003,89.13523710519075
330,87,178176,538,8.49091176,850.67,-0.003164910237683216,0.6645975112915039,0.2,23.032119750976562,0.006661454,860,0.719436764717102,-2.0242602214217187,0.041259765625,0.0003,176.98098644316195
