time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction
104,-73.07122652,88064,841,550.73,43,-0.8285610800608992,0.0003,87.8049219623208,-0.003731529380456777,256.6194152832031,420,0.2,0.5618230700492859,0.006118352,0.052978515625
108,-69.45736714,90112,830,566.66,44,-0.750824436917901,0.0003,71.09524845182895,-0.0030337084637722,168.63792419433594,430,0.2,0.5503329932689667,0.007558547,0.068896484375
111,-69.54362247,92160,825,587.15,45,-0.916371032781899,0.0003,65.17386449873447,-0.003462953997950535,55.595401763916016,440,0.2,0.22335588932037354,0.007311331,0.07021484375
115,-67.01555054,94208,812,602.51,46,-0.9561971426010132,0.0003,163.9430998623371,-0.0023776882320817095,98.30215454101562,450,0.2,0.3474452495574951,0.002995924,0.008251953125
119,-63.98427009,96256,805,615.32,47,-0.9297369986772537,0.0003,35.73234880566597,-0.00635932129516732,2.671867847442627,460,0.2,0.7476184368133545,0.006291792,0.064501953125
123,-61.10412708999999,98304,794,632.51,48,-0.892036210373044,0.0003,135.35813717246054,-0.003700747210677946,50.2086067199707,470,0.2,0.16753119230270386,0.004541969,0.022998046875
127,-59.74471825,100352,790,648.56,49,-0.9397332975640893,0.0003,28.637312903255225,-0.003966599678824423,2.3316028118133545,480,0.2,0.5619276762008667,0.008666272,0.102001953125
129,-53.176066969999994,102400,787,667.21,50,-0.9414662294089794,0.0003,102.70184249281883,-0.004101201399316778,75.93640899658203,490,0.2,0.3236461281776428,0.007816428,0.083544921875
132,-51.06626543999999,104448,785,681.14,51,-0.8585416678339243,0.0003,96.34513976573945,-0.0013254784211312654,19.365184783935547,500,0.2,0.5827528834342957,0.0058995225,0.031884765625
135,-49.55678637,106496,784,694.47,52,-0.8994429240003228,0.0003,63.998425306379794,-0.0013805697180941934,34.22584533691406,510,0.2,0.6815844476222992,0.0044048578,0.04453125
139,-46.477950140000004,108544,779,710.2,53,-0.9205215955153108,0.0003,80.35391811430455,-0.0029634344988153315,15.367256164550781,520,0.2,0.49956679344177246,0.004993663,0.0595703125
143,-43.624927150000005,110592,772,729.37,54,-0.8525019215419889,0.0003,42.784170660376546,4.669029731303453e-05,6.822447776794434,530,0.2,0.7015847563743591,0.0021081185,0.0099609375
146,-45.243861020000004,112640,769,735.49,55,-0.9023768128827214,0.0003,111.4556177340448,-0.004008983093081042,1.7925912141799927,540,0.2,0.07715463638305664,0.0044358666,0.042236328125
150,-42.829195770000005,114688,761,751.48,56,-0.9512293931096792,0.0003,51.97647593319416,-0.001615809459326556,9.62822437286377,550,0.2,0.5842885971069336,0.006712389,0.07197265625
153,-41.37754581,116736,759,759.04,57,-0.9103862892836332,0.0003,78.25882455855609,-0.00615826612120145,5.5773844718933105,560,0.2,0.6343103051185608,0.005600872,0.060400390625
156,-38.94713188,118784,760,772.36,58,-0.8357316324487328,0.0003,70.98115784227848,-0.0014781977130041923,53.70437240600586,570,0.2,0.6036415994167328,0.0028753486,0.027490234375
159,-36.39637014,120832,755,776.7,59,-0.8925136519595981,0.0003,110.68941552489996,-0.000993395602927194,63.998291015625,580,0.2,0.6169111132621765,0.00486534,0.066259765625
163,-36.92926197,122880,752,793.98,60,-0.8388408927246929,0.0003,57.86943509578705,-0.002112819075409789,9.197925567626953,590,0.2,0.6372702717781067,0.0051608724,0.065087890625
166,-34.24562745,124928,751,801.39,61,-0.904724894836545,0.0003,51.500346064567566,-0.0013708093945751898,17.03423500061035,600,0.2,0.6239826679229736,0.009218798,0.10634765625
169,-33.334579500000004,126976,747,810.21,62,-0.8853680022060871,0.0003,87.86947419643403,-0.007219381952018012,41.338199615478516,610,0.2,0.6809194982051849,0.013547454,0.081201171875
172,-31.617293090000004,129024,746,813.63,63,-0.8468758013099432,0.0003,136.27264914810658,-0.0012091862416127696,76.95248413085938,620,0.2,0.5868390500545502,0.0039749546,0.039306640625
176,-24.64951724,131072,743,820.45,64,-0.8902871629223228,0.0003,199.91956398785115,-0.006086694059558795,6.431318283081055,630,0.2,0.35291826725006104,0.006635703,0.04267578125
179,-24.760876060000005,133120,742,823.29,65,-0.8987141352146863,0.0003,165.61848268061877,-0.003894494212727295,54.136680603027344,640,0.2,0.5095231831073761,0.009717438,0.08427734375
182,-18.410815720000002,135168,741,832.87,66,-0.819020689278841,0.0003,151.25747521221638,-0.004252740758965956,38.78883743286133,650,0.2,0.6382332444190979,0.0038511627,0.01015625
186,-12.85315143,137216,737,844.95,67,-0.819837749376893,0.0003,108.44857769757509,-0.0008010877929336857,6.742361545562744,660,0.2,0.32148289680480957,0.0037020303,0.033642578125
189,-8.741099890000001,139264,735,856.47,68,-0.7944577135145664,0.0003,83.78432069420815,-0.004184659197926521,328.0393371582031,670,0.2,0.39874744415283203,0.007493415,0.049267578125
191,-9.236741370000003,141312,736,860.4,69,-0.8409477546811104,0.0003,89.31374387890101,-0.004322047781897709,18.07288932800293,680,0.2,0.6776242554187775,0.008555983,0.058056640625
194,-8.24233736,143360,735,861.61,70,-0.8046979205682874,0.0003,123.50580898970365,-0.004244433390704216,37.97532653808594,690,0.2,0.3864975571632385,0.008380225,0.052490234375
198,-6.054446460000001,145408,733,863.66,71,-0.86938596367836,0.0003,82.16459215730428,-0.0023507865014835263,2.0587000846862793,700,0.2,0.6463960111141205,0.0064224843,0.049658203125
203,-1.3438116600000003,147456,726,871.64,72,-0.8091531209647655,0.0003,149.29034851193427,-0.005411648996232543,56.68618392944336,710,0.2,0.6595426797866821,0.0077476366,0.0689453125
207,-0.9946567499999994,149504,721,878.84,73,-0.8855089016258717,0.0003,69.22225554138421,-0.0035713113808014895,16.468887329101562,720,0.2,0.6519018709659576,0.0068433885,0.06806640625
210,4.33408849,151552,719,882.53,74,-0.8729955293238163,0.0003,118.44993276298047,-0.0012210826986120082,4.671881198883057,730,0.2,0.4385364055633545,0.005707222,0.052734375
214,4.871802090000001,153600,714,880.56,75,-0.8909944996237755,0.0003,43.00060875415802,-0.0027962312262388876,10.981108665466309,740,0.2,0.6697944700717926,0.0061966428,0.06162109375
217,5.0842435,155648,714,884.48,76,-0.848360581509769,0.0003,80.66738194823265,-0.005877812673861627,21.586334228515625,750,0.2,0.7168576419353485,0.007673868,0.09111328125
221,6.466098760000001,157696,712,877.25,77,-0.8525108018890023,0.0003,33.604539597779514,-0.0006264525713049806,263.9786376953125,760,0.2,0.7691396623849869,0.007570671,0.048486328125
224,7.30436987,159744,712,867.37,78,-0.7867424845695495,0.0003,161.91713131666182,-0.0012826015255996027,15.834160804748535,770,0.2,0.4614875316619873,0.0045336788,0.019140625
