time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range
721,890.46,184,133120,-14.48368092,65,7.050313949584961,-0.002201401464117225,0.061083984375,0.005514356,47.72863853946328,0.0003,640,-0.7197912422940135,0.49968069791793823,0.2
717,897.13,188,135168,-15.055436299999998,66,347.3323974609375,-0.004958189600438345,0.071728515625,0.0069271754,78.83841831833124,0.0003,650,-0.7752184085547924,0.2333809733390808,0.2
711,912.01,192,137216,-12.538341399999997,67,26.20149803161621,-0.0049318057754135225,0.056884765625,0.0043729753,74.74721598178148,0.0003,660,-0.7466207066550851,0.534168004989624,0.2
711,918.71,195,139264,-13.412068589999999,68,15.932785987854004,-0.006344442014960805,0.121142578125,0.008481732,47.187973593175414,0.0003,670,-0.7743797356262803,0.45310860872268677,0.2
705,930.74,200,141312,-7.77897289,69,22.31230926513672,-0.005596085490105906,0.08662109375,0.008867863,98.75539523884655,0.0003,680,-0.7404163409024477,0.3607872724533081,0.2
703,935.38,203,143360,-5.4971529100000005,70,20.480777740478516,-0.0037929057994915637,0.0763671875,0.004408536,97.0443718649447,0.0003,690,-0.7364966094493866,0.11049115657806396,0.2
700,934.16,207,145408,-7.361786780000002,71,4.775847434997559,-0.0006178768515383126,0.067236328125,0.0029789181,41.395101288333535,0.0003,700,-0.740139614790678,0.3813847303390503,0.2
696,937.69,211,147456,-3.8097512500000024,72,3.436638593673706,-0.0015216603387671057,0.046923828125,0.006587046,54.10178283303976,0.0003,710,-0.7271240649744868,0.5028207302093506,0.2
692,942.51,215,149504,-4.962005810000002,73,1.7418017387390137,-0.005461886825651163,0.08251953125,0.005612285,30.887277649715543,0.0003,720,-0.7761185115203262,0.5969932675361633,0.2
687,946.6,220,151552,-1.529224390000001,74,32.845481872558594,-0.002413303194771288,0.0578125,0.0074418373,77.1176335312426,0.0003,730,-0.7835996709764004,0.500730037689209,0.2
688,953.5,223,153600,1.1780506000000015,75,9.611172676086426,-0.0021578778891125695,0.05966796875,0.0065143346,87.91394394785166,0.0003,740,-0.7372832778841257,0.4978410005569458,0.2
687,957.78,226,155648,3.373397390000002,76,1.8309943675994873,-0.0026591422181809323,0.10908203125,0.008594369,29.105644657462836,0.0003,750,-0.7203172974288463,0.7622919380664825,0.2
685,955.72,230,157696,5.795808970000003,77,38.893306732177734,-0.007767340514692478,0.064599609375,0.014040278,102.18915463984013,0.0003,760,-0.6902745947241783,0.6052992939949036,0.2
682,952.17,233,159744,4.790789110000002,78,35.20512390136719,-0.0020079155852727125,0.02578125,0.003387773,60.393322952091694,0.0003,770,-0.7344894029200078,0.6243488490581512,0.2
680,957.31,237,161792,8.446244210000001,79,167.36737060546875,-0.0031834274499487948,0.016064453125,0.0029624011,158.37542625814677,0.0003,780,-0.7470160039141774,0.21296697854995728,0.2
677,954.55,241,163840,9.002537740000001,80,9.88892650604248,-0.0019990787353890483,0.08271484375,0.0053720237,47.43590830489993,0.0003,790,-0.7256903855130077,0.6625300645828247,0.2
676,950.85,245,165888,12.700693379999997,81,12.254170417785645,-0.0019332042655150871,0.046484375,0.00406802,49.14525614529848,0.0003,800,-0.6734225096181035,0.6174026429653168,0.2
676,947.41,248,167936,10.464255479999998,82,6.260716915130615,-0.0032789845852676082,0.0484375,0.005003974,94.30950319468975,0.0003,810,-0.6687474122270942,0.6555244624614716,0.2
674,945.25,252,169984,13.30264012,83,6.6068902015686035,-0.0002821515063260449,0.06005859375,0.0056526344,86.02805898413062,0.0003,820,-0.6867465538904071,0.021970808506011963,0.2
672,940.68,255,172032,14.16779639,84,11.369667053222656,-0.004000808495766251,0.034619140625,0.008304909,69.64580992087721,0.0003,830,-0.7221066350117326,0.47714805603027344,0.2
672,939.24,258,174080,13.160670130000003,85,9.598939895629883,-0.0024193833000026644,0.080224609375,0.008713385,140.71629806756974,0.0003,840,-0.7449521787464619,0.4028465151786804,0.2
671,932.98,262,176128,14.613624630000004,86,13.855939865112305,-0.005400963383726776,0.0978515625,0.00909998,62.58297442048788,0.0003,850,-0.7468497363850475,0.3046410083770752,0.2
669,932.98,266,178176,15.622789450000003,87,51.077186584472656,-0.003158298596099485,0.044677734375,0.00443275,172.5176351249218,0.0003,860,-0.5926429974846542,0.5762437582015991,0.2
666,929.63,270,180224,16.931467830000003,88,4.844918727874756,-0.00024106224955176004,0.091943359375,0.004919725,37.029980135336515,0.0003,870,-0.7376307658851147,0.5275326669216156,0.2
665,926.74,273,182272,18.13105277,89,8.145063400268555,-0.0033976142840401735,0.0486328125,0.003743057,79.48062850534916,0.0003,880,-0.6886559657752513,0.41978734731674194,0.2
664,926.74,277,184320,18.51302889,90,1.5741461515426636,-0.0016673480764438863,0.053759765625,0.0066614226,66.76001292541623,0.0003,890,-0.6679638851433992,0.5799081921577454,0.2
664,922.46,280,186368,21.72905799,91,4.035810470581055,-0.0023342488799244165,0.074267578125,0.017928824,39.69126500450075,0.0003,900,-0.6930022239685059,0.4568844437599182,0.2
663,914.29,283,188416,22.58350622,92,312.0230712890625,-0.0021253079983580394,0.04853515625,0.003628665,110.45676790326834,0.0003,910,-0.6570024313405156,0.4623180627822876,0.2
664,910.9,286,190464,23.641934860000003,93,77.30229187011719,-8.471100918541196e-05,0.05556640625,0.0050748987,128.3957495570183,0.0003,920,-0.7151444748044014,0.3716176152229309,0.2
660,908.5,291,192512,25.61320780999999,94,9.192070007324219,-0.00014501360710710286,0.0642578125,0.011570075,53.217722322046754,0.0003,930,-0.6909219298511744,0.5548851191997528,0.2
660,904.43,294,194560,27.78259037999999,95,5.3427958488464355,0.00019227713273721746,0.043408203125,0.0052975137,74.60855229459703,0.0003,940,-0.6925898764282465,0.5425255000591278,0.2
658,903.91,298,196608,33.002467890000005,96,5.663482666015625,-0.0027175347342563326,0.085498046875,0.0061406554,64.00905938446522,0.0003,950,-0.7239154659211635,0.6381939351558685,0.2
656,902.41,302,198656,33.01428035000001,97,15.7022066116333,-0.0002053491100014071,0.088818359375,0.0057012876,55.443499042093755,0.0003,960,-0.7001509878784418,0.6588329970836639,0.2
655,896.44,305,200704,35.85442614,98,4.2063069343566895,-0.0008867033255228307,0.076953125,0.0034835516,48.28373508229852,0.0003,970,-0.6740945918485522,0.559805154800415,0.2
655,893.19,309,202752,36.53795790000001,99,11.006519317626953,-0.0021056829762528652,0.080517578125,0.0071645994,68.66007130146026,0.0003,980,-0.6334870021790266,0.5462448596954346,0.2
655,888.06,312,204800,36.05451714,100,6.810084819793701,0.00011752605569199659,0.092529296875,0.007702646,54.19399479702115,0.0003,990,-0.7027474503964186,0.5914617776870728,0.2
655,886.52,315,206848,38.14148104,101,13.494019508361816,-0.0011536476486071479,0.0474609375,0.0034950278,116.221176084131,0.0003,1000,-0.6559371523559093,0.5243017673492432,0.2
652,886.5,320,208896,38.04221207,102,1.3790781497955322,-0.0037339671333029402,0.094091796875,0.008929445,37.55533108711243,0.0003,1010,-0.6948858128860593,0.8632827997207642,0.2
652,880.19,323,210944,39.78213887,103,6.610689640045166,-0.0015132991109567228,0.068798828125,0.010872273,114.79838430583477,0.0003,1020,-0.6942445797845721,0.12556320428848267,0.2
653,874.79,325,212992,42.34648574,104,221.122314453125,-0.0026736056202935287,0.04814453125,0.0035301845,93.02383277118206,0.0003,1030,-0.6547637572512031,0.39885061979293823,0.2
653,871.42,329,215040,44.85133772999998,105,36.68979263305664,-0.004411202647315804,0.077392578125,0.012397494,107.19166829884053,0.0003,1040,-0.5603584956377745,0.5720976889133453,0.2
653,863.06,332,217088,43.204585529999996,106,115.29348754882812,-0.0030919005250325425,0.06630859375,0.007365916,70.62702580019831,0.0003,1050,-0.6541459366679192,0.5892094075679779,0.2
653,864.73,335,219136,41.758872960000005,107,5.920161724090576,-0.001151551166549325,0.054833984375,0.004313737,109.44993831291795,0.0003,1060,-0.6871778024360538,0.3687356114387512,0.2
654,865.14,338,221184,42.972174560000006,108,1.0383845567703247,-0.00014495390787487849,0.11845703125,0.012844313,29.100296654365955,0.0003,1070,-0.6674191109836102,0.6101278960704803,0.2
653,862.8,341,223232,43.23328187999999,109,1.1712993383407593,0.0004000693668785971,0.0859375,0.00578803,30.65218932311982,0.0003,1080,-0.6928303975611925,0.7850717604160309,0.2
651,860.27,345,225280,45.98718366999999,110,25.532075881958008,-0.0009347455568786244,0.068310546875,0.0112502,29.69153418019414,0.0003,1090,-0.6693495644256473,0.5589001774787903,0.2
652,854.43,348,227328,44.92058787,111,2.3377866744995117,-0.003941735710395733,0.092724609375,0.0070504555,49.348783728852865,0.0003,1100,-0.6922692064195871,0.3051809072494507,0.2
653,854.43,351,229376,45.630228880000004,112,14.146732330322266,-0.0016292737869662232,0.03671875,0.0034171864,93.01012173295021,0.0003,1110,-0.6515189344063401,0.4409346580505371,0.2
652,851.98,354,231424,45.47528139999999,113,2.7485198974609375,-0.0024016870713239767,0.062255859375,0.008650776,41.34733958989382,0.0003,1120,-0.6589309142902493,0.5167862772941589,0.2
652,842.97,357,233472,49.82640162999999,114,4.254633903503418,-0.0021410739624116103,0.050537109375,0.0073175067,63.4023824416101,0.0003,1130,-0.6544263524934649,0.6649124920368195,0.2
653,834.95,360,235520,50.00325956999999,115,10.701825141906738,-0.003265813571124454,0.08798828125,0.008700012,84.89841753840446,0.0003,1140,-0.6579773692414165,0.4559866189956665,0.2
652,827.59,363,237568,50.02278106,116,36.64277267456055,-0.0025929510771675267,0.04384765625,0.005308576,83.89591393135488,0.0003,1150,-0.6835819175466895,0.6133793890476227,0.2
653,825.0,366,239616,49.00789339,117,12.103650093078613,-0.0033476397544291102,0.05400390625,0.004448627,144.09790358990432,0.0003,1160,-0.6028190787881613,0.5885292887687683,0.2
653,822.13,369,241664,48.72256165999999,118,12.886208534240723,0.0011118849979538936,0.041845703125,0.004874628,62.08795972764492,0.0003,1170,-0.6464143928140402,0.6636132597923279,0.2
653,813.77,372,243712,48.76926677999999,119,23.818775177001953,-0.0016787352695246227,0.077734375,0.005443247,95.92153824344277,0.0003,1180,-0.6720830531790852,0.5306378304958344,0.2
653,809.95,375,245760,46.96979783,120,6.571024417877197,-0.0026327817955461796,0.045068359375,0.006338259,139.34100570380687,0.0003,1190,-0.6672337831929326,0.4194719195365906,0.2
652,811.7,379,247808,45.770609480000005,121,18.20611000061035,-0.002499072900536703,0.074072265625,0.0054985406,108.99998539611697,0.0003,1200,-0.6797665279358626,0.3590693473815918,0.2
