rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/approx_kl
34.95649648,230,96,196608,852,388.1,0.2,0.7390643954277039,-0.0019251931233156938,23.076894760131836,143.89289531111717,0.0003,-0.6429857291281224,0.029541015625,950,0.004269251
32.45925604000001,232,97,198656,854,390.82,0.2,0.41842401027679443,-9.118790148932021e-05,71.13838195800781,299.1456796705723,0.0003,-0.8113683946430683,0.105029296875,960,0.0102246525
33.875838290000004,235,98,200704,853,393.19,0.2,0.8865611627697945,-0.007508567022887292,31.71319580078125,118.58088361024856,0.0003,-0.7318162741139531,0.07490234375,970,0.008548841
34.83996396,237,99,202752,854,401.52,0.2,0.7713439911603928,-0.0010933885583654045,226.43008422851562,159.84847491383553,0.0003,-0.6550678068771958,0.016650390625,980,0.0034099203
38.856566650000005,239,100,204800,856,402.62,0.2,0.6986680924892426,-0.006889585519820685,370.117919921875,123.28270658254624,0.0003,-0.6951557915657759,0.140087890625,990,0.010463083
37.95018364,241,101,206848,857,396.08,0.2,0.6511357426643372,-0.002792366528956336,16.240859985351562,238.8966657459736,0.0003,-0.6340336312539876,0.066650390625,1000,0.004264306
38.28740717999999,243,102,208896,858,395.47,0.2,0.505965918302536,-0.0019073480369115714,285.5838623046875,412.1417417049408,0.0003,-0.6486355274915695,0.011767578125,1010,0.0029897988
40.131764010000005,245,103,210944,860,383.55,0.2,0.7082875370979309,-0.0054911203547817426,29.164823532104492,244.58077464699744,0.0003,-0.6283696630969644,0.070361328125,1020,0.008083196
38.54021416,247,104,212992,862,375.99,0.2,0.38217729330062866,-0.002918586066516582,21.42759132385254,236.78402756452562,0.0003,-0.7435695311054588,0.077880859375,1030,0.009461764
37.06954233,248,105,215040,864,369.53,0.2,0.5328496694564819,-0.002840326945442939,74.8724365234375,308.6477310061455,0.0003,-0.6778064498677849,0.046044921875,1040,0.0032891168
36.8954852,250,106,217088,865,360.95,0.2,0.2926415801048279,-0.003993703053129139,25.181608200073242,406.7291296839714,0.0003,-0.6755221107974648,0.04677734375,1050,0.0048057893
27.824553920000003,252,107,219136,868,348.46,0.2,0.6248922944068909,-0.0037099539884366097,477.1007995605469,316.1304074168205,0.0003,-0.6458670295774936,0.04638671875,1060,0.0058512283
31.05229827,254,108,221184,870,346.0,0.2,0.6564694046974182,-0.0026231363237457115,64.94561767578125,413.0663942694664,0.0003,-0.7266970152035356,0.026025390625,1070,0.0032486953
34.27686663,256,109,223232,871,341.28,0.2,0.7273701727390289,-0.0013612862938316538,61.04624557495117,274.6572352170944,0.0003,-0.7018413951620459,0.031787109375,1080,0.003195942
37.315763020000006,257,110,225280,873,328.68,0.2,0.427696168422699,-0.0013992014559335076,444.62762451171875,286.4129754424095,0.0003,-0.6973403660580516,0.0408203125,1090,0.0047402196
