time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss
499,708.93,249856,122,500,13.824422639999998,0.5852411985397339,0.0098825535,0.7735259234905243,-1.7670405335724353,1210,32.057716209813954,0.096435546875,0.0003,0.2,1.0977727174758911,-0.0021989961940562354
503,719.24,251904,123,500,14.290335390000001,0.5849615335464478,0.0060972776,0.3556872010231018,-1.76511662453413,1220,158.55858504474162,0.048876953125,0.0003,0.2,82.88619232177734,-0.001738970489532221
2,505.6666666666667,2048,1,773,39.41287433333333,0.5833848714828491,0.00646167,0.808737114071846,-1.7647612690925598,1230,29.530477723479272,0.119580078125,0.0003,0.2,0.4778405725955963,-0.003325753960234579
7,669.1666666666666,4096,2,584,-6.5681055000000015,0.5794956684112549,0.0050213793,0.06949114799499512,-1.7524075940251351,1240,103.84853722453117,0.035595703125,0.0003,0.2,16.249156951904297,-0.002291551438975148
10,684.125,6144,3,584,-12.39205525,0.5770444273948669,0.008788496,0.4498080015182495,-1.741844791173935,1250,76.05528289675712,0.08037109375,0.0003,0.2,15.827011108398438,-0.0025323918169306127
13,655.1818181818181,8192,4,598,-36.73979863636364,0.5702280402183533,0.006105185,0.6023418307304382,-1.7272553220391273,1260,49.84443985335529,0.065087890625,0.0003,0.2,1.7231289148330688,0.000918487571470905
17,636.5,10240,5,587,-51.6410429375,0.5693259239196777,0.008163304,0.6226897835731506,-1.7110543504357338,1270,73.94772669821978,0.07109375,0.0003,0.2,180.24127197265625,-0.0067900837646448055
20,604.9473684210526,12288,6,594,-56.09599668421053,0.5667719841003418,0.0070989355,0.767644464969635,-1.7055729050189257,1280,88.55805685818196,0.055517578125,0.0003,0.2,36.13389205932617,-0.0025228765080100857
23,614.7826086956521,14336,7,613,-67.86332604347827,0.5665671825408936,0.006088665,0.8029581606388092,-1.7003077182918787,1290,64.44388075247407,0.047021484375,0.0003,0.2,28.162057876586914,-0.002115147485892521
26,600.1851851851852,16384,8,626,-76.81043722222222,0.5678558349609375,0.0073162513,0.46534115076065063,-1.7014221835881471,1300,145.99862037301062,0.076953125,0.0003,0.2,104.37212371826172,-0.005217642664501909
31,589.9,18432,9,593,-74.79148926666667,0.5686053037643433,0.013435755,0.6103290915489197,-1.7049660757184029,1310,114.47433495521545,0.088525390625,0.0003,0.2,12.952553749084473,-0.0011259194179729093
34,580.3235294117648,20480,10,594,-81.56948614705884,0.5693479180335999,0.005855699,0.8610695153474808,-1.708414674922824,1320,37.1581148467958,0.081298828125,0.0003,0.2,4.36035680770874,0.0004771395142597612
