time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance
77,711,-4.751218849999999,751.98,221,157696,0.2,-0.0014474739215074805,0.053955078125,0.004404685,760,3.2482235431671143,-0.7346736952662468,0.0003,59.80899710431695,0.776055246591568
78,711,-2.8925172200000002,752.72,224,159744,0.2,-0.004641532679306693,0.1005859375,0.0067868647,770,7.187254428863525,-0.8869669668376445,0.0003,68.85514847487211,0.6834174990653992
79,709,-0.7738864100000007,755.19,228,161792,0.2,-0.003330476016708417,0.108837890625,0.0055780923,780,7.570104122161865,-0.8248491391539574,0.0003,109.35709239542484,0.6289520859718323
80,709,1.9613014399999988,761.77,230,163840,0.2,-0.00701142903562868,0.0857421875,0.01710739,790,4.953637599945068,-0.6476431447081268,0.0003,80.61678856611252,0.7099060416221619
81,708,2.4947974199999994,765.05,234,165888,0.2,-0.0016738478654588107,0.052392578125,0.0049360096,800,13.22611141204834,-0.8694555887952446,0.0003,89.43915011882783,0.6276789009571075
82,709,1.9195613199999988,763.88,236,167936,0.2,-0.0029897214259108295,0.063623046875,0.009321587,810,49.74932098388672,-0.9018010022118688,0.0003,136.99180212914945,0.6411180794239044
83,708,5.0961328199999985,774.38,239,169984,0.2,-0.004584437752782833,0.087890625,0.006885349,820,27.220006942749023,-0.82119071315974,0.0003,144.1281963825226,0.5852508246898651
84,708,5.805024769999999,771.88,242,172032,0.2,-0.00548478256969247,0.128173828125,0.013083918,830,5.777012825012207,-0.8896520633250475,0.0003,65.1671195730567,0.7045427858829498
85,708,4.558978279999999,777.73,245,174080,0.2,-0.004750658063858282,0.091455078125,0.00913096,840,111.72813415527344,-0.874318054690957,0.0003,101.86133405268193,0.6267260611057281
86,706,3.6684967099999994,780.84,249,176128,0.2,-0.005354404685203917,0.2291015625,0.019987363,850,7.34864616394043,-0.8707705900073052,0.0003,46.932850527763364,0.7567108720541
87,702,2.5395459099999984,784.37,253,178176,0.2,-0.003549409886545618,0.08095703125,0.0064350795,860,4.894925117492676,-0.9128930937498808,0.0003,99.1007572978735,0.6945147514343262
88,703,2.452207439999998,779.68,256,180224,0.2,-0.0031695499354100322,0.09931640625,0.010438437,870,2.510319471359253,-0.8873741587623953,0.0003,45.32593206167221,0.7739508748054504
89,700,1.5835365199999973,784.95,260,182272,0.2,-0.0016140663014084567,0.03212890625,0.002860406,880,13.37217903137207,-0.8150463338941336,0.0003,163.8084612518549,0.6511427164077759
90,700,1.1508989299999968,784.95,263,184320,0.2,-0.003339882445288822,0.13251953125,0.012024402,890,3.4330878257751465,-0.8847397105768323,0.0003,40.12059144675732,0.7761787176132202
91,700,3.1654512499999976,786.25,266,186368,0.2,-0.004253037348098588,0.115185546875,0.010823017,900,1.761311650276184,-0.8970433857291937,0.0003,41.71014258414507,0.7849894464015961
92,698,5.178709279999998,787.12,269,188416,0.2,-0.0026636876973498147,0.06142578125,0.0070210802,910,2.354703187942505,-0.8574523178860545,0.0003,43.45526618883014,0.7453910112380981
93,699,6.27435565,778.23,272,190464,0.2,-0.00449312220007414,0.140478515625,0.012801672,920,2.7622625827789307,-0.8845265660434961,0.0003,61.38190563172102,0.7203364670276642
94,699,3.09006099,768.41,275,192512,0.2,-0.002413035200879676,0.031982421875,0.0039726584,930,233.98556518554688,-0.7693551959469914,0.0003,138.33262111842632,0.5988252758979797
95,696,3.3854092,760.14,279,194560,0.2,-0.001774357704198337,0.068603515625,0.009725597,940,63.54556655883789,-0.8305547444149852,0.0003,163.977009293437,0.4841512441635132
96,694,1.1528424099999979,754.64,282,196608,0.2,-0.004865712145692669,0.0951171875,0.011276443,950,23.527484893798828,-0.922122510522604,0.0003,70.82663488909603,0.787083312869072
97,694,3.6497399599999976,760.52,285,198656,0.2,-0.002649664103228133,0.066796875,0.0066745067,960,8.636958122253418,-0.9160078248009086,0.0003,57.13189979493618,0.7468099594116211
98,694,4.4807148299999975,755.31,288,200704,0.2,-0.0031886097815004176,0.06162109375,0.006518893,970,6.6428070068359375,-0.8799847548827529,0.0003,36.51436415463686,0.8270208835601807
99,693,3.863127439999998,757.11,292,202752,0.2,-0.0021742340555647387,0.0458984375,0.0058258767,980,6.563676834106445,-0.878027806431055,0.0003,105.81247034817935,0.6829604208469391
100,691,4.747632259999998,762.12,296,204800,0.2,-0.004469329574203584,0.09755859375,0.01124877,990,39.87910079956055,-0.8629048412665725,0.0003,54.99295300245285,0.8362939655780792
101,691,1.6720514299999996,770.29,299,206848,0.2,-0.003700717305764556,0.077783203125,0.0057315454,1000,1.5174721479415894,-0.7387856781482697,0.0003,28.55616706497967,0.9268811568617821
102,691,1.1156984499999976,769.21,302,208896,0.2,-0.004137549670849694,0.115234375,0.0115367705,1010,9.433422088623047,-0.8632290275767446,0.0003,128.15241765379906,0.6690806150436401
103,692,2.467920869999998,758.36,304,210944,0.2,-0.00508862820424838,0.066845703125,0.009271175,1020,14.953853607177734,-0.8637651512399316,0.0003,114.49770507365466,0.7855755835771561
