time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates
307,104,35.425294619999995,762.88,212992,692,-0.0030732981835171814,0.7735474407672882,0.01202469,0.069091796875,0.0003,6.308282852172852,-0.7770977016538382,0.2,33.17935932129622,1030
311,105,37.18036368,762.07,215040,691,-0.0029176222189562393,0.3836633563041687,0.0064228615,0.0802734375,0.0003,87.63864135742188,-0.8096445608884096,0.2,92.899561920017,1040
314,106,33.65585105,759.93,217088,691,-0.00047696588735561817,0.5906862914562225,0.0035913212,0.032373046875,0.0003,29.81627655029297,-0.7540624167770147,0.2,60.77395591065287,1050
317,107,35.76148712,761.19,219136,690,-0.005608531458710786,0.056724727153778076,0.010056421,0.068115234375,0.0003,3.5705606937408447,-0.8444778211414814,0.2,140.838904209435,1060
320,108,35.5643813,756.21,221184,689,-0.004296350256845471,0.5778247117996216,0.012880117,0.131689453125,0.0003,3.389957904815674,-0.7375999836251139,0.2,62.183611285686496,1070
323,109,36.182081790000005,754.46,223232,689,-0.0031443545172805897,0.44798898696899414,0.006328841,0.0701171875,0.0003,1.7690752744674683,-0.7934230679646135,0.2,71.02197506912053,1080
326,110,33.78514782,758.54,225280,690,-0.004027181598939933,0.6985320448875427,0.006487105,0.092626953125,0.0003,3.1590166091918945,-0.7925709279254078,0.2,55.5948784455657,1090
329,111,38.33537049,760.18,227328,690,-0.002717946631310042,0.5597830414772034,0.008020325,0.04052734375,0.0003,6.833849906921387,-0.6867043921723962,0.2,49.11663480885327,1100
332,112,37.28119913,759.83,229376,689,-0.002076554355880944,0.6320688128471375,0.0064536063,0.076904296875,0.0003,36.396385192871094,-0.7794987602159381,0.2,96.89210419356823,1110
335,113,34.19759612,757.94,231424,689,-0.0020701888897747267,0.7001054584980011,0.004541964,0.060595703125,0.0003,18.887767791748047,-0.7561122296378017,0.2,74.67971102669836,1120
338,114,33.125405449999995,759.72,233472,689,-0.0005871006869710982,0.5411078631877899,0.005048587,0.068115234375,0.0003,3.113097906112671,-0.7792989812791348,0.2,77.96804136782885,1130
341,115,33.30333012,763.04,235520,689,-0.002250687135529006,0.5756949484348297,0.006654594,0.071826171875,0.0003,2.3114044666290283,-0.7964755622670054,0.2,36.53988408222794,1140
344,116,36.470745410000006,766.91,237568,689,-0.0022724511349224486,0.30830907821655273,0.0044756276,0.032421875,0.0003,31.56855583190918,-0.745304255746305,0.2,144.19017341583967,1150
347,117,30.152770229999998,763.32,239616,689,-0.0025015408118633786,0.7956369668245316,0.004727386,0.05693359375,0.0003,10.920585632324219,-0.7508762000128627,0.2,87.56850151866675,1160
351,118,30.177534400000003,757.04,241664,688,-0.0017315379489446058,0.4082813262939453,0.01418779,0.107177734375,0.0003,84.47883605957031,-0.7620220936834812,0.2,114.15176354497672,1170
353,119,28.845210889999997,752.75,243712,688,-0.0011170929508807603,0.7929981797933578,0.006138661,0.05654296875,0.0003,13.144250869750977,-0.7876691415905952,0.2,90.89071320146323,1180
357,120,28.49795766,751.91,245760,688,-0.0030392780412512367,0.03002309799194336,0.004155191,0.034228515625,0.0003,49.61869430541992,-0.7226178234443068,0.2,163.8676718905568,1190
360,121,25.693117049999998,752.39,247808,687,-0.003116463224432664,0.8062488585710526,0.007063481,0.084326171875,0.0003,6.541590213775635,-0.7852380581200122,0.2,52.75510631650686,1200
363,122,24.472467769999998,757.26,249856,687,-0.0024801898856821936,0.608856588602066,0.0045412453,0.043603515625,0.0003,7.345627307891846,-0.7418468622490764,0.2,92.7796995550394,1210
367,123,27.0931551,760.83,251904,684,-0.0015272746182745322,0.48439741134643555,0.010310274,0.08515625,0.0003,1.7342619895935059,-0.7731749601662159,0.2,65.82030492201447,1220
2,1,-468.3409335,850.0,2048,744,-0.0018978979824169073,0.5338423848152161,0.005991227,0.0736328125,0.0003,4.152313709259033,-0.7234546599909664,0.2,86.91585055068136,1230
5,2,-513.8936812,796.8,4096,692,-0.0007087146630510687,0.44872039556503296,0.008938853,0.08544921875,0.0003,2.067741632461548,-0.6853611871600152,0.2,63.71470089517534,1240
9,3,-488.2192207142857,747.2857142857143,6144,658,-0.0011957276678003837,0.8142781108617783,0.004989866,0.06396484375,0.0003,54.7369499206543,-0.753554823435843,0.2,107.60858573019505,1250
