rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate
-14.562080670000006,722.93,116736,154,57,753,-0.7720108589157462,16.597654342651367,0.019970703125,-0.004254535007930826,560,143.82756968438625,0.2,0.3296104073524475,0.00565751,0.0003
-8.776020209999999,729.17,118784,157,58,755,-0.9247301829978823,8.24111557006836,0.1345703125,-0.006174283807195024,570,93.16863380372524,0.2,0.6423723101615906,0.010496206,0.0003
-8.389759459999997,734.45,120832,160,59,754,-0.772303051315248,15.062081336975098,0.03984375,-0.0032711691317672377,580,110.91239061653614,0.2,0.6860688030719757,0.004335769,0.0003
-2.976777339999997,728.09,122880,163,60,753,-0.7709227873012423,6.549777030944824,0.0990234375,-0.007586267565420713,590,134.28349625319242,0.2,0.36977946758270264,0.02559425,0.0003
1.8722800800000041,740.8,124928,165,61,755,-0.8968308873474597,8.312505722045898,0.070361328125,-0.003385840424016351,600,81.10425400733948,0.2,0.6172601580619812,0.008218612,0.0003
6.861795440000001,748.36,126976,168,62,755,-0.7584566522389651,12.224028587341309,0.060400390625,-0.003779479185322998,610,75.0955601811409,0.2,0.6322374641895294,0.0046846494,0.0003
13.555903800000001,757.81,129024,170,63,755,-0.6484748624265194,11.874424934387207,0.03017578125,-0.0017323278181720525,620,76.64730935543776,0.2,0.6320530772209167,0.00348819,0.0003
11.15794419,755.19,131072,173,64,756,-0.8318900065496564,10.0853853225708,0.0599609375,-0.0021459226394654253,630,83.2182038128376,0.2,0.7265695035457611,0.0055766893,0.0003
15.919431979999999,749.83,133120,176,65,755,-0.8264172250404954,93.34829711914062,0.051123046875,-0.006725980666669784,640,145.03857944458724,0.2,0.25232869386672974,0.008149052,0.0003
17.777320019999998,746.31,135168,179,66,754,-0.919543981552124,11.200366973876953,0.08837890625,-0.005045082709693815,650,85.88723695725203,0.2,0.5950601994991302,0.005987833,0.0003
21.959116369999997,740.48,137216,182,67,753,-0.8910664159804582,54.56197738647461,0.034033203125,-0.004459705085173482,660,120.20263094604016,0.2,0.5273563861846924,0.0044642976,0.0003
23.554054549999996,730.61,139264,184,68,754,-0.7741805881261825,9.904398918151855,0.095751953125,-0.0031835624908126193,670,85.38484444022178,0.2,0.5319160223007202,0.009472303,0.0003
