time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range
672,106,322,217088,8.1491015,821.32,0.05048828125,26.314085006713867,0.009609656,0.8063469678163528,0.0003,66.12431503683328,1050,-0.8396693678572774,-0.0009146548532953602,0.2
672,107,325,219136,7.912041080000002,821.32,0.065478515625,0.964763879776001,0.007003838,0.8260505348443985,0.0003,49.26053510196507,1060,-0.8221844282001257,-0.003330883900343906,0.2
672,108,329,221184,6.499537790000001,830.21,0.180419921875,3.6530141830444336,0.013551605,0.8734461963176727,0.0003,43.38301447406411,1070,-0.7881168775260449,-0.0038026702517527156,0.2
671,109,332,223232,5.89844306,830.21,0.107080078125,0.4905032813549042,0.007093706,0.8763938993215561,0.0003,37.623497729375956,1080,-0.8051066821441054,-0.0021680523139366416,0.2
671,110,335,225280,8.551697279999999,831.96,0.0505859375,1.0325969457626343,0.007222355,0.7836024016141891,0.0003,36.8231063792482,1090,-0.7071544915437699,-0.001001733286830131,0.2
671,111,338,227328,6.202287419999999,830.26,0.06201171875,22.565288543701172,0.0049550477,0.8328687846660614,0.0003,61.11684964168817,1100,-0.7997798152267933,-0.0010938166298728902,0.2
671,112,341,229376,7.93081981,819.38,0.110400390625,300.98388671875,0.00892196,0.7672035396099091,0.0003,83.35519611630589,1110,-0.82308300267905,-0.003423055563325761,0.2
669,113,345,231424,7.22238495,812.4,0.024267578125,362.94244384765625,0.0039202175,0.7872513681650162,0.0003,89.90843091011047,1120,-0.7611691191792488,-0.0012295324457227252,0.2
669,114,348,233472,5.847860940000001,801.91,0.090576171875,356.3695068359375,0.009837683,0.8910998553037643,0.0003,40.255949415639044,1130,-0.8567480141296983,-0.0010860547999982373,0.2
670,115,351,235520,8.819330500000001,806.24,0.043310546875,3.6546125411987305,0.004536951,0.6392201781272888,0.0003,162.07050207555295,1140,-0.8320218782871962,-0.00045946347527205946,0.2
669,116,354,237568,9.297665750000002,812.84,0.0658203125,22.353879928588867,0.0059640864,0.8309247344732285,0.0003,48.41653438545764,1150,-0.9079845922067762,-0.0014987168389779982,0.2
670,117,357,239616,8.66782408,806.66,0.173046875,3.009230852127075,0.01659514,0.7893257588148117,0.0003,35.672538151592015,1160,-0.8487648218870163,-0.004992865182430251,0.2
670,118,360,241664,11.951665069999999,817.77,0.023388671875,3.390777111053467,0.0031020802,0.6693097054958344,0.0003,146.48950734734535,1170,-0.746800928004086,-0.0028366440783429425,0.2
670,119,363,243712,11.461915990000001,817.63,0.12060546875,0.5696510672569275,0.013928467,0.8825266286730766,0.0003,43.28667670320719,1180,-0.8209537403658033,-0.0035159876766556407,0.2
