time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range
846,99,41,508.66,-77.28881984,83968,0.01199179,13.662334442138672,63.60153046250343,0.6138315200805664,0.0003,400,-1.030767122283578,0.166748046875,-0.012993938197905664,0.2
837,102,42,517.16,-77.18478894000002,86016,0.0042714984,114.7773666381836,83.02712792754173,0.21666008234024048,0.0003,410,-0.886842679977417,0.021875,-0.0033685888971376698,0.2
827,106,43,533.11,-71.50581778,88064,0.014551127,7.94008207321167,31.452689000964163,0.37863433361053467,0.0003,420,-1.1082341104745865,0.24423828125,-0.020184829004574568,0.2
816,110,44,552.05,-68.41702581999999,90112,0.009316139,49.503089904785156,74.05390540659428,0.1386386752128601,0.0003,430,-0.9079104721546173,0.034521484375,-0.005760001222370192,0.2
804,114,45,559.23,-70.10681526,92160,0.0060527744,54.49211120605469,151.78416928052903,0.22052890062332153,0.0003,440,-0.9916895346716046,0.027197265625,-0.0023274788087292108,0.2
788,119,46,572.03,-65.28609184,94208,0.009694834,5.6818413734436035,36.02939164936542,0.5474258959293365,0.0003,450,-0.8853066375479102,0.064697265625,-0.007744584431929979,0.2
775,124,47,588.22,-65.98996589,96256,0.008491805,153.33978271484375,33.22939070761204,0.50838702917099,0.0003,460,-0.9989191830158234,0.083544921875,-0.007825035825226223,0.2
771,127,48,600.99,-63.74949434,98304,0.008943302,9.279009819030762,44.305921816825865,0.5064472258090973,0.0003,470,-0.9352122846990824,0.088232421875,-0.005532036385557148,0.2
768,130,49,616.46,-58.13059934999999,100352,0.0070967944,6.596717834472656,91.66895538568497,0.22674095630645752,0.0003,480,-0.9927110832184554,0.0685546875,-0.003823029459454119,0.2
762,134,50,630.42,-59.635338759999996,102400,0.007129157,278.2198486328125,46.683491215109825,0.6316303312778473,0.0003,490,-0.9293843302875757,0.081884765625,-0.004674909029199625,0.2
758,137,51,642.12,-55.57482419,104448,0.014226062,15.902207374572754,87.03556566685438,0.3792388439178467,0.0003,500,-1.008313132636249,0.18359375,-0.00837638753655483,0.2
750,141,52,652.75,-54.63912170999999,106496,0.008399116,2.167313814163208,34.631617373228075,0.7244918942451477,0.0003,510,-0.8887861622497439,0.106298828125,-0.006874867365695536,0.2
740,146,53,666.49,-53.139342449999994,108544,0.004341274,18.599811553955078,82.13112707436085,0.4134395122528076,0.0003,520,-0.9087426643818617,0.04716796875,-0.0034444931290636303,0.2
733,150,54,673.12,-49.24156837999999,110592,0.0051263287,4.3527069091796875,84.85202680230141,0.20705682039260864,0.0003,530,-0.8722455335780979,0.025927734375,-0.00034607231355039404,0.2
732,153,55,687.38,-48.27439369,112640,0.007599663,2.752711057662964,44.913346561044456,0.5330871343612671,0.0003,540,-0.9080953905358911,0.08916015625,-0.0033971419325098395,0.2
722,158,56,700.93,-42.64172858999999,114688,0.0073125665,5.997865676879883,67.23319582939148,0.47087520360946655,0.0003,550,-0.8212583927437663,0.0830078125,-0.006568700040952535,0.2
715,163,57,716.37,-42.17588514999999,116736,0.007240908,3.5671885013580322,52.33271153792739,0.48635756969451904,0.0003,560,-0.9407913673669099,0.067236328125,-0.005608172412030399,0.2
710,167,58,727.43,-38.98683258,118784,0.004249737,2.267585277557373,35.8895161986351,0.5875416100025177,0.0003,570,-0.8845501121133565,0.054345703125,-0.003218272475351114,0.2
706,171,59,734.63,-39.067748859999995,120832,0.005261087,8.006805419921875,57.908561834692954,0.524487316608429,0.0003,580,-0.8362256836146116,0.04345703125,-0.002815523993194802,0.2
704,174,60,749.85,-35.56074862,122880,0.005375134,1.7489715814590454,32.71768805123865,0.7547168582677841,0.0003,590,-0.8767792155966163,0.075,-0.0022146495975903235,0.2
705,177,61,752.53,-38.04804435999999,124928,0.0033884055,1.1724262237548828,33.323123934864995,0.7758461683988571,0.0003,600,-0.8456233564764262,0.0685546875,-0.0026941591342620084,0.2
700,181,62,760.4,-36.41642646,126976,0.0041000014,4.230639934539795,86.56860612928867,0.5105862617492676,0.0003,610,-0.8391667595133185,0.018115234375,-0.001647300895274384,0.2
696,185,63,776.06,-32.61242645,129024,0.0057599926,3.038633108139038,45.754867346957326,0.6073631048202515,0.0003,620,-0.7927221223711968,0.071142578125,-0.0033737368496076668,0.2
695,188,64,793.23,-27.670011179999996,131072,0.008977089,1.9572173357009888,28.98514165431261,0.8030761033296585,0.0003,630,-0.8355511164292693,0.11689453125,-0.0040140672328561776,0.2
694,191,65,803.75,-22.97370246999999,133120,0.007107821,63.031612396240234,125.74555910527707,0.42578285932540894,0.0003,640,-0.7474287308752536,0.0806640625,-0.0048733654497482345,0.2
695,194,66,806.85,-22.006648180000003,135168,0.0064029153,5.931145668029785,91.20048532038928,0.5364173352718353,0.0003,650,-0.7604280959814786,0.049365234375,-0.005886373089015251,0.2
696,197,67,812.19,-18.058049559999997,137216,0.004127492,41.20703125,118.22808407992125,0.5463325083255768,0.0003,660,-0.7977224260568618,0.011181640625,-0.002354688340710709,0.2
696,200,68,818.37,-10.206856349999999,139264,0.009643411,13.979375839233398,204.86615766584873,0.4145132899284363,0.0003,670,-0.716219743154943,0.090771484375,-0.006386899703647942,0.2
697,202,69,810.37,-8.28111504,141312,0.01479508,58.77370834350586,163.852669942379,0.1990877389907837,0.0003,680,-0.6999768571928143,0.039453125,-0.005702725898299832,0.2
698,205,70,798.31,-3.0193888200000005,143360,0.007509101,34.01559829711914,161.99733791351318,0.17019593715667725,0.0003,690,-0.8652985924854875,0.05205078125,-0.003024164335511159,0.2
699,207,71,807.52,3.6938429299999997,145408,0.004681026,62.38592529296875,138.02729531228542,0.35402995347976685,0.0003,700,-0.7654176961630583,0.0083984375,-0.003877123343409039,0.2
700,210,72,807.08,11.930618990000001,147456,0.0038972278,13.585166931152344,164.1542410284281,0.43028032779693604,0.0003,710,-0.8499739469960332,0.0361328125,-0.00491726120471867,0.2
701,213,73,793.33,14.65545236,149504,0.0028846115,22.84415054321289,125.8673340588808,0.5098464787006378,0.0003,720,-0.8458217741921544,0.058447265625,-0.0027216817936277947,0.2
703,215,74,786.18,15.421985439999998,151552,0.0052065933,84.99665832519531,173.92256511449813,0.3695744276046753,0.0003,730,-0.8353849872946739,0.0390625,-0.0025103014362684918,0.2
703,218,75,784.0,16.379742179999997,153600,0.005179948,152.12417602539062,223.44032683968544,0.38836735486984253,0.0003,740,-0.8539441706612706,0.045849609375,-0.00343980356483371,0.2
704,220,76,779.35,16.87818258,155648,0.010381869,3.632011651992798,67.19945783913136,0.2930125594139099,0.0003,750,-0.6758080935105681,0.06533203125,-0.002499328930207412,0.2
706,223,77,769.26,21.849701690000003,157696,0.0086776065,5.649839401245117,131.29323699325323,0.5168118476867676,0.0003,760,-0.7729427251964808,0.07607421875,-0.0026173061458393933,0.2
706,225,78,764.1,25.56189919,159744,0.009362407,11.187962532043457,110.53790451288224,0.6619599163532257,0.0003,770,-0.8553308138623834,0.07109375,-0.0022079023699916435,0.2
705,229,79,757.02,26.43676846,161792,0.0028212846,193.24365234375,65.92388775497675,0.4985884428024292,0.0003,780,-0.6852163672447205,0.036474609375,-0.000147398684930522,0.2
705,232,80,745.8,28.172006890000002,163840,0.0029099626,17.85732078552246,135.6066297903657,0.38564568758010864,0.0003,790,-0.7399804331362247,0.029052734375,-0.00017158810151158833,0.2
705,235,81,727.48,27.877828939999993,165888,0.010084763,29.049671173095703,146.13938274681567,0.5590867698192596,0.0003,800,-0.7693394824862481,0.060498046875,-0.0026043100682727528,0.2
706,237,82,714.74,32.164780349999994,167936,0.0069024367,42.09232711791992,174.25537412166597,0.5007948577404022,0.0003,810,-0.8170044822618365,0.073046875,-0.002350423047755612,0.2
707,240,83,708.89,34.715887529999996,169984,0.005371262,22.108562469482422,78.52038201540708,0.6637507975101471,0.0003,820,-0.7793791845440865,0.04716796875,-0.0017885497327370103,0.2
707,243,84,693.25,40.42590124,172032,0.00559543,2.663041830062866,61.05684866905212,0.5632316172122955,0.0003,830,-0.7496806912124157,0.067431640625,-0.001092770702962298,0.2
709,245,85,671.55,42.712871189999994,174080,0.005078142,6.543820381164551,96.11366349309682,0.6243528127670288,0.0003,840,-0.7744312718510628,0.044384765625,-0.0009741201625729446,0.2
709,248,86,661.08,42.06762627999999,176128,0.00461212,82.26081848144531,287.135738119483,0.34827256202697754,0.0003,850,-0.8326124846935272,0.0251953125,-0.000853696110425517,0.2
709,250,87,644.25,43.45998327999999,178176,0.005752261,25.384883880615234,127.50722984075546,0.6207783818244934,0.0003,860,-0.7832463301718235,0.051416015625,-0.0038754708890337496,0.2
711,253,88,619.38,43.27091727,180224,0.0051150895,72.97923278808594,178.4992489695549,0.4169366955757141,0.0003,870,-0.7237310076132417,0.043701171875,-0.0028836814679380042,0.2
712,255,89,598.9,46.72600394,182272,0.0027648937,32.87621307373047,244.58368858993055,0.37931960821151733,0.0003,880,-0.7548652026802302,0.018212890625,-0.0035042069674091183,0.2
712,258,90,583.53,50.079862940000005,184320,0.00424652,298.0728759765625,106.3429726138711,0.4288848042488098,0.0003,890,-0.6789324143901467,0.026025390625,-0.0007738332235021517,0.2
712,261,91,565.66,50.976658799999996,186368,0.0058963886,14.19191837310791,148.82162147313358,0.5463064908981323,0.0003,900,-0.730041334591806,0.05126953125,-0.002050201793827,0.2
714,263,92,551.13,48.59855035,188416,0.007746692,11.787957191467285,171.60481774657964,0.4569787383079529,0.0003,910,-0.8162858819589018,0.106591796875,-0.002513583385007223,0.2
716,265,93,547.56,52.64329393,190464,0.005123426,83.42867279052734,232.3493694335222,0.40886837244033813,0.0003,920,-0.7338795065879822,0.03955078125,-0.0018735197645582957,0.2
716,268,94,542.35,50.07774087,192512,0.004516159,21.211576461791992,129.24332559406758,0.5865567624568939,0.0003,930,-0.7181025164201855,0.05498046875,-0.0032614373303658795,0.2
718,270,95,541.0,45.65258590000001,194560,0.0041899355,49.19329833984375,197.16868762969972,0.12560820579528809,0.0003,940,-0.7265457075089217,0.038720703125,-0.0034362590095042833,0.2
718,273,96,540.31,42.233379600000006,196608,0.0052993596,101.54777526855469,265.48487624228,0.30114609003067017,0.0003,950,-0.8007806954905391,0.03662109375,-0.0019833297541481444,0.2
718,276,97,543.2,39.42365661,198656,0.0046505453,59.76731491088867,245.5420329451561,0.31656062602996826,0.0003,960,-0.7431334348395466,0.0423828125,-0.0024275177933304804,0.2
718,279,98,545.15,41.86891372,200704,0.0052885106,6.395329475402832,114.42764720320702,0.5550784766674042,0.0003,970,-0.6618630966171622,0.03583984375,-0.0014523371595714708,0.2
719,281,99,548.1,42.179098270000004,202752,0.014235321,29.71588897705078,118.9759585916996,0.5490162074565887,0.0003,980,-0.7918862745165824,0.10126953125,-0.0023662537503696514,0.2
719,284,100,554.72,40.48287205,204800,0.01023121,88.41609954833984,163.71997222304344,0.5848195552825928,0.0003,990,-0.7732757797464729,0.0759765625,-0.0036043441061337942,0.2
