rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
2.7530053000000003,700.58,89,182272,564,323,880,123.35891496390104,0.6703034043312073,-0.003782219245476881,0.0003,0.1158203125,0.5929039418697357,-2.039089523255825,0.0067097954,0.2,30.02962875366211
4.6353943000000015,690.51,90,184320,564,326,890,98.80345750749112,0.6694422960281372,-0.003854268904979108,0.0003,0.118701171875,0.4753243923187256,-2.0375600814819337,0.010456908,0.2,34.78082275390625
10.555005940000003,708.26,91,186368,562,331,900,203.41598391830922,0.666193962097168,-0.0019225942924094852,0.0003,0.0466796875,0.4671570658683777,-2.029324921220541,0.006300673,0.2,13.03390121459961
8.818350970000003,712.47,92,188416,561,335,910,81.36949687004089,0.6616883873939514,-0.002722518049267819,0.0003,0.10576171875,0.6626362800598145,-2.016117112338543,0.008751116,0.2,8.87960433959961
7.370071119999999,712.87,93,190464,561,339,920,32.826287186332046,0.6487569808959961,-0.0003953403444029391,0.0003,0.1009765625,0.8044386506080627,-1.9913781631737948,0.008917156,0.2,1.464168667793274
7.2615738,725.52,94,192512,561,342,930,31.607525957003237,0.6517219543457031,-0.0010145856307644864,0.0003,0.04970703125,0.8395768105983734,-1.974012652784586,0.0058157495,0.2,1.3058407306671143
9.92148293,726.48,95,194560,560,346,940,105.85992637500166,0.6550651788711548,-0.005086914709681878,0.0003,0.1345703125,0.6528009474277496,-1.983997081965208,0.0075251386,0.2,22.294931411743164
7.80159075,734.01,96,196608,561,349,950,42.14515443705022,0.6559433341026306,-0.001713159552309662,0.0003,0.068115234375,0.885324165225029,-1.9931865058839322,0.0066086203,0.2,2.907184600830078
4.07620434,731.35,97,198656,561,353,960,98.75748528391122,0.6558517217636108,-0.006041676286986331,0.0003,0.08193359375,0.6257651746273041,-1.9942465666681528,0.007969724,0.2,106.8803939819336
8.2735322,726.78,98,200704,560,358,970,135.94990361630917,0.6542248725891113,-0.0009566464839735999,0.0003,0.043798828125,0.6192747056484222,-1.9916283383965492,0.010353945,0.2,6.0511698722839355
11.989285240000001,723.79,99,202752,560,361,980,108.80367309004069,0.6548068523406982,-0.004602835413243156,0.0003,0.084912109375,0.6203465759754181,-1.989773953333497,0.011728145,0.2,25.033458709716797
12.95223751,713.86,100,204800,558,366,990,85.01967050209642,0.6577411890029907,-0.001515338679018896,0.0003,0.081689453125,0.6383971869945526,-1.99602635987103,0.009471809,0.2,180.21434020996094
11.562439419999997,709.58,101,206848,558,370,1000,82.19424786120653,0.6462582349777222,-0.0014212316105840727,0.0003,0.04560546875,0.6399048864841461,-1.9862141892313958,0.0033402718,0.2,9.633349418640137
11.66955569,705.32,102,208896,556,375,1010,141.22048947513105,0.6479004621505737,-0.0070078931279567765,0.0003,0.108203125,0.42901718616485596,-1.9668662019073964,0.0075654453,0.2,22.39557456970215
13.113211159999999,706.19,103,210944,556,378,1020,79.11723900437354,0.6520910263061523,-0.004980923654511571,0.0003,0.12578125,0.6917303800582886,-1.977389218658209,0.009086743,0.2,3.282003402709961
15.731558439999999,694.22,104,212992,558,381,1030,69.14211250692605,0.6474078893661499,0.001492928936932003,0.0003,0.096923828125,0.5591350495815277,-1.9727027386426925,0.006955621,0.2,1.437024712562561
15.75452779,695.43,105,215040,557,385,1040,120.98432525545358,0.6510450839996338,-0.002521509247890208,0.0003,0.0701171875,0.747311919927597,-1.9735448706895113,0.0086630015,0.2,65.14006042480469
17.12819199,706.81,106,217088,557,389,1050,50.75117016509175,0.6523714065551758,-0.0023131736015784554,0.0003,0.07861328125,0.7353149354457855,-1.9829012162983417,0.008973467,0.2,9.065115928649902
15.00450745,716.45,107,219136,558,392,1060,37.91352808661759,0.6424371004104614,-0.0014001973351696507,0.0003,0.074169921875,0.7832293510437012,-1.9654413007199765,0.009187533,0.2,3.3996939659118652
15.909481699999999,724.72,108,221184,558,396,1070,106.7260153412819,0.6381121873855591,-0.0035133300771121867,0.0003,0.0419921875,0.7947811633348465,-1.9472379803657531,0.0041432967,0.2,5.566958427429199
17.75836611,732.7,109,223232,555,402,1080,70.58316453918815,0.6329042315483093,-0.003929349848476704,0.0003,0.053662109375,0.6233753859996796,-1.9312530633062124,0.003812756,0.2,3.1927311420440674
18.44395867,740.73,110,225280,554,406,1090,32.81585774812847,0.6298067569732666,-0.001729321447055554,0.0003,0.111865234375,0.8221448361873627,-1.9162251848727465,0.012763832,0.2,2.707271099090576
19.16780949,745.93,111,227328,552,411,1100,85.77923361733556,0.6232572793960571,-0.0006538735033245757,0.0003,0.0654296875,0.6282587945461273,-1.9020241692662239,0.007820766,0.2,21.071659088134766
18.474207489999998,747.03,112,229376,551,416,1110,75.23303813561797,0.6171473264694214,-0.0027977237514278386,0.0003,0.070556640625,0.745211124420166,-1.8826104402542114,0.0072178803,0.2,1.8263992071151733
17.717357519999997,734.43,113,231424,548,421,1120,72.1225787512958,0.6154006719589233,-0.0013052573063760064,0.0003,0.07568359375,0.7620573490858078,-1.8694643072783947,0.006228842,0.2,2.514895439147949
19.548769110000002,730.19,114,233472,546,427,1130,87.11165702491999,0.6117047071456909,-0.005127812356658978,0.0003,0.109716796875,0.725748211145401,-1.8630954172462224,0.008258768,0.2,15.603859901428223
20.54102262,725.83,115,235520,545,431,1140,67.52896839175374,0.6044615507125854,-0.00045564668835140765,0.0003,0.10947265625,0.7245705425739288,-1.8388671055436134,0.018453058,0.2,0.7696700692176819
19.3253448,724.28,116,237568,543,437,1150,73.33751416280866,0.6067118644714355,-0.0025902472429152113,0.0003,0.07958984375,0.6961874961853027,-1.834687627851963,0.0061815297,0.2,4.061609268188477
19.997156900000007,732.12,117,239616,543,441,1160,97.65924675539137,0.6005831956863403,-0.0016332069135387428,0.0003,0.08271484375,0.6204161942005157,-1.8298432905226947,0.01072173,0.2,304.9339904785156
18.814699830000002,738.01,118,241664,542,445,1170,35.72870998829603,0.5930787324905396,-0.002666939348273445,0.0003,0.094384765625,0.838118851184845,-1.8052268888801337,0.00909883,0.2,1.6263375282287598
17.61114719,744.67,119,243712,541,450,1180,39.003770746663214,0.5918617248535156,-0.005082764234975912,0.0003,0.080810546875,0.7686195224523544,-1.7904219798743726,0.0071516763,0.2,2.650434970855713
21.75136184,739.47,120,245760,539,455,1190,36.18426739070564,0.5766922235488892,-0.0033378900116076693,0.0003,0.09501953125,0.863589733839035,-1.7637038804590701,0.007435726,0.2,0.4734748899936676
21.050876350000003,739.9,121,247808,538,460,1200,88.56658045351506,0.5727791786193848,-0.0015648644752218389,0.0003,0.1091796875,0.5643311142921448,-1.7290589239448309,0.0117358295,0.2,11.7188138961792
20.838607300000003,739.9,122,249856,538,464,1210,77.91380138397217,0.5729141235351562,0.0008992956518341089,0.0003,0.075341796875,0.7438678443431854,-1.7244894023984672,0.0060577206,0.2,10.698785781860352
19.93225394,740.35,123,251904,537,468,1220,34.34947756268084,0.5699191093444824,-0.00011770932032959536,0.0003,0.093017578125,0.8696087151765823,-1.7204481910914182,0.0054699704,0.2,0.6648030877113342
-40.676345,1000.0,1,2048,532,3,1230,43.125232386030255,0.568916916847229,0.0022591796623601113,0.0003,0.099365234375,0.8471457362174988,-1.7149320736527442,0.0067548836,0.2,7.021682262420654
-40.6876795,866.75,2,4096,479,8,1240,46.84338591899723,0.5661110877990723,0.0001368686273053754,0.0003,0.077490234375,0.8261524736881256,-1.7056560952216386,0.0049264124,0.2,0.4978256821632385
-64.00352985714285,813.1428571428571,3,6144,470,13,1250,55.218573462218046,0.5656534433364868,-0.0032411323190899566,0.0003,0.0716796875,0.6865096390247345,-1.6985152415931224,0.005473439,0.2,11.026215553283691
-73.38938244444444,854.6666666666666,4,8192,428,19,1260,96.81240049824119,0.5717750191688538,-0.0010869439778616653,0.0003,0.0423828125,0.6488860249519348,-1.7074118681252002,0.004959978,0.2,66.0235366821289
-66.07531245454544,871.7272727272727,5,10240,440,23,1270,44.60239070914686,0.5698003172874451,-0.005322925507061882,0.0003,0.097705078125,0.7617311477661133,-1.717628501355648,0.0074391738,0.2,283.00592041015625
-66.83978515384614,891.4615384615385,6,12288,450,27,1280,87.96522322669625,0.5681213140487671,-0.003871452915336704,0.0003,0.127099609375,0.5459323823451996,-1.7094805464148521,0.008022679,0.2,24.502498626708984
-70.57273794117647,838.1764705882352,7,14336,462,30,1290,39.319458950683476,0.565861701965332,-0.0022160110922413876,0.0003,0.118603515625,0.7125620543956757,-1.702538200467825,0.01784505,0.2,1.4342237710952759
-61.34941294736842,823.7894736842105,8,16384,463,35,1300,103.9253174841404,0.5670114755630493,-0.0022587964340345934,0.0003,0.055615234375,0.5797626376152039,-1.700297948718071,0.0020176577,0.2,60.050357818603516
-63.636376761904764,840.5714285714286,9,18432,469,39,1310,38.23281556069851,0.5621435642242432,-0.0031172627008345445,0.0003,0.08994140625,0.6522862911224365,-1.6942406438291073,0.00986941,0.2,2.610443592071533
-72.57128245833333,828.2083333333334,10,20480,485,42,1320,55.20188910774887,0.553909957408905,-0.005746064594131894,0.0003,0.117431640625,0.3728470206260681,-1.6707403823733329,0.011904445,0.2,2.823986291885376
