time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/approx_kl
93,190464,548.08,748,58.218372130000006,254,0.6304782927036285,920,287.8602682232857,-0.004065214154252317,0.05478515625,0.0003,23.44732666015625,-0.7498135915026068,0.2,0.005535663
94,192512,549.4,748,57.14810098000001,257,0.5849663317203522,930,121.11405808478594,-0.00282132537686266,0.0998046875,0.0003,31.59208106994629,-0.661991985887289,0.2,0.0057918923
95,194560,548.15,749,57.986964670000006,259,0.5402770340442657,940,120.6456882596016,-0.00221807925045141,0.043408203125,0.0003,10.543837547302246,-0.6760720148682594,0.2,0.006468646
96,196608,537.58,750,61.366651039999994,262,0.7895152568817139,950,99.7613125294447,-0.0032988359344017226,0.052294921875,0.0003,34.98843002319336,-0.6542632102966308,0.2,0.005390575
97,198656,523.18,751,57.74864347,264,0.6635282039642334,960,116.64562261104584,-0.0021054330994957128,0.02763671875,0.0003,33.868003845214844,-0.6860728804022074,0.2,0.0048211315
98,200704,521.62,751,60.92867145000001,267,0.5107131004333496,970,244.15019325017929,-0.003919536410830915,0.0208984375,0.0003,84.9656982421875,-0.7433286152780056,0.2,0.003987839
99,202752,519.86,752,60.01238378,269,0.5683897137641907,980,112.71422419548034,-0.0014043393999600084,0.050341796875,0.0003,32.493309020996094,-0.7607888484373688,0.2,0.0067475326
100,204800,520.06,753,59.93430819000001,271,0.5619331300258636,990,180.17428347468376,-0.004657243288238533,0.064208984375,0.0003,21.87633514404297,-0.7979361413046717,0.2,0.0051460355
101,206848,515.39,754,63.81400148999998,274,0.8048755079507828,1000,66.81462078988552,-0.0023378848200081848,0.08466796875,0.0003,3.0004990100860596,-0.6892320329323411,0.2,0.005860108
102,208896,504.44,755,64.88988237999999,276,0.5299733877182007,1010,161.11729424595833,-0.0014350183759233915,0.0154296875,0.0003,365.37152099609375,-0.6657793492078781,0.2,0.0015890718
103,210944,507.06,756,62.66841848,278,0.7758833914995193,1020,84.44378252923488,-0.0025114239782851656,0.0888671875,0.0003,13.085359573364258,-0.7117151351645589,0.2,0.008941583
104,212992,502.49,756,64.00200844,281,0.8265712261199951,1030,76.00751270353794,-0.0001374634710373357,0.1029296875,0.0003,24.37908363342285,-0.7088509537279606,0.2,0.0070060855
105,215040,486.75,758,60.35620213,283,0.8200572729110718,1040,93.43773596435786,-0.0028914634647662753,0.032470703125,0.0003,8.74277114868164,-0.655337955057621,0.2,0.0033319232
106,217088,485.47,759,61.22847819,285,0.6459019482135773,1050,318.5653192162514,-0.002467191487085074,0.0251953125,0.0003,138.64254760742188,-0.7172956613823771,0.2,0.004814218
107,219136,479.02,760,58.86884466999999,288,0.7015193998813629,1060,126.84551188051701,-0.0031190330370009177,0.037158203125,0.0003,23.749286651611328,-0.64553666645661,0.2,0.0058137313
108,221184,479.07,761,64.08042055000001,290,0.6578262448310852,1070,173.58487023115157,-0.005465577003633371,0.04443359375,0.0003,20.484088897705078,-0.6974634768441319,0.2,0.005477081
109,223232,479.38,762,62.59915333,292,0.5878907144069672,1080,138.22172273099423,-0.0008250292969023576,0.049365234375,0.0003,17.056129455566406,-0.6869143478572368,0.2,0.005460709
110,225280,477.05,764,65.07389827,294,0.6295098066329956,1090,222.16272954940797,-0.0038965260435361417,0.038330078125,0.0003,26.004846572875977,-0.6705622041597963,0.2,0.0041226083
111,227328,480.16,764,60.819704929999986,297,0.6084234714508057,1100,111.14060702323914,-0.0021405650248198073,0.0640625,0.0003,3.6325252056121826,-0.7342656312510372,0.2,0.009050614
112,229376,467.15,765,59.435860170000005,299,0.770004391670227,1110,192.59323976635932,-0.0025401587146916425,0.02509765625,0.0003,49.018856048583984,-0.5681683534756303,0.2,0.0032461507
113,231424,460.22,767,57.82431794,301,0.7289322018623352,1120,193.79299689233304,-0.00473865930816828,0.033935546875,0.0003,52.7882080078125,-0.7333331679925322,0.2,0.0042943074
114,233472,465.6,767,63.011538030000004,304,0.6816574037075043,1130,225.917618983984,-0.001595460597309284,0.01083984375,0.0003,55.87887954711914,-0.7045559279620648,0.2,0.0032444333
115,235520,475.67,767,63.366582750000006,306,0.7401575744152069,1140,113.57047667950391,-0.0009955899444321404,0.0560546875,0.0003,19.68421745300293,-0.6664079532027245,0.2,0.0033014922
116,237568,470.94,768,63.815700369999995,309,0.43960708379745483,1150,85.04416911900043,-0.011140943941427395,0.203955078125,0.0003,20.141712188720703,-0.5851356632076203,0.2,0.026373493
117,239616,461.39,769,65.05652833,311,0.7144837379455566,1160,118.65926207005978,-0.0018897763060522267,0.031298828125,0.0003,13.51122760772705,-0.6864312019199132,0.2,0.004999725
118,241664,461.17,769,64.53253989,314,0.7792364954948425,1170,117.8089906334877,-0.0038451430555141997,0.0658203125,0.0003,12.198258399963379,-0.6585482750087976,0.2,0.0065101376
119,243712,455.9,770,67.48704048,316,0.7473328709602356,1180,78.82952547073364,-0.0027362383334548213,0.09140625,0.0003,5.902679920196533,-0.6985956696793437,0.2,0.0064181695
