rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/loss
665.91,167936,82,12.479181650000003,603,278,0.073486328125,-2.2634244531393053,810,0.7506903409957886,0.0003,0.01103667,0.7422252297401428,-0.001610337579040788,96.05561685487628,0.2,3.6895079612731934
663.08,169984,83,13.979348100000005,601,282,0.05615234375,-2.262154342979193,820,0.7497556209564209,0.0003,0.004178044,0.7683382779359818,-0.0039383983072184495,122.68398301899433,0.2,20.962322235107422
666.2,172032,84,12.403082320000001,602,285,0.08984375,-2.2558257333934306,830,0.7425733804702759,0.0003,0.009411486,0.837383508682251,0.00040715486102271825,62.92400428056717,0.2,7.72910213470459
664.21,174080,85,12.882774210000003,603,288,0.08740234375,-2.238091100752354,840,0.7423022389411926,0.0003,0.00790273,0.920669674873352,-0.0022919809620361776,73.93156610392035,0.2,0.8552760481834412
667.31,176128,86,9.823164790000005,603,292,0.077294921875,-2.236991771310568,850,0.7378743886947632,0.0003,0.007605167,0.7807998806238174,-0.001499564449477475,51.78295504152775,0.2,23.401580810546875
660.65,178176,87,9.35724205,602,295,0.063720703125,-2.2348686307668686,860,0.7417975068092346,0.0003,0.008887907,0.9063865020871162,-0.0008630392076156568,63.480876953154805,0.2,2.367516279220581
662.94,180224,88,8.489509450000003,600,300,0.0595703125,-2.2371093705296516,870,0.7412835359573364,0.0003,0.008039482,0.8487714678049088,-0.0009590169393050019,84.76975729241967,0.2,19.565597534179688
654.75,182272,89,11.758292000000006,601,303,0.043603515625,-2.2355733796954156,880,0.7387502193450928,0.0003,0.0068463823,0.9118817672133446,-0.0005245890359219629,64.75943438410759,0.2,15.34290885925293
663.31,184320,90,7.269089570000001,600,306,0.06337890625,-2.2307526357471943,890,0.7369434833526611,0.0003,0.006518177,0.6247808039188385,-0.004212207936507184,138.4767039477825,0.2,31.467533111572266
647.94,186368,91,6.600292239999998,601,309,0.057861328125,-2.2303701266646385,900,0.7400569915771484,0.0003,0.007378434,0.6944668889045715,-0.0028424729556718376,103.28892809823155,0.2,344.5855407714844
647.15,188416,92,6.987263439999998,602,312,0.073046875,-2.2172180198132994,910,0.7258065938949585,0.0003,0.0061850473,0.7043463885784149,-0.006190445597167127,142.6186076015234,0.2,101.75836944580078
643.03,190464,93,6.072890130000001,602,316,0.053955078125,-2.1942869909107685,920,0.7229921817779541,0.0003,0.004615296,0.7422449588775635,-0.00016623926494503395,105.42004395276308,0.2,207.5338592529297
638.76,192512,94,-0.598399269999999,602,319,0.08623046875,-2.1795265786349773,930,0.7151838541030884,0.0003,0.013594817,0.694408118724823,-0.005250673642149195,129.04614899158477,0.2,57.381126403808594
630.78,194560,95,-0.8439875299999994,602,323,0.07177734375,-2.166347024589777,940,0.7144216895103455,0.0003,0.007496777,0.7722976505756378,-0.004989454314636532,110.86488221734763,0.2,104.5962142944336
635.18,196608,96,-0.7889475399999987,602,326,0.106884765625,-2.161712213605642,950,0.7134621143341064,0.0003,0.0067088925,0.827800378203392,-0.0028786240734916648,66.96252028867602,0.2,13.422463417053223
641.84,198656,97,-1.303941779999999,600,330,0.120361328125,-2.174795510619879,960,0.7209992408752441,0.0003,0.008603006,0.8962744846940041,0.0006586489023902686,51.28675785697997,0.2,2.233264446258545
644.59,200704,98,0.1652499199999988,602,333,0.085009765625,-2.1836492523550985,970,0.7214614152908325,0.0003,0.0065702507,0.9141063243150711,-0.003120042993396055,73.8253429710865,0.2,3.6664249897003174
638.59,202752,99,0.1081912299999982,601,337,0.0791015625,-2.1764773443341254,980,0.7146462202072144,0.0003,0.008290707,0.8622636944055557,-0.0033096518061938697,59.90241791009903,0.2,4.878794193267822
617.84,204800,100,3.8121721499999985,602,339,0.072314453125,-2.162504543364048,990,0.7123810052871704,0.0003,0.008362032,0.720831960439682,-0.006407795987979625,149.30459003448487,0.2,19.154281616210938
620.85,206848,101,0.9105170299999986,600,344,0.0638671875,-2.1537724539637564,1000,0.7087572813034058,0.0003,0.008010779,0.7034472823143005,-0.00563831174877123,184.00123224854468,0.2,159.9534149169922
626.39,208896,102,0.789444439999999,599,348,0.163623046875,-2.1553154274821282,1010,0.713485062122345,0.0003,0.008347416,0.7898426651954651,-0.006071777478064177,79.71643446981906,0.2,3.0215370655059814
624.13,210944,103,-2.7171327199999995,599,351,0.080224609375,-2.1502659276127813,1020,0.7076950073242188,0.0003,0.00646591,0.8776904195547104,0.0006607009927392937,41.207985217496756,0.2,0.7824804186820984
608.92,212992,104,-4.8233031,599,355,0.037109375,-2.142468850314617,1030,0.7049487829208374,0.0003,0.004156054,0.7571837604045868,-0.0017869340697870939,111.14095609784127,0.2,3.016936779022217
616.2,215040,105,-3.6477276099999987,600,358,0.032177734375,-2.132144797593355,1040,0.7002918720245361,0.0003,0.0051373434,0.673774003982544,-0.003834146166627761,179.70287451148033,0.2,41.65616989135742
618.42,217088,106,-0.28299561000000323,599,361,0.09013671875,-2.11777867898345,1050,0.6952292323112488,0.0003,0.007041609,0.8013300001621246,0.00134461659254157,75.7288310341537,0.2,15.6220703125
607.86,219136,107,1.8208016100000015,598,366,0.05322265625,-2.0947065807878973,1060,0.6844284534454346,0.0003,0.0072741616,0.6452202200889587,-0.0012582324925460853,127.89810806810856,0.2,16.26897621154785
614.05,221184,108,1.1170579399999994,596,370,0.097265625,-2.077284509688616,1070,0.6819367408752441,0.0003,0.010158571,0.7714140564203262,-0.004604005347937345,88.47959950566292,0.2,68.67888641357422
628.28,223232,109,-0.4267278700000014,595,374,0.113134765625,-2.064190454035997,1080,0.6763345003128052,0.0003,0.010727459,0.8260010331869125,-0.0013443262228975072,41.993099816888574,0.2,2.732295513153076
630.96,225280,110,3.634914359999999,595,378,0.070751953125,-2.0334135077893736,1090,0.6621981263160706,0.0003,0.009997284,0.8411264270544052,-0.0010916626692051069,56.590759265050295,0.2,1.0501823425292969
622.73,227328,111,5.222989869999999,596,381,0.07294921875,-2.0065604500472545,1100,0.6588642001152039,0.0003,0.006668871,0.7448592185974121,-0.002513802660178044,113.18687857240438,0.2,99.3568115234375
631.32,229376,112,9.151389350000002,596,384,0.04599609375,-2.0006317272782326,1110,0.6586110591888428,0.0003,0.0059119696,0.6602289974689484,-0.0037603902368573473,175.92691164314746,0.2,35.258419036865234
645.86,231424,113,12.977972079999999,596,387,0.141845703125,-1.9860384985804558,1120,0.6513699293136597,0.0003,0.018757487,0.8577426373958588,0.001015632959024515,56.60892071705312,0.2,1.5940887928009033
643.5,233472,114,12.772872119999997,597,391,0.124755859375,-1.9627412669360638,1130,0.640465497970581,0.0003,0.00875235,0.8627113401889801,-0.0014339744098833761,49.74245223868638,0.2,1.250852346420288
619.05,235520,115,10.84561306,598,393,0.070849609375,-1.9428167674690484,1140,0.6375138759613037,0.0003,0.006049555,0.8699921220541,-0.002394071229355177,37.29502950720489,0.2,4.15070915222168
613.82,237568,116,9.95199387,599,396,0.076025390625,-1.9363817781209947,1150,0.6373538970947266,0.0003,0.00819991,0.8090282678604126,-0.004206638227333315,132.41483414918184,0.2,7.811263084411621
618.07,239616,117,10.047500479999998,600,399,0.071337890625,-1.9351547580212354,1160,0.6368969678878784,0.0003,0.008440041,0.7764186710119247,-0.004290018528263317,134.2879136182368,0.2,3.539055347442627
617.99,241664,118,9.657428739999995,600,402,0.128173828125,-1.9345532342791558,1170,0.6375055313110352,0.0003,0.0066845715,0.8516763895750046,-0.0014965158443374094,52.816179872862996,0.2,2.1749725341796875
617.11,243712,119,9.287933669999997,601,405,0.103662109375,-1.9412877734750509,1180,0.6424013376235962,0.0003,0.005509327,0.8730940818786621,-0.0004980464116670191,53.851244024932384,0.2,3.118112325668335
623.75,245760,120,9.504756069999997,601,408,0.0474609375,-1.943358637392521,1190,0.6376320719718933,0.0003,0.0078082113,0.6578672826290131,-0.002444128813658608,169.80796231925487,0.2,20.205249786376953
631.9,247808,121,12.362108919999999,602,411,0.108935546875,-1.9244146440178156,1200,0.6313856840133667,0.0003,0.011550248,0.9093435779213905,-0.0008299246306705754,28.07334546293132,0.2,0.5202420353889465
637.24,249856,122,8.854934640000002,602,414,0.050732421875,-1.9108554407954217,1210,0.62708580493927,0.0003,0.0053533427,0.8652302473783493,-0.0028074549332814057,66.03318229317665,0.2,12.072100639343262
625.64,251904,123,7.19380058,603,417,0.0361328125,-1.9056832291185857,1220,0.6296316385269165,0.0003,0.0043883496,0.7887295782566071,-0.004755702347756597,118.37246027737856,0.2,12.627859115600586
633.0,2048,1,60.108346499999996,642,3,0.07412109375,-1.9084729041904211,1230,0.6285326480865479,0.0003,0.010305952,0.803697258234024,-0.0033703231860272354,124.5549556426704,0.2,140.2520751953125
543.8333333333334,4096,2,35.5164555,631,6,0.09404296875,-1.9042856100946666,1240,0.626560389995575,0.0003,0.006618714,0.8859497457742691,-0.001129335081350291,44.37985016983002,0.2,0.6105847954750061
600.6,6144,3,-32.1486865,665,9,0.126123046875,-1.899927320703864,1250,0.6270959377288818,0.0003,0.012266944,0.792012095451355,-0.00515433436667081,111.58560309112072,0.2,51.472023010253906
540.9285714285714,8192,4,-51.46845328571428,658,12,0.07529296875,-1.8969318445771932,1260,0.6227147579193115,0.0003,0.012192925,0.6503753364086151,-0.002532567425441812,202.11684398949146,0.2,50.197608947753906
588.6470588235294,10240,5,-45.32695552941177,673,15,0.031787109375,-1.8856058530509472,1270,0.6213629841804504,0.0003,0.003808158,0.7922731190919876,-0.002279249623097712,130.3914668813348,0.2,3.2597920894622803
597.8421052631579,12288,6,-39.26587015789474,658,18,0.10625,-1.8830476120114326,1280,0.6226503849029541,0.0003,0.013570777,0.7734542340040207,0.0013852119227522053,85.48800245933235,0.2,1.6694972515106201
636.1428571428571,14336,7,-38.00588809523809,635,22,0.0642578125,-1.8882376678287982,1290,0.6238043308258057,0.0003,0.004100333,0.9266842156648636,-0.00048212380534096155,51.31879224553704,0.2,2.890213966369629
654.3333333333334,16384,8,-44.28510854166666,638,25,0.184521484375,-1.912639855593443,1300,0.635604977607727,0.0003,0.022230234,0.9124720841646194,0.0010271628692862579,28.3172286150977,0.2,0.4367907643318176
629.2857142857143,18432,9,-34.475935928571424,648,28,0.07314453125,-1.9286902341991663,1310,0.6360235214233398,0.0003,0.004892778,0.7982184290885925,0.0020522289836662822,80.36742978841066,0.2,10.778668403625488
642.6129032258065,20480,10,-31.93867480645161,649,31,0.033251953125,-1.930792584270239,1320,0.6369947791099548,0.0003,0.0035392756,0.750288650393486,-0.001004977438788046,125.72309195399285,0.2,12.203422546386719
637.6285714285714,22528,11,-34.00688645714285,653,34,0.099267578125,-1.9251668360084295,1330,0.6317768096923828,0.0003,0.012676358,0.8728648573160172,-0.0022655773071164733,62.562873990088704,0.2,2.9616787433624268
657.2162162162163,24576,12,-32.92337702702702,652,37,0.06015625,-1.913516414538026,1340,0.6313549280166626,0.0003,0.008632563,0.7981184720993042,-0.00019995367983938195,114.08959188126028,0.2,17.113039016723633
