time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/approx_kl,train/value_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance
159744,202,789,506.4,22.789864579999993,78,0.067138671875,770,30.300039291381836,-0.8068756500259042,0.005478757,155.804733556509,0.2,-0.003797587750159437,0.0003,0.49094158411026
161792,204,790,504.03,23.698502249999997,79,0.08701171875,780,133.77725219726562,-0.8849962837994099,0.010484038,273.7312384068966,0.2,-0.005238460931286682,0.0003,0.7146263718605042
163840,207,791,497.71,22.824809419999998,80,0.052294921875,790,94.2505874633789,-0.8663479760289192,0.0054944325,142.02596367895603,0.2,-0.003850342431542231,0.0003,0.5938502252101898
165888,210,789,501.05,24.367455399999997,81,0.022216796875,800,21.08186912536621,-0.6433427633717657,0.0036945792,210.17817179858685,0.2,-0.002405650031141704,0.0003,0.6089981198310852
167936,212,789,492.28,18.097745519999997,82,0.11435546875,810,10.891515731811523,-0.8192127384245396,0.007191427,95.70800637304782,0.2,-0.006040194319211878,0.0003,0.6379920840263367
169984,214,790,488.22,10.942274999999995,83,0.0234375,820,105.02664184570312,-0.8991353377699852,0.0030660422,286.7553173065186,0.2,-0.00295107342681149,0.0003,0.6181766092777252
172032,218,789,482.49,9.882552870000001,84,0.0640625,830,97.1572494506836,-0.8586038159206509,0.0060212435,254.77099227905273,0.2,-0.0054706274495401885,0.0003,0.7414585053920746
174080,221,787,486.56,11.13781778,85,0.05732421875,840,53.0240478515625,-0.8182254493236542,0.0065609934,210.48084639012814,0.2,-0.004413039319842937,0.0003,0.5789566934108734
176128,223,787,483.01,10.817435970000002,86,0.05185546875,850,36.797386169433594,-0.767563153617084,0.0044715907,105.0538459867239,0.2,-0.002735288562689675,0.0003,0.6436666548252106
178176,225,788,476.26,8.801287120000001,87,0.107373046875,860,56.724021911621094,-0.8825749792158604,0.010398116,125.54478133618832,0.2,-0.004248862545500743,0.0003,0.3897777795791626
180224,228,789,479.93,12.546895540000003,88,0.082275390625,870,155.4138641357422,-0.8267359312623739,0.006073205,208.0790595650673,0.2,-0.0029405763001705055,0.0003,0.5365145802497864
182272,230,789,485.65,16.08615704,89,0.020703125,880,19.51605987548828,-0.7813648136332632,0.0016348076,130.92395466566086,0.2,-0.0010736362906754947,0.0003,0.6382064819335938
184320,232,791,485.74,20.346545879999997,90,0.031591796875,890,60.120059967041016,-0.7662154262885451,0.005333011,197.45251311063765,0.2,-0.004377939449477708,0.0003,0.5471771955490112
186368,235,792,480.6,19.916108499999996,91,0.0326171875,900,143.07989501953125,-0.6755031913518905,0.0044598193,223.76928650140763,0.2,-0.0028656948590651153,0.0003,0.5980245471000671
188416,237,793,476.1,21.860714899999998,92,0.03798828125,910,24.8610897064209,-0.7948518624529243,0.004112508,169.9213373184204,0.2,-0.0027311472411383876,0.0003,0.6522701680660248
190464,240,793,479.96,22.774697659999998,93,0.06591796875,920,126.97479248046875,-0.772977945022285,0.0054124906,214.25680271685124,0.2,-0.0025935090459825007,0.0003,0.4681081175804138
192512,242,794,473.52,25.40855526,94,0.035595703125,930,11.778650283813477,-0.5458031153306365,0.0033920528,66.4179011195898,0.2,-0.003929582251294051,0.0003,0.874144047498703
194560,244,796,471.52,28.15605987,95,0.054541015625,940,30.882978439331055,-0.7661679347977042,0.0067391023,189.1358565211296,0.2,-0.005235036058729747,0.0003,0.7921567112207413
196608,246,798,465.47,29.32930298,96,0.08369140625,950,47.39189910888672,-0.7240687817335129,0.0050601456,232.98896431922913,0.2,-0.0037088400618813465,0.0003,0.34475380182266235
198656,248,798,468.8,23.74430511,97,0.03564453125,960,59.66987991333008,-0.6895952519029379,0.0057548704,286.7999407052994,0.2,-0.002707826017285697,0.0003,0.5673926770687103
200704,250,800,468.11,33.602548549999995,98,0.0458984375,970,15.886916160583496,-0.7497545288875699,0.0059922533,133.20705887824298,0.2,-0.004663470017840154,0.0003,0.835946187376976
202752,252,801,464.72,37.01214122,99,0.042138671875,980,528.6332397460938,-0.7312381261959672,0.0038785709,255.73214839696885,0.2,-0.0028274073127249723,0.0003,0.5849771499633789
204800,254,803,462.35,38.933321189999994,100,0.120166015625,990,22.088991165161133,-0.7905131183564663,0.0060750563,147.30526578128337,0.2,-0.004721438616979867,0.0003,0.6544202268123627
206848,257,804,458.56,44.832690469999996,101,0.0552734375,1000,256.3560791015625,-0.647613474354148,0.0043327315,220.53452101945877,0.2,-0.0021515886292036157,0.0003,0.674025148153305
208896,259,806,452.11,45.54813794,102,0.08935546875,1010,25.729969024658203,-0.7612407401204109,0.006765646,178.22944352030754,0.2,-0.005706562773775658,0.0003,0.5689047873020172
210944,260,808,435.94,48.82840743,103,0.02744140625,1020,112.46465301513672,-0.6399845127016306,0.0048220283,282.1773058414459,0.2,-0.0016868796970811672,0.0003,0.5858121812343597
212992,262,810,429.39,55.56037853,104,0.033349609375,1030,124.4051742553711,-0.7668657781556248,0.005256431,370.6131341397762,0.2,-0.007098943444725591,0.0003,0.42962318658828735
215040,264,812,407.7,55.54100546000001,105,0.080908203125,1040,27.52275276184082,-0.6481450090184808,0.009518958,155.3051022708416,0.2,-0.005743870733567746,0.0003,0.637158215045929
217088,266,813,396.45,57.41948499,106,0.026123046875,1050,58.298728942871094,-0.6743235679343342,0.003079704,280.1712630391121,0.2,-0.0014677698909508763,0.0003,0.5569615960121155
219136,268,815,379.1,56.70634881,107,0.02890625,1060,82.57868194580078,-0.6773072520270944,0.008693613,238.62825344204902,0.2,-0.0015672994835767896,0.0003,0.5024034380912781
221184,270,817,366.86,54.74428648,108,0.029541015625,1070,205.68624877929688,-0.7154414970427752,0.0046588485,299.070562261343,0.2,-0.0027761637247749604,0.0003,0.5391274690628052
223232,272,818,362.4,56.04642288,109,0.0259765625,1080,51.73198318481445,-0.7416230680420994,0.0046462836,326.7743838429451,0.2,-0.004669132836716017,0.0003,0.5943206548690796
225280,274,820,347.01,53.358302009999996,110,0.054248046875,1090,28.467405319213867,-0.6699823137372732,0.008122313,221.64781404733657,0.2,-0.003251656934298808,0.0003,0.5492177605628967
227328,276,821,343.4,55.78167636,111,0.01513671875,1100,34.722896575927734,-0.704071301780641,0.0025681031,387.9170585036278,0.2,-0.0024528139329049736,0.0003,0.49101710319519043
229376,278,823,341.75,52.774599859999995,112,0.05419921875,1110,48.07611083984375,-0.7004894986748695,0.0080049895,155.82739626169206,0.2,-0.003897479366059997,0.0003,0.6795968115329742
231424,280,824,343.75,56.84002104,113,0.03212890625,1120,23.708942413330078,-0.6144703038968146,0.004868295,291.87039093971254,0.2,-0.003692843697353965,0.0003,0.6062202751636505
233472,282,826,333.63,57.94185057000001,114,0.071923828125,1130,249.49562072753906,-0.6116970294155181,0.0059558908,259.74325451254845,0.2,-0.004424197418120457,0.0003,0.5660824477672577
235520,284,827,333.66,57.79094244000001,115,0.0646484375,1140,84.99398040771484,-0.7483674006536603,0.006395174,225.82553799748422,0.2,-0.005345693064009538,0.0003,0.6320586502552032
237568,286,828,329.9,57.870900200000015,116,0.0453125,1150,27.488746643066406,-0.5596966900862753,0.0050875894,205.25478956103325,0.2,-0.0019363392053492134,0.0003,0.5125100910663605
239616,288,829,328.04,55.799310459999994,117,0.027978515625,1160,141.48348999023438,-0.675212567858398,0.0043788776,220.87262285649777,0.2,-0.0016108122559671755,0.0003,0.6721898913383484
241664,290,831,321.5,55.57895325999999,118,0.0384765625,1170,352.7353515625,-0.638387143984437,0.0048088534,213.61452208757402,0.2,-0.004150970635964768,0.0003,0.6264646053314209
243712,292,832,325.15,61.33400414,119,0.03876953125,1180,23.50674819946289,-0.6795398833230137,0.0034592175,237.016203802824,0.2,-0.0022445225687988566,0.0003,0.5161505937576294
245760,294,834,319.74,55.43723391,120,0.065966796875,1190,44.65448760986328,-0.6470523577183485,0.008956252,141.4529389679432,0.2,-0.002896686672465876,0.0003,0.6955710053443909
247808,296,836,319.27,55.99199572,121,0.0455078125,1200,307.90411376953125,-0.6523776995018125,0.006118457,368.2141127705574,0.2,-0.007781463811261347,0.0003,0.7087242305278778
249856,298,837,321.9,55.21913625,122,0.063671875,1210,12.71291732788086,-0.6577714750543237,0.0067665866,236.88544815778732,0.2,-0.002483113736525411,0.0003,0.6582464873790741
251904,299,839,319.24,55.424104469999996,123,0.040283203125,1220,49.92874526977539,-0.6326105072163045,0.0036963213,275.13688749074936,0.2,-0.0027218048795475624,0.0003,0.7235462367534637
2048,1,1686,275.0,-6.741666666666667,1,0.030126953125,1230,21.90768051147461,-0.6300450246781111,0.005012374,264.8458522081375,0.2,-0.0021048044203780592,0.0003,0.6525490880012512
4096,2,1400,263.3333333333333,10.466666666666667,2,0.1361328125,1240,56.55186462402344,-0.669238593429327,0.008615823,206.4899588763714,0.2,-0.003883480149670504,0.0003,0.5545475780963898
6144,4,1273,275.27272727272725,18.216818181818184,3,0.05126953125,1250,114.49952697753906,-0.6305535423569382,0.008040952,158.69029625058175,0.2,-0.0026390544517198578,0.0003,0.5491293370723724
