time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/learning_rate
297,515.22,39.53440071,763,111,227328,0.087353515625,-0.004228810550739581,0.2,1100,-0.702731654793024,0.009111568,112.10200948119163,0.6837072372436523,29.206073760986328,0.0003
300,504.24,37.391191940000006,763,112,229376,0.029345703125,-0.0007284963510755915,0.2,1110,-0.6679599765688181,0.002436229,184.74375493079424,0.4788571000099182,8.379175186157227,0.0003
302,495.72,35.98986636000001,764,113,231424,0.041943359375,-0.0044371371859597275,0.2,1120,-0.7343388559296727,0.0033675279,242.42159948647023,0.5459929406642914,91.64749908447266,0.0003
305,491.54,39.1277121,764,114,233472,0.02802734375,-0.0021778883252409286,0.2,1130,-0.6482992698438466,0.005521506,140.5244438737631,0.5903827250003815,19.4545955657959,0.0003
308,496.9,41.93372442,764,115,235520,0.054296875,-0.0020182923050015233,0.2,1140,-0.6686062538996339,0.007356366,101.10156850665808,0.7124382555484772,7.984365940093994,0.0003
310,497.18,43.790932780000006,764,116,237568,0.053466796875,-0.002202616200520424,0.2,1150,-0.6778999192640185,0.004031538,145.41345694065095,0.46537673473358154,30.864797592163086,0.0003
312,502.34,43.81623743000001,765,117,239616,0.0615234375,-0.002494810060306918,0.2,1160,-0.6493896218016744,0.006763433,112.97837781310082,0.7529254704713821,57.882423400878906,0.0003
315,502.86,46.40918576,765,118,241664,0.062109375,-0.00497454196374747,0.2,1170,-0.5982534760609269,0.009529214,157.10471485555172,0.6581697762012482,117.66722869873047,0.0003
317,500.94,50.72607191,766,119,243712,0.04150390625,-0.0059966908178466834,0.2,1180,-0.6723720483481884,0.0042541074,155.50007009506226,0.6544061005115509,15.20337200164795,0.0003
320,500.53,51.57275648999998,767,120,245760,0.056201171875,-0.006450104728719453,0.2,1190,-0.6808607907965779,0.010751034,134.10560787022115,0.7060442566871643,59.625301361083984,0.0003
322,497.48,52.760744859999996,767,121,247808,0.075439453125,-0.002687377657275647,0.2,1200,-0.595850923191756,0.009413131,80.69628762230278,0.6265725195407867,9.352861404418945,0.0003
325,499.1,53.443835879999995,767,122,249856,0.01826171875,-0.0018596882538986393,0.2,1210,-0.7099293146282435,0.0024225092,142.32444389164448,0.43415337800979614,40.30973434448242,0.0003
328,499.15,52.88514397,767,123,251904,0.073974609375,-0.0024567937398387585,0.2,1220,-0.6704882740974426,0.0065863794,167.16766456365585,0.5682477355003357,57.354000091552734,0.0003
1,460.75,-22.435000000000002,1206,1,2048,0.07021484375,-0.003646038881561253,0.2,1230,-0.7011870879679918,0.004762062,152.97751102894546,0.5927804708480835,56.47719192504883,0.0003
3,454.77777777777777,-13.92111111111111,1047,2,4096,0.123291015625,-0.003622217938391259,0.2,1240,-0.7155846405774355,0.009413457,58.150399743020536,0.7144381403923035,34.24067687988281,0.0003
6,497.8333333333333,-39.594166666666666,972,3,6144,0.025146484375,-0.0007885383885877673,0.2,1250,-0.6649993259459734,0.00358844,79.65809224843979,0.6551437377929688,40.10792922973633,0.0003
