rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance
9.6164595,215040,105,301,713,935.0,1040,0.0003,-0.00044499801006168125,2.1902332305908203,0.2,0.0066897343,-0.8957210931926965,49.74416796192527,0.10087890625,0.47791117429733276
11.520527770000003,217088,106,305,711,938.52,1050,0.0003,-0.0016220634832279756,9.537369728088379,0.2,0.0047575645,-0.8212386481463909,118.71774684637785,0.0689453125,0.4639548063278198
9.856817980000002,219136,107,308,710,941.64,1060,0.0003,-0.0038425629361881876,2.5808920860290527,0.2,0.0069234595,-0.9080373531207442,44.82480116412044,0.08330078125,0.5637555718421936
10.38895119,221184,108,311,709,939.81,1070,0.0003,-0.004618952002783771,2.704054594039917,0.2,0.0071299803,-0.818866316601634,41.953085417300464,0.082373046875,0.6740435361862183
11.15639632,223232,109,315,707,939.81,1080,0.0003,-0.0031120226836719666,5.623638153076172,0.2,0.0058664577,-0.8298970516771078,76.99033872783184,0.077099609375,0.4772224426269531
11.60721701,225280,110,319,704,937.09,1090,0.0003,-0.00272562111786101,2.11301326751709,0.2,0.00952151,-0.8846603404730559,50.26034344360232,0.10458984375,0.6472564935684204
12.63551895,227328,111,323,701,935.24,1100,0.0003,-0.0028991641225729835,11.99441909790039,0.2,0.0027825232,-0.8236252553761005,64.52423607856035,0.050146484375,0.45245105028152466
12.79395891,229376,112,327,701,935.24,1110,0.0003,-0.0012197687901789322,11.84581184387207,0.2,0.004332836,-0.8481722649186849,81.09197300970554,0.039501953125,0.44131821393966675
13.129563210000004,231424,113,330,700,935.24,1120,0.0003,-0.004321671627985779,1.7428979873657227,0.2,0.009658657,-0.8232332814484835,47.06029124595225,0.094384765625,0.6978153586387634
12.908256890000002,233472,114,335,696,935.24,1130,0.0003,-0.0059953648087685,2.29125714302063,0.2,0.01008582,-0.8436104642227292,41.17314906306565,0.11318359375,0.6814161241054535
13.420608640000003,235520,115,337,696,935.24,1140,0.0003,-0.004432170248037437,2.7572591304779053,0.2,0.011194807,-0.8519814709201455,38.65028159059584,0.115380859375,0.7497032284736633
16.947999300000003,237568,116,342,694,937.37,1150,0.0003,-0.0023803572170436383,2.1805951595306396,0.2,0.0057217027,-0.8700187530368566,40.741281563602385,0.109619140625,0.7342769503593445
16.550447149999997,239616,117,345,692,937.37,1160,0.0003,-0.0023042237531626596,2.7972421646118164,0.2,0.005219659,-0.7825048735365272,117.98239335864783,0.06064453125,0.474137544631958
19.06184444,241664,118,350,690,930.58,1170,0.0003,-0.0024185363865399266,2.1345651149749756,0.2,0.01142617,-0.7853498751297593,35.9930770996958,0.09912109375,0.7123519480228424
19.669283059999998,243712,119,354,687,931.62,1180,0.0003,-0.0008224988403526367,11.753894805908203,0.2,0.002937143,-0.731818750500679,81.03994140774012,0.023193359375,0.39604222774505615
18.70581684,245760,120,358,685,931.62,1190,0.0003,-0.0038262033471255564,5.706740856170654,0.2,0.007131283,-0.8079325875267387,68.5574501030147,0.1072265625,0.36998695135116577
17.09488024,247808,121,361,685,922.02,1200,0.0003,-0.005564657287322916,2.0344107151031494,0.2,0.015920194,-0.7920315638184547,33.3709029879421,0.090771484375,0.6431306898593903
17.42442994,249856,122,364,684,922.02,1210,0.0003,-0.0022778061487770175,8.000606536865234,0.2,0.007729414,-0.8184086598455906,192.5291419878602,0.059716796875,0.2425439953804016
18.668927649999997,251904,123,367,684,918.97,1220,0.0003,-0.00588480808219174,0.9142999649047852,0.2,0.011507014,-0.8546488596126437,34.091134975105525,0.16025390625,0.7083353996276855
-546.3937115,2048,1,4,502,1000.0,1230,0.0003,-0.003965711896307766,3.749823808670044,0.2,0.0069163395,-0.7987514868378639,68.81771012023091,0.06240234375,0.43069106340408325
-595.04858025,4096,2,7,562,991.25,1240,0.0003,-0.00146817456552526,8.353452682495117,0.2,0.004701933,-0.8426955817267299,81.17460918799043,0.05283203125,-0.08564221858978271
-603.8638135,6144,3,10,561,994.1666666666666,1250,0.0003,-0.0027254801425442565,2.583035707473755,0.2,0.020146888,-0.6766128676012159,96.61354603022338,0.060791015625,0.4376981258392334
-611.811638875,8192,4,14,570,972.75,1260,0.0003,-0.0019313081778818742,9.273514747619629,0.2,0.006766268,-0.8084747567772865,62.5263345554471,0.048681640625,0.6524541974067688
-621.9053897,10240,5,18,562,978.2,1270,0.0003,-0.0015137406648136676,15.561563491821289,0.2,0.0030446616,-0.7337222019210458,74.56993510574102,0.035205078125,0.6548085510730743
-623.5148889230769,12288,6,22,551,935.7692307692307,1280,0.0003,-0.0037974817343638277,17.132497787475586,0.2,0.009622146,-0.7560834983363748,57.03505098596215,0.079443359375,0.7599526792764664
-621.7458561999999,14336,7,25,565,944.3333333333334,1290,0.0003,-0.0012733726482110797,31.481826782226562,0.2,0.003483738,-0.7923104215413332,166.8970890134573,0.03212890625,0.6409103572368622
