time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/explained_variance,train/learning_rate
151552,652,917.9,74,232,-0.5175307799999999,-0.003797694112290628,0.2,730,-0.8391211213544011,0.059814453125,6.601176738739014,0.006252478,49.033607655763625,0.9043856710195541,0.0003
153600,651,913.8,75,235,-0.4239009699999994,-0.003978148154419614,0.2,740,-0.9007079500705004,0.074267578125,6.524073123931885,0.0068239095,53.23117990866304,0.6900643408298492,0.0003
155648,648,913.17,76,239,0.0990233000000005,-0.0023030554792057957,0.2,750,-0.8741125335916877,0.070556640625,16.70974349975586,0.007393385,99.19703746438026,0.7583207935094833,0.0003
157696,647,908.16,77,243,-1.5766942100000012,-0.0011054166927351617,0.2,760,-0.8125070573762059,0.0779296875,32.52414321899414,0.008544868,62.0450532913208,0.6057790815830231,0.0003
159744,647,905.47,78,246,1.2908930199999995,0.001561680827580858,0.2,770,-0.8657332692295313,0.078662109375,18.782094955444336,0.011321025,99.57250027656555,0.49151045083999634,0.0003
161792,644,905.47,79,250,1.58969955,-0.0021271604018693324,0.2,780,-0.870448236912489,0.071044921875,17.538667678833008,0.005649719,49.073010850697756,0.6620291471481323,0.0003
163840,642,902.14,80,254,1.0959955899999998,-0.003286964308063034,0.2,790,-0.9096881350502372,0.12177734375,5.034531116485596,0.010516159,38.68651886954903,0.8313185423612595,0.0003
165888,640,902.14,81,259,1.72695412,-0.0013446722725348082,0.2,800,-0.7315379155799746,0.019580078125,305.1199035644531,0.00437788,81.05662549734116,0.749577671289444,0.0003
167936,638,897.78,82,263,1.4728792800000001,-0.0027303683826175986,0.2,810,-0.8091884026303887,0.13212890625,1.1716467142105103,0.007402636,35.91897545941174,0.7635696679353714,0.0003
169984,637,892.19,83,266,-0.10381116999999876,-0.001973969933897024,0.2,820,-0.8898047728464007,0.081982421875,44.51385498046875,0.010073282,64.75469977110625,0.5501842200756073,0.0003
172032,633,892.19,84,271,0.6578357600000012,-0.002054877987393411,0.2,830,-0.9059204695746302,0.084423828125,84.63789367675781,0.0053809956,92.3434411469847,0.5728528499603271,0.0003
174080,630,890.18,85,275,1.584684730000002,-0.0016426029542344622,0.2,840,-0.9162033926695585,0.10634765625,3.3359620571136475,0.009323314,38.61808266043663,0.7019530236721039,0.0003
176128,631,886.64,86,278,3.7750921300000004,-0.0006940232618944719,0.2,850,-0.7680573893710971,0.06513671875,4.798583984375,0.010827661,63.31909200921655,0.6361603736877441,0.0003
178176,631,882.84,87,282,2.34915902,-0.0018332294916035608,0.2,860,-0.8105433501303196,0.0419921875,4.28994607925415,0.010621291,68.16190935745836,0.6783552467823029,0.0003
180224,631,881.02,88,285,4.3859755400000004,-0.00206025158513512,0.2,870,-0.8423257239162922,0.06982421875,6.042872905731201,0.004797769,102.90326397046447,0.357075572013855,0.0003
182272,631,874.81,89,288,2.5653987799999993,0.0002498482026567217,0.2,880,-0.8514539817348122,0.0421875,6.891694068908691,0.0059955763,119.12653104364873,0.4491218328475952,0.0003
184320,631,874.81,90,291,2.6432010399999997,-0.003623716625588713,0.2,890,-0.823801564797759,0.05166015625,340.37432861328125,0.006855497,101.73605390042067,0.5133668184280396,0.0003
186368,632,871.89,91,294,3.3309085499999993,-0.00529328955890378,0.2,900,-0.8580508880317211,0.13603515625,2.4365477561950684,0.015474767,45.6524112418294,0.6811167597770691,0.0003
188416,630,869.81,92,298,5.093500799999999,-0.001303267985713319,0.2,910,-0.7891157334670424,0.0611328125,122.07096099853516,0.0050091003,52.93797640949488,0.6108000576496124,0.0003
190464,628,871.6,93,302,5.043936519999999,-0.0019000077500095358,0.2,920,-0.7694465788081288,0.049853515625,24.35024642944336,0.0072578923,44.57375654578209,0.684516191482544,0.0003
192512,628,869.53,94,306,7.391130939999999,-0.0018193280091509223,0.2,930,-0.8263811556622386,0.05478515625,3.558161973953247,0.006024606,41.431049707531926,0.6571696102619171,0.0003
194560,628,869.53,95,309,7.16934943,3.8933871110202745e-05,0.2,940,-0.7949261114001274,0.033251953125,2.9521567821502686,0.0025388096,66.9628609932959,0.5007588267326355,0.0003
196608,627,868.36,96,313,3.0109597100000007,-0.005322529090335593,0.2,950,-0.8703900830820203,0.148486328125,3.7248740196228027,0.016558167,51.046544323861596,0.5168415606021881,0.0003
198656,626,868.36,97,317,3.658779330000001,-0.0011692127482092474,0.2,960,-0.8540265876799822,0.03828125,16.86819839477539,0.003627383,71.5276762843132,0.5700459778308868,0.0003
200704,627,864.13,98,319,0.8361278700000011,-0.0022930386156076567,0.2,970,-0.9030478129163384,0.054638671875,2.0891854763031006,0.005543035,43.2675011433661,0.6532090604305267,0.0003
202752,627,861.53,99,323,0.8530687200000017,-0.002125435780180851,0.2,980,-0.7351903917267919,0.01767578125,29.741939544677734,0.0061600995,142.32273949980737,0.386305570602417,0.0003
204800,627,862.55,100,326,-1.8606385299999995,-0.0009521544943709159,0.2,990,-0.7651281375437975,0.0697265625,3.8096048831939697,0.004926019,44.322803649306294,0.6256155967712402,0.0003
206848,628,858.65,101,329,-2.9850408499999985,-0.0020448542265512513,0.2,1000,-0.8524166962131858,0.038330078125,29.221282958984375,0.0091575235,148.33006529957055,0.3932807445526123,0.0003
208896,627,859.42,102,333,-0.9135454699999994,-0.0033715930418111383,0.2,1010,-0.8382542220875621,0.074755859375,28.013639450073242,0.007934552,89.1605105727911,0.41998594999313354,0.0003
210944,624,862.2,103,337,-2.0577616099999996,-0.001765716822410468,0.2,1020,-0.8454441858455539,0.068994140625,7.5698933601379395,0.0067342613,54.941231828928,0.7599792778491974,0.0003
212992,621,862.2,104,342,-1.7020075099999985,-0.0005221233383053914,0.2,1030,-0.7803418319672346,0.041552734375,2.317756414413452,0.005954445,50.99367567896843,0.6335541307926178,0.0003
215040,620,870.22,105,346,0.25536503000000094,-0.0010311107245797757,0.2,1040,-0.7899637384340167,0.108740234375,3.632608652114868,0.01035845,24.952107840403915,0.8825528547167778,0.0003
217088,617,870.76,106,351,1.4992472700000012,-0.0002824296876497101,0.2,1050,-0.815869427472353,0.0564453125,24.825578689575195,0.0044180998,61.83714987486601,0.7132405042648315,0.0003
219136,618,865.92,107,354,-0.2698924499999987,-6.345233268802985e-05,0.2,1060,-0.8720431152731181,0.106591796875,1.511256456375122,0.0072508436,36.65912050418556,0.8429639786481857,0.0003
221184,616,868.65,108,358,-0.8956615499999991,-0.0008149296634655911,0.2,1070,-0.8071642260998487,0.031640625,7.024114608764648,0.007327242,114.72136247903109,0.4957212209701538,0.0003
223232,617,866.47,109,361,-2.896118889999999,-0.002980783845123369,0.2,1080,-0.7771254073828459,0.068896484375,4.373631000518799,0.008614913,35.610555277764796,0.7005276083946228,0.0003
225280,617,865.92,110,364,-0.7302923999999997,-0.0018716567778028549,0.2,1090,-0.7858739843592047,0.055859375,41.34088134765625,0.008288398,99.15873325765133,0.6075352132320404,0.0003
227328,616,871.24,111,368,-1.9704093499999997,-0.003038954338990152,0.2,1100,-0.7319193603470922,0.063916015625,36.08477783203125,0.008356132,70.05965768694878,0.5725915431976318,0.0003
229376,615,866.5,112,372,-3.9997444,-0.003516283372300677,0.2,1110,-0.7319005960598588,0.058056640625,17.690181732177734,0.0074557806,122.59336310178041,0.3867148160934448,0.0003
231424,616,869.68,113,375,-6.41463439,-0.002869640617427649,0.2,1120,-0.8098125234246254,0.046826171875,311.00982666015625,0.005555883,128.36701812148095,0.598734438419342,0.0003
233472,616,871.53,114,378,-6.800586419999999,-0.0013795197857689346,0.2,1130,-0.7897654820233584,0.060400390625,20.087562561035156,0.006752726,61.264709489047526,0.7057260572910309,0.0003
235520,616,867.9,115,382,-6.421140949999999,-0.0027346924172888974,0.2,1140,-0.7809340531006456,0.07607421875,5.702062129974365,0.0062736953,66.07752508223057,0.8124378621578217,0.0003
237568,614,869.58,116,386,-4.789580269999999,-0.002215348043682752,0.2,1150,-0.7122858252376318,0.04267578125,4.524542808532715,0.0048879283,106.4988360106945,0.6545129120349884,0.0003
239616,614,864.47,117,389,-3.137430500000001,-0.0010734302672062769,0.2,1160,-0.7044212218374014,0.029296875,118.7751235961914,0.0033035632,161.0440068125725,0.46444016695022583,0.0003
241664,615,863.25,118,392,-1.9698226000000019,-0.002408733072661562,0.2,1170,-0.7327635560184718,0.055126953125,17.395586013793945,0.0043815244,125.6874950736761,0.5930128991603851,0.0003
243712,615,865.93,119,395,0.9461687599999994,-0.002845270973921288,0.2,1180,-0.7181381421163678,0.05732421875,115.90447998046875,0.007057151,97.83387417644262,0.7124065160751343,0.0003
245760,615,869.77,120,399,-0.28188683000000125,-0.004735818656627089,0.2,1190,-0.7979238336905837,0.122314453125,9.042744636535645,0.0064497776,61.42368509545922,0.5100811421871185,0.0003
247808,615,863.39,121,402,2.2493738000000003,0.0011084966601629276,0.2,1200,-0.7782340779900551,0.099560546875,2.4765779972076416,0.009824146,52.08658696189523,0.580519288778305,0.0003
249856,615,859.75,122,405,0.8314998599999993,-0.0009013826551381498,0.2,1210,-0.6818397538736463,0.051416015625,26.555274963378906,0.0046830056,101.20055520683528,0.5747528374195099,0.0003
251904,614,857.29,123,410,1.6629062499999996,-0.003506811322586145,0.2,1220,-0.7516168868169188,0.066552734375,38.752342224121094,0.012574257,114.24975212067366,0.5983644723892212,0.0003
2048,701,827.5,1,2,-571.365045,0.0004579618049319834,0.2,1230,-0.7563293559476734,0.091650390625,4.987658500671387,0.0040686587,56.60018250495195,0.6586576700210571,0.0003
4096,556,818.8,2,7,-699.5705454,-0.00042117133052670396,0.2,1240,-0.7807025423273444,0.084716796875,5.447226524353027,0.0054643755,104.60788561701774,0.7206028997898102,0.0003
6144,592,796.2857142857143,3,10,-673.1772280000001,-0.0028670890278590377,0.2,1250,-0.7187526797875762,0.0560546875,46.29450988769531,0.008122563,148.91389152407646,0.6684415638446808,0.0003
8192,602,834.8888888888889,4,13,-680.6982148888889,-0.0011515138834511164,0.2,1260,-0.705615847185254,0.02509765625,58.75300216674805,0.0044537494,116.93035570979119,0.5077417492866516,0.0003
10240,572,844.8181818181819,5,17,-678.1400044545454,-0.001958628145075636,0.2,1270,-0.7447668744251132,0.039990234375,18.48125457763672,0.0051863617,127.35731896460057,0.45131754875183105,0.0003
12288,593,868.9285714285714,6,20,-694.2128249285714,-0.003972527932273806,0.2,1280,-0.7425315219908952,0.099169921875,22.522436141967773,0.011589648,114.6494148850441,0.814174547791481,0.0003
14336,589,869.1875,7,24,-688.861050375,-0.001144010947609786,0.2,1290,-0.712702976167202,0.048388671875,18.524974822998047,0.005663879,127.04198740720749,0.8013546466827393,0.0003
16384,578,877.5,8,28,-688.875158611111,-0.0050175905253126984,0.2,1300,-0.7043266607448458,0.09013671875,14.913625717163086,0.0068025114,71.20741096287966,0.849338561296463,0.0003
18432,585,885.1,9,31,-699.3624747,-0.0027236260255449453,0.2,1310,-0.7058282125741243,0.087353515625,6.736750602722168,0.0068940567,73.45538101792336,0.8700221925973892,0.0003
20480,595,895.5454545454545,10,34,-709.9022112727272,-0.0029657410181243905,0.2,1320,-0.6582807822152972,0.05556640625,5.241292476654053,0.0047747297,70.64601259380579,0.8748200833797455,0.0003
22528,602,900.96,11,37,-706.8438982799998,0.00014072172634769232,0.2,1330,-0.7147869817912579,0.105078125,4.225186347961426,0.0147339525,35.125851447880265,0.8838741779327393,0.0003
24576,603,906.9629629629629,12,40,-715.0400039259258,-0.0005656646819261369,0.2,1340,-0.6388485551811754,0.030615234375,21.299068450927734,0.003490657,144.59322394132613,0.6373398005962372,0.0003
26624,602,913.3793103448276,13,44,-727.951281275862,-0.004537354252897785,0.2,1350,-0.7269329695031047,0.084912109375,23.182462692260742,0.012575494,67.8453739464283,0.8513367027044296,0.0003
28672,607,918.9677419354839,14,47,-739.6829027096775,0.0030392266045964787,0.2,1360,-0.7580174375325441,0.11083984375,5.733957290649414,0.011733398,26.284095851331948,0.673689067363739,0.0003
30720,611,923.8787878787879,15,50,-745.7584767272729,-0.003939405041455757,0.2,1370,-0.7131206184625626,0.057177734375,4.6063432693481445,0.00403985,26.981665657460688,0.8661108165979385,0.0003
32768,602,928.2285714285714,16,54,-754.9698306285715,-0.002089042570150923,0.2,1380,-0.7054477831348777,0.03876953125,4.083279609680176,0.00452915,32.77879829853773,0.9432741403579712,0.0003
34816,601,932.1081081081081,17,57,-763.2135502972973,-0.002098617685260251,0.2,1390,-0.7088650004938245,0.0875,1.8824142217636108,0.0045478307,40.65196715593338,0.6394605934619904,0.0003
36864,595,935.5897435897435,18,61,-770.4727476666667,-0.0010120051338162739,0.2,1400,-0.7419421680271625,0.037939453125,5.519684314727783,0.004386996,17.114868063479662,0.9026925563812256,0.0003
38912,587,937.4634146341464,19,66,-779.8858431463416,-0.0019254552258644252,0.2,1410,-0.7077336633577943,0.0556640625,3.1709160804748535,0.0077703847,28.06517961099744,0.5545951724052429,0.0003
40960,583,928.3863636363636,20,70,-779.3778488636362,-0.001931741531006992,0.2,1420,-0.6930197224020958,0.041015625,2.106724262237549,0.005199393,29.790165159106255,0.39607107639312744,0.0003
43008,586,931.5,21,73,-786.3493420652172,-0.0013376447546761482,0.2,1430,-0.7356245208531618,0.057666015625,15.298482894897461,0.0036150962,42.864992789179084,0.5555469989776611,0.0003
45056,588,934.3541666666666,22,76,-791.5467558125,-0.0008651208496303298,0.2,1440,-0.7381115797907114,0.063330078125,3.4769837856292725,0.0047135334,21.67703836336732,0.761717364192009,0.0003
47104,590,936.98,23,79,-796.2484328199998,-0.0032675514641596235,0.2,1450,-0.6968096544966101,0.0546875,3.2381036281585693,0.006339372,27.34842967018485,0.717722088098526,0.0003
