time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
750,102400,50,-52.396577900000004,694.44,136,350.82806396484375,0.8181021362543106,0.0057847043,0.0003,-0.006895868077117484,490,0.08896484375,32.17988997846842,0.2,-0.978755635023117
745,104448,51,-51.54080868,708.88,140,61.16741943359375,0.2797456383705139,0.003564429,0.0003,-0.0028880684170871974,500,0.0326171875,114.78491683155298,0.2,-0.8802765784785151
735,106496,52,-49.55225855,728.3,144,16.542890548706055,0.6229739487171173,0.003920395,0.0003,-0.001405233680998208,510,0.038671875,60.68127543702722,0.2,-0.96881989184767
730,108544,53,-49.99558386,733.25,148,49.87486267089844,0.7301523089408875,0.0045865327,0.0003,-0.0008664923821925186,520,0.05341796875,108.08648657798767,0.2,-0.8657049253582955
728,110592,54,-44.0971076,750.36,151,8.212324142456055,0.7267906069755554,0.0039602667,0.0003,-0.002346494549419731,530,0.069140625,72.30404191762209,0.2,-0.9532819487154484
728,112640,55,-46.56673755,758.54,154,2.4413132667541504,0.7560315579175949,0.007101861,0.0003,-0.00036479482369031755,540,0.05751953125,29.22749831825495,0.2,-0.9320253061130643
724,114688,56,-43.29077047,770.38,158,45.815242767333984,0.6626555025577545,0.009194577,0.0003,-0.0033791858397307804,550,0.08271484375,131.32892369925975,0.2,-0.8545526124536991
723,116736,57,-42.20064872,783.43,161,2.8865768909454346,0.6771235167980194,0.004239697,0.0003,-0.0016275515234156046,560,0.06044921875,86.30588063001633,0.2,-0.8713627152144909
722,118784,58,-37.633497119999994,796.03,164,10.264772415161133,0.7180138230323792,0.006645955,0.0003,-0.0034398591189528814,570,0.050146484375,83.44980993941427,0.2,-0.8974693341180682
719,120832,59,-38.31274739,802.7,167,5.389418601989746,0.5879836082458496,0.008042933,0.0003,-0.002131160524004372,580,0.06376953125,57.853470503538844,0.2,-0.9057467725127936
715,122880,60,-36.79385765999999,809.86,171,4.1704535484313965,0.5828343033790588,0.004238827,0.0003,-0.0014621211787016364,590,0.049609375,96.8535565726459,0.2,-0.9006463838741183
716,124928,61,-32.90524545,819.61,174,1.8012715578079224,0.9113067612051964,0.005275221,0.0003,-0.0029011315418756567,600,0.08173828125,23.671350510045887,0.2,-0.8776303993538022
715,126976,62,-32.586358610000005,835.15,177,1.7196871042251587,0.8290474712848663,0.008815699,0.0003,-0.003987301489542005,610,0.12822265625,32.80701287314296,0.2,-0.9574655726552009
715,129024,63,-32.486149659999995,838.22,180,20.225120544433594,0.6252757012844086,0.002576151,0.0003,-0.0008666597350384109,620,0.014599609375,115.38797486275435,0.2,-0.9070497920736671
