rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
886.95,200,694,68,-17.888727329999995,139264,0.006295057,-0.8207388889044523,0.5413025319576263,83.86181164160371,670,0.0003,6.171327114105225,0.2,0.04404296875,-0.003826562139147427
885.82,204,691,69,-16.939649329999998,141312,0.005233339,-0.8584498833864928,0.16980761289596558,136.03537167683243,680,0.0003,39.12956619262695,0.2,0.032861328125,-0.004220113902556477
884.18,207,691,70,-14.360423700000002,143360,0.0034343195,-0.8569155517965555,0.30515056848526,193.26584668308496,690,0.0003,40.97187042236328,0.2,0.011474609375,-0.0010530295508942799
885.64,210,691,71,-9.323070690000003,145408,0.0058844453,-0.7894531656056643,0.5289694368839264,114.3360621958971,700,0.0003,17.377164840698242,0.2,0.04599609375,-0.0027073962846770883
892.04,213,690,72,-5.848873610000002,147456,0.010740962,-0.8403466083109379,0.4185556173324585,93.01648850888014,710,0.0003,52.59153366088867,0.2,0.082763671875,-0.00415490650011634
900.31,217,688,73,-6.7270721200000025,149504,0.008349208,-0.8096377350389957,0.5244233310222626,57.34708053767681,720,0.0003,1.6050149202346802,0.2,0.09716796875,-0.006379269175522495
907.19,221,684,74,-1.919619460000003,151552,0.008800471,-0.8291115961968899,0.09785205125808716,157.4687104701996,730,0.0003,9.947996139526367,0.2,0.07744140625,-0.002518444619636284
906.46,224,684,75,1.5533952600000003,153600,0.00908056,-0.8459753664210439,0.41327232122421265,66.27056186124682,740,0.0003,13.185912132263184,0.2,0.0421875,-0.0030370810498425273
898.17,228,682,76,2.68799074,155648,0.0046177986,-0.7673268293961882,0.5055104494094849,99.70482028573751,750,0.0003,34.29133605957031,0.2,0.04697265625,-0.0016864912831806578
893.01,231,682,77,3.62466237,157696,0.002265538,-0.823481410369277,0.28353118896484375,160.8875468045473,760,0.0003,30.880496978759766,0.2,0.01875,-0.0006811099847254809
890.24,234,681,78,4.22236001,159744,0.0062079336,-0.8583592271432281,0.18439269065856934,198.5478401437402,770,0.0003,117.61967468261719,0.2,0.04970703125,-0.0032197833163081667
883.85,237,682,79,4.917706049999999,161792,0.0048427028,-0.768508692458272,0.27257853746414185,74.84480685144663,780,0.0003,50.7415657043457,0.2,0.034228515625,-0.002450232777482597
884.31,240,681,80,8.74027847,163840,0.004825687,-0.7652484960854053,0.3824930787086487,163.68630831837655,790,0.0003,23.575437545776367,0.2,0.03330078125,-0.0025514691456919535
885.02,243,680,81,13.695106289999998,165888,0.006540086,-0.8037630749866367,0.5663050413131714,64.5089281283319,800,0.0003,258.1393737792969,0.2,0.0599609375,-0.0023045579706376883
884.6,246,681,82,16.230274109999996,167936,0.0051353816,-0.7988064112141728,0.4287499189376831,119.62589558064937,810,0.0003,5.2851948738098145,0.2,0.0435546875,-0.0018334906762902392
884.61,250,677,83,18.27680224,169984,0.0061054137,-0.7717197358608245,0.6663569211959839,39.8919039413333,820,0.0003,2.205303907394409,0.2,0.100390625,0.002229357352189254
893.99,253,677,84,22.883371269999998,172032,0.006735591,-0.816439601406455,0.3152719736099243,127.58598544448614,830,0.0003,2.6282706260681152,0.2,0.044091796875,-0.0047072826127987355
893.08,257,676,85,24.745813199999997,174080,0.0061040353,-0.8059565465897321,0.5429365038871765,41.56843423545361,840,0.0003,3.177872896194458,0.2,0.062255859375,-0.001417501611285843
883.62,261,674,86,28.65866135,176128,0.0070577785,-0.7972698468714953,0.5642282962799072,81.46955766454339,850,0.0003,7.870166301727295,0.2,0.064013671875,-0.0018724764420767314
875.34,263,675,87,30.401885479999997,178176,0.008208606,-0.8400221467018127,0.6393270790576935,78.36105250269175,860,0.0003,3.3315374851226807,0.2,0.098388671875,-0.0038024945330107584
864.59,267,674,88,33.931925039999996,180224,0.0052195694,-0.8110496334731578,0.858351543545723,61.433810129761696,870,0.0003,2.706684112548828,0.2,0.06669921875,-0.0029642559435160364
859.77,270,674,89,34.71250956,182272,0.0049892403,-0.828337536379695,0.7368289828300476,69.85352342501282,880,0.0003,12.90326976776123,0.2,0.05537109375,-0.0032500847140909173
846.43,272,675,90,38.67781787,184320,0.013896675,-0.6748902777209878,0.6705637276172638,60.66637872904539,890,0.0003,10.38991928100586,0.2,0.092529296875,-0.006250799204281066
842.96,276,675,91,39.164918359999994,186368,0.0037780283,-0.7392614603042602,0.6861787140369415,74.83565856590867,900,0.0003,8.92021369934082,0.2,0.03193359375,0.0007510223396820948
830.11,278,676,92,38.70658009,188416,0.0044831857,-0.713325216434896,0.22588342428207397,148.55002086758614,910,0.0003,14.83835506439209,0.2,0.027880859375,-0.0031006857971078716
819.21,281,677,93,42.244541950000006,190464,0.004534212,-0.7955632034689188,0.35817641019821167,170.95950678065418,920,0.0003,99.54263305664062,0.2,0.045068359375,-0.001025707000917464
816.55,284,676,94,43.36417724,192512,0.0056159366,-0.7459870913997293,0.6599475741386414,84.8199733376503,930,0.0003,322.35321044921875,0.2,0.057275390625,-0.004083833723416319
815.93,287,677,95,44.63767542000001,194560,0.0056002447,-0.7560978978872299,0.5904577672481537,48.610722713544966,940,0.0003,17.71967887878418,0.2,0.089794921875,-0.0017128496168879793
804.58,289,678,96,41.62057229,196608,0.006736791,-0.6060992555692792,0.5188683867454529,65.77387940436601,950,0.0003,3.20158314704895,0.2,0.06435546875,-0.0016657570682582445
792.23,292,679,97,45.7713627,198656,0.004318362,-0.7626125877723098,0.6062487661838531,150.07450698018073,960,0.0003,46.6142463684082,0.2,0.039453125,-0.0020148719413555227
792.23,294,680,98,44.74743708,200704,0.006136125,-0.738887975551188,0.49869513511657715,79.40957571789622,970,0.0003,49.67036437988281,0.2,0.046142578125,-0.0013104319375997874
